yachting |Sailing for pleasure in a yacht.
yaws |A disease, occurring in the Antilles and in Africa, characterized by yellowish or reddish tumors, of a contagious character, which, in shape and appearance, often resemble currants, strawberries, or raspberries. There are several varieties of this disease, variously known as framboesia, pian, verrugas, and crab- yaws.
yazoo fraud |The grant by the State of Georgia, by Act of Jan. 7, 1795, of 35,000,000 acres of her western territory, for $500,000, to four companies known as the Yazoo Companies from the region granted ; -- commonly so called, the act being known as the Yazoo Frauds Act, because of alleged corruption of the legislature, every member but one being a shareholder in one or more of the companies. The act granting the land was repealed in 1796 by a new legislature, and the repealing provision was incorporated in the State constitution in 1798. In 1802 the territory was ceded to the United States. The claims of the purchasers, whom Georgia had refused to compensate, were sustained by the United States Supreme Court, which (1810) declared the repealing act of 1796 unconstitutional. Congress in 1814 ordered the lands sold and appropriated $5,000,000 to pay the claims.
ybe |Been. Chaucer.
ycleped |Called; named; -- obsolete, except in archaic or humorous writings. [Spelt also yclept.] It is full fair to ben yclept madame. Chaucer. But come, thou goddess fair and free. In heaven ycleped Euphrosyne. Milton. Those charming little missives ycleped valentines. Lamb.
ydo |Done. Chaucer.
ydrad |Dreaded. Yet nothing did he dread, but ever was ydrad. Spenser.
ye |an old method of printing the article the (AS. þe), the \"y\" being used in place of the Anglo-Saxon thorn. It is sometimes incorrectly pronounced ye. See The, and Thorn, n., 4.\n\nAn eye. [Obs.] From his yën ran the water down. Chaucer.\n\nThe plural of the pronoun of the second person in the nominative case. Ye ben to me right welcome heartily. Chaucer. But ye are washed, but ye are sanctified. 1 Cor. vi. 11. This would cost you your life in case ye were a man. Udall. Note: In Old English ye was used only as a nominative, and you only as a dative or objective. In the 16th century, however, ye and you became confused and were often used interchangeably, both as nominatives and objectives, and you has now superseded ye except in solemn or poetic use. See You, and also the first Note under Thou. Vain pomp and glory of this world, I hate ye. Shak. I come, kind gentlemen, strange news to tell ye. Dryden.\n\nYea; yes. [Obs.] Chaucer.
yea |1. Yes; ay; a word expressing assent, or an affirmative, or an affirmative answer to a question, now superseded by yes. See Yes. Let your communication be yea, yea; nay, nay. Matt. v. 37. 2. More than this; not only so, but; -- used to mark the addition of a more specific or more emphatic clause. Cf. Nay, adv., 2. I therein do rejoice, yea, and will rejoice. Phil. i. 18. Note: Yea sometimes introduces a clause, with the sense of indeed, verily, truly. \"Yea, hath God said, Ye shall not eat of every tree of the garden\" Gen. iii. 1.\n\nAn affirmative vote; one who votes in the affirmative; as, a vote by yeas and nays. Note: In the Scriptures, yea is used as a sign of certainty or stability. \"All the promises of God in him are yea, and in him Amen.\" 2 Cor. i. 20.
yead |Properly, a variant of the defective imperfect yode, but sometimes mistaken for a present. See the Note under Yede. [Obs.] Years yead away and faces fair deflower. Drant.
yean |To bring forth young, as a goat or a sheep; to ean. Shak.
yeanling |A lamb or a kid; an eanling. Shak.
year |1. The time of the apparent revolution of the sun trough the ecliptic; the period occupied by the earth in making its revolution around the sun, called the astronomical year; also, a period more or less nearly agreeing with this, adopted by various nations as a measure of time, and called the civil year; as, the common lunar year of 354 days, still in use among the Mohammedans; the year of 360 days, etc. In common usage, the year consists of 365 days, and every fourth year (called bissextile, or leap year) of 366 days, a day being added to February on that year, on account of the excess above 365 days (see Bissextile). Of twenty year of age he was, I guess. Chaucer. Note: The civil, or legal, year, in England, formerly commenced on the 25th of March. This practice continued throughout the British dominions till the year 1752. 2. The time in which any planet completes a revolution about the sun; as, the year of Jupiter or of Saturn. 3. pl.  Age, or old age; as, a man in years. Shak. Anomalistic year, the time of the earth's revolution from perihelion to perihelion again, which is 365 days, 6 hours, 13 minutes, and 48 seconds. -- A year's mind (Eccl.), a commemoration of a deceased person, as by a Mass, a year after his death. Cf. A month's mind, under Month. -- Bissextile year. See Bissextile. -- Canicular year. See under Canicular. -- Civil year, the year adopted by any nation for the computation of time. -- Common lunar year, the period of 12 lunar months, or 354 days. -- Common year, each year of 365 days, as distinguished from leap year. -- Embolismic year, or Intercalary lunar year, the period of 13 lunar months, or 384 days. -- Fiscal year (Com.), the year by which accounts are reckoned, or the year between one annual time of settlement, or balancing of accounts, and another. -- Great year. See Platonic year, under Platonic. -- Gregorian year, Julian year. See under Gregorian, and Julian. -- Leap year. See Leap year, in the Vocabulary. -- Lunar astronomical year, the period of 12 lunar synodical months, or 354 days, 8 hours, 48 minutes, 36 seconds. -- Lunisolar year. See under Lunisolar. -- Periodical year. See Anomalistic year, above. -- Platonic year, Sabbatical year. See under Platonic, and Sabbatical. -- Sidereal year, the time in which the sun, departing from any fixed star, returns to the same. This is 365 days, 6 hours, 9 minutes, and 9.3 seconds. -- Tropical year. See under Tropical. -- Year and a day (O. Eng. Law), a time to be allowed for an act or an event, in order that an entire year might be secured beyond all question. Abbott. -- Year of grace, any year of the Christian era; Anno Domini; A. D. or a. d.
yeara |The California poison oak (Rhus diversiloba). See under Poison, a.
yearbook |1. A book published yearly; any annual report or summary of the statistics or facts of a year, designed to be used as a reference book; as, the Congregational Yearbook. 2. (Eng. Law)  A book containing annual reports of cases adjudged in the courts of England. Note: The Yearbooks are the oldest English reports extant, beginning with the reign of Edward II., and ending with the reign of Henry VIII. They were published annually, and derive their name from that fact. They consist of eleven parts, or volumes, are written in Law French, and extend over nearly two hundred years. There are, however, several hiatuses, or chasms, in the series. Kent. Bouvier.
yeared |Containing years; having existed or continued many years; aged. [Obs.] B. Jonson.
yearling |An animal one year old, or in the second year of its age; -- applied chiefly to cattle, sheep, and horses.\n\nBeing a year old. \"A yearling bullock to thy name small smoke.\" Pope.
yearly |1. Happening, accruing, or coming every year; annual; as, a yearly income; a yearly feast. 2. Lasting a year; as, a yearly plant. 3. Accomplished in a year; as, the yearly circuit, or revolution, of the earth. Shak.\n\nAnnually; once a year to year; as, blessings yearly bestowed. Yearly will I do this rite. Shak.
yearn |To pain; to grieve; to vex. [Obs.] \"She laments, sir, for it, that it would yearn your heart to see it.\" Shak. It yearns me not if men my garments wear. Shak.\n\nTo be pained or distressed; to grieve; to mourn. [Obs.] \"Falstaff he is dead, and we must yearn therefore.\" Shak.\n\nTo curdle, as milk. [Scot.]\n\nTo be filled with longing desire; to be harassed or rendered uneasy with longing, or feeling the want of a thing; to strain with emotions of affection or tenderness; to long; to be eager. Joseph made haste; for his bowels did yearn upon his brother; and he sought where to weep. Gen. xliii. 30. Your mother's heart yearns towards you. Addison.
yearnful |Desirous. [Obs.] Ormulum. P. Fletcher.
yearningly |With yearning.
yearnings |The maws, or stomachs, of young calves, used a rennet for curdling milk. [Scot.] YEAR'S PURCHASE Year's purchase.  The amount that is yielded by the annual income of property; -- used in expressing the value of a thing in the number of years required for its income to yield its purchase price, in reckoning the amount to be paid for annuities, etc.
yearth |The earth. [Obs.] \"Is my son dead or hurt or on the yerthe felled\" Ld. Berners.
yeast |1. The foam, or troth (top yeast), or the sediment (bottom yeast), of beer or other in fermentation, which contains the yeast plant or its spores, and under certain conditions produces fermentation in saccharine or farinaceous substances; a preparation used for raising dough for bread or cakes, and making it light and puffy; barm; ferment. 2. Spume, or foam, of water. They melt thy yeast of waves, which mar Alike the Armada's pride, or spoils of Trafalgar. Byron.  A form of fungus which grows as indvidual rounded cells, rather than in a mycelium, and reproduces by budding; esp. members of the orders Endomycetales and Moniliales. Some fungi may grow both as a yeast or as a mycelium, depending on the conditions of growth. Yeast cake, a mealy cake impregnated with the live germs of the yeast plant, and used as a conveniently transportable substitute for yeast. -- Yeast plant (Bot.), the vegetable organism, or fungus, of which beer yeast consists. The yeast plant is composed of simple cells, or granules, about one three-thousandth of an inch in diameter, often united into filaments which reproduce by budding, and under certain circumstances by the formation of spores. The name is extended to other ferments of the same genus. See Saccharomyces. -- Yeast powder, a baling powder, -- used instead of yeast in leavening bread.
yeast-bitten |A term used of beer when the froth of the yeast has reëntered the body of the beer.
yeastiness |The quality or state of being yeasty, or frothy.
yeasty |Frothy; foamy; spumy, like yeast.
yedding |The song of a minstrel; hence, any song. [Obs.] Chaucer.
yede |Went. See Yode. All as he bade fulfilled was indeed This ilke servant anon right out yede. Chaucer. Note: Spenser and some later writers mistook this for a present of the defective imperfect yode. It is, however, only a variant of yode. See Yode, and cf. Yead. [He] on foot was forced for to yeed. Spenser
yeel |An eel. [Obs.] Holland.
yeldhall |Guildhall. [Obs.] Chaucer.
yeldrin |The yellow-hammer; -- called also yeldrock, and yoldrin. [Prov. Eng.]
yeldrine |The yellow-hammer; -- called also yeldrock, and yoldrin. [Prov. Eng.]
yelk |Same as Yolk.
yell |To cry out, or shriek, with a hideous noise; to cry or scream as with agony or horror. They yelleden as feendes doon in helle. Chaucer. Nor the night raven, that still deadly yells. Spenser. Infernal ghosts and hellish furies round Environed thee; some howled, some yelled. Milton.\n\nTo utter or declare with a yell; to proclaim in a loud tone. Shak.\n\nA sharp, loud, hideous outcry. Their hideous yells Rend the dark welkin. J. Philips.
yellow |Being of a bright saffronlike color; of the color of gold or brass; having the hue of that part of the rainbow, or of the solar spectrum, which is between the orange and the green. Her yellow hair was browded [braided] in a tress. Chaucer. A sweaty reaper from his tillage brought First fruits, the green ear and the yellow sheaf. Milton. The line of yellow light dies fast away. Keble. Yellow atrophy (Med.), a fatal affection of the liver, in which it undergoes fatty degeneration, and becomes rapidly smaller and of a deep yellow tinge. The marked symptoms are black vomit, delirium, convulsions, coma, and jaundice. -- Yellow bark, calisaya bark. -- Yellow bass (Zoöl.), a North American fresh-water bass (Morone interrupta) native of the lower parts of the Mississippi and its tributaries. It is yellow, with several more or less broken black stripes or bars. Called also barfish. -- Yellow berry. (Bot.) Same as Persian berry, under Persian. -- Yellow boy, a gold coin, as a guinea. [Slang] Arbuthnot. -- Yellow brier. (Bot.) See under Brier. -- Yellow bugle (Bot.), a European labiate plant (Ajuga Chamæpitys). -- Yellow bunting (Zoöl.), the European yellow-hammer. -- Yellow cat (Zoöl.), a yellow catfish; especially, the bashaw. -- Yellow copperas (Min.), a hydrous sulphate of iron; -- called also copiapite. -- Yellow copper ore, a sulphide of copper and iron; copper pyrites. See Chalcopyrite. -- Yellow cress (Bot.), a yellow-flowered, cruciferous plant (Barbarea præcox), sometimes grown as a salad plant. -- Yellow dock. (Bot.) See the Note under Dock. -- Yellow earth, a yellowish clay, colored by iron, sometimes used as a yellow pigment. -- Yellow fever (Med.), a malignant, contagious, febrile disease of warm climates, attended with jaundice, producing a yellow color of the skin, and with the black vomit. See Black vomit, in the Vocabulary. -- Yellow flag, the quarantine flag. See under Quarantine, and 3d Flag. -- Yellow jack. (a) The yellow fever. See under 2d Jack. (b) The quarantine flag. See under Quarantine. -- Yellow jacket (Zoöl.), any one of several species of American social wasps of the genus Vespa, in which the color of the body is partly bright yellow. These wasps are noted for their irritability, and for their painful stings. -- Yellow lead ore (Min.), wulfenite. -- Yellow lemur (Zoöl.), the kinkajou. -- Yellow macauco (Zoöl.), the kinkajou. -- Yellow mackerel (Zoöl.), the jurel. -- Yellow metal. Same as Muntz metal, under Metal. -- Yellow ocher (Min.), an impure, earthy variety of brown iron ore, which is used as a pigment. -- Yellow oxeye (Bot.), a yellow-flowered plant (Chrysanthemum segetum) closely related to the oxeye daisy. -- Yellow perch (Zoöl.), the common American perch. See Perch. -- Yellow pike (Zoöl.), the wall-eye. -- Yellow pine (Bot.), any of several kinds of pine; also, their yellowish and generally durable timber. Among the most common are valuable species are Pinus mitis and P. palustris of the Eastern and Southern States, and P. ponderosa and P. Arizonica of the Rocky Mountains and Pacific States. -- Yellow plover (Zoöl.), the golden plover. -- Yellow precipitate (Med. Chem.), an oxide of mercury which is thrown down as an amorphous yellow powder on adding corrosive sublimate to limewater. -- Yellow puccoon. (Bot.) Same as Orangeroot. -- Yellow rail (Zoöl.), a small American rail (Porzana Noveboracensis) in which the lower parts are dull yellow, darkest on the breast. The back is streaked with brownish yellow and with black, and spotted with white. Called also yellow crake. -- Yellow rattle, Yellow rocket. (Bot.) See under Rattle, and Rocket. -- Yellow Sally (Zoöl.), a greenish or yellowish European stone fly of the genus Chloroperla; -- so called by anglers. -- Yellow sculpin (Zoöl.), the dragonet. -- Yellow snake (Zoöl.), a West Indian boa (Chilobothrus inornatus) common in Jamaica. It becomes from eight to ten long. The body is yellowish or yellowish green, mixed with black, and anteriorly with black lines. -- Yellow spot. (a) (Anat.) A small yellowish spot with a central pit, the fovea centralis, in the center of the retina where vision is most accurate. See Eye. (b) (Zoöl.) A small American butterfly (Polites Peckius) of the Skipper family. Its wings are brownish, with a large, irregular, bright yellow spot on each of the hind wings, most conspicuous beneath. Called also Peck's skipper. See Illust. under Skipper, n., 5. -- Yellow tit (Zoöl.), any one of several species of crested titmice of the genus Machlolophus, native of India. The predominating colors of the plumage are yellow and green. -- Yellow viper (Zoöl.), the fer-de-lance. -- Yellow warbler (Zoöl.), any one of several species of American warblers of the genus Dendroica in which the predominant color is yellow, especially D. æstiva, which is a very abundant and familiar species; -- called also garden warbler, golden warbler, summer yellowbird, summer warbler, and yellow-poll warbler. -- Yellow wash (Pharm.), yellow oxide of mercury suspended in water, -- a mixture prepared by adding corrosive sublimate to limewater. -- Yellow wren (Zoöl.) (a) The European willow warbler. (b) The European wood warbler.\n\n1. A bright golden color, reflecting more light than any other except white; the color of that part of the spectrum which is between the orange and green. \"A long motley coat guarded with yellow.\" Shak. 2. A yellow pigment. Cadmium yellow, Chrome yellow, Indigo yellow, King's yellow, etc. See under Cadmium, Chrome, etc. -- Naples yellow, a yellow amorphous pigment, used in oil, porcelain, and enamel painting, consisting of a basic lead metantimonate, obtained by fusing together tartar emetic lead nitrate, and common salt. -- Patent yellow (Old Chem.), a yellow pigment consisting essentially of a lead oxychloride; -- called also Turner's yellow.\n\nTo make yellow; to cause to have a yellow tinge or color; to dye yellow.\n\nTo become yellow or yellower.
yellow book |In France, an official government publication bound in yellow covers.
yellow-covered |Covered or bound in yellow paper. Yellow-covered literature, cheap sensational novels and trashy magazines; -- formerly so called from the usual color of their covers. [Colloq. U. S.] Bartlett.
yellow-eyed |Having yellow eyes. Yellow-eyed grass (Bot.), any plant of the genus Xyris.
yellow-golds |A certain plant, probably the yellow oxeye. B. Jonson.
yellowammer |See Yellow-hammer.
yellowbill |The American scoter.
yellowbird |(a) The American goldfinch, or thistle bird. See Goldfinch. (b) The common yellow warbler; -- called also summer yellowbird. See Illust. of Yellow warbler, under Yellow, a.
yellowfin |A large squeteague.
yellowfish |A rock trout (Pleurogrammus monopterygius) found on the coast of Alaska; -- called also striped fish, and Atka mackerel.
yellowhammer |(a) A common European finch (Emberiza citrinella). The color of the male is bright yellow on the breast, neck, and sides of the head, with the back yellow and brown, and the top of the head and the tail quills blackish. Called also yellow bunting, scribbling lark, and writing lark. [Written also yellow-ammer.] (b) The flicker. [Local, U. S.]
yellowing |The act or process of making yellow. Softened . . . by the yellowing which time has given. G. Eliot.
yellowish |Somewhat yellow; as, amber is of a yellowish color. -- Yel\"low*ish*ness, n.
yellowlegs |Any one of several species of long-legged sandpipers of the genus Totanus, in which the legs are bright yellow; -- called also stone snipe, tattler, telltale, yellowshanks; and yellowshins. See Tattler, 2.
yellowness |1. The quality or state of being yellow; as, the yellowness of an orange. 2. Jealousy. [Obs.] I will possess him with yellowness. Shak.
yellowroot |Any one of several plants with yellow roots. Specifically: (a) See Xanthorhiza. (b) Same as Orangeroot.
yellows |1. (Far.)  A disease of the bile in horses, cattle, and sheep, causing yellowness of the eyes; jaundice. His horse . . . sped with spavins, rayed with the yellows. Shak. 2. (Bot.)  A disease of plants, esp. of peach trees, in which the leaves turn to a yellowish color; jeterus. 3. (Zoöl.)  A group of butterflies in which the predominating color is yellow. It includes the common small yellow butterflies. Called also redhorns, and sulphurs. See Sulphur.
yellowseed |A kind of pepper grass (Lepidium campestre).
yellowshanks |See Yellolegs.
yellowshins |See Yellolegs.
yellowtail |(a) Any one of several species of marine carangoid fishes of the genus Seriola; especially, the large California species (S. dorsalis) which sometimes weighs thirty or forty pounds, and is highly esteemed as a food fish; -- called also cavasina, and white salmon. (b) The mademoiselle, or silver perch. (c) The menhaden. (d) The runner, 12. (e) A California rockfish (Sebastodes flavidus). (f) The sailor's choice (Diplodus rhomboides). Note: Several other fishes are also locally called yellowtail.
yellowthroat |Any one of several species of American ground warblers of the genus Geothlypis, esp. the Maryland yellowthroat (G. trichas), which is a very common species.
yellowtop |A kind of grass, perhaps a species of Agrostis.
yellowwood |The wood of any one of several different kinds of trees; also, any one of the trees themselves. Among the trees so called are the Cladrastis tinctoria, an American leguminous tree; the several species of prickly ash (Xanthoxylum); the Australian Flindersia Oxleyana, a tree related to the mahogany; certain South African species of Podocarpus, trees related to the yew; the East Indian Podocarpus latifolia; and the true satinwood (Chloroxylon Swietenia). All these Old World trees furnish valuable timber.
yellowwort |A European yellow-flowered, gentianaceous (Chlora perfoliata). The whole plant is intensely bitter, and is sometimes used as a tonic, and also in dyeing yellow.
yelp |1. To boast. [Obs.] I keep [care] not of armes for to yelpe. Chaucer. 2. To utter a sharp, quick cry, as a hound; to bark shrilly with eagerness, pain, or fear; to yaup. A little herd of England's timorous deer, Mazed with a yelping kennel of French curs Shak. At the least flourish of a broomstick or ladle, he would fly to the door with a yelping precipitation. W. Irving.\n\nA sharp, quick cry; a bark. Chaucer.
yelper |An animal that yelps, or makes a yelping noise. Specifically: (Zoöl.) (a) The avocet; -- so called from its sharp, shrill cry. [Prov. Eng.] (b) The tattler. [Local, U. S.]
yelting |The Florida and West Indian red snapper (Lutianus aya); also, sometimes, one of certain other allied species, as L. caxis.
