bullwort |See Bishop's-weed.
bumboat |A clumsy boat, used for conveying provisions, fruit, etc., for sale, to vessels lying in port or off shore.
bumkin |A projecting beam or boom; as: (a) One projecting from each bow of a vessel, to haul the fore tack to, called a tack bumpkin. (b) Onr from each quarter, for the main-brace blocks, and called brace bumpkin. (c) A small outrigger over the stern of a boat, to extend the mizzen. [Written also boomkin.]
bummalo |A small marine Asiatic fish (Saurus ophidon) used in India as a relish; -- called also Bombay duck.
bummer |An idle, worthless fellow, who is without any visible means of support; a dissipated sponger. [Slang, U.S.]
bummery |See Bottomery. [Obs.] There was a scivener of Wapping brought to hearing for relief against a bummery bond. R. North.
bump |To strike, as with or against anything large or solid; to thump; as, to bump the head against a wall.\n\nTo come in violent contact with something; to thump. \"Bumping and jumping.\" Southey.\n\n1. A thump; a heavy blow. 2. A swelling or prominence, resulting from a bump or blow; a protuberance. It had upon its brow A bump as big as a young cockerel's stone. Shak. 3. (Phren.)  One of the protuberances on the cranium which are associated with distinct faculties or affections of the mind; as, the bump of \"veneration;\" the bump of \"acquisitiveness.\" [Colloq.] 4. The act of striking the stern of the boat in advance with the prow of the boat following. [Eng.]\n\nTo make a loud, heavy, or hollow noise, as the bittern; to boom. As a bittern bumps within a reed. Dryden.\n\nThe noise made by the bittern.
bumper |1. A cup or glass filled to the brim, or till the liquor runs over, particularly in drinking a health or toast. He frothed his bumpers to the brim. Tennyson. 2. A covered house at a theater, etc., in honor of some favorite performer. [Cant]\n\n1. That which bumps or causes a bump. 2. Anything which resists or deadens a bump or shock; a buffer.
bumpkin |An awkward, heavy country fellow; a clown; a country lout. \"Bashful country bumpkins.\" W. Irving.
bumptious |Self-conceited; forward; pushing. [Colloq.] Halliwell.
bumptiousness |Conceitedness. [Colloq.]
bun |A slightly sweetened raised cake or bisquit with a glazing of sugar and milk on the top crust.
bunch |1. A protuberance; a hunch; a knob or lump; a hump. They will carry . . . their treasures upon the bunches of camels. Isa. xxx. 6. 2. A collection, cluster, or tuft, properly of things of the same kind, growing or fastened together; as, a bunch of grapes; a bunch of keys. 3. (Mining)  A small isolated mass of ore, as distinguished from a continuous vein. Page.\n\nTo swell out into a bunch or protuberance; to be protuberant or round. Bunching out into a large round knob at one end. Woodward.\n\nTo form into a bunch or bunches.
bunch grass |A grass growing in bunches and affording pasture. In California, Atropis tenuifolia, Festuca scabrella, and several kinds of Stipa are favorite bunch grasses. In Utah, Eriocoma cuspidata is a good bunch grass.
bunch-backed |Having a bunch on the back; crooked. \"Bunch-backed toad.\" Shak.
bunchberry |The dwarf cornel (Cornus Canadensis), which bears a dense cluster of bright red, edible berries.
bunchiness |The quality or condition of being bunchy; knobbiness.
bunchy |1. Swelling out in bunches. An unshapen, bunchy spear, with bark unpiled. Phaer. 2. Growing in bunches, or resembling a bunch; having tufts; as, the bird's bunchy tail. 3. (Mining)  Yielding irregularly; sometimes rich, sometimes poor; as, a bunchy mine. Page.
buncombe |Speech-making for the gratification of constituents, or to gain public applause; flattering talk for a selfish purpose; anything said for mere show. [Cant or Slang, U.S.] All that flourish about right of search was bunkum -- all that brag about hanging your Canada sheriff was bunkum . . . slavery speeches are all bunkum. Haliburton. To speak for Buncombe, to speak for mere show, or popularly. Note: \"The phrase originated near the close of the debate on the famous 'Missouri Question,' in the 16th Congress. It was then used by Felix Walker -- a naïve old mountaineer, who resided at Waynesville, in Haywood, the most western country of North Carolina, near the border of the adjacent country of Buncombe, which formed part of his district. The old man rose to speak, while the house was impatiently calling for the 'Question,' and several members gathered round him, begging him to desist. He preserved, however, for a while, declaring that the people of his district expected it, and that he was bound to 'make a speech for Buncombe.'\" W. Darlington.
bund |League; confederacy; esp. the confederation of German states.\n\nAn embankment against inundation. [India] S. Wells Williams.
bunder |A boat or raft used in the East Indies in the landing of passengers and goods.
bundes-versammlung |See Legislature, Switzerland.
bundesrath |The federal council of the German Empire. In the Bundesrath and the Reichstag are vested the legislative functions. The federal council of Switzerland is also so called. Note: The Bundesrath of the German empire is presided over by a chancellor, and is composed of sixty-two members, who represent the different states of the empire, being appointed for each session by their respective governments. By this united congress, the highest tribunal of Switzerland, -- the Bundesrath -- is chosen, and the head of this is a president. J. P. Peters (Trans. Müller's Pol. Hist. ).
bundle |A number of things bound together, as by a cord or envelope, into a mass or package convenient for handling or conveyance; a loose package; a roll; as, a bundle of straw or of paper; a bundle of old clothes. The fable of the rods, which, when united in a bundle, no strength could bend. Goldsmith. Bundle pillar (Arch.), a column or pier, with others of small dimensions attached to it. Weale.\n\n1. To tie or bind in a bundle or roll. 2. To send off abruptly or without ceremony. They unmercifully bundled me and my gallant second into our own hackney coach. T. Hook. To bundle off, to send off in a hurry, or without ceremony. -- To bundle one's self up, to wrap one's self up warmly or cumbrously.\n\n1. To prepare for departure; to set off in a hurry or without ceremony. 2. To sleep on the same bed without undressing; -- applied to the custom of a man and woman, especially lovers, thus sleeping. Bartlett. Van Corlear stopped occasionally in the villages to eat pumpkin pies, dance at country frolics, and bundle with the Yankee lasses. W. Irving.
bundobust |System; discipline. [India] He has more bundobust than most men. Kipling.
bung |1. The large stopper of the orifice in the bilge of a cask. 2. The orifice in the bilge of a cask through which it is filled; bunghole. 3. A sharper or pickpocket. [Obs. & Low] You filthy bung, away. Shak.\n\nTo stop, as the orifice in the bilge of a cask, with a bung; to close; -- with up. To bung up, to use up, as by bruising or over exertion; to exhaust or incapacitate for action. [Low] He had bunged up his mouth that he should not have spoken these three years. Shelton (Trans. Don Quixote).
bungalow |A thatched or tiled house or cottage, of a single story, usually surrounded by a veranda. [India]
bungarum |A venomous snake of India, of the genus Bungarus, allied to the cobras, but without a hood.
bunghole |See Bung, n., 2. Shak.
bungle |To act or work in a clumsy, awkward manner.\n\nTo make or mend clumsily; to manage awkwardly; to botch; -- sometimes with up. I always had an idea that it would be bungled. Byron.\n\nA clumsy or awkward performance; a botch; a gross blunder. Those errors and bungles which are committed. Cudworth.
bungler |A clumsy, awkward workman; one who bungles. If to be a dunce or a bungler in any profession be shameful, how much more ignominious and infamous to a scholar to be such! Barrow.
bungling |Unskillful; awkward; clumsy; as, a bungling workman. Swift. They make but bungling work. Dryden.
bunglingly |Clumsily; awkwardly.
bungo |A kind of canoe used in Central and South America; also, a kind of boat used in the Southern United States. Bartlett.
bunion |Same as Bunyon.\n\nAn enlargement and inflammation of a small membranous sac (one of the bursæ muscosæ), usually occurring on the first joint of the great toe.
bunk |1. A wooden case or box, which serves for a seat in the daytime and for a bed at night. [U.S.] 2. One of a series of berths or bed places in tiers. 3. A piece of wood placed on a lumberman's sled to sustain the end of heavy timbers. [Local, U.S.]\n\nTo go to bed in a bunk; -- sometimes with in. [Colloq. U.S.] Bartlett.
bunker |1. A sort of chest or box, as in a window, the lid of which serves for a seat. [Scot.] Jamieson. 2. A large bin or similar receptacle; as, a coal bunker.
bunko |A kind of swindling game or scheme, by means of cards or by a sham lottery. [Written also bunco.] Bunko steerer, a person employed as a decoy in bunko. [Slang, U.S.]
bunkum |Speech-making for the gratification of constituents, or to gain public applause; flattering talk for a selfish purpose; anything said for mere show. [Cant or Slang, U.S.] All that flourish about right of search was bunkum -- all that brag about hanging your Canada sheriff was bunkum . . . slavery speeches are all bunkum. Haliburton. To speak for Buncombe, to speak for mere show, or popularly. Note: \"The phrase originated near the close of the debate on the famous 'Missouri Question,' in the 16th Congress. It was then used by Felix Walker -- a naïve old mountaineer, who resided at Waynesville, in Haywood, the most western country of North Carolina, near the border of the adjacent country of Buncombe, which formed part of his district. The old man rose to speak, while the house was impatiently calling for the 'Question,' and several members gathered round him, begging him to desist. He preserved, however, for a while, declaring that the people of his district expected it, and that he was bound to 'make a speech for Buncombe.'\" W. Darlington.\n\nSee Buncombe.
bunn |A slightly sweetened raised cake or bisquit with a glazing of sugar and milk on the top crust.\n\nSee Bun.
bunnian |See Bunyon.
bunny |A great collection of ore without any vein coming into it or going out from it.\n\nA pet name for a rabbit or a squirrel.
bunodonta |A division of the herbivorous mammals including the hogs and hippopotami; -- so called because the teeth are tuberculated.
bunodonts |A division of the herbivorous mammals including the hogs and hippopotami; -- so called because the teeth are tuberculated.
bunsen cell |A zinc-carbon cell in which the zinc (amalgamated) is surrounded by dilute sulphuric acid, and the carbon by nitric acid or a chromic acid mixture, the two plates being separated by a porous cup. BUNSEN'S BATTERY; BUNSEN'S BURNER Bun\"sen's bat\"ter*y, Bun\"sen's burn`er.  See under Battery, and Burner.
bunt |A fungus (Ustilago foetida) which affects the ear of cereals, filling the grains with a fetid dust; -- also called pepperbrand.\n\nThe middle part, cavity, or belly of a sail; the part of a furled sail which is at the center of the yard. Totten.\n\nTo swell out; as, the sail bunts.\n\nTo strike or push with the horns or head; to butt; as, the ram bunted the boy.
bunter |A woman who picks up rags in the streets; hence, a low, vulgar woman. [Cant] Her . . . daughters, like bunters in stuff gowns. Goldsmith.
buntine |A thin woolen stuff, used chiefly for flags, colors, and ships' signals.
bunting |A bird of the genus Emberiza, or of an allied genus, related to the finches and sparrows (family Fringillidæ). Note: Among European species are the common or corn bunting (Emberiza miliaria); the ortolan (E. hortulana); the cirl (E. cirlus); and the black-headed (Granitivora melanocephala). American species are the bay-winged or grass (Poöcætes or Pooecetes gramineus); the black- throated (Spiza Americana); the towhee bunting or chewink (Pipilo); the snow bunting (Plectrophanax nivalis); the rice bunting or bobolink, and others. See Ortolan, Chewick, Snow bunting, Lark bunting.\n\nA thin woolen stuff, used chiefly for flags, colors, and ships' signals.
buntline |One of the ropes toggled to the footrope of a sail, used to haul up to the yard the body of the sail when taking it in. Totten.
bunyon |An enlargement and inflammation of a small membranous sac (one of the bursæ muscosæ), usually occurring on the first joint of the great toe.
buoy |A float; esp. a floating object moored to the bottom, to mark a channel or to point out the position of something beneath the water, as an anchor, shoal, rock, etc. Anchor buoy, a buoy attached to, or marking the position of, an anchor. -- Bell buoy, a large buoy on which a bell is mounted, to be rung by the motion of the waves. -- Breeches buoy. See under Breeches. -- Cable buoy, an empty cask employed to buoy up the cable in rocky anchorage. -- Can buoy, a hollow buoy made of sheet or boiler iron, usually conical or pear-shaped. -- Life buoy, a float intended to support persons who have fallen into the water, until a boat can be dispatched to save them. -- Nut or Nun buoy, a buoy large in the middle, and tapering nearly to a point at each end. -- To stream the buoy, to let the anchor buoy fall by the ship's side into the water, before letting go the anchor. -- Whistling buoy, a buoy fitted with a whistle that is blown by the action of the waves.\n\n1. To keep from sinking in a fluid, as in water or air; to keep afloat; -- with up. 2. To support or sustain; to preserve from sinking into ruin or despondency. Those old prejudices, which buoy up the ponderous mass of his nobility, wealth, and title. Burke. 3. To fix buoys to; to mark by a buoy or by buoys; as, to buoy an anchor; to buoy or buoy off a channel. Not one rock near the surface was discovered which was not buoyed by this floating weed. Darwin.\n\nTo float; to rise like a buoy. \"Rising merit will buoy up at last.\" Pope.
buoyage |Buoys, taken collectively; a series of buoys, as for the guidance of vessels into or out of port; the providing of buoys.
buoyance |Buoyancy. [R.]
buoyancy |1. The property of floating on the surface of a liquid, or in a fluid, as in the atmosphere; specific lightness, which is inversely as the weight compared with that of an equal volume of water. 2. (Physics)  The upward pressure exerted upon a floating body by a fluid, which is equal to the weight of the body; hence, also, the weight of a floating body, as measured by the volume of fluid displaced. Such are buoyancies or displacements of the different classes of her majesty's ships. Eng. Cyc. 3. Cheerfulness; vivacity; liveliness; sprightliness; -- the opposite of Ant: heaviness; as, buoyancy of spirits.
buoyant |1. Having the quality of rising or floating in a fluid; tending to rise or float; as, iron is buoyant in mercury. \"Buoyant on the flood.\" Pope. 2. Bearing up, as a fluid; sustaining another body by being specifically heavier. The water under me was buoyant. Dryden. 3. Light-hearted; vivacious; cheerful; as, a buoyant disposition; buoyant spirits. -- Buoy\"ant*ly, adv.
buprestidan |One of a tribe of beetles, of the genus Buprestis and allied genera, usually with brilliant metallic colors. The larvæ are usually bores in timber, or beneath bark, and are often very destructive to trees.
bur |1. (Bot.)  Any rough or prickly envelope of the seeds of plants, whether a pericarp, a persistent calyx, or an involucre, as of the chestnut and burdock. Also, any weed which bears burs. Amongst rude burs and thistles. Milton. Bur and brake and brier. Tennyson. 2. The thin ridge left by a tool in cutting or shaping metal. See Burr, n., 2. 3. A ring of iron on a lance or spear. See Burr, n., 4. 4. The lobe of the ear. See Burr, n., 5. 5. The sweetbread. 6. A clinker; a partially vitrified brick. 7. (Mech.) (a) A small circular saw. (b) A triangular chisel. (c) A drill with a serrated head larger than the shank; -- used by dentists. 8. Etym: [Cf. Gael. borr, borra, a knob, bunch.] (Zoöl.)  The round knob of an antler next to a deer's head. [Commonly written burr.] Bur oak (Bot.), a useful and ornamental species of oak (Quercus macrocarpa) with ovoid acorns inclosed in deep cups imbricated with pointed scales. It grows in the Middle and Western United States, and its wood is tough, close-grained, and durable. -- Bur reed (Bot.), a plant of the genus Sparganium, having long ribbonlike leaves.
bur fish |A spinose, plectognath fish of the Allantic coast of the United States (esp. Chilo mycterus geometricus) having the power of distending its body with water or air, so as to resemble a chestnut bur; -- called also ball fish, balloon fish, and swellfish.
bur marigold |See Beggar's ticks.
burbolt |A birdbolt. [Obs.] Ford.
burbot |A fresh-water fish of the genus Lota, having on the nose two very small barbels, and a larger one on the chin. [Written also burbolt.] Note: The fish is also called an eelpout or ling, and is allied to the codfish. The Lota vulgaris is a common European species. An American species (L. maculosa) is found in New England, the Great Lakes, and farther north.
burdelais |A sort of grape. Jonson.
burden |1. That which is borne or carried; a load. Plants with goodly burden bowing. Shak. 2. That which is borne with labor or difficulty; that which is grievous, wearisome, or oppressive. Deaf, giddy, helpless, left alone, To all my friends a burden grown. Swift. 3. The capacity of a vessel, or the weight of cargo that she will carry; as, a ship of a hundred tons burden. 4. (Mining)  The tops or heads of stream-work which lie over the stream of tin. 5. (Metal.)  The proportion of ore and flux to fuel, in the charge of a blast furnace. Raymond. 6. A fixed quantity of certain commodities; as, a burden of gad steel, 120 pounds. 7. A birth. [Obs. & R.] Shak. Beast of burden, an animal employed in carrying burdens. -- Burden of proof Etym: [L. onus probandi] (Law), the duty of proving a particular position in a court of law, a failure in the performance of which duty calls for judgment against the party on whom the duty is imposed. Syn. -- Burden, Load. A burden is, in the literal sense, a weight to be borne; a load is something laid upon us to be carried. Hence, when used figuratively, there is usually a difference between the two words. Our burdens may be of such a nature that we feel bound to bear them cheerfully or without complaint. They may arise from the nature of our situation; they may be allotments of Providence; they may be the consequences of our errors. What is upon us, as a load, we commonly carry with greater reluctance or sense of oppression. Men often find the charge of their own families to be a burden; but if to this be added a load of care for others, the pressure is usually serve and irksome.\n\n1. To encumber with weight (literal or figurative); to lay a heavy load upon; to load. I mean not that other men be eased, and ye burdened. 2 Cor. viii. 13. 2. To oppress with anything grievous or trying; to overload; as, to burden a nation with taxes. My burdened heart would break. Shak. 3. To impose, as a load or burden; to lay or place as a burden (something heavy or objectionable). [R.] It is absurd to burden this act on Cromwell. Coleridge. Syn. -- To load; encumber; overload; oppress.\n\n1. The verse repeated in a song, or the return of the theme at the end of each stanza; the chorus; refrain. Hence: That which is often repeated or which is dwelt upon; the main topic; as, the burden of a prayer. I would sing my song without a burden. Shak. 2. The drone of a bagpipe. Ruddiman.\n\nA club. [Obs.] Spenser.
burdener |One who loads; a oppressor.
burdenous |Burdensome. [Obs.] \"Burdenous taxations.\" Shak.
burdensome |Grievous to be borne; causing uneasiness or fatigue; oppressive. The debt immense of endless gratitude So burdensome. Milton. Syn. -- Heavy; weighty; cumbersome; onerous; grievous; oppressive; troublesome. -- Bur\"den*some*ly, adv. -- Bur\"den*some*ness, n.
burdock |A genus of coarse biennial herbs (Lappa), bearing small burs which adhere tenaciously to clothes, or to the fur or wool of animals. Note: The common burdock is the Lappa officinalis.
burdon |A pilgrim's staff. [Written also burden.] Rom. of R.
bureau |1. Originally, a desk or writing table with drawers for papers. Swift. 2. The place where such a bureau is used; an office where business requiring writing is transacted. 3. Hence: A department of public business requiring a force of clerks; the body of officials in a department who labor under the direction of a chief. Note: On the continent of Europe, the highest departments, in most countries, have the name of bureaux; as, the Bureau of the Minister of Foreign Affairs. In England and America, the term is confined to inferior and subordinate departments; as, the \"Pension Bureau,\" a subdepartment of the Department of the Interior. [Obs.] In Spanish, bureo denotes a court of justice for the trial of persons belonging to the king's household. 4. A chest of drawers for clothes, especially when made as an ornamental piece of furniture. [U.S.] Bureau system. See Bureaucracy. -- Bureau Veritas, an institution, in the interest of maritime underwriters, for the survey and rating of vessels all over the world. It was founded in Belgium in 1828, removed to Paris in 1830, and reëstablished in Brussels in 1870.
bureaucracy |1. A system of carrying on the business of government by means of departments or bureaus, each under the control of a chief, in contradiction to a system in which the officers of government have an associated authority and responsibility; also, government conducted on this system. 2. Government officials, collectively.
bureaucrat |An official of a bureau; esp. an official confirmed in a narrow and arbitrary routine. C. Kingsley.
bureaucratic |Of, relating to, or resembling, a bureaucracy.
bureaucratical |Of, relating to, or resembling, a bureaucracy.
bureaucratist |An advocate for , or supporter of, bureaucracy.
burel |Same as Borrel.
burette |An apparatus for delivering measured quantities of liquid or for measuring the quantity of liquid or gas received or discharged. It consists essentially of a graduated glass tube, usually furnished with a small aperture and stopcock.
burg |1. A fortified town. [Obs.] 2. A borough. [Eng.] See 1st Borough.
burgage |A tenure by which houses or lands are held of the king or other lord of a borough or city; at a certain yearly rent, or by services relating to trade or handicraft. Burrill.
burgall |A small marine fish; -- also called cunner.
burgamot |See Bergamot.
burganet |See Burgonet.
burgee |1. A kind of small coat. 2. (Naut.)  A swallow-tailed flag; a distinguishing pen
burgeois |See 1st Bourgeous.\n\nA burgess; a citizen. See 2d Bourgeois. [R.] Addison.
burgeon |To bud. See Bourgeon.
burgess |1. An inhabitant of a borough or walled town, or one who possesses a tenement therein; a citizen or freeman of a borough. Blackstone. Note: \"A burgess of a borough corresponds with a citizen of a city.\" Burrill. 2. One who represents a borough in Parliament. 3. A magistrate of a borough. 4. An inhabitant of a Scotch burgh qualified to vote for municipal officers. Note: Before the Revolution, the representatives in the popular branch of the legislature of Virginia were called burgesses; they are now called delegates. Burgess oath. See Burgher, 2.
burgess-ship |The state of privilege of a burgess. South.
burggrave |Originally, one appointed to the command of a burg (fortress or castle); but the title afterward became hereditary, with a domain attached.
burgh |A borough or incorporated town, especially, one in Scotland. See Borough.
burghal |Belonging of a burgh.
burghbote |A contribution toward the building or repairing of castles or walls for the defense of a city or town.
burghbrech |The offense of violating the pledge given by every inhabitant of a tithing to keep the peace; breach of the peace. Burrill.
burgher |1. A freeman of a burgh or borough, entitled to enjoy the privileges of the place; any inhabitant of a borough. 2. (Eccl. Hist.)  A member of that party, among the Scotch seceders, which asserted the lawfulness of the burgess oath (in which burgesses profess \"the true religion professed within the realm\"), the opposite party being called antiburghers. Note: These parties arose among the Presbyterians of Scotland, in 1747, and in 1820 reunited under the name of the \"United Associate Synod of the Secession Church.\",
  "oxygen |1. (Chem.)  A colorless, tasteless, odorless, gaseous element occurring in the free state in the atmosphere, of which it forms about 23 per cent by weight and about 21 per cent by volume, being slightly heavier than nitrogen. Symbol O. Atomic weight 15.96. Note: It occurs combined in immense quantities, forming eight ninths by weight of water, and probably one half by weight of the entire solid crust of the globe, being an ingredient of silica, the silicates, sulphates, carbonates, nitrates, etc. Oxygen combines with all elements (except fluorine), forming oxides, bases, oxyacid anhydrides, etc., the process in general being called oxidation, of which combustion is only an intense modification. At ordinary temperatures with most substances it is moderately active, but at higher temperatures it is one of the most violent and powerful chemical agents known. It is indispensable in respiration, and in general is the most universally active and efficient element. It may be prepared in the pure state by heating potassium chlorate. This element (called dephlogisticated air by Priestley) was named oxygen by Lavoisier because he supposed it to be a constituent of all acids. This is not so in the case of a very few acids (as hydrochloric, hydrobromic, hydric sulphide, etc.), but these do contain elements analogous to oxygen in property and action. Moreover, the fact that most elements approach the nearer to acid qualities in proportion as they are combined with more oxygen, shows the great accuracy and breadth of Lavoisier's conception of its nature. 2. Chlorine used in bleaching. [Manufacturing name]
burghermaster |See Burgomaster.
burghership |The state or privileges of a burgher.
burghmaster |1. A burgomaster. 2. (Mining)  An officer who directs and lays out the meres or boundaries for the workmen; -- called also bailiff, and barmaster. [Eng.]
burghmote |A court or meeting of a burgh or borough; a borough court held three times yearly.
burglar |One guilty of the crime of burglary. Burglar alarm, a device for giving alarm if a door or window is opened from without.
burglarer |A burglar. [Obs.]
burglarious |Pertaining to burglary; constituting the crime of burglary. To come down a chimney is held a burglarious entry. Blackstone.
burglariously |With an intent to commit burglary; in the manner of a burglar. Blackstone.
burglary |Breaking and entering the dwelling house of another, in the nighttime, with intent to commit a felony therein, whether the felonious purpose be accomplished or not. Wharton. Burrill. Note: By statute law in some of the United States, burglary includes the breaking with felonious intent into a house by day as well as by night, and into other buildings than dwelling houses. Various degrees of the crime are established.
burgomaster |1. A chief magistrate of a municipal town in Holland, Flanders, and Germany, corresponding to mayor in England and the United States; a burghmaster. 2. (Zoöl.)  An aquatic bird, the glaucous gull (Larus glaucus), common in arctic regions.
burgonet |A kind of helmet. [Written also burganet.] Shak.
burgoo |A kind of oatmeal pudding, or thick gruel, used by seamen. [Written also burgout.]
burgrass |Grass of the genus Cenchrus, growing in sand, and having burs for fruit.
burgrave |See Burggrave.
burgundy |1. An old province of France (in the eastern central part). 2. A richly flavored wine, mostly red, made in Burgundy, France. Burgundy pitch, a resinous substance prepared from the exudation of the Norway spruce (Abies excelsa) by melting in hot water and straining through cloth. The genuine Burgundy pitch, supposed to have been first prepared in Burgundy, is rare, but there are many imitations. It has a yellowish brown color, is translucent and hard, but viscous. It is used in medicinal plasters.
burh |See Burg. [Obs.]
burhel |The wild Himalayan, or blue, sheep (Ovis burrhel).
burial |1. A grave; a tomb; a place of sepulture. [Obs.] The erthe schook, and stoones weren cloven, and biriels weren opened. Wycliff [Matt. xxvii. 51, 52]. 2. The act of burying; depositing a dead body in the earth, in a tomb or vault, or in the water, usually with attendant ceremonies; sepulture; interment. \"To give a public burial.\" Shak. Now to glorious burial slowly borne. Tennyson. Burial case, a form of coffin, usually of iron, made to close air- tight, for the preservation of a dead body. -- Burial ground, a piece of ground selected and set apart for a place of buriials, and consecrated to such use by religious ceremonies. -- Burial place, any place where burials are made. -- Burial service. (a) The religious service performed at the interment of the dead; a funeral service. (b) That portion of a liturgy which is read at an interment; as, the English burial service. Syn. -- Sepulture; interment; inhumation.
burier |One who, or that which, buries. Till the buriers have buried it. Ezek. xxxix. 15. And darkness be the burier of the dead. Shak.
burin |1. The cutting tool of an engraver on metal, used in line engraving. It is made of tempered steel, one end being ground off obliquely so as to produce a sharp point, and the other end inserted in a handle; a graver; also, the similarly shaped tool used by workers in marble. 2. The manner or style of execution of an engraver; as, a soft burin; a brilliant burin.
burinist |One who works with the burin. For. Quart. Rev.
burion |The red-breasted house sparrow of California (Carpodacus frontalis); -- called also crimson-fronted bullfinch. [Written also burrion.]
burke |1. To murder by suffocation, or so as to produce few marks of violence, for the purpose of obtaining a body to be sold for dissection. 2. To dispose of quietly or indirectly; to suppress; to smother; to shelve; as, to burke a parliamentary question. The court could not burke an inquiry, supported by such a mass of a affidavits. C. Reade.
burkism |The practice of killing persons for the purpose of selling their bodies for dissection.
burl |To dress or finish up (cloth); to pick knots, burs, loose threads, etc., from, as in finishing cloth. Burling iron, a peculiar kind of nippers or tweezers used in burling woolen cloth.\n\n1. A knot or lump in thread or cloth. 2. An overgrown knot, or an excrescence, on a tree; also, veneer made from such excrescences.
burlap |A coarse fabric, made of jute or hemp, used for bagging; also, a finer variety of similar material, used for curtains, etc. [Written also burlaps.]
burler |One who burls or dresses cloth.
burlesque |Tending to excite laughter or contempt by extravagant images, or by a contrast between the subject and the manner of treating it, as when a trifling subject is treated with mock gravity; jocular; ironical. It is a dispute among the critics, whether burlesque poetry runs best in heroic verse, like that of the Dispensary, or in doggerel, like that of Hudibras. Addison.\n\n1. Ludicrous representation; exaggerated parody; grotesque satire. Burlesque is therefore of two kinds; the first represents mean persons in the accouterments of heroes, the other describes great persons acting and speaking like the basest among the people. Addison. 2. An ironical or satirical composition intended to excite laughter, or to ridicule anything. The dull burlesque appeared with impudence, And pleased by novelty in spite of sense. Dryden. 3. A ludicrous imitation; a caricature; a travesty; a gross perversion. Who is it that admires, and from the heart is attached to, national representative assemblies, but must turn with horror and disgust from such a profane burlesque and abominable perversion of that sacred institute Burke. Syn. -- Mockery; farce; travesty; mimicry.\n\nTo ridicule, or to make ludicrous by grotesque representation in action or in language. They burlesqued the prophet Jeremiah's words, and turned the expression he used into ridicule. Stillingfleet.\n\nTo employ burlesque.
burlesquer |One who burlesques.
burletta |A comic operetta; a music farce. Byron.
burliness |Quality of being burly.
burly |1. Having a large, strong, or gross body; stout; lusty; -- now used chiefly of human beings, but formerly of animals, in the sense of stately or beautiful, and of inanimate things that were huge and bulky. \"Burly sacks.\" Drayton. In his latter days, with overliberal diet, [he was] somewhat corpulent and burly. Sir T. More. Burly and big, and studious of his ease. Cowper. 2. Coarse and rough; boisterous. It was the orator's own burly way of nonsense. Cowley.
burman |A member of the Burman family, one of the four great families Burmah; also, sometimes, any inhabitant of Burmah; a Burmese. -- a.  Of or pertaining to the Burmans or to Burmah.
burmese |Of or pertaining to Burmah, or its inhabitants. -- n. sing. & pl.  A native or the natives of Burmah. Also (sing.), the language of the Burmans.
