cloture |See Closure, 5.
clout |1. A cloth; a piece of cloth or leather; a patch; a rag. His garments, nought but many ragged clouts, With thorns together pinned and patched was. Spenser. A clout upon that head where late the diadem stood. Shak. 2. A swadding cloth. 3. A piece; a fragment. [Obs.] Chaucer. 4. The center of the butt at which archers shoot; -- probably once a piece of white cloth or a nail head. A'must shoot nearer or he'll ne'er hit the clout. Shak. 5. An iron plate on an axletree or other wood to keep it from wearing; a washer. 6. A blow with the hand. [Low] Clout nail, a kind of wrought-iron nail heaving a large flat head; -- used for fastening clouts to axletrees, plowshares, etc., also for studding timber, and for various purposes.\n\n1. To cover with cloth, leather, or other material; to bandage; patch, or mend, with a clout. And old shoes and clouted upon their feet. Josh. ix. 5. Paul, yea, and Peter, too, had more skill in . . . clouting an old tent than to teach lawyers. Latimer. 2. To join or patch clumsily. If fond Bavius vent his clouted song. P. Fletcher 3. To quard with an iron plate, as an axletree. 4. To give a blow to; to strike. [Low] The . . . queen of Spain took off one of her chopines and clouted Olivarez about the noddle with it. Howell. 5. To stud with nails, as a timber, or a boot sole. Clouted cream, clotted cream, i. e., cream obtained by warming new milk. A. Philips. Note: \"Clouted brogues\" in Shakespeare and \"clouted shoon\" in Milton have been understood by some to mean shoes armed with nails; by others, patched shoes.
clouterly |Clumsy; awkward. [Obs.] Rough-hewn, cloutery verses. E. Phillips.
clove |imp. of Cleave. Cleft. Spenser. Clove hitch (Naut.) See under Hitch. -- Clove hook (Naut.), an iron two-part hook, with jaws overlapping, used in bending chain sheets to the clews of sails; -- called also clip hook. Knight.\n\nA cleft; a gap; a ravine; -- rarely used except as part of a proper name; as, Kaaterskill Clove; Stone Clove.\n\nA very pungent aromatic spice, the unexpanded flower bud of the clove tree (Eugenia, or Caryophullus, aromatica), a native of the Molucca Isles. Clove camphor. (Chem.) See Eugenin. -- Clove gillyflower, Clove pink (Bot.), any fragrant self-colored carnation.\n\n1. (Bot.)  One of the small bulbs developed in the axils of the scales of a large bulb, as in the case of garlic. Developing, in the axils of its skales, new bulbs, of what gardeners call cloves. Lindley. 2. A weight. A clove of cheese is about eight pounds, of wool, about seven pounds. [Prov. Eng.] Halliwell.
cloven |from Cleave, v. t. To show the cloven foot or hoof, to reveal a devilish character, or betray an evil purpose, notwithstanding disguises, -- Satan being represented dramatically and symbolically as having cloven hoofs.
cloven-footed |Having the foot or hoof divided into two parts, as the ox.
cloven-hoofed |Having the foot or hoof divided into two parts, as the ox.
clover |A plant of differend species of the genus Trifolium; as the common red clover, T. pratense, the white, T. repens, and the hare's foot, T. arvense. Clover weevil (Zoöl.) a small weevil (Apion apricans), that destroys the seeds of clover. -- Clover worm (Zoöl.), the larva of a small moth (Asopia costalis), often very destructive to clover hay. -- In clover, in very pleasant circumstances; fortunate. [Colloq.] - - Sweet clover. See Meliot.
clovered |Covered with growing clover. Flocks thick nibbling through the clovered vale. Thomson.
clowe-gilofre |Spice clove. [Obs.] Chaucer.
clown |1. A man of coarse nature and manners; an awkward fellow; an illbred person; a boor. Sir P. Sidney. 2. One who works upon the soil; a rustic; a churl. The clown, the child of nature, without guile. Cowper. 3. The fool or buffoon in a play, circus, etc. The clown shall make those laugh whose lungs are tickle o'the sere. Shak.\n\nTo act as a clown; -- with it [Obs.] Beclowns it properly indeed. B. Jonson.
clownage |Behavior or manners of a clown; clownery. [Obs.] B. Jonson.
clownery |Clownishness. L'Estrange.
clownish |Of or resembling a clown, or characteristic of a clown; ungainly; awkward. \"Clownish hands.\" Spenser. \"Clownish mimic.\" Prior. -- Clown\"ish*ly, adv. Syn. -- Coarse; rough; clumsy; awkward; ungainly; rude; uncivil; ill- bred; boorish; rustic; untutored.
clownishness |The manners of a clown; coarseness or rudeness of behavior. That plainness which the alamode people call clownishness. Locke.
cloy |1. To fill or choke up; to stop up; to clog. [Obs.] The duke's purpose was to have cloyed the harbor by sinking ships, laden with stones. Speed. 2. To glut, or satisfy, as the appetite; to satiate; to fill to loathing; to surfeit. [Who can] cloy the hungry edge of appetite By bare imagination of a feast Shak. He sometimes cloys his readers instead of satisfying. Dryden. 3. To penetrate or pierce; to wound. Which, with his cruel tusk, him deadly cloyed. Spenser. He never shod horse but he cloyed him. Bacon. 4. To spike, as a cannon. [Obs.] Johnson. 5. To stroke with a claw. [Obs.] Shak.
cloyless |That does not cloy. Shak.
cloyment |Satiety. [Obs.] Shak.
club |1. A heavy staff of wood, usually tapering, and wielded the hand; a weapon; a cudgel. But make you ready your stiff bats and clubs; Rome and her rats are at the point of battle. Shak. 2. Etym: [Cf. the Spanish name bastos, and Sp. baston staff, club.]  Any card of the suit of cards having a figure like the trefoil or clover leaf. (pl.) The suit of cards having such figure. 3. An association of persons for the promotion of some common object, as literature, science, politics, good fellowship, etc.; esp. an association supported by equal assessments or contributions of the members. They talked At wine, in clubs, of art, of politics. Tennyson. He [Goldsmith] was one of the nine original members of that celebrated fraternity which has sometimes been called the Literary Club, but which has always disclaimed that epithet, and still glories in the simple name of the Club. Macaulay. 4. A joint charge of expense, or any person's share of it; a contribution to a common fund. They laid down the club. L'Estrange. We dined at a French house, but paid ten shillings for our part of the club. Pepys. Club law, government by violence; lynch law; anarchy. Addison. -Club moss (Bot.), an evergreen mosslike plant, much used in winter decoration. The best know species is Lycopodium clavatum, but other Lycopodia are often called by this name. The spores form a highly inflammable powder. -- Club root (Bot.), a disease of cabbages, by which the roots become distorted and the heads spoiled. -- Club topsail (Naut.), a kind of gaff topsail, used mostly by yachts having a fore-and-aft rig. It has a short \"club\" or \"jack yard\" to increase its spread.\n\n1. To beat with a club. 2. (Mil.)  To throw, or allow to fall, into confusion. To club a battalion implies a temporary inability in the commanding officer to restore any given body of men to their natural front in line or column. Farrow. 3. To unite, or contribute, for the accomplishment of a common end; as, to club exertions. 4. To raise, or defray, by a proportional assesment; as, to club the expense. To club a musket (Mil.), to turn the breach uppermost, so as to use it as a club.\n\n1. To form a club; to combine for the promotion of some common object; to unite. Till grosser atoms, tumbling in the stream Of fancy, madly met, and clubbed into a dream. Dryden. 2. To pay on equal or proportionate share of a common charge or expense; to pay for something by contribution. The owl, the raven, and the bat, Clubbed for a feather to his hat. Swift. 3. (Naut.)  To drift in a current with an anchor out.
club-rush |A rushlike plant, the reed mace or cat-tail, or some species of the genus Scirpus. See Bulrush.
club-shaped |Enlarged gradually at the end, as the antennæ of certain insects.
clubbable |Suitable for membership in a club; sociable. [Humorous.] G. W. Curtis.
clubbed |Shaped like a club; grasped like, or used as, a club. Skelton.
clubber |1. One who clubs. 2. A member of a club. [R.] Massinger.
clubbish |1. Rude; clownish. [Obs.] 2. Disposed to club together; as, a clubbish set.
clubbist |A member of a club; a frequenter of clubs. [R.] Burke.
clubfist |1. A large, heavy fist. 2. A coarse, brutal fellow. [Obs.] Mir. for Mag.
clubfisted |Having a large fist. Howell.
clubfoot |A short, variously distorted foot; also, the deformity, usually congenital, which such a foot exhibits; talipes.
clubfooted |Having a clubfoot.
clubhand |A short, distorted hand; also, the deformity of having such a hand.
clubhaul |To put on the other tack by dropping the lee anchor as soon as the wind is out of the sails (which brings the vessel's head to the wind), and by cutting the cable as soon as she pays off on the other tack. Clubhauling is attempted only in an exigency.
clubhouse |A house occupied by a club.
clubroom |The apartment in which a club meets. Addison.
cluck |To make the noise, or utter the call, of a brooding hen. Ray.\n\nTo call together, or call to follow, as a hen does her chickens. She, poor hen, fond of no second brood, Has clucked three to the wars. Shak.\n\n1. The call of a hen to her chickens. 2. A click. See 3d Click, 2.
clucking |The noise or call of a brooding hen.
clue |1. A ball of thread, yarn, or cord; also, The thread itself. Untwisting his deceitful clew. Spenser. 2. That which guides or directs one in anything of a doubtful or intricate nature; that which gives a hint in the solution of a mystery. The clew, without which it was perilous to enter the vast and intricate maze of countinental politics, was in his hands. Macaulay. 3. (Naut.) (a.)  A lower corner of a square sail, or the after corner of a fore- and-aft sail. (b.)  A loop and thimbles at the corner of a sail. (c.)  A combination of lines or nettles by which a hammock is suspended. Clew garnet (Naut.), one of the ropes by which the clews of the courses of square-rigged vessels are drawn up to the lower yards. -- Clew line (Naut.), a rope by which a clew of one of the smaller square sails, as topsail, topgallant sail, or royal, is run up to its yard. -- Clew-line block (Naut.), The block through which a clew line reeves. See Illust. of Block.\n\nA ball of thread; a thread or other means of guidance. Same as Clew. You have wound a goodly clue. Shak. This clue once found unravels all the rest. Pope. Serve as clues to guide us into further knowledge. Locke.
clum |Silence; hush. [Obs.] Chaucer.
clumber |A kind of field spaniel, with short legs and stout body, which, unlike other spaniels, hunts silently.
clump |1. An unshaped piece or mass of wood or other substance. 2. A cluster; a group; a thicket. A clump of shrubby trees. Hawthorne. 3. The compressed clay of coal strata. Brande & C.\n\nTo arrange in a clump or clumps; to cluster; to group. Blackmore.\n\nTo tread clumsily; to clamp. [Prov. Eng.] Halliwell.
clumper |To form into clumps or masses. [Obs.] Vapors . . . clumpered in balls of clouds. Dr. H. More.
clumps |A game in which questions are asked for the purpose of enabling the questioners to discover a word or thing previously selected by two persons who answer the questions; -- so called because the players take sides in two \"clumps\" or groups, the \"clump\" which guesses the word winning the game.
clumpy |Composed of clumps; massive; shapeless. Leigh Hunt.
clumsily |In a clumsy manner; awkwardly; as, to walk clumsily.
clumsiness |The quality of being clusy. The drudging part of life is chiefly owing to clumsiness and ignorance. Collier.
clumsy |1. Stiff or benumbed, as with cold. [Obs.] 2. Without skill or grace; wanting dexterity, nimbleness, or readiness; stiff; awkward, as if benumbed; unwieldy; unhandy; hence; ill-made, misshapen, or inappropriate; as, a clumsy person; a clumsy workman; clumsy fingers; a clumsy gesture; a clumsy excuse. But thou in clumsy verse, unlicked, unpointed, Hast shamefully defied the Lord's anointed. Dryden. Syn. -- See Awkward.
clunch |. 1. (Mining)  Indurated clay. See Bind, n., 3. 2. One of the hard beds of the lower chalk. Dana.
clung |imp. & p. p. of Cling.\n\nWasted away; shrunken. [Obs.]
cluniac |A monk of the reformed branch of the Benedictine Order, founded in 912 at Cluny (or Clugny) in France. -- Also used as a.
cluniacensian |Cluniac.
clupeoid |Of or pertaining to the Herring family.
cluster |1. A number of things of the same kind growing together; a bunch. Her deeds were like great clusters of ripe grapes, Which load the bunches of the fruitful vine. Spenser. 2. A number of similar things collected together or lying contiguous; a group; as, a cluster of islands. \"Cluster of provinces.\" Motley. 3. A number of individuals grouped together or collected in one place; a crowd; a mob. As bees . . . Pour forth their populous youth about the hive In clusters. Milton. We loved him; but, like beasts And cowardly nobles, gave way unto your clusters, Who did hoot him out o' the city. Shak.\n\nTo grow in clusters or assemble in groups; to gather or unite in a cluster or clusters. His sunny hair Cluster'd about his temples, like a god's. Tennyson. The princes of the country clustering together. Foxe.\n\nTo collect into a cluster or clusters; to gather into a bunch or close body. Not less the bee would range her cells, . . . The foxglove cluster dappled bells. Tennyson. Or from the forest falls the clustered snow. Thomson. Clustered column (Arch.), a column which is composed, or appears to be composed, of several columns collected together.
clusteringly |In clusters.
clustery |Growing in, or full of, clusters; like clusters. Johnson.
clutch |1. A gripe or clinching with, or as with, the fingers or claws; seizure; grasp. \"The clutch of poverty.\" Cowper. An expiring clutch at popularity. Carlyle. But Age, with his stealing steps, Hath clawed me in his clutch. Shak. 2. pl.  The hands, claws, or talons, in the act of grasping firmly; -- often figuratively, for power, rapacity, or cruelty; as, to fall into the clutches of an adversary. I must have . . . little care of myself, if I ever more come near the clutches of such a giant. Bp. Stillingfleet. 3. (Mach.)  A device which is used for coupling shafting, etc., so as to transmit motion, and which may be disengaged at pleasure. 4. Any device for gripping an object, as at the end of a chain or tackle. 5. (Zoöl.)  The nest complement of eggs of a bird. Bayonet clutch (Mach.), a clutch in which connection is made by means of bayonets attached to arms sliding on a feathered shaft. The bayonets slide through holes in a crosshead fastened on the shaft.\n\n1. To seize, clasp, or gripe with the hand, hands, or claws; -- often figuratively; as, to clutch power. A man may set the poles together in his head, and clutch the whole globe at one intellectual grasp. Collier. Is this a dagger which I see before me . . . Come, let me clutch thee. Shak. 2. To close tightly; to clinch. Not that I have the power to clutch my hand. Shak.\n\nTo reach (at something) as if to grasp; to catch or snatch; -- often followed by at. Clutching at the phantoms of the stock market. Bankroft.
clutter |1. A confused collection; hence, confusion; disorder; as, the room is in a clutter. He saw what a clutter there was with huge, overgrown pots, pans, and spits. L'Estrange. 2. Clatter; confused noise. Swift.\n\nTo crowd together in disorder; to fill or cover with things in disorder; to throw into disorder; to disarrange; as, to clutter a room.\n\nTo make a confused noise; to bustle. It [the goose] cluttered here, it chuckled there. Tennyson.\n\nTo clot or coagulate, as blood. [Obs.] Holland.
clydesdale |One of a breed of heavy draft horses originally from Clydesdale, Scotland. They are about sixteen hands high and usually brown or bay.
clydesdale terrier |One of a breed of small silky-haired terriers related to, but smaller than, the Skye terrier, having smaller and perfectly erect ears.
clypeastroid |Like or related to the genus Clupeaster; -- applied to a group of flattened sea urchins, with a rosette of pores on the upper side.
clypeate |1. (Bot.)  Shaped like a round buckler or shield; scutate. 2. (Zoöl.)  Furnished with a shield, or a protective plate or shell.
clypeiform |Shield-shaped; clypeate.
clypeus |The frontal plate of the head of an insect.
clysmian |Connected with, or related to, the deluge, or to a cataclysm; as, clysmian changes. Smart.
clysmic |Washing; cleansing.
clyster |A liquid injected into the lower intestines by means of a syringe; an injection; an enema. Clyster pipe, a tube or pipe used for injections.
clytie knot |In hair dressing, a loose, low coil at the back of the head, like the knot on the head of the bust of Clytie by G. F. Watts.
cnemial |Pertaining to the shin bone. Cnemial crest, a crestlike prominence on the proximal end of the tibia of birds and some reptiles.
cnida |One of the peculiar stinging, cells found in Coelenterata; a nematocyst; a lasso cell.
cnidaria |A comprehensive group equivalent to the true Coelenterata, i.e., exclusive of the sponges. They are so named from presence of stinging cells (cnidae) in the tissues. See Coelenterata.
cnidoblast |One of the cells which, in the Coelenterata, develop into cnidæ.
cnidocil |The fine filiform process of a cnidoblast.
co- |A form of the prefix com-, signifying with, together, in conjunction, joint. It is used before vowels and some consonants. See Com-.
co-ally |A joint ally. Kent.
co-assessor |A joint assessor.
co-legatee |A joint legatee.
co-lessee |A partner in a lease taen.
co-lessor |A partner in giving a lease.
co-mate |A companion. Shak.
co-meddle |To mix; to mingle, to temper. [Obs.] Shak.
co-regent |A joint regent or ruler.
co-relation |Corresponding relation.
co-religionist |One of the same religion with another.
co-respondent |One who is called upon to answer a summons or other proceeding jointly with another.
co-sufferer |One who suffers with another. Wycherley.
co-une |To combine or unite. [Obs.] \"Co-uned together.\" Feltham.
co-unite |To unite. [Obs.]\n\nUnited closely with another. [Obs.]
coacervate |Raised into a pile; collected into a crowd; heaped. [R.] Bacon.\n\nTo heap up; to pile. [R.]
coacervation |A heaping together. [R.] Bacon.
coach |1. A large, closed, four-wheeled carriage, having doors in the sides, and generally a front and back seat inside, each for two persons, and an elevated outside seat in front for the driver. Note: Coaches have a variety of forms, and differ in respect to the number of persons they can carry. Mail coaches and tallyho coaches often have three or more seats inside, each for two or three persons, and seats outside, sometimes for twelve or more. 2. A special tutor who assists in preparing a student for examination; a trainer; esp. one who trains a boat's crew for a race. [Colloq.] Wareham was studying for India with a Wancester coach. G. Eliot. 3. (Naut.)  A cabin on the after part of the quarterdeck, usually occupied by the captain. [Written also couch.] [Obs.] The commanders came on board and the council sat in the coach. Pepys. 4. (Railroad)  A first-class passenger car, as distinguished from a drawing- room car, sleeping car, etc. It is sometimes loosely applied to any passenger car.\n\n1. To convey in a coach. Pope. 2. To prepare for public examination by private instruction; to train by special instruction. [Colloq.] I coached him before he got his scholarship. G. Eliot.\n\nTo drive or to ride in a coach; -- sometimes used with it. [Colloq.] \"Coaching it to all quarters.\" E. Waterhouse.
coachbox |The seat of a coachman.
coachdog |One of a breed of dogs trained to accompany carriages; the Dalmatian dog.
coachee |A coachman [Slang]
coacher |1. A coachman. [Obs.] 2.  A coach horse. 3.  One who coaches; specif. (Baseball),  one of the side at the bat posted near first or third base to direct a base runner.
coachfellow |One of a pair of horses employed to draw a coach; hence (Fig.), a comrade. Shak.
coachman |1. A man whose business is to drive a coach or carriage. 2. (Zoöl.)  A tropical fish of the Atlantic ocean (Dutes auriga); -- called also charioteer. The name refers to a long, lashlike spine of the dorsal fin.
coachmanship |Skill in driving a coach.
coachwhip snake |A large, slender, harmless snake of the southern United States (Masticophis flagelliformis). Note: Its long and tapering tail has the scales so arranged and colored as to give it a braided appearance, whence the name.
coact |To force; to compel; to drive. [Obs.] The faith and service of Christ ought to be voluntary and not coacted. Foxe.\n\nTo act together; to work in concert; to unite. [Obs.] But if I tell you how these two did coact. Shak.
coaction |Force; compulsion, either in restraining or impelling. Sojth.
coactive |1. Serving to compel or constrain; compulsory; restrictive. Any coactive power or the civil kind. Bp. Warburton. 2. Acting in concurrence; united in action. With what's unreal thou coactive art. Shak.
coactively |In a coactive manner.
coactivity |Unity of action.
coadaptation |Mutual adaption. R. Owen.
coadapted |Adapted one to another; as, coadapted pulp and tooth. R. Owen.
coadjument |Mutual help; coöperation. [R.] Johnson.
coadjust |To adjust by mutual adaptations. R. Owen.
coadjustment |Mutual adjustment.
coadjutant |Mutually assisting or operating; helping. J. Philips.\n\nAn assistant. R. North.
coadjuting |Mutually assisting. [Obs.] Drayton.
coadjutive |Rendering mutual aid; coadjutant. Feltham.
coadjutor |1. One who aids another; an assistant; a coworker. Craftily outwitting her perjured coadjutor. Sheridan. 2. (R. C. Ch.)  The assistant of a bishop or of a priest holding a benefice.
coadjutorship |The state or office of a coadjutor; joint assistance. Pope.
coadjutress |A female coadjutor or assistant. Holland. Smollett.
coadjutrix |A female coadjutor or assistant. Holland. Smollett.
coadjuvancy |Joint help; coöperation. Sir T. Browne.
coadjuvant |Coöperating.\n\nAn adjuvant.
coadunate |United at the base, as contiguous lobes of a leaf.
coadunation |Union, as in one body or mass; unity. Jer. Taylor. The coadunation of all the civilized provinces. Coleridge.
coadunition |Coadunation. [R.] Sir M. Hale.
coadventure |An adventure in which two or more persons are partakers.\n\nTo share in a venture. Howell.
coadventurer |A fellow adventurer.
coafforest |To convert into, or add to, a forest. Howell.
coag |See Coak, a kind of tenon.
coagency |Agency in common; joint agency or agent. Coleridge.
coagent |An associate in an act; a coworker. Drayton.
coagment |To join together. [Obs.] Glanvill.
coagmentation |The act of joining, or the state of being joined, together; union. [Obs.] B. Jonson.
coagulability |The quality of being coagulable; capacity of being coagulated. Ure.
coagulable |Capable of being coagulated. Boyle.
coagulant |That which produces coagulation.
coagulate |Coagulated. [Obs.] Shak.\n\nTo cause (a liquid) to change into a curdlike or semisolid state, not by evaporation but by some kind of chemical reaction; to curdle; as, rennet coagulates milk; heat coagulates the white of an egg.\n\nTo undergo coagulation. Boyle. Syn. -- To thicken; concrete; curdle; clot; congeal.
coagulated |Changed into, or contained in, a coagulum or a curdlike mass; curdled. Coagulated proteid (Physiol. Chem.), one of a class of bodies formed in the coagulation of a albuminous substance by heat, acids, or other agents.
coagulation |1. The change from a liquid to a thickened, curdlike, insoluble state, not by evaporation, but by some kind of chemical reaction; as, the spontaneous coagulation of freshly drawn blood; the coagulation of milk by rennet, or acid, and the coagulation of egg albumin by heat. Coagulation is generally the change of an albuminous body into an insoluble modification. 2. The substance or body formed by coagulation.
coagulative |Having the power to cause coagulation; as, a coagulative agent. Boyle.
coagulator |That which causes coagulation. Hixley.
coagulatory |Serving to coagulate; produced by coagulation; as, coagulatory effects. Boyle.
coagulum |The thick, curdy precipitate formed by the coagulation of albuminous matter; any mass of coagulated matter, as a clot of bloot.
coaita |The native name of certain South American monkeys of the genus Ateles, esp. A. paniscus. The black-faced coaita is Ateles ater. See Illustration in Appendix.
coak |See Coke, n.\n\n1. (Carp.)  A kind of tenon connecting the face of a scarfed timber with the face of another timber, or a dowel or pin of hard wood or iron uniting timbers. [Also spelt coag.] 2. A metallic bushing or strengthening piece in the center of a wooden block sheve.\n\nTo unite, as timbers, by means of tenons or dowels in the edges or face. Totten.
coal |1. A thoroughly charred, and extinguished or still ignited, fragment from wood or other combustible substance; charcoal. 2. (Min.)  A black, or brownish black, solid, combustible substance, dug from beds or veins in the earth to be used for fuel, and consisting, like charcoal, mainly of carbon, but more compact, and often affording, when heated, a large amount of volatile matter. Note: This word is often used adjectively, or as the first part of self-explaining compounds; as, coal-black; coal formation; coal scuttle; coal ship. etc. Note: In England the plural coals is used, for the broken mineral coal burned in grates, etc.; as, to put coals on the fire. In the United States the singular in a collective sense is the customary usage; as, a hod of coal. Age of coal plants. See Age of Acrogens, under Acrogen. -- Anthracite or Glance coal. See Anthracite. -- Bituminous coal. See under Bituminous. -- Blind coal. See under Blind. -- Brown coal, or Lignite. See Lignite. -- Caking coal, a bituminous coal, which softens and becomes pasty or semi-viscid when heated. On increasing the heat, the volatile products are driven off, and a coherent, grayish black, cellular mass of coke is left. -- Cannel coal, a very compact bituminous coal, of fine texture and dull luster. See Cannel coal. -- Coal bed (Geol.), a layer or stratum of mineral coal. -- Coal breaker, a structure including machines and machinery adapted for crushing, cleansing, and assorting coal. -- Coal field (Geol.), a region in which deposits of coal occur. Such regions have often a basinlike structure, and are hence called coal basins. See Basin. -- Coal gas, a variety of carbureted hydrogen, procured from bituminous coal, used in lighting streets, houses, etc., and for cooking and heating. -- Coal heaver, a man employed in carrying coal, and esp. in putting it in, and discharging it from, ships. -- Coal measures. (Geol.) (a) Strata of coal with the attendant rocks. (b) A subdivision of the carboniferous formation, between the millstone grit below and the Permian formation above, and including nearly all the workable coal beds of the world. -- Coal oil, a general name for mineral oils; petroleum. -- Coal plant (Geol.), one of the remains or impressions of plants found in the strata of the coal formation. -- Coal tar. See in the Vocabulary. -- To haul over the coals, to call to account; to scold or censure. [Colloq.] -- Wood coal. See Lignite.\n\n1. To burn to charcoal; to char. [R.] Charcoal of roots, coaled into great pieces. Bacon. 2. To mark or delineate with charcoal. Camden. 3. To supply with coal; as, to coal a steamer.\n\nTo take in coal; as, the steaer coaled at Southampton.
coal tar |A thick, black, tarry liquid, obtained by the distillation of bituminous coal in the manufacture of illuminating gas; used for making printer's ink, black varnish, etc. It is a complex mixture from which many substances have been obtained, especially hydrocarbons of the benzene or aromatic series. Note: Among its important ingredients are benzene, aniline, phenol, naphtalene, anthracene, etc., which are respectively typical of many dye stuffs, as the aniline dyes, the phthaleïns, indigo, alizarin, and many flavoring extracts whose artificial production is a matter of great commercial importance.
coal works |A place where coal is dug, including the machinery for raising the coal.
coal-black |As black as coal; jet black; very black. Dryden.
coal-meter |A licensed or official coal measurer in London. See Meter. Simmonds.
coal-whipper |One who raises coal out of the hold of a ship. [Eng.] Dickens.
coalery |See Colliery.
coalesce |1. To grow together; to unite by growth into one body; as, the parts separated by a wound coalesce. 2. To unite in one body or product; to combine into one body or community; as, vapors coalesce. The Jews were incapable of coalescing with other nations. Campbell. Certain combinations of ideas that, once coalescing, could not be shaken loose. De Quincey. Syn. -- See Add.
coalescence |The act or state of growing together, as similar parts; the act of uniting by natural affinity or attraction; the state of being united; union; concretion.
coalescent |Growing together; cohering, as in the organic cohesion of similar parts; uniting.
coalfish |(a) The pollock; -- called also, coalsey, colemie, colmey, coal whiting, etc. See Pollock. (b) The beshow or candlefish of Alaska. (c) The cobia.
coalgoose |The cormorant; -- so called from its black color.
