drunkship |The state of being drunk; drunkenness. [Obs.] Gower.
duet |A composition for two performers, whether vocal or instrumental.
duettino |A duet of short extent and concise form.
duetto |See Duet.
duff |1. Dough or paste. [Prov. Eng.] Halliwell. 2. A stiff flour pudding, boiled in a bag; -- a term used especially by seamen; as, plum duff.
duffel |A kind of coarse woolen cloth, having a thick nap or frieze. [Written also duffle.] Good duffel gray and flannel fine. Wordsworth.
duffel bag |A sack to hold miscellaneous articles, as tools, supplies, or the like.
duffer |1. A peddler or hawker, especially of cheap, flashy articles, as sham jewelry; hence, a sham or cheat. [Slang, Eng.] Halliwell. 2. A stupid, awkward, inefficient person.[Slang]
duffle |See Duffel.
dufrenite |A mineral of a blackish green color, commonly massive or in nodules. It is a hydrous phosphate of iron.
dug |A teat, pap, or nipple; -- formerly that of a human mother, now that of a cow or other beast. With mother's dug between its lips. Shak.\n\nof Dig.
dugong |An aquatic herbivorous mammal (Halicore dugong), of the order Sirenia, allied to the manatee, but with a bilobed tail. It inhabits the Red Sea, Indian Ocean, East Indies, and Australia. [Written also duyong.]
dugout |1. A canoe or boat dug out from a large log. [U.S.] A man stepped from his slender dugout. G. W. Cable. 2. A place dug out. 3. A house made partly in a hillside or slighter elevation. [Western U.S.] Bartlett.
dugway |A way or road dug through a hill, or sunk below the surface of the land. [U.S.]
duke |1. A leader; a chief; a prince. [Obs.] Hannibal, duke of Carthage. Sir T. Elyot. All were dukes once, who were \"duces\" -- captains or leaders of their people. Trench. 2. In England, one of the highest order of nobility after princes and princesses of the royal blood and the four archbishops of England and Ireland. 3. In some European countries, a sovereign prince, without the title of king. Duke's coronet. See Illust. of Coronet. -- To dine with Duke Humphrey, to go without dinner. See under Dine.\n\nTo play the duke. [Poetic] Lord Angelo dukes it well in his absence. Shak.
dukedom |1. The territory of a duke. 2. The title or dignity of a duke. Shak.
dukeling |A little or insignificant duke. Ford.
dukeship |The quality or condition of being a duke; also, the personality of a duke. Massinger.
dukhobors |A Russian religious sect founded about the middle of the 18th century at Kharkov. They believe that Christ was wholly human, but that his soul reappears from time to time in mortals. They accept the Ten Commandments and the \"useful\" portions of the Bible, but deny the need of rulers, priests, or churches, and have no confessions, icons, or marriage ceremonies. They are communistic, opposed to any violence, and unwilling to use the labor of animals. Driven out of Russia proper, many have emigrated to Cyprus and Canada. See Raskolnik, below.
dukhobortsy |A Russian religious sect founded about the middle of the 18th century at Kharkov. They believe that Christ was wholly human, but that his soul reappears from time to time in mortals. They accept the Ten Commandments and the \"useful\" portions of the Bible, but deny the need of rulers, priests, or churches, and have no confessions, icons, or marriage ceremonies. They are communistic, opposed to any violence, and unwilling to use the labor of animals. Driven out of Russia proper, many have emigrated to Cyprus and Canada. See Raskolnik, below.
dulcamara |A plant (Solanum Dulcamara). See Bittersweet, n., 3 (a).
dulcamarin |A glucoside extracted from the bittersweet (Solanum Dulcamara), as a yellow amorphous substance. It probably occasions the compound taste. See Bittersweet, 3(a).
dulce |To make sweet; to soothe. [Obs.]
dulceness |Sweetness. [Obs.] Bacon.
dulcet |1. Sweet to the taste; luscious. [Obs.] She tempers dulcet creams. Milton. 2. Sweet to the ear; melodious; harmonious. Their dainty lays and dulcet melody. Spenser.
dulciana |A sweet-toned stop of an organ.
dulcification |The act of dulcifying or sweetening. Boyle.
dulcified |Sweetened; mollified. Dulcified spirit or spirits, a compound of alcohol with mineral acids; as, dulcified spirits of niter.
dulcifluous |Flowing sweetly. [R.]
dulcify |1. (Pharm.)  To sweeten; to free from acidity, saltness, or acrimony. Wiseman. 2. Fig. : To mollify; to sweeten; to please. As she . . . was further dulcified by her pipe of tobacco. Hawthorne.
dulciloquy |A soft manner of speaking.
dulcimer |(a) An instrument, having stretched metallic wires which are beaten with two light hammers held in the hands of the performer. (b) An ancient musical instrument in use among the Jews. Dan. iii. 5. It is supposed to be the same with the psaltery.
dulcinea |A mistress; a sweetheart. I must ever have some Dulcinea in my head. Sterne.
dulciness |See Dulceness. [Obs.]
dulcino |A small bassoon, formerly much used. Simmonds.\n\nSee Dolcino.
dulcite |A white, sugarlike substance, C6H8.(OH)2, occurring naturally in a manna from Madagascar, and in certain plants, and produced artificially by the reduction of galactose and lactose or milk sugar.
dulcitude |Sweetness. [R.] Cockeram.
dulcorate |To sweeten; to make less acrimonious. [R.] Bacon.
dulcoration |The act of sweetening. [R.] Bacon.
duledge |One of the dowels joining the ends of the fellies which form the circle of the wheel of a gun carriage. Wilhelm.
dulia |An inferior kind of veneration or worship, given to the angels and saints as the servants of God.
dull |1. Slow of understanding; wanting readiness of apprehension; stupid; doltish; blockish. \"Dull at classical learning.\" Thackeray. She is not bred so dull but she can learn. Shak. 2. Slow in action; sluggish; unready; awkward. This people's heart is waxed gross, and their ears are dull of hearing. Matt. xiii. 15. O, help my weak wit and sharpen my dull tongue. Spenser. 3. Insensible; unfeeling. Think me not So dull a devil to forget the loss Of such a matchless wife. Beau. & Fl. 4. Not keen in edge or point; lacking sharpness; blunt. \"Thy scythe is dull.\" Herbert. 5. Not bright or clear to the eye; wanting in liveliness of color or luster; not vivid; obscure; dim; as, a dull fire or lamp; a dull red or yellow; a dull mirror. 6. Heavy; gross; cloggy; insensible; spiritless; lifeless; inert. \"The dull earth.\" Shak. As turning the logs will make a dull fire burn, so changes of study a dull brain. Longfellow. 7. Furnishing little delight, spirit, or variety; uninteresting; tedious; cheerless; gloomy; melancholy; depressing; as, a dull story or sermon; a dull occupation or period; hence, cloudy; overcast; as, a dull day. Along life's dullest, dreariest walk. Keble. Syn. -- Lifeless; inanimate; dead; stupid; doltish; heavy; sluggish; sleepy; drowsy; gross; cheerless; tedious; irksome; dismal; dreary; clouded; tarnished; obtuse. See Lifeless.\n\n1. To deprive of sharpness of edge or point. \"This . . . dulled their swords.\" Bacon. Borrowing dulls the edge of husbandry. Shak. 2. To make dull, stupid, or sluggish; to stupefy, as the senses, the feelings, the perceptions, and the like. Those [drugs] she has Will stupefy and dull the sense a while. Shak. Use and custom have so dulled our eyes. Trench. 3. To render dim or obscure; to sully; to tarnish. \"Dulls the mirror.\" Bacon. 4. To deprive of liveliness or activity; to render heavy; to make inert; to depress; to weary; to sadden. Attention of mind . . . wasted or dulled through continuance. Hooker.\n\nTo become dull or stupid. Rom. of R.
dull-brained |Stupid; doltish. Shak.
dull-browed |Having a gloomy look.
dull-eyed |Having eyes wanting brightness, liveliness, or vivacity. Shak.
dull-sighted |Having poor eyesight.
dull-witted |Stupid.
dullard |A stupid person; a dunce. Shak. -- a.  Stupid. Bp. Hall.
duller |One who, or that which, dulls.
dullhead |A blockhead; a dolt. Ascham.
dullish |Somewhat dull; uninteresting; tiresome. \"A series of dullish verses.\" Prof. Wilson.
dullness |The state of being dull; slowness; stupidity; heaviness; drowsiness; bluntness; obtuseness; dimness; want of luster; want of vividness, or of brightness. [Written also dulness.] And gentle dullness ever loves a joke. Pope.
dullsome |Dull. [R.] Gataker.
dully |In a dull manner; stupidly; slowly; sluggishly; without life or spirit. Supinely calm and dully innocent. G. Lyttelton.
dulocracy |See Doulocracy.
dulse |A seaweed of a reddish brown color, which is sometimes eaten, as in Scotland. The true dulse is Sarcophyllis edulis; the common is Rhodymenia. [Written also dillisk.] The crimson leaf of the dulse is seen To blush like a banner bathed in slaughter. Percival.
dulwilly |The ring plover. [Prov. Eng.]
duly |In a due, fit, or becoming manner; as it (anything) ought to be; properly; regularly.
dumal |Pertaining to, or set with, briers or bushes; brambly. [R.]
dumb |1. Destitute of the power of speech; unable; to utter articulate sounds; as, the dumb brutes. To unloose the very tongues even of dumb creatures. Hooker. 2. Not willing to speak; mute; silent; not speaking; not accompanied by words; as, dumb show. This spirit, dumb to us, will speak to him. Shak. To pierce into the dumb past. J. C. Shairp. 3. Lacking brightness or clearness, as a color. [R.] Her stern was painted of a dumb white or dun color. De Foe. Deaf and dumb. See Deaf-mute. -- Dumb ague, or Dumb chill, a form of intermittent fever which has no well-defined \"chill.\" [U.S.] -- Dumb animal, any animal except man; -- usually restricted to a domestic quadruped; -- so called in contradistinction to man, who is a \"speaking animal.\" -- Dumb cake, a cake made in silence by girls on St. Mark's eve, with certain mystic ceremonies, to discover their future husbands. Halliwell. -- Dumb cane (Bot.), a west Indian plant of the Arum family (Dieffenbachia seguina), which, when chewed, causes the tongue to swell, and destroys temporarily the power of speech. -- Dumb crambo. See under crambo. -- Dumb show. (a) Formerly, a part of a dramatic representation, shown in pantomime. \"Inexplicable dumb shows and noise.\" Shak. (b) Signs and gestures without words; as, to tell a story in dumb show. -- To strike dumb, to confound; to astonish; to render silent by astonishment; or, it may be, to deprive of the power of speech. Syn. -- Silent; speechless; noiseless. See Mute.\n\nTo put to silence. [Obs.] Shak.
dumb-bell |A weight, consisting of two spheres or spheroids, connected by a short bar for a handle; used (often in pairs) for gymnastic exercise.
dumb-waiter |A framework on which dishes, food, etc., are passed from one room or story of a house to another; a lift for dishes, etc.; also, a piece of furniture with movable or revolving shelves.
dumbledor |A bumblebee; also, a cockchafer. [Prov. Eng.]
dumbly |In silence; mutely.
dumbness |The quality or state of being dumb; muteness; silence; inability to speak.
dumdum bullet |A kind of manstopping bullet; -- so named from Dumdum, in India, where bullets are manufactured for the Indian army.
dumetose |Dumose.
dumfound |To strike dumb; to confuse with astonishment. [Written also dumbfound.] Spectator.
dumfounder |To dumfound; to confound. [Written also dumbfounder.]
dummador |A dumbledor.
dummerer |One who feigns dumbness. [Obs.] Burton.
