cheirosophy |The art of reading character as it is delineated in the hand. -- Chei*ros\"o*phist (, n.
cherish |1. To treat with tenderness and affection; to nurture with care; to protect and aid. We were gentle among you, even as a nurse cherisheth her children. 1 Thess. ii. 7. 2. To hold dear; to embrace with interest; to indulge; to encourage; to foster; to promote; as, to cherish religious principle. To cherish virtue and humanity. Burke. Syn. -- To nourish; foster; nurse; nurture; entertain; encourage; comfort; protect; support; See Nurture.
cherisher |One who cherishes. The cherisher of my flesh and blood. Shak.
cherishment |Encouragement; comfort. [Obs.] Rich bounty and dear cherishment. Spenser.
chermes |See Kermes.
cherogril |See Cony.
cherokees |An Appalachian tribe of Indians, formerly inhabiting the region about the head waters of the Tennessee River. They are now mostly settled in the Indian Territory, and have become one of the most civilized of the Indian Tribes.
cheroot |A kind of cigar, originally brought from Mania, in the Philippine Islands; now often made of inferior or adulterated tabacco.
cherry |1. (Bot.)  A tree or shrub of the genus Prunus (Which also includes the plum) bearing a fleshy drupe with a bony stone; (a) The common garden cherry (Prunus Cerasus), of which several hundred varieties are cultivated for the fruit, some of which are, the begarreau, blackheart, black Tartarian, oxheart, morelle or morello, May-duke (corrupted from Médoc in France). (b) The wild cherry; as, prunus serotina (wild black cherry), valued for its timber; P. Virginiana (choke cherry), an American shrub which bears astringent fruit; P. avium and P. Padus, European trees (bird cherry). 2. The fruit of the cherry tree, a drupe of various colors and flavors. 3. The timber of the cherry tree, esp. of the black cherry, used in cabinetmaking, etc. 4. A peculiar shade of red, like that of a cherry. Barbadoes cherry. See under Barbadoes. -- Cherry bird (Zoöl.), an American bird; the cedar bird; -- so called from its fondness for cherries. -- Cherry bounce, cherry brandy and sugar. -- Cherry brandy, brandy in which cherries have been steeped. -- Cherry laurel (Bot.), an evergren shrub (Prunus Lauro-cerasus) common in shrubberies, the poisonous leaves of which have a flavor like that of bitter almonds. -- Cherry pepper (Bot.), a species of Capsicum (C. cerasiforme), with small, scarlet, intensely piquant cherry-shaped fruit. -- Cherry pit. (a) A child's play, in which cherries are thrown into a hole. Shak. (b) A cherry stone. -- Cherry rum, rum in which cherries have been steeped. -- Cherry sucker (Zoöl.), the European spotted flycatcher (Musicapa grisola); -- called also cherry chopper cherry snipe. Cherry tree, a tree that bears cherries. -- Ground cherry, Winter cherry, See Alkekengi.\n\nLike a red cherry in color; ruddy; blooming; as, a cherry lip; cherry cheeks.
chersonese |A peninsula; a tract of land nearly surrounded by water, but united to a larger tract by a neck of land or isthmus; as, the Cimbric Chersonese, or Jutland; the Tauric Chersonese, or Crimea.
chert |An impure, massive, flintlike quartz or hornstone, of a dull color.
cherty |Like chert; containing chert; flinty.
cherub |1. A mysterious composite being, the winged footstool and chariot of the Almighty, described in Ezekiel i. and x. I knew that they were the cherubim. Ezek. x. 20. He rode upon a cherub and did fly. Ps. xviii. 10. 2. A symbolical winged figure of unknown form used in connection with the mercy seat of the Jewish Ark and Temple. Ez. xxv. 18. 3. One of a order of angels, variously represented in art. In European painting the cherubim have been shown as blue, to denote knowledge, as distinguished from the seraphim (see Seraph), and in later art the children's heads with wings are generally called cherubs. 4. A beautiful child; -- so called because artists have represented cherubs as beautiful children.
cherubic |Of or pertaining to cherubs; angelic. \"The cherubic host.\" Milton.
cherubical |Of or pertaining to cherubs; angelic. \"The cherubic host.\" Milton.
cherubim |The Hebrew plural of Cherub.. Cf. Seraphim. Note: Cherubims, in the King James version of the bible, is an incorrect form, made by adding the English plural termination to the Hebrew plural cherubim instead of to the singular cherub.
cherubin |Cherubic; angelic. [Obs.] Shak.\n\nA cherub. [Obs.] Dryden.
cherup |To make a short, shrill, cheerful sound; to chirp. See Chirrup. \"Cheruping birds.\" Drayton.\n\nTo excite or urge on by making a short, shrill, cheerful sound; to cherup to. See Chirrup. He cherups brisk ear-erecting steed. Cowper.\n\nA short, sharp, cheerful noise; a chirp; a chirrup; as, the cherup of a cricket.
chervil |A plant (Anthriscus cerefolium) with pinnately divided aromatic leaves, of which several curled varieties are used in soups and salads.
ches |pret. of Chese. [Obs.] Chaucer.
chese |To choose [Obs.] Chaucer.
chesible |See Chasuble.
cheslip |The wood louse. [Prov. Eng.]
chess |A game played on a chessboard, by two persons, with two differently colored sets of men, sixteen in each set. Each player has a king, a queen, two bishops, two knights, two castles or rooks, and eight pawns.\n\nA species of brome grass (Bromus secalinus) which is a troublesome weed in wheat flelds, and is often erroneously regarded as degenerate or changed wheat; it bears a very slight resemblance to oats, and if reaped and ground up with wheat, so as to be used for food, is said to produce narcotic effects; -- called also cheat and Willard's bromus. [U. S.] Note: Other species of brome grass are called upright chess, soft chess, etc.
chess-apple |The wild service of Europe (Purus torminalis).
chessboard |The board used in the game of chess, having eight rows of alternate light and dark squares, eight in each row. See Checkerboard. Note: The chessboard and the checkerboard are alike.
chessel |The wooden mold in which cheese is pressed. Simmonds.
chesses |The platforms, consisting of two or more planks doweled together, for the flooring of a temporary military bridge. Wilhelm. A singular, chess, is sometimes used. \"Each chess consists of three planks.\" Farrow.
chessil |Gravel or pebbles. Halliwell.
chessman |A piece used in the game of chess.
chessom |Mellow earth; mold. [Obs.] Bacon.
chesstree |A piece of oak bolted perpendicularly on the side of a vessel, to aid in drawing down and securing the clew of the mainsail.
chessy copper |The mineral azurite, found in fine crystallization at Chessy, near Lyons; called also chessylite.
chest |1. A large box of wood, or other material, having, like a trunk, a lid, but no covering of skin, leather, or cloth. Heaps of money crowded in the chest. Dryden. 2. A coffin. [Obs.] He is now dead and mailed in his cheste. Chaucer. 3. The part of the body inclosed by the ribs and breastbone; the thorax. 4. (Com.)  A case in which certain goods, as tea, opium, etc., are transported; hence, the quantity which such a case contains. 5. (Mech.)  A tight receptacle or box, usually for holding gas, steam, liguids, etc.; as, the steam chest of an engine; the wind chest of an organ. Bomb chest, See under Bomb. -- Chest of drawers, a case or movable frame containing drawers.\n\n1. To deposit in a chest; to hoard. 2. To place in a coffin. [Obs.] He dieth and is chested. Gen. 1. 26 (heading).\n\nStrife; contention; controversy. [Obs.] P. Plowman.
chest founder |A rheumatic affection of the muscles of the breast and fore legs of a horse, affecting motion and respiration.
chested |Having (such) a chest; -- in composition; as, broad-chested; narrow-chested.
chesterlite |A variety of feldspar found in crystals in the county of Chester, Pennsylvania.
chesteyn |The chestnut tree. [Obs.] Wilwe, elm, plane, assch, box, chesteyn. Chaucer.
chestnut |1. (Bot.)  The edible nut of a forest tree (Castanea vesce) of Europe and America. Commonly two or more of the nuts grow in a prickly bur. 2. The tree itself, or its light, coarse-grained timber, used for ornamental work, furniture, etc. 3. A bright brown color, like that of the nut. 4. The horse chestnut (often so used in England). 5. One of the round, or oval, horny plates on the inner sides of the legs of the horse, and allied animals. 6. An old joke or story. [Slang] Chestnut tree, a tree that bears chestnuts.\n\nOf or pertaining of a chestnut; of a reddish brown color; as, chestnut curls.
chetah |See Cheetah.
chetvert |A measure of grain equal to 0.7218 of an imperial quarter, or 5.95 Winchester bushels. [Russia]
chevachie |See Chivachie. [Obs.]
chevage |See Chiefage. [Obs.]
cheval |A horse; hence, a support or frame. Cheval glass, a mirror swinging in a frame, and large enough to reflect the full leght figure.
cheval-de-frise |A piece of timber or an iron barrel traversed with iron-pointed spikes or spears, five or six feet long, used to defend a passage, stop a breach, or impede the advance of cavalry, etc. Obstructions of chain, boom, and cheval-de-frise. W. Irving.
chevalier |1. A horseman; a knight; a gallant young man. \"Mount, chevaliers; to arms.\" Shak. 2. A member of certain orders of knighthood. Chevalier d'industrie ( Etym: [F.], one who lives by persevering fraud; a pickpocket; a sharper. -- The Chevalier St. George (Eng. Hist.), James Francis Edward Stuart (son of James II.), called \"The Pretender.\" -- The Young Chevalier, Charles Edward Stuart, son of the Chevalier St. George.
chevaux |See Cheval.
cheve |To come to an issue; to turn out; to succed; as, to cheve well in a enterprise. [Prov. or Obs.] Holland.
chevelure |A hairlike envelope. The nucleus and chevelure of nebulous star. Sir. W. Hershel.
cheven |A river fish; the chub. Sir T. Browne.
cheventein |A variant of Chieftain. [Obs.] Chaucer.
cheveril |Soft leather made of kid skin. Fig.: Used as a symbol of flexibility. [Obs.] Here's wit of cheveril, that stretches from an inch narrow to an ell broad. Shak.\n\nMade of cheveril; pliant. [Obs.] A cheveril conscience and a searching wit. Drayton.
cheverliize |To make as pliable as kid leather. [Obs.] Br. Montagu.
chevet |The extreme end of the chancel or choir; properly the round or polygonal part.
cheviot |1. A valuable breed of mountain sheep in Scotland, which takes its name from the Cheviot hills. 2. A woolen fabric, for men's clothing.
chevisance |1. Achievement; deed; performance. [Obs.] Fortune, the foe of famous chevisance. Spenser. 2. A bargain; profit; gain. [Obs.] Piers Plowman. 3. (O. Eng. Law) (a) A making of contracts. (b) A bargain or contract; an agreement about a matter in dispute, such as a debt; a business compact. (c) An unlawful agreement or contract.
chevrette |A machine for raising guns or mortar into their carriages.
chevron |1. (Her.)  One of the nine honorable ordinaries, consisting of two broad bands of the width of the bar, issuing, respectively from the dexter and sinister bases of the field and conjoined at its center. 2. (Mil.)  A distinguishing mark, above the elow, on the sleeve of a noncommisioned officer's coat. 3. (Arch.)  A zigzag molding, or group of moldings, common in Norman architecture. Chevron bones (Anat.), The V-shaped subvertebral arches which inclose the caudal blood vessels in some animals.
chevroned |Having a chevron; decorated with an ornamental figure of a zigzag from. [A garment] whose nether parts, with their bases, were of watchet cloth of silver, chevroned all over with lace. B. Jonson.
chevronel |A bearing like a chevron, but of only half its width.
chevronwise |In the manner of a chevron; as, the field may be divided chevronwise.
chevrotain |A small ruminant of the family Tragulidæ a allied to the musk deer. It inhabits Africa and the East Indies. See Kanchil.
chevy |See Chivy, v. t. [Slang, Eng.] One poor fellow was chevied about among the casks in the storm for ten minutes. London Times.
chew |1. To bite and grind with the teeth; to masticate. 2. To ruminate mentally; to meditate on. He chews revenge, abjuring his offense. Prior. To chew the cud, to chew the food ocer again, as a cow; to ruminate; hence, to meditate. Every beast the parteth the hoof, and cleaveth the cleft into two claws, and cheweth the cud among the beasts, that ye shall eat. Deut. xxiv. 6.\n\nTo perform the action of biting and grinding with the teeth; to ruminate; to meditate. old politicians chew wisdom past. Pope.\n\nThat which is chewed; that which is held in the mouth at once; a cud. [Law]
chewer |One who chews.
chewet |A kind of meat pie. [Obs.]
chewink |An american bird (Pipilo erythrophthalmus) of the Finch family, so called from its note; -- called also towhee bunting and ground robin.
cheyennes |A warlike tribe of indians, related to the blackfeet, formerly inhabiting the region of Wyoming, but now mostly on reservations in the Indian Territory. They are noted for their horsemanship.
chian |Of or pertaining to Chios, an island in the Ægean Sea. Chian earth, a dense, compact kind of earth, from Chios, used anciently as an astringent and a cosmetic. -- Chian turpentine, a fragrant, almost transparent turpentine, obtained from the Pistacia Terebinthus.
chiaro-oscuro |(a) The arrangement of light and dark parts in a work of art, such as a drawing or painting, whether in monochrome or in color. (b) The art or practice of so arranging the light and dark parts as to produce a harmonious effect. Cf. Clair-obscur.
chiaroscurist |A painter who cares for and studies light and shade rather than color.
chiaroscuro |(a) The arrangement of light and dark parts in a work of art, such as a drawing or painting, whether in monochrome or in color. (b) The art or practice of so arranging the light and dark parts as to produce a harmonious effect. Cf. Clair-obscur.
chiasm |A commissure; especially, the optic commissure, or crucial union of the optic nerves. -- Chi*as\"mal (, a..
chiasma |A commissure; especially, the optic commissure, or crucial union of the optic nerves. -- Chi*as\"mal (, a..
chiasmus |An inversion of the order of words or phrases, when repeated or subsequently referred to in a sentence; thus, If e'er to bless thy sons My voice or hands deny, These hands let useful skill forsake, This voice in silence die. Dwight.
chiastolite |A variety of andalusite; -- called also macle. The tesselated apperance of a cross section is due to the symmetrical arrangement of impurities in the crystal.
chibbal |See Cibol.
chibouk |A Turkish pipe, usually with a mouthpiece of amber, a stem, four or five feet long and not pliant, of some valuable wood, and a bowl of baked clay.
chibouque |A Turkish pipe, usually with a mouthpiece of amber, a stem, four or five feet long and not pliant, of some valuable wood, and a bowl of baked clay.
chic |Good form; style. [Slang]
chica |A red coloring matter. extracted from the Bignonia Chica, used by some tribes of South American Indians to stain the skin. 2. A fermented liquor or beer made in South American from a decoction of maize. 3. A popular Moorish, Spanish, and South American dance, said to be the original of the fandango, etc.
chicalote |A Mexican prickly poppy (Argemone platyceras), which has migrated into California.
chicane |The use of artful subterfuge, designed to draw away attention from the merits of a case or question; -- specifically applied to legal proceedings; trickery; chicanery; caviling; sophistry. Prior. To shuffle from them by chicane. Burke. To cut short this, I propound it fairly to your own canscience. Berkeley.\n\nTo use shifts, cavils, or artifices. Burke.
chicaner |One who uses chicanery. Locke.
chicanery |Mean or unfair artifice to perplex a cause and obscure the truth; stratagem; sharp practice; sophistry. Irritated by perpetual chicanery. Hallam. Syn. -- Trickery; sophistry; stratagem.
chiccory |See Chicory.
chich |The chick-pea.
chicha |See Chica.
chichevache |A fabulous cow of enormous size, whose food was patient wives, and which was therefore in very lean condition.
chichling |A leguminous plant (Lathyrus sativus), with broad flattened seeds which are sometimes used for food.
chichling vetch |A leguminous plant (Lathyrus sativus), with broad flattened seeds which are sometimes used for food.
chick |To sprout, as seed in the ground; to vegetate. Chalmers.\n\n1. A chicken. 2. A child or young person; -- a term of endearment. Shak.
chick-pea |1. (Bot.)  A Small leguminous plant (Cicer arietinum) of Asia, Africa, and the sounth of Europe; the chick; the dwarf pea; the gram. 2. Its nutritious seed, used in cookery, and especially, when roasted (parched pulse), as food for travelers in the Eastern deserts.
chickabiddy |A chicken; a fowl; also, a trivial term of endearment for a child.
chickadee |A small bird, the blackcap titmouse (Parus atricapillus), of North America; -- named from its note.
chickaree |The American red squirrel (Sciurus Hudsonius); -- so called from its cry.
chickasaws |A trible of North American Indians (Southern Appalachian) allied to the Choctaws. They formerly occupied the northern part of Alabama and Mississippi, but now live in the Indian Territory.
chicken |1. A young bird or fowl, esp. a young barnyard fowl. 2. A young person; a child; esp. a young woman; a maiden. \"Stella is no chicken.\" Swift. Chicken cholera, a contagious disease of fowls; - - so called because first studied during the prevalence of a cholera epidemic in France. It has no resemblance to true cholera.
chicken pox |A mild, eruptive disease, generally attacking children only; varicella.
chicken-breasted |Having a narrow, projecting chest, caused by forward curvature of the vertebral column.
chicken-hearted |Timid; fearful; cowardly. Bunyan.
chickling |A small chick or chicken.
chickweed |The name of several caryophyllaseous weeds, especially Stellaria media, the seeds and flower buds of which are a favorite food of small birds.
chicky |A chicken; -- used as a diminutive or pet name, especially in calling fowls.
chicle |A gumlike substance obtained from the bully tree (Mimusops globosa) and sometimes also from the naseberry or sapodilla (Sapota zapotilla). It is more plastic than caoutchouc and more elastic than gutta-percha, as an adulterant of which it is used in England. It is used largely in the United States in making chewing gum.
chicle gum |A gumlike substance obtained from the bully tree (Mimusops globosa) and sometimes also from the naseberry or sapodilla (Sapota zapotilla). It is more plastic than caoutchouc and more elastic than gutta-percha, as an adulterant of which it is used in England. It is used largely in the United States in making chewing gum.
chico |1. Var. of Chica. 2.  The common greasewood of the western United States (Sarcobatus vermiculatus). 3.  In the Philippines, the  sapodilla or its fruit; also, the marmalade tree or its fruit.
chicory |1. (Bot.)  A branching perennial plant (Cichorium Intybus) with bright blue flowers, growing wild in Europe, Asia, and America; also cultivated for its roots and as a salad plant; succory; wild endive. See Endive. 2. The root, which is roasted for mixing with coffe.\n\nSee Chiccory.
chide |1. To rebuke; to reprove; to scold; to find fault with. Upbraided, chid, and rated at. Shak. 2. Fig.: To be noise about; to chafe against. The sea that chides the banks of England. Shak. To chide hither, chide from, or chide away, to cause to come, or to drive away, by scolding or reproof. Syn. -- To blame; rebuke; reprove; scold; censure; reproach; reprehend; reprimand.\n\n1. To utter words of disapprobation and displeasure; to find fault; to contend angrily. Wherefore the people did chide with Moses. Ex. xvii. 2. 2. To make a clamorous noise; to chafe. As doth a rock againts the chiding flood. Shak.\n\nA continuous noise or murmur. The chide of streams. Thomson.
chider |One who chides or quarrels. Shak.
chideress |She who chides. [Obs.]
chidester |A female scold. [Obs.]
chidingly |In a chiding or reproving manner.
chief |1. The head or leader of any body of men; a commander, as of an army; a head man, as of a tribe, clan, or family; a person in authority who directs the work of others; the pricipal actio or agent. 2. The principal part; the most valuable portion. The chief of the things which should be utterly destroyed.1. Sam. xv. 21 3. (Her.)  The upper third part of the field. It is supposed to be composed of the dexter, sinister, and middle chiefs. In chief. (a) At the head; as, a commander in chief. (b) (Eng. Law) From the king, or sovereign; as, tenure in chief, tenure directly from the king. Syn. -- Chieftain; captain; general; commander; leader; head; principal; sachem; sagamore; sheik. -- Chief, chieftain, Commander, Leader. These words fluctuate somewhat in their meaning according to circumstances, but agree in the general idea of rule and authority. The term chief is now more usually applied to one who is a head man, leader, or commander in civil or military affairs, or holds a hereditary or acquired rank in a tribe or clan; as, the chief of police; the chief of an Indian tribe. A chieftain is the chief of a clan or tribe , or a military leader. A commander directs the movements of or has control over a body of men, as a military or naval force. A leader is one whom men follow, as in a political party, a legislative body, a military or scientific expedition, etc., one who takes the command and gives direction in particular enterprises.\n\n1. Highest in office or rank; principal; head. \"Chief rulers.\" John. xii. 42. 2. Principal or most eminent in any quality or action; most distinguished; having most influence; taking the lead; most important; as, the chief topic of conversation; the chief interest of man. 3. Very intimate, near, or close. [Obs.] A whisperer separateth chief friends. Prov. xvi. 28. Syn. -- Principal; head; leading; main; paramount; supreme; prime; vital; especial; great; grand; eminent; master.
chief baron |The presiding judge of the court of exchequer.
chief hare |A small rodent (Lagamys princeps) inhabiting the summits of the Rocky Mountains; -- also called crying hare, calling hare, cony, American pika, and little chief hare. Note: It is not a true hare or rabbit, but belongs to the curious family Lagomyidæ.
chief justice |The presiding justice, or principal judge, of a court. Lord Chief Justice of England, The presiding judge of the Queen's Bench Division of the High Court of Justice. The highest judicial officer of the realm is the Lord High Chancellor. -- Chief Justice of the United States, the presiding judge of the Supreme Court, and Highest judicial officer of the republic.
chief-justiceship |The office of chief justice. Jay selected the chief-justiceship as most in accordance with his tastes. The Century.
chiefage |A tribute by the head; a capitation tax. [Written also chevage and chivage.] [Obs.]
chiefest |First or foremost; chief; principal. [Archaic] \"Our chiefest courtier.\" Shak. The chiefest among ten thousand. Canticles v. 10.
chiefless |Without a chief or leader.
chiefly |1. In the first place; principally; preëminently; above; especially. Search through this garden; leave unsearched no nook; But chiefly where those two fair creatures lodge. Milton. 2. For the most part; mostly. Those parts of the kingdom where the . . . estates of the dissenters chiefly lay. Swift.
chiefrie |A small rent paid to the lord paramount. [Obs.] Swift.
chieftain |A captain, leader, or commander; a chief; the head of a troop, army, or clan. Syn. -- Chief; commander; leader; head. See Chief.
chieftaincy |The rank, dignity, or office of a chieftain.
chieftainship |The rank, dignity, or office of a chieftain.
chierte |Love; tender regard. [Obs.] Chaucer.
chievance |An unlawful bargain; traffic in which money is exported as discount. [Obs.] Bacon.
chieve |See Cheve, v. i. [Obs.]
chiff-chaff |A species of European warbler (Sylvia hippolais); -- called also chip-chap, and pettychaps.
chiffon |1.  Any merely ornamental adjunct of a woman's dress, as a bunch of ribbon, lace, etc. 2.  A kind of soft gauzy material used for ruches, trimmings, etc.
chiffonier |1. One who gathers rags and odds and ends; a ragpicker. 2. A receptacle for rags or shreds. 3. A movable and ornamental closet or piece of furniture with shelves or drawers. G. Eliot.
chiffoniere |1. One who gathers rags and odds and ends; a ragpicker. 2. A receptacle for rags or shreds. 3. A movable and ornamental closet or piece of furniture with shelves or drawers. G. Eliot.
chignon |A knot, boss, or mass of hair, natural or artificial, worn by a woman at the back of the head. A curl that had strayed from her chignon. H. James.
chigoe |A species of flea (Pulex penetrans), common in the West Indies and South America, which often attacks the feet or any exposed part of the human body, and burrowing beneath the skin produces great irritation. When the female is allowed to remain and breed, troublesome sores result, which are sometimes dangerous. See Jigger. [Written also chegre, chegoe, chique, chigger, jigger.] Note: The name is sometimes erroneously given to certain mites or ticks having similar habits.
chigre |A species of flea (Pulex penetrans), common in the West Indies and South America, which often attacks the feet or any exposed part of the human body, and burrowing beneath the skin produces great irritation. When the female is allowed to remain and breed, troublesome sores result, which are sometimes dangerous. See Jigger. [Written also chegre, chegoe, chique, chigger, jigger.] Note: The name is sometimes erroneously given to certain mites or ticks having similar habits.
chih fu |An official administering a prefecture of China; a prefect, supervising the civil business of the hsiens or districts comprised in his fu (which see).
chih hsien |An official having charge of a hsien, or administrative district, in China; a district magistrate, responsible for good order in his hsien (which see), and having jurisdiction in its civil and criminal cases.
chih tai |A Chinese governor general; a tsung tu (which see).
chikara |(a) The Ingoat antelope (Tragops Bennettii) Of India. (b) The Indian four-horned antelope (Tetraceros quadricornis).
chilblain |A blain, sore, or inflammatory swelling, produced by exposure of the feet or hands to cold, and attended by itching, pain, and sometimes ulceration.\n\nTo produce chilblains upon.
child |1. A son or a daughter; a male or female descendant, in the first degree; the immediate progeny of human parents; -- in law, legitimate offspring. Used also of animals and plants. 2. A descendant, however remote; -- used esp. in the plural; as, the children of Israel; the children of Edom. 3. One who, by character of practice, shows signs of relationship to, or of the influence of, another; one closely connected with a place, occupation, character, etc.; as, a child of God; a child of the devil; a child of disobedience; a child of toil; a child of the people. 4. A noble youth. See Childe. [Obs.] Chaucer. 5. A young person of either sex. esp. one between infancy and youth; hence, one who exhibits the characteristics of a very young person, as innocence, obedience, trustfulness, limited understanding, etc. When I was child. I spake as a child, I understood as a child, I thought as a child; but when I became a man, I put away childish things. 1. Cor. xii. 11. 6. A female infant. [Obs.] A boy or a child, I wonder Shak. To be with child, to be pregnant. -- Child's play, light work; a trifling contest.\n\nTo give birth; to produce young. This queen Genissa childing died. Warner. It chanced within two days they childed both. Latimer.
child study |A scientific study of children, undertaken for the purpose of discovering the laws of development of the body and the mind from birth to manhood.
childbearing |The act of producing or bringing forth children; parturition. Milton. Addison.
childbed |The state of a woman bringing forth a child, or being in labor; parturition.
childbirth |The act of bringing forth a child; travail; labor. Jer. Taylor.
childcrowing |The crowing noise made by children affected with spasm of the laryngeal muscles; false croup.
childe |A cognomen formerly prefixed to his name by the oldest son, until he succeeded to his ancestral titles, or was knighted; as, Childe Roland.
