informed |Unformed or ill-formed; deformed; shapeless. [Obs.] Spenser. Informed stars. See under Unformed.
infrequent |Seldom happening or occurring; rare; uncommon; unusual. The act whereof is at this day infrequent or out of use among all sorts of men. Sir T. Elyot.
infrequently |Not frequently; rarely.
infrigidate |To chill; to make cold; to cool. [Obs.] Boyle.
infrigidation |The act of chilling or causing to become cold; a chilling; coldness; congelation. [Obs.] Boyle.
infringe |1. To break; to violate; to transgress; to neglect to fulfill or obey; as, to infringe a law or contract. If the first that did the edict infringe, Had answered for his deed. Shak. The peace . . . was infringed by Appius Claudius. Golding. 2. To hinder; to destroy; as, to infringe efficacy; to infringe delight or power. [Obs.] Hooker.\n\n1. To break, violate, or transgress some contract, rule, or law; to injure; to offend. 2. To encroach; to trespass; -- followed by on or upon; as, to infringe upon the rights of another.
infringement |1. The act of infringing; breach; violation; nonfulfillment; as, the infringement of a treaty, compact, law, or constitution. The punishing of this infringement is proper to that jurisdiction against which the contempt is. Clarendon. 2. An encroachment on a patent, copyright, or other special privilege; a trespass.
infringer |One who infringes or violates; a violator. Strype.
infructuose |Not producing fruit; unfruitful; unprofitable. [R.] T. Adams.
infrugal |Not frugal; wasteful; as, an infrugal expense of time. J. Goodman.
infrugiferous |Not bearing fruit; not fructiferous.
infucate |To stain; to paint; to daub.
infucation |The act of painting or staining, especially of painting the face.
infula |A sort of fillet worn by dignitaries, priests, and others among the ancient Romans. It was generally white.
infumate |To dry by exposing to smoke; to expose to smoke.
infumated |Clouded; having a cloudy appearance.
infumation |Act of drying in smoke.
infumed |Dried in smoke; smoked.
infundibular |Having the form of a funnel; pertaining to an infundibulum. Infundibulate Bryozoa (Zoöl.),a group of marine Bryozoa having a circular arrangement of the tentacles upon the disk.
infundibulate |Having the form of a funnel; pertaining to an infundibulum. Infundibulate Bryozoa (Zoöl.),a group of marine Bryozoa having a circular arrangement of the tentacles upon the disk.
infundibuliform |1. Having the form of a funnel or cone; funnel-shaped. 2. (Bot.)  Same as Funnelform.
infundibulum |1. (Anat.)  A funnel-shaped or dilated organ or part; as, the infundibulum of the brain, a hollow, conical process, connecting the floor of the third ventricle with the pituitary body; the infundibula of the lungs, the enlarged terminations of the bronchial tubes. 2. (Zoöl.) (a) A central cavity in the Ctenophora, into which the gastric sac leads. (b) The siphon of Cephalopoda. See Cephalopoda.
infuneral |To inter with funeral rites; to bury. [Obs.] G. Fletcher.
infurcation |A forked exlpansion or divergence; a bifurcation; a branching. Craig.
infuriate |Enraged; rading; furiously angry; infuriated. Milton. Inflamed beyond the most infuriate wrath. Thomson.\n\nTo render furious; to enrage; to exasperate. Those curls of entangled snakes with which Erinys is said to have infuriated Athemas and Ino. Dr. H. More.
infuriated |Enraged; furious.
infuscate |To darken; to make black; to obscure.
infuscated |Darkened with a blackish tinge.
infuscation |The act of darkening, or state of being dark; darkness; obscurity. Johnson.
infuse |1. To pour in, as a liquid; to pour (into or upon); to shed. That strong Circean liquor cease to infuse. Denham. 2. To instill, as principles or qualities; to introduce. That souls of animals infuse themselves Into the trunks of men. Shak. Why should he desire to have qualities infused into his son which himself never possessd Swift. 3. To inspire; to inspirit or animate; to fill; -- followed by with. Infuse his breast with magnanimity. Shak. Infusing him with self and vain conceit. Shak. 4. To steep in water or other fluid without boiling, for the propose of extracting medicinal qualities; to soak. One scruple of dried leaves is infused in ten ounces of warm water. Coxe. 5. To make an infusion with, as an ingredient; to tincture; to saturate. [R.] Bacon.\n\nInfusion. [Obs.] Spenser.
infuser |One who, or that which, infuses.
infusibility |Capability of being infused, pouredin, or instilled.\n\nIncapability or difficulty of being fused, melted, or dissolved; as, the infusibility of carbon.
infusible |Capable of being infused. Doctrines being infusible into all. Hammond.\n\nNot fusible; incapble or difficalt of fusion, or of being dissolved or melted. Sir T. Browne. The best crucibles are made of Limoges earth, which seems absolutely infusible. Lavoisier (Trans. ).
infusibleness |Infusibility.
infusion |1. The act of infusing, pouring in, or instilling; instillation; as, the infusion of good principles into the mind; the infusion of ardor or zeal. Our language has received innumerable elegancies and improvements from that infusion of Hebraisms. Addison. 2. That which is infused; suggestion; inspiration. His folly and his wisdom are of his oun growth, not the echo or infusion of other men. Swift. 3. The act of plunging or dipping into a fluid; immersion. [Obs.] \"Baptism by infusion.\" Jortin. 4. (Pharmacy) (a) The act or process of steeping or soaking any substance in water in order to extract its virtues. (b) The liquid extract obtained by this process. Sips meek infusion of a milder herb. Cowper.
infusionism |The doctrine that the soul is preexistent to the body, and is infused into it at conception or birth; -- opposed to tradicianism and creationism.
infusive |Having the power of infusion; inspiring; influencing. The infusive force of Spirit on man. Thomson.
infusoria |One of the classes of Protozoa, including a large number of species, all of minute size. Note: They are found in all seas, lakes, ponds, and streams, as well as in infusions of organic matter exposed to the air. They are distinguished by having vibrating lashes or cilia, with which they obtain their food and swim about.They are devided into the orders Flagellata, Ciliata, and Tentaculifera. See these words in the Vocabulary. Formely the term Infusoria was applied to all microscopic organisms found in water, including many minute plants, belonging to the diatoms, as well as minute animals belonging to various classes, as the Rotifera, which are worms; and the Rhizopoda, which constitute a distinct class of Protozoa. Fossil Infusoria are mostly the siliceous shells of diatoms; sometimes they are siliceous skeletons of Radiolaria, or the calcareous shells of Foraminifera.
infusorial |Belonging to the Infusoria; composed of, or containing, Infusoria; as, infusorial earth. Infusorial earth (Geol.), a deposit of fine, usually white, siliceous material, composed mainly of the shells of the microscopic plants called diatoms. It is used in polishing powder, and in the manufacture of dynamite.
infusorian |One of the Infusoria.
infusory |Infusorial.\n\nOne of the Infusoria; -- usually in the pl.
ing |A pasture or meadow; generally one lying low, near a river. [Obs. or Prov. Eng.]
ingannation |Cheat; deception. [Obs.] Sir T. Brown.
ingate |1. Entrance; ingress. [Obs.] Which hath in charge the ingate of the year. Spenser. 2. (Fonding)  The aperture in a mold for pouring in the metal; the gate. Simmonds.
ingathering |The act or business of gathering or collecting anything; especially, the gathering of the fruits of the earth; harvest. Thou shalt keep . . . the feast of ingathering. Ex. xxii. 16.
ingelable |Not congealable.
ingeminate |Redoubled; repeated. Jer. Taylor.\n\nTo redouble or repeat; to reiterate. Clarendon. . . . She yet ingeminates The last of sounds, and what she hears relates. Sandys.
ingemination |Repetition; reduplication; reiteration. De Quincey. That Sacred ingemination, Amen, Amen. Featley. Happiness with an echo or ingemination. Holdsworth.
ingena |The gorilla.
ingender |See Engender.
ingenerabillty |Incapacity of being engendered or produced. Cudworth.
ingenerable |Incapble of being engendered or produced; original. Holland.
ingenerably |In an ingenerable manner.
ingenerate |Generated within; inborn; innate; as, ingenerate powers of body. W. Wotton. Those virtues were rather feigned and affected . . . than true qualities ingenerate in his judgment. Bacon.\n\nTo generate or produce within; to begete; to engener; to occasion; to cause. Mede. Those noble habits are ingenerated in the soul. Sir M. Hale.
ingeneration |Act of ingenerating.
ingeniate |To invent; to contrive. [Obs.] Daniel.
ingenie |See Ingeny.
ingeniosity |Ingenuity; skill; cunning. [Obs.] Cudworth.
ingenious |1. Possessed of genius, or the faculty of invention; skillful or promp to invent; having an aptitude to contrive, or to form new combinations; as, an ingenious author, mechanic. A man . . . very wise and ingenious in feats of war. Hakluyt. Thou, king, send out For torturers ingenious. Shak. The more ingenious men are, the more apt are they to trouble themselves. Sir W. Temple. 2. Proseeding from, pertaining to, or characterized by, genius or ingenuity; of curious design, structure, or mechanism; as, an ingenious model, or machine; an ingenious scheme, contrivance, etc. Thus men go wrong with an ingenious skill. Cowper. 3. Witty; shrewd; adroit; keen; sagacious; as, an ingenious reply. 4. Mental; intellectual. [Obs.] A course of learning and ingenious studies. Shak.
ingeniously |In an ingenious manner; with ingenuity; skillfully; wittily; cleverly. \"Too ingeniously politic.\" Sir W. Temple.
ingeniousness |The quality or state of being ingenious; ingenuity.
ingenit |Innate; inborn; inbred; inherent; native; ingenerate. [Obs.] It is naturalor ingenite, which comes by some defect of the organs and overmuch brain. Burton.
ingenite |Innate; inborn; inbred; inherent; native; ingenerate. [Obs.] It is naturalor ingenite, which comes by some defect of the organs and overmuch brain. Burton.
ingenue |An ingenuous or naïve girl or young woman, or an actress representing such a person.
ingenuity |1. The quality or power of ready invention; quickness or acuteness in forming new combinations; ingeniousness; skill in devising or combining. All the means which human ingenuity has contrived. Blair. 2. Curiousness, or cleverness in design or contrivance; as, the ingenuity of a plan, or of mechanism. He gives . . . To artist ingenuity and skill. Cowper. 3. Openness of heat; ingeniuousness. [Obs.] The stings and remores of natural ingenuity, a principle that men scarcely ever shake off, as long as they carry anything of human nature about them. South. Syn. -- Inventiveness; ingeniousness; skill; cunning; cleverness; genius. -- Ingenuity, Cleverness. Ingenuity is a form of genius, and cleverness of talent. The former implies invention, the letter a peculiar dexterity and readiness of execution. Sir James Mackintosh remarks that the English overdo in the use of the word clever and cleverness, applying them loosely to almost every form of intellectual ability.
ingenuous |1. Of honorable extraction; freeborn; noble; as, ingenuous blood of birth. 2. Noble; generous; magnanimous; honorable; uprigth; high-minded; as, an ingenuous ardor or zeal. If an ingenuous detestation of falsehood be but carefully and early instilled, that is the true and genuin method to obviate dishonesty. Locke. 3. Free from reserve, disguise, equivocation, or dissimulation; open; frank; sa, an ingenuous man; an ingenuous declaration, confession, etc. Sensible in myself . . . what a burden it is for me, who would be ingenuous, to be loaded with courtesies which he hath not the least hope to requite or deserve. Fuller. 4. Ingenious. [Obs.] Shak. Note: (Formerly) printers did not discriminate between . . . ingenuous and ingenious, and these words were used or rather printed interchangeably almost to the begining of the eighteenth century. G. P. Marsh. Syn. -- Open; frank; unreserved; artless; plain; sincere; candid; fair; noble; generous. -- Ingenuous, Open, Frank. One who is open speaks out at once what is uppermost in his mind; one who is frank does it from a natural boldness, or dislike of self-restraint; one who is ingenuous is actuated by a native simplicity and artlessness, which make him willing to confess faults, and make known his sentiments without reserve. See Candid.
ingenuously |In an ingenuous manner; openly; fairly; candidly; artlessly. Being required to explane himself, he ingeniously confessed. Ludlow.
ingenuousness |1. The state or quality of being ingenuous; openness of heart; frankness. 2. Ingenuity. [Obs.] Fuller.
ingeny |Natural gift or talent; ability; wit; ingenuity. [Obs.] [Written also ingenie.] Becon.
ingerminate |To cause to germinate.
ingest |To take into, or as into, the stomach or alimentary canal. Sir T. Browne.
ingesta |That which is introduced into the body by the stomach or alimentary canal; -- opposed to egesta.
ingestion |The act of taking or putting into the stomach; as, the ingestion of milk or other food.
inghalla |The reedbuck of South Africa. [Written also ingali.]
ingirt |To encircle to gird; to engirt. The wreath is ivy that ingirts our beams. Drayton.\n\nSurrounded; encircled. Fenton.
ingle |Flame; blaze; a fire; a fireplace. [Obs. or Scot.] Burns. Ingle nock, the chimney corner. -- Ingle side, Ingle cheek, the fireside.\n\nA paramour; a favourite; a sweetheart; an engle. [Obs.] Toone.\n\nTo cajole or coax; to wheedle. See Engle. [Obs.]
inglobate |In the form of a globe or sphere; -- applied to nebulous matter collected into a sphere by the force of gravitation.
inglobe |To infix, as in a globe; to fix or secure firmly. [Obs.] Milton.
inglorious |1. Not glorious; not bringing honor or glory; not accompanied with fame, honor, or celebrity; obscure; humble; as, an inglorious life of ease. Shak. My next desire is, void of care and strife, To lead a soft, secure, inglorious life. Dryden. Some mute inglorious Milton here may rest. Gray. 2. Shameful; disgraceful; ignominious; as, inglorious flight, defeat, etc. Inglorious shelter in an alien land. J. Philips.
ingloriously |In an inglorious manner; dishonorably; with shame; ignominiously; obscurely.
ingloriousness |The state of being inglorious.
inglut |To glut. [R.] Ascham.
ingluvial |Of or pertaining to the indulges or crop of birds.
ingluvies |The crop, or craw, of birds.
ingluvious |Gluttonous. [Obs.] Blount.
ingorge |See Engorge. Milton.
ingot |1. That in which metal is cast; a mold. [Obs.] And from the fire he took up his matter And in the ingot put it with merry cheer. Chaucer. 2. A bar or wedge of steel, gold, or other malleable metal, cast in a mold; a mass of unwrought cast metal. Wrought ingots from Besoara's mine. Sir W. Jones. Ingot mold, a box or mold in which ingots are cast. -- Ingot iron. See Decarbonized steel, under Decarbonize.
ingot steel |Steel cast in ingots from the Bessemer converter or open-hearth furnace.
ingrace |To ingratiate. [Obs.] G. Fletcher.
ingracious |Ungracious; unkind. [Obs.] Holland.
ingraff |See Ingraft. [Obs.]
ingraft |1. To insert, as a scion of one tree, shrub, or plant in another for propagation; as, to ingraft a peach scion on a plum tree; figuratively, to insert or introduce in such a way as to make a part of something. This fellow would ingraft a foreign name Upon our stock. Dryden. A custom . . . ingrafted into the monarchy of Rome. Burke. 2. To subject to the process of grafting; to furnish with grafts or scions; to graft; as, to ingraft a tree.
ingrafter |A person who ingrafts.
ingraftment |1. The act of ingrafting. 2. The thing ingrafted; a scion.
ingrain |1. Dyed with grain, or kermes. [Obs.] 2. Dyed before manufacture, -- said of the material of a textile fabric; hence, in general, thoroughly inwrought; forming an essential part of the substance. Ingrain carpet, a double or two-ply carpet. -- Triple ingrain carpet, a three-ply carpet.\n\nAn ingrain fabric, as a carpet.\n\n1. To dye with or in grain or kermes. 2. To dye in the grain, or before manufacture. 3. To work into the natural texture or into the mental or moral constitution of; to stain; to saturate; to imbue; to infix deeply. Our fields ingrained with blood. Daniel. Cruelty and jealousy seem to be ingrained in a man who has these vices at all. Helps.
ingrapple |To seize; to clutch; to grapple. [Obs.] Drayton.
ingrate |Ingrateful. [Obs. or Poetic] Bacon.\n\nAn ungrateful person. Milton.
ingrateful |1. Ungrateful; thankless; unappreciative. Milton. He proved extremely false and ingrateful to me. Atterbury. 2. Unpleasing to the sense; distasteful; offensive. He gives . . . no ingrateful food. Milton. -- In\"grate`ful*ly, adv. -- In\"grate`ful*ness, n.
ingrately |Ungratefully. [Obs.]
ingratiate |1. To introduce or commend to the favor of another; to bring into favor; to insinuate; -- used reflexively, and followed by with before the person whose favor is sought. Lysimachus . . . ingratiated himself both with Philip and his pupil. Budgell. 2. To recommend; to render easy or agreeable; -- followed by to. [Obs.] Dr. J. Scott. What difficulty would it [the love of Christ] not ingratiate to us Hammond.\n\nTo gain favor. [R.] Sir W. Temple.
ingratitude |Want of gratitude; insensibility to, forgetfulness of, or ill return for, kindness or favors received; unthankfulness; ungratefulness. Ingratitude, thou marble-hearted fiend. Shak. Ingratitude is abhorred both by God and man. L'Estrange.
ingrave |To engrave. [R.] \"Whose gleaming rind ingrav'n.\" Tennyson.\n\nTo bury. [Obs.] Heywood.
ingravidate |To impregnate. [Obs.] Fuller.
ingravidation |The state of being pregnant or impregnated. [Obs.]
ingreat |To make great; to enlarge; to magnify. [Obs.] Fotherby.
ingredience |1. Entrance; ingress. [Obs.] Sir M. Hale. 2. The quality or state of being an ingredient or component part. Boyle.
ingrediency |1. Entrance; ingress. [Obs.] Sir M. Hale. 2. The quality or state of being an ingredient or component part. Boyle.
ingredient |That which enters into a compound, or is a component part of any combination or mixture; an element; a constituent. By way of analysis we may proceed from compounds to ingredients. Sir I. Newton. Water is the chief ingredient in all the animal fluids and solids. Arbuthnot.\n\nEntering as, or forming, an ingredient or component part. Acts where no sin is ingredient. Jer. Taylor.
ingress |1. The act of entering; entrance; as, the ingress of air into the lungs. 2. Power or liberty of entrance or access; means of entering; as, all ingress was prohibited. 3. (Astron.)  The entrance of the moon into the shadow of the earth in eclipses, the sun's entrance into a sign, etc.\n\nTo go in; to enter. [R.]
ingression |Act of entering; entrance. Sir K. Digby.
ingrieve |To render more grievous; to aggravate. [Obs.] Sir P. Sidney.
ingroove |To groove in; to join in or with a groove. Tennyson.
ingross |See Engross.
ingrowing |Growing or appearing to grow into some other substance. Ingrowing nail, one whose edges are becoming imbedded in the adjacent flesh.
ingrowth |A growth or development inward. J. LeConte.
inguen |The groin.
inguilty |Not guilty. [Obs.] Bp. Hall.
inguinal |Of or pertaining to, or in the region of, the inguen or groin; as, an inguinal canal or ligament; inguinal hernia. Inguinal ring. See Abdominal ring, under Abdominal.
ingulf |To swallow up or overwhelm in, or as in, a gulf; to cast into a gulf. See Engulf. A river large . . . Passed underneath ingulfed. Milton.
ingulfment |The act of ingulfing, or the state of being ingulfed.
ingurgitate |1. To swallow, devour, or drink greedily or in large quantity; to guzzle. Cleveland. 2. To swallow up, as in a gulf. Fotherby.\n\nTo guzzle; to swill. Burton.
ingurgitation |The act of swallowing greedily or immoderately; that which is so swallowed. E. Darwin. He drowned his stomach and senses with a large draught and ingurgitation of wine. Bacon.
ingustable |Tasteless; insipid. Sir T. Browne.
inhabile |1. Not apt or fit; unfit; not convenient; inappropriate; unsuitable; as, inhabile matter. [Obs.] 2. Unskilled; unready; awkward; incompetent; unqualified; -- said of person. [Obs.] See Unable.
inhability |Unsuitableness; unaptness; unfitness; inability. [Obs.] Barrow.
inhabit |To live or dwell in; to occupy, as a place of settled residence; as, wild beasts inhabit the forest; men inhabit cities and houses. The high and lofty One, that inhabiteth eternity. Is. lvii. 15. O, who would inhabit This bleak world alone Moore.\n\nTo have residence in a place; to dwell; to live; to abide. [Archaic or Poetic] Shak. They say wild beasts inhabit here. Waller.
inhabitable |Capable of being inhabited; habitable. Systems of inhabitable planets. Locke.\n\nNot habitable; not suitable to be inhabited. [Obs.] The frozen ridges of the Alps Or other ground inhabitable. Shak.
inhabitance |1. The act of inhabiting, or the state of being inhabited; the condition of an inhabitant; residence; occupancy. Ruins yet resting in the wild moors testify a former inhabitance. Carew. 2. (Law)  The state of having legal right to claim the privileges of a recognized inhabitant; especially, the right to support in case of poverty, acquired by residence in a town; habitancy.
inhabitancy |1. The act of inhabiting, or the state of being inhabited; the condition of an inhabitant; residence; occupancy. Ruins yet resting in the wild moors testify a former inhabitance. Carew. 2. (Law)  The state of having legal right to claim the privileges of a recognized inhabitant; especially, the right to support in case of poverty, acquired by residence in a town; habitancy.
inhabitant |1. One who dwells or resides permanently in a place, as distinguished from a transient lodger or visitor; as, an inhabitant of a house, a town, a city, county, or state. \"Frail inhabitants of earth.\" Cowper. In this place, they report that they saw inhabitants which were very fair and fat people. Abp. Abbot. 2. (Law)  One who has a legal settlement in a town, city, or parish; a permanent resident.
inhabitate |To inhabit. [Obs.]
inhabitation |1. The act of inhabiting, or the state of being inhabited; indwelling. The inhabitation of the Holy Ghost. Bp. Pearson. 2. Abode; place of dwelling; residence. [Obs.] Milton. 3. Population; inhabitants. [Obs.] Sir T. Browne. The beginning of nations and of the world's inhabitation. Sir W. Raleigh.
inhabitativeness |A tendency or propensity to permanent residence in a place or abode; love of home and country.
inhabited |Uninhabited. [Obs.] Brathwait.
inhabiter |An inhabitant. [R.] Derham.
inhabitiveness |See Inhabitativeness. What the phrenologists call inhabitiveness. Lowell.
inhabitress |A female inhabitant. [R.]
inhalant |Inhaling; used for inhaling.\n\nAn apparatus also called an inhaler (which see); that which is to be inhaled.
inhalation |The act of inhaling; also, that which is inhaled.
inhale |To breathe or draw into the lungs; to inspire; as, to inhale air; -- opposed to exhale. Martin was walking forth to inhale the fresh breeze of the evening. Arbuthnot.
inhalent |Used for inhaling; as, the inhalent end of a duct. Dana.
inhaler |1. One who inhales. 2. An apparatus for inhaling any vapor or volatile substance, as ether or chloroform, for medicinal purposes. 3. A contrivance to filter, as air, in order to protect the lungs from inhaling damp or cold air, noxious gases, dust, etc.; also, the respiratory apparatus for divers.
inhance |See Enhance.
inharmonic |Not harmonic; inharmonious; discordant; dissonant.
inharmonical |Not harmonic; inharmonious; discordant; dissonant.
inharmonious |1. Not harmonious; unmusical; discordant; dissonant. Sounds inharmonious in themselves and harsh. Cowper. 2. Conflicting; jarring; not in harmony.
inharmoniously |Without harmony.
inharmoniousness |The quality of being inharmonious; want of harmony; discord. The inharmoniousness of a verse. A. Tucker.
inharmony |Want of harmony.
inhaul |A rope used to draw in the jib boom, or flying jib boom.
inhauler |A rope used to draw in the jib boom, or flying jib boom.
inhearse |To put in, or as in, a hearse or coffin. Shak.
inhere |To be inherent; to stick (in); to be fixed or permanently incorporated with something; to cleave (to); to belong, as attributes or qualities. They do but inhere in the subject that supports them. Digby.
inherence |The state of inhering; permanent existence in something; innateness; inseparable and essential connection. Jer. Taylor.
inherency |The state of inhering; permanent existence in something; innateness; inseparable and essential connection. Jer. Taylor.
inherent |Permanently existing in something; inseparably attached or connected; naturally pertaining to; innate; inalienable; as, polarity is an inherent quality of the magnet; the inherent right of men to life, liberty, and protection. \"A most inherent baseness.\" Shak. The sore disease which seems inherent in civilization. Southey. Syn. -- Innate; inborn; native; natural; inbred; inwrought; inseparable; essential; indispensable.
inherently |By inherence; inseparably. Matter hath inherently and essentially such an internal energy. Bentley.
inherit |1. (Law)  To take by descent from an ancestor; to take by inheritance; to take as heir on the death of an ancestor or other person to whose estate one succeeds; to receive as a right or title descendible by law from an ancestor at his decease; as, the heir inherits the land or real estate of his father; the eldest son of a nobleman inherits his father's title; the eldest son of a king inherits the crown. 2. To receive or take by birth; to have by nature; to derive or acquire from ancestors, as mental or physical qualities; as, he inherits a strong constitution, a tendency to disease, etc. Prince Harry is valiant; for the cold blood he did naturally inherit of his father he hath . . . manured . . . with good store of fertile sherris. Shak. 3. To come into possession of; to possess; to own; to enjoy as a possession. But the meek shall inherit the earth. Ps. xxxvii. 11. To bury so much gold under a tree, And never after to inherit it. Shak. 4. To put in possession of. [R.] Shak.\n\nTo take or hold a possession, property, estate, or rights by inheritance. Thou shalt not inherit our father's house. Judg. xi. 2.
inheritability |The quality of being inheritable or descendible to heirs. Jefferson.
inheritable |1. Capable of being inherited; transmissible or descendible; as, an inheritable estate or title. Blackstone. 2. Capable of being transmitted from parent to child; as, inheritable qualities or infirmities. 3. Etym: [Cf. OF. enheritable, inheritable.]  Capable of taking by inheritance, or of receiving by descent; capable of succeeding to, as an heir. By attainder . . . the blood of the person attainted is so corrupted as to be rendered no longer inheritable. Blackstone. The eldest daughter of the king is also alone inheritable to the crown on failure of issue male. Blackstone. Inheritable blood, blood or relationship by which a person becomes qualified to be an heir, or to transmit possessions by inheritance.
inheritably |By inheritance. Sherwood.
inheritance |1. The act or state of inheriting; as, the inheritance of an estate; the inheritance of mental or physical qualities. 2. That which is or may be inherited; that which is derived by an heir from an ancestor or other person; a heritage; a possession which passes by descent. When the man dies, let the inheritance Descend unto the daughter. Shak. 3. A permanent or valuable possession or blessing, esp. one received by gift or without purchase; a benefaction. To an inheritance incorruptible, and undefiled, and that fadeth not away. 1 Pet. i. 4. 4. Possession; ownership; acquisition. \"The inheritance of their loves.\" Shak. To you th' inheritance belongs by right Of brother's praise; to you eke Spenser. 5. (Biol.)  Transmission and reception by animal or plant generation. 6. (Law)  A perpetual or continuing right which a man and his heirs have to an estate; an estate which a man has by descent as heir to another, or which he may transmit to another as his heir; an estate derived from an ancestor to an heir in course of law. Blackstone. Note: The word inheritance (used simply) is mostly confined to the title to land and tenements by a descent. Mozley & W. Men are not proprietors of what they have, merely for themselves; their children have a title to part of it which comes to be wholly theirs when death has put an end to their parents' use of it; and this we call inheritance. Locke.
inheritor |One who inherits; an heir. Born inheritors of the dignity. Milton.
inheritress |A heiress. Milman.
inheritrix |Same as Inheritress. Shak.
inherse |See Inhearse.
inhesion |The state of existing, of being inherent, in something; inherence. A. Baxter. Constant inhesion and habitual abode. South.
inhiation |A gaping after; eager desire; craving. [R.] Bp. Hall.
inhibit |1. To check; to hold back; to restrain; to hinder. Their motions also are excited or inhibited . . . by the objects without them. Bentley. 2. To forbid; to prohibit; to interdict. All men were inhibited, by proclamation, at the dissolution, so much as to mention a Parliament. Clarendon. Burial may not be inhibited or denied to any one. Ayliffe.
inhibition |1. The act of inhibiting, or the state of being inhibited; restraint; prohibition; embargo. 2. (Physiol.)  A stopping or checking of an already present action; a restraining of the function of an organ, or an agent, as a digestive fluid or ferment, etc.; as, the inhibition of the respiratory center by the pneumogastric nerve; the inhibition of reflexes, etc. 3. (Law)  A writ from a higher court forbidding an inferior judge from further proceedings in a cause before; esp., a writ issuing from a higher ecclesiastical court to an inferior one, on appeal. Cowell.
inhibitor |That which causes inhibitory action; esp., an inhibitory nerve.
