entend |To attend to; to apply one's self to. [Obs.] Chaucer.
entering edge |= Advancing edge.
enteritis |An inflammation of the intestines. Hoblyn.
enterlace |See Interlace.
entermete |To interfere; to intermeddle. [Obs.] Chaucer.
entermewer |A hawk gradually changing the color of its feathers, commonly in the second year.
entermise |Mediation. [Obs.]
enterocele |A hernial tumor whose contents are intestine.
enterocoele |A perivisceral cavity which arises as an outgrowth or outgrowths from the digestive tract; distinguished from a schizocoele, which arises by a splitting of the mesoblast of the embryo.
enterography |A treatise upon, or description of, the intestines; enterology.
enterolith |An intestinal concretion.
enterology |The science which treats of the viscera of the body.
enteron |The whole alimentary, or enteric, canal.
enteropathy |Disease of the intestines.
enteropneusta |A group of wormlike invertebrates having, along the sides of the body, branchial openings for the branchial sacs, which are formed by diverticula of the alimentary canal. Balanoglossus is the only known genus. See Illustration in Appendix.
enterorrhaphy |The operation of sewing up a rent in the intestinal canal.
enterotome |A kind of scissors used for opening the intestinal canal, as in post-mortem examinations.
enterotomy |Incision of the intestines, especially in reducing certain cases of hernia.
enterparlance |Mutual talk or conversation; conference. [Obs.] Sir J. Hayward.
enterplead |Same as Interplead.
enterprise |1. That which is undertaken; something attempted to be performed; a work projected which involves activity, courage, energy, and the like; a bold, arduous, or hazardous attempt; an undertaking; as, a manly enterprise; a warlike enterprise. Shak. Their hands can not perform their enterprise. Job v. 12. 2. Willingness or eagerness to engage in labor which requires boldness, promptness, energy, and like qualities; as, a man of great enterprise.\n\n1. To undertake; to begin and attempt to perform; to venture upon. [R.] The business must be enterprised this night. Dryden. What would I not renounce or enterprise for you! T. Otway. 2. To treat with hospitality; to entertain. [Obs.] Him at the threshold met, and well did enterprise. Spenser.\n\nTo undertake an enterprise, or something hazardous or difficult. [R.] Pope.
enterpriser |One who undertakes enterprises. Sir J. Hayward.
enterprising |Having a disposition for enterprise; characterized by enterprise; resolute, active or prompt to attempt; as, an enterprising man or firm. -- En\"ter*pri`sing*ly, adv.
entertain |1. To be at the charges of; to take or keep in one's service; to maintain; to support; to harbor; to keep. You, sir, I entertain for one of my hundred. Shak. 2. To give hospitable reception and maintenance to; to receive at one's board, or into one's house; to receive as a guest. Be not forgetful to entertain strangers; for thereby some have entertained unawares. Heb. xiii. 2. 3. To engage the attention of agreeably; to amuse with that which makes the time pass pleasantly; to divert; as, to entertain friends with conversation, etc. The weary time she can not entertain. Shak. 4. To give reception to; to receive, in general; to receive and take into consideration; to admit, treat, or make use of; as, to entertain a proposal. I am not here going to entertain so large a theme as the philosophy of Locke. De Quincey. A rumor gained ground, -- and, however absurd, was entertained by some very sensible people. Hawthorne. 5. To meet or encounter, as an enemy. [Obs.] Shak. 6. To keep, hold, or maintain in the mind with favor; to keep in the mind; to harbor; to cherish; as, to entertain sentiments. 7. To lead on; to bring along; to introduce. [Obs.] To baptize all nations, and entertain them into the services institutions of the holy Jesus. Jer. Taylor. Syn. -- To amuse; divert; maintain. See Amuse.\n\nTo receive, or provide entertainment for, guests; as, he entertains generously.\n\nEntertainment. [Obs.] Spenser.
entertainer |One who entertains.
entertaining |Affording entertainment; pleasing; amusing; diverting. -- En`ter*tain\"ing*ly, adv. -- En`ter*tain\"ing*ness, n.
entertainment |1. The act of receiving as host, or of amusing, admitting, or cherishing; hospitable reception; also, reception or treatment, in general. The entertainment of Christ by faith. Baxter. The sincere entertainment and practice of the precepts of the gospel. Bp. Sprat. 2. That which entertains, or with which one is entertained; as: (a) Hospitality; hospitable provision for the wants of a guest; especially, provision for the table; a hospitable repast; a feast; a formal or elegant meal. (b) That which engages the attention agreeably, amuses or diverts, whether in private, as by conversation, etc., or in public, by performances of some kind; amusement. Theatrical entertainments conducted with greater elegance and refinement. Prescott. 3. Admission into service; service. Some band of strangers in the adversary's entertainment. Shak. 4. Payment of soldiers or servants; wages. [Obs.] The entertainment of the general upon his first arrival was but six shillings and eight pence. Sir J. Davies. Syn. -- Amusement; diversion; recreation; pastime; sport; feast; banquet; repast; carousal.
entertake |To entertain. [Obs.]
entertissued |Same as Intertissued.
entheal |Divinely inspired; wrought up to enthusiasm. [Obs.]
enthean |Divinely inspired; wrought up to enthusiasm. [Obs.]
entheasm |Inspiration; enthusiasm. [R.] \"Religious entheasm.\" Byron.
entheastic |Of godlike energy; inspired. -- En`the*as\"tic*al*ly, adv.
entheat |Divinely inspired. [Obs.] Drummond.
enthelmintha |Intestinal worms. See Helminthes.
enthelminthes |Intestinal worms. See Helminthes.
enthetic |Caused by a morbifie virus implanted in the system; as, an enthetic disease like syphilis.
enthrall |To hold in thrall; to enslave. See Inthrall. The bars survive the captive they enthrall. Byron.
enthrallment |The act of enthralling, or state of being enthralled. See Inthrallment.
enthrill |To pierce; to thrill. [Obs.] Sackville.
enthrone |1. To seat on a throne; to exalt to the seat of royalty or of high authority; hence, to invest with sovereign authority or dignity. Beneath a sculptured arch he sits enthroned. Pope. It [mercy] is enthroned in the hearts of kings. Shak. 2. (Eccl.)  To induct, as a bishop, into the powers and privileges of a vacant see.
enthronement |The act of enthroning, or state of being enthroned. [Recent]
enthronization |The act of enthroning; hence, the admission of a bishop to his stall or throne in his cathedral.
enthronize |To place on a throne; hence, to induct into office, as a bishop. There openly enthronized as the very elected king. Knolles.
enthuse |To make or become enthusiastic. [Slang]
enthusiasm |1. Inspiration as if by a divine or superhuman power; ecstasy; hence, a conceit of divine possession and revelation, or of being directly subject to some divine impulse. Enthusiasm is founded neither on reason nor divine revelation, but rises from the conceits of a warmed or overweening imagination. Locke. 2. A state of impassioned emotion; transport; elevation of fancy; exaltation of soul; as, the poetry of enthusiasm. Resolutions adopted in enthusiasm are often repented of when excitement has been succeeded by the wearing duties of hard everyday routine. Froude. Exhibiting the seeming contradiction of susceptibility to enthusiasm and calculating shrewdness. Bancroft. 3. Enkindled and kindling fervor of soul; strong excitement of feeling on behalf of a cause or a subject; ardent and imaginative zeal or interest; as, he engaged in his profession with enthusiasm. Nothing great was ever achieved without enthusiasm. Emerson. 4. Lively manifestation of joy or zeal. Philip was greeted with a tumultuous enthusiasm. Prescott.
enthusiast |One moved or actuated by enthusiasm; as: (a) One who imagines himself divinely inspired, or possessed of some special revelation; a religious madman; a fanatic. (b) One whose mind is wholly possessed and heated by what engages it; one who is influenced by a peculiar; fervor of mind; an ardent and imaginative person. Enthusiasts soon understand each other. W. Irving. Syn. -- Visionary; fanatic; devotee; zealot.
enthusiastic |Filled with enthusiasm; characterized by enthusiasm; zealous; as, an enthusiastic lover of art. \"Enthusiastical raptures.\" Calamy. -- En*thu`si*as\"tic*al*ly, adv. A young man . . . of a visionary and enthusiastic character. W. Irving.\n\nAn enthusiast; a zealot. [Obs.]
enthusiastical |Filled with enthusiasm; characterized by enthusiasm; zealous; as, an enthusiastic lover of art. \"Enthusiastical raptures.\" Calamy. -- En*thu`si*as\"tic*al*ly, adv. A young man . . . of a visionary and enthusiastic character. W. Irving.
enthymematic |Pertaining to, or of the form of, an enthymeme.
enthymematical |Pertaining to, or of the form of, an enthymeme.
enthymeme |An argument consisting of only two propositions, an antecedent and consequent deduced from it; a syllogism with one premise omitted; as, We are dependent; therefore we should be humble. Here the major proposition is suppressed. The complete syllogism would be, Dependent creatures should be humble; we are dependent creatures; therefore we should be humble.
entice |To draw on, by exciting hope or desire; to allure; to attract; as, the bait enticed the fishes. Often in a bad sense: To lead astray; to induce to evil; to tempt; as, the sirens enticed them to listen. Roses blushing as they blow, And enticing men to pull. Beau. & Fl. My son, if sinners entice thee, consent thou not. Prov. i. 10. Go, and thine erring brother gain, Entice him home to be forgiven. Keble. Syn. -- To allure; lure; coax; decoy; seduce; tempt; inveigle; incite; persuade; prevail on. See Allure.
enticeable |Capable of being enticed.
enticement |1. The act or practice of alluring or tempting; as, the enticements of evil companions. 2. That which entices, or incites to evil; means of allurement; alluring object; as, an enticement to sin. Syn. -- Allurement; attraction; temptation; seduction; inveiglement; persuasion; inducement.
enticer |One who entices; one who incites or allures to evil. Burton.
enticing |That entices; alluring.
enticingly |In an enticing manner; charmingly. \"She . . . sings most enticingly.\" Addison.
entierty |See Entirety. [Obs.]
entire |1. Complete in all parts; undivided; undiminished; whole; full and perfect; not deficient; as, the entire control of a business; entire confidence, ignorance. That ye may be perfect and entire, wanting nothing. James i. 4. With strength entire and free will armed. Milton. One entire and perfect chrysolite. Shak. 2. Without mixture or alloy of anything; unqualified; morally whole; pure; faithful. Pure fear and entire cowardice. Shak. No man had ever a heart more entire to the king. Clarendon. 3. (Bot.) (a) Consisting of a single piece, as a corolla. (b) Having an evenly continuous edge, as a leaf which has no kind of teeth. 4. Not gelded; -- said of a horse. 5. Internal; interior. [Obs.] Spenser. Syn. -- See Whole, and Radical.\n\n1. Entirely. \"Too long to print in entire.\" Thackeray. 2. (Brewing)  A name originally given to a kind of beer combining qualities of different kinds of beer. [Eng.] \"Foker's Entire.\" Thackeray.
entire-wheat |Designating, made of, or relating to, flour including a considerable part of the bran.
entirely |1. In an entire manner; wholly; completely; fully; as, the trace is entirely lost. Euphrates falls not entirely into the Persian Sea. Raleigh. 2. Without alloy or mixture; truly; sincerely. To highest God entirely pray. Spenser.
entireness |1. The state or condition of being entire; completeness; fullness; totality; as, the entireness of an arch or a bridge. This same entireness or completeness. Trench. 2. Integrity; wholeness of heart; honesty. [R.] Entireness in preaching the gospel. Udall. 3. Oneness; unity; -- applied to a condition of intimacy or close association. [Obs.] True Christian love may be separated from acquaintance, and acquaintance from entireness. Bp. Hall.
entirety |1. The state of being entire; completeness; as, entirely of interest. Blackstone. 2. That which is entire; the whole. Bacon.
entitative |Considered as pure entity; abstracted from all circumstances. Ellis. -- En\"ti*ta*tive*ly, adv.
entitle |1. To give a title to; to affix to as a name or appellation; hence, also, to dignify by an honorary designation; to denominate; to call; as, to entitle a book \"Commentaries;\" to entitle a man \"Honorable.\" That which . . . we entitle patience. Shak. 2. To give a claim to; to qualify for, with a direct object of the person, and a remote object of the thing; to furnish with grounds for seeking or claiming with success; as, an officer's talents entitle him to command. 3. To attribute; to ascribe. [Obs.] The ancient proverb . . . entitles this work . . . peculiarly to God himself. Milton. Syn. -- To name; designate; style; characterize; empower; qualify; enable; fit.
entitule |To entitle. B. Jonson.
entity |A real being, whether in thought (as an ideal conception) or in fact; being; essence; existence. Self-subsisting entities, such as our own personality. Shairp. Fortune is no real entity, . . . but a mere relative signification. Bentley.
ento- |A combining form signifying within; as, entoblast.
entoblast |The inner germ layer; endoderm. See Nucleolus.
entobronchium |One of the main bronchi in the lungs of birds.
entocuneiform |One of the bones of the tarsus. See Cuneiform.
entocuniform |One of the bones of the tarsus. See Cuneiform.
entoderm |See Endoderm, and Illust. of Blastoderm.
entodermal |Relating to the entoderm.
entodermic |Relating to the entoderm.
entogastric |Pertaining to the interior of the stomach; -- applied to a mode of budding from the interior of the gastric cavity, in certain hydroids.
entogenous |See Endogenous.
entoglossal |Within the tongue; -- applied to the glossohyal bone.
entoil |To take with toils or bring into toils; to insnare. [R.] Entoiled in woofed phantasies. Keats.
entomb |To deposit in a tomb, as a dead body; to bury; to inter; to inhume. Hooker.
entombment |The act of entombing or burying, or state of being entombed; burial. Barrow.
entomere |The more granular cells, which finally become internal, in many segmenting ova, as those of mammals.
entomic |Relating to insects; entomological.
entomical |Relating to insects; entomological.
entomoid |Resembling an insect. -- n.  An object resembling an insect.
entomolin |See Chitin.
entomolite |A fossil insect.
entomologic |Of or relating to entomology. -- En`to*mo*log\"ic*al*ly, adv.
entomological |Of or relating to entomology. -- En`to*mo*log\"ic*al*ly, adv.
entomologist |One versed in entomology.
entomologize |To collect specimens in the study of entomology. C. Kingsley.
entomology |1. That part of zoölogy which treats of insects. 2. A treatise on the science of entomology.
entomophaga |1. One of a group of hymenopterous insects whose larvæ feed parasitically upon living insects. See Ichneumon, 2. 2. A group of marsupials which are partly insectivorous, as the opossum. 3. A group of edentates, including the ant-eaters.
entomophagan |Relating to the Entomophaga. -- n.  One of the Entomophaga.
entomophagous |Feeding on insects; insectivorous.
entomophilous |Fertilized by the agency of insects; -- said of plants in which the pollen is carried to the stigma by insects.
entomostraca |One of the subclasses of Crustacea, including a large number of species, many of them minute. The group embraces several orders; as the Phyllopoda, Ostracoda, Copepoda, and Pectostraca. See Copepoda, Phyllopoda, and Cladocera.
entomostracan |Relating to the Entomostraca. -- n.  One of the Entomostraca.
entomostracous |Belonging to the Entomostracans.
entomotomist |One who practices entomotomy.
entomotomy |The science of the dissection of insects.
entonic |Having great tension, or exaggerated action. Dunglison.
entoperipheral |Being, or having its origin, within the external surface of the body; -- especially applied to feelings, such as hunger, produced by internal disturbances. Opposed to epiperipheral.
entophyte |A vegetable parasite subsisting in the interior of the body.
entophytic |Of or pertaining to entophytes; as, an entophytic disease.
entoplasm |(a) The inner granular layer of protoplasm in a developing ovum. (b) Endosarc.
entoplastic |Pertaining to, or composed of, entoplasm; as, the entoplastic products of some Protozoa, or the entoplastic modification of the cell protoplasm, by which a nucleus is produced.
entoplastron |The median plate of the plastron of turtles; -- called also entosternum.
entoprocta |A group of Bryozoa in which the anus is within the circle of tentacles. See Pedicellina.
entoptic |Relating to objects situated within the eye; esp., relating to the perception of objects in one's own eye.
entorganism |An internal parasitic organism.
entortilation |A turning into a circle; round figures. [Obs.] Donne.
entosternum |See Entoplastron. -- En`to*ster\"nal, a.
entosthoblast |The granule within the nucleolus or entoblast of a nucleated cell. Agassiz.
entothorax |See Endothorax.
entotic |Pertaining to the interior of the ear.
entourage |Surroundings; specif., collectively, one's attendants or associates. The entourage and mode of life of the mikados were not such as to make of them able rulers. B. H. Chamberlain.
entozoa |1. A group of worms, including the tapeworms, flukes, roundworms, etc., most of which live parasitically in the interior of other animals; the Helminthes. 2. An artificial group, including all kinds of animals living parasitically in others.
entozoal |Pertaining to, or consisting of, the Entozoa.
entozoic |Pertaining to, or consisting of, the Entozoa.
entozooelogist |One versed in the science of the Entozoa.
entozooen |One of the Entozoa. ENTR'ACTE En`tr'acte\| n. Etym| [F. Cf. Interact.] 1. The interval of time which occurs between the performance of any two acts of a drama. 2. A dance| piece of music| or interlude| performed between two acts of a drama."
entozoologist |One versed in the science of the Entozoa.
entozoon |One of the Entozoa. ENTR'ACTE En`tr'acte\| n. Etym| [F. Cf. Interact.] 1. The interval of time which occurs between the performance of any two acts of a drama. 2. A dance| piece of music| or interlude| performed between two acts of a drama."
entrail |To interweave; to intertwine. [Obs.] Spenser.\n\nEntanglement; fold. [Obs.] Spenser.
entrails |1. The internal parts of animal bodies; the bowels; the guts; viscera; intestines. 2. The internal parts; as, the entrails of the earth. That treasure . . . hid the dark entrails of America. Locke.
entrain |To draw along as a current does; as, water entrained by steam.\n\nTo put aboard a railway train; as, to entrain a regiment. [Recent, Eng.]\n\nTo go aboard a railway train; as, the troops entrained at the station. [Recent, Eng.]
entrammel |To trammel; to entangle. Bp. Hacket.
entrance |1. The act of entering or going into; ingress; as, the entrance of a person into a house or an apartment; hence, the act of taking possession, as of property, or of office; as, the entrance of an heir upon his inheritance, or of a magistrate into office. 2. Liberty, power, or permission to enter; as, to give entrance to friends. Shak. 3. The passage, door, or gate, for entering. Show us, we pray thee, the entrance into the city. Judg. i. 24. 4. The entering upon; the beginning, or that with which the beginning is made; the commencement; initiation; as, a difficult entrance into business. \"Beware of entrance to a quarrel.\" Shak. St. Augustine, in the entrance of one of his discourses, makes a kind of apology. Hakewill. 5. The causing to be entered upon a register, as a ship or goods, at a customhouse; an entering; as, his entrance of the arrival was made the same day. 6. (Naut.) (a) The angle which the bow of a vessel makes with the water at the water line. Ham. Nav. Encyc. (b) The bow, or entire wedgelike forepart of a vessel, below the water line. Totten.\n\n1. To put into a trance; to make insensible to present objects. Him, still entranced and in a litter laid, They bore from field and to the bed conveyed. Dryden. 2. To put into an ecstasy; to ravish with delight or wonder; to enrapture; to charm. And I so ravished with her heavenly note, I stood entranced, and had no room for thought. Dryden.
entrancement |The act of entrancing, or the state of trance or ecstasy. Otway.
entrant |1. One who enters; a beginner. \"The entrant upon life.\" Bp. Terrot. 2. An applicant for admission. Stormonth.
entrant edge |= Advancing edge.
entrap |To catch in a trap; to insnare; hence, to catch, as in a trap, by artifices; to involve in difficulties or distresses; to catch or involve in contradictions; as, to be entrapped by the devices of evil men. A golden mesh, to entrap the hearts of men. Shak. Syn. -- To insnare; inveigle; tangle; decoy; entangle.
entreat |1. To treat, or conduct toward; to deal with; to use. [Obs.] Fairly let her be entreated. Shak. I will cause the enemy to entreat thee well. Jer. xv. 11. 2. To treat with, or in respect to, a thing desired; hence, to ask earnestly; to beseech; to petition or pray with urgency; to supplicate; to importune. \"Entreat my wife to come.\" \"I do entreat your patience.\" Shak. I must entreat of you some of that money. Shak. Some late visitor entreating entrance at my chamber door. Poe. Isaac entreated the Lord for his wife. Gen. xxv. 21. 3. To beseech or supplicate successfully; to prevail upon by prayer or solicitation; to persuade. It were a fruitless attempt to appease a power whom no prayers could entreat. Rogers. 4. To invite; to entertain. [Obs.] \"Pleasures to entreat.\" Spenser. Syn. -- To beseech; beg; solicit; crave; implore; supplicate. See Beseech.\n\n1. To treat or discourse; hence, to enter into negotiations, as for a treaty. [Obs.] Of which I shall have further occasion to entreat. Hakewill. Alexander . . . was first that entreated of true peace with them. 1 Mac. x. 47. 2. To make an earnest petition or request. The Janizaries entreated for them as valiant men. Knolles.\n\nEntreaty. [Obs.] Ford.
entreatable |That may be entreated.
entreatance |Entreaty. [Obs.] Fairfax.
entreater |One who entreats; one who asks earnestly; a beseecher.
entreatful |Full of entreaty. [R.] See Intreatful.
entreatingly |In an entreating manner.
entreative |Used in entreaty; pleading. [R.] \"Entreative phrase.\" A. Brewer.
entreatment |Entreaty; invitation. [Obs.] Shak.
entreaty |1. Treatment; reception; entertainment. [Obs.] B. Jonson. 2. The act of entreating or beseeching; urgent prayer; earnest petition; pressing solicitation. Fair entreaty, and sweet blandishment. Spenser. Syn. -- Solicitation; request; suit; supplication; importunity.
entree |1. A coming in, or entrance; hence, freedom of access; permission or right to enter; as, to have the entrée of a house. 2. (Cookery)  In French usage, a dish served at the beginning of dinner to give zest to the appetite; in English usage, a side dish, served with a joint, or between the courses, as a cutlet, scalloped oysters, etc.
entremets |1. (Cookery)  A side dish; a dainty or relishing dish usually eaten after the joints or principal dish; also, a sweetmeat, served with a dinner. 2. Any small entertainment between two greater ones. [R.]
entrench |See Intrench.
entrepot |A warehouse; a magazine for depositing goods, stores, etc.; a mart or place where merchandise is deposited; as, an entrepôt for shipping goods in transit.
entrepreneur |One who creates a product on his own account; whoever undertakes on his own account an industrial enterprise in which workmen are employed. F. A. Walker.
entresol |A low story between two higher ones, usually between the ground floor and the first story; mezzanine. Parker.
entrick |To trick, to perplex. [Obs.] Rom. of R.
entrochal |Pertaining to, or consisting of, entrochites, or the joints of encrinites; -- used of a kind of stone or marble.
entrochite |A fossil joint of a crinoid stem.
entropion |Same as Entropium.
entropium |The inversion or turning in of the border of the eyelids.
entropy |A certain property of a body, expressed as a measurable quantity, such that when there is no communication of heat the quantity remains constant, but when heat enters or leaves the body the quantity increases or diminishes. If a small amount, h, of heat enters the body when its temperature is t in the thermodynamic scale the entropy of the body is increased by h . The entropy is regarded as measured from some standard temperature and pressure. Sometimes called the thermodynamic function. The entropy of the universe tends towards a maximum. Clausius.
entrust |See Intrust.
entry |1. The act of entering or passing into or upon; entrance; ingress; hence, beginnings or first attempts; as, the entry of a person into a house or city; the entry of a river into the sea; the entry of air into the blood; an entry upon an undertaking. 2. The act of making or entering a record; a setting down in writing the particulars, as of a transaction; as, an entry of a sale; also, that which is entered; an item. A notary made an entry of this act. Bacon. 3. That by which entrance is made; a passage leading into a house or other building, or to a room; a vestibule; an adit, as of a mine. A straight, long entry to the temple led. Dryden. 4. (Com.)  The exhibition or depositing of a ship's papers at the customhouse, to procure license to land goods; or the giving an account of a ship's cargo to the officer of the customs, and obtaining his permission to land the goods. See Enter, v. t., 8, and Entrance, n., 5. 5. (Law) (a) The actual taking possession of lands or tenements, by entering or setting foot on them. (b) A putting upon record in proper form and order. (c) The act in addition to breaking essential to constitute the offense or burglary. Burrill. Bill of entry. See under Bill. -- Double entry, Single entry. See Bookkeeping. -- Entry clerk (Com.), a clerk who makes the original entries of transactions in a business. -- Writ of entry (Law), a writ issued for the purpose of obtaining possession of land from one who has unlawfully entered and continues in possession. Bouvier.
entryng |Am entrance. [Obs.] So great an entryng and so large. Chaucer.
entune |To tune; to intone. Chaucer.
entwine |To twine, twist, or wreathe together or round. [Written also intwine.] Entwined in duskier wreaths her braided locks. Shelley. Thy glorious household stuff did me entwine. Herbert.\n\nTo be twisted or twined. With whose imperial laurels might entwine no cypress. De Quincey.
entwinement |A twining or twisting together or round; union. Bp. Hacket.
entwist |To twist or wreathe round; to intwine. Shak.
enubilate |To clear from mist, clouds, or obscurity. [R.] Bailey.
enubilous |Free from fog, mist, or clouds; clear. [R.]
enucleate |1. To bring or peel out, as a kernel from its enveloping husks its enveloping husks or shell. 2. (Med.)  To remove without cutting (as a tumor). 3. To bring to light; to make clear. Sclater (1654).
enucleation |The act of enucleating; elucidation; exposition. Neither sir, nor water, nor food, seem directly to contribute anything to the enucleation of this disease. Tooke.
enumerate |To count; to tell by numbers; to count over, or tell off one after another; to number; to reckon up; to mention one by one; to name over; to make a special and separate account of; to recount; as, to enumerate the stars in a constellation. Enumerating the services he had done. Ludlow. Syn. -- To reckon; compute; calculate; count; estimate; relate; rehearse; recapitulate; detail.
enumeration |1. The act of enumerating, making separate mention, or recounting. 2. A detailed account, in which each thing is specially noticed. Because almost every man we meet possesses these, we leave them out of our enumeration. Paley. 3. (Rhet.)  A recapitulation, in the peroration, of the heads of an argument.
enumerative |Counting, or reckoning up, one by one. Enumerative of the variety of evils. Jer. Taylor.
enumerator |One who enumerates.
enunciable |Capable of being enunciated or expressed.
enunciate |1. To make a formal statement of; to announce; to proclaim; to declare, as a truth. The terms in which he enunciates the great doctrines of the gospel. Coleridge. 2. To make distinctly audible; to utter articulately; to pronounce; as, to enunciate a word distinctly.\n\nTo utter words or syllables articulately.
enunciation |1. The act of enunciating, announcing, proclaiming, or making known; open attestation; declaration; as, the enunciation of an important truth. By way of interpretation and enunciation. Jer. Taylor. 2. Mode of utterance or pronunciation, especially as regards fullness and distinctness or articulation; as, to speak with a clear or impressive enunciation. 3. That which is enunciated or announced; words in which a proposition is expressed; an announcement; a formal declaration; a statement. Every intelligible enunciation must be either true or false. A. Clarke.
enunciative |Pertaining to, or containing, enunciation; declarative. Ayliffe. -- E*nun\"ci*a*tive*ly, adv.
enunciator |One who enunciates or proclaims.
enunciatory |Pertaining to, or containing, enunciation or utterance.
enure |See Inure.
enuresis |An involuntary discharge of urine; incontinence of urine.
envassal |To make a vassal of. [Obs.]
envault |To inclose in a vault; to entomb. [R.] Swift.
enveigle |To entice. See Inveigle.
envelop |To put a covering about; to wrap up or in; to inclose within a case, wrapper, integument or the like; to surround entirely; as, to envelop goods or a letter; the fog envelops a ship. Nocturnal shades this world envelop. J. Philips.\n\n1. That which envelops, wraps up, encases, or surrounds; a wrapper; an inclosing cover; esp., the cover or wrapper of a document, as of a letter. 2. (Astron.)  The nebulous covering of the head or nucleus of a comet; -- called also coma. 3. (Fort.)  A work of earth, in the form of a single parapet or of a small rampart. It is sometimes raised in the ditch and sometimes beyond it. Wilhelm. 4. (Geom.)  A curve or surface which is tangent to each member of a system of curves or surfaces, the form and position of the members of the system being allowed to vary according to some continuous law. Thus, any curve is the envelope of its tangents. push the envelope. It is used to refer to the maximum performance available at the current state of the technology, and therefore refers to a class of machines in general, not a specific machine. push the envelope Increase the capability of some type of machine or system; -- usu. by technological development.
envelope |1. That which envelops, wraps up, encases, or surrounds; a wrapper; an inclosing cover; esp., the cover or wrapper of a document, as of a letter. 2. (Astron.)  The nebulous covering of the head or nucleus of a comet; -- called also coma. 3. (Fort.)  A work of earth, in the form of a single parapet or of a small rampart. It is sometimes raised in the ditch and sometimes beyond it. Wilhelm. 4. (Geom.)  A curve or surface which is tangent to each member of a system of curves or surfaces, the form and position of the members of the system being allowed to vary according to some continuous law. Thus, any curve is the envelope of its tangents. push the envelope. It is used to refer to the maximum performance available at the current state of the technology, and therefore refers to a class of machines in general, not a specific machine. push the envelope Increase the capability of some type of machine or system; -- usu. by technological development.
envelopment |1. The act of enveloping or wrapping; an inclosing or covering on all sides. 2. That which envelops or surrounds; an envelop.
envenime |To envenom. [Obs.]
envenom |1. To taint or impregnate with venom, or any substance noxious to life; to poison; to render dangerous or deadly by poison, as food, drink, a weapon; as, envenomed meat, wine, or arrow; also, to poison (a person) by impregnating with venom. Alcides . . . felt the envenomed robe. Milton. O, what a world is this, when what is comely Envenoms him that bears it! Shak. 2. To taint or impregnate with bitterness, malice, or hatred; to imbue as with venom; to imbitter. The envenomed tongue of calumny. Smollett. On the question of slavery opinion has of late years been peculiarly envenomed. Sir G. C. Lewis.
envermeil |To color with, or as with, vermilion; to dye red. [Obs.] Milton.
enviable |Fitted to excite envy; capable of awakening an ardent desire to posses or to resemble. One of most enviable of human beings. Macaulay. -- En\"vi*a*ble*ness, n. -- En\"vi*a*bly, adv.
