lady-killer |A gallant who captivates the hearts of women. \"A renowned dandy and lady-killer.\" Blackw. Mag.
ladyship |The rank or position of a lady; -- given as a title (preceded by her or your.) Your ladyship shall observe their gravity. B. Jonson. LADY'S LACES La\"dy's la\"ces. (Bot.)  A slender climbing plant; dodder. LADY'S LOOKING-GLASS La\"dy's look\"ing-glass`. (Bot.)  See Venus's looking-glass, under Venus. LADY'S MANTLE La\"dy's man\"tle. (Bot.)  A genus of rosaceous herbs (Alchemilla), esp. the European A. vulgaris, which has leaves with rounded and finely serrated lobes. LADY'S SEAL La\"dy's seal\".(Bot.) (a) The European Solomon's seal (Polygonatum verticillatum). (b) The black bryony (Tamus communis). LADY'S SLIPPER La\"dy's slip\"per. (Bot.)  Any orchidaceous plant of the genus Cypripedium, the labellum of which resembles a slipper. Less commonly, in the United States, the garden balsam (Impatiens Balsamina). LADY'S SMOCK La\"dy's smock\". (Bot.)  A plant of the genus Cardamine (C. pratensis); cuckoo flower. LADY'S THIMBLE La\"dy's thim\"ble. (Bot.)  The harebell. LADY'S THUMB La\"dy's thumb\". (Bot.)  An annual weed (Polygonum Persicaria), having a lanceolate leaf with a dark spot in the middle. LADY'S TRACES; LADIES' TRESSES; LADIES TRESSES La\"dy's tra\"ces, La\"dies' tress\"es. (Bot.)  A name given to several species of the orchidaceous genus Spiranthes, in which the white flowers are set in spirals about a slender axis and remotely resemble braided hair.
laelaps |A genus of huge, carnivorous, dinosaurian reptiles from the Cretaceous formation of the United States. They had very large hind legs and tail, and are supposed to have been bipedal. Some of the species were about eighteen feet high.
laemmergeyer |See Lammergeir.
laemodipod |One of the Læmodipoda.
laemodipoda |A division of amphipod Crustacea, in which the abdomen is small or rudimentary and the legs are often reduced to five pairs. The whale louse, or Cyamus, and Caprella are examples.
laemodipodous |Of or pertaining to the Læmodipoda.
laetere sunday |. The fourth Sunday of Lent; -- so named from the Latin word Lætare (rejoice), the first word in the antiphone of the introit sung that day in the Roman Catholic service.
laevigate |Having a smooth surface, as if polished.
laevo- |. A prefix. See Levo.
laevorotatory |Same as Levorotatory. Cf. Dextrorotatory.
laevulose |See Levulose.
lafayette |(a) The dollar fish. (b) A market fish, the goody, or spot (Liostomus xanthurus), of the southern coast of the United States.
laft |of Leave. Chaucer.
lafte |of Leave. Chaucer.
lag |1. Coming tardily after or behind; slow; tardy. [Obs.] Came too lag to see him buried. Shak. 2. Last; long-delayed; -- obsolete, except in the phrase lag end. \"The lag end of my life.\" Shak. 3. Last made; hence, made of refuse; inferior. [Obs.] \"Lag souls.\" Dryden.\n\n1. One who lags; that which comes in last. [Obs.] \"The lag of all the flock.\" Pope. 2. The fag-end; the rump; hence, the lowest class. The common lag of people. Shak. 3. The amount of retardation of anything, as of a valve in a steam engine, in opening or closing. 4. A stave of a cask, drum, etc.; especially (Mach.), one of the narrow boards or staves forming the covering of a cylindrical object, as a boiler, or the cylinder of a carding machine or a steam engine. 5. (Zoöl.)  See Graylag. Lag of the tide, the interval by which the time of high water falls behind the mean time, in the first and third quarters of the moon; -- opposed to priming of the tide, or the acceleration of the time of high water, in the second and fourth quarters; depending on the relative positions of the sun and moon. -- Lag screw, an iron bolt with a square head, a sharp-edged thread, and a sharp point, adapted for screwing into wood; a screw for fastening lags.\n\nTo walk or more slowly; to stay or fall behind; to linger or loiter. \"I shall not lag behind.\" Milton. Syn. -- To loiter; linger; saunter; delay; be tardy.\n\n1. To cause to lag; to slacken. [Obs.] \"To lag his flight.\" Heywood. 2. (Mach.)  To cover, as the cylinder of a steam engine, with lags. See Lag, n., 4.\n\nOne transported for a crime. [Slang, Eng.]\n\nTo transport for crime. [Slang, Eng.] She lags us if we poach. De Quincey.
lagan |See Ligan.
lagarto |An alligator. [Obs.] Sir W. Raleigh.
lagena |The terminal part of the cochlea in birds and most reptiles; an appendage of the sacculus, corresponding to the cochlea, in fishes and amphibians.
lagenian |Like, or pertaining to, Lagena, a genus of Foraminifera having a straight, chambered shell.
lageniform |Shaped like a bottle or flask; flag-shaped.
lager |Lager beer.
lager beer |Originally a German beer, but now also made in immense quantities in the United States; -- so called from its being laid up or stored for some months before use.
lager wine |. Wine which has been kept for some time in the cellar. Simmonds.
laggard |Slow; sluggish; backward.\n\nOne who lags; a loiterer.
lagger |A laggard.
lagging |1. (Mach.)  The clothing (esp., an outer, wooden covering), as of a steam cylinder, applied to prevent the radiation of heat; a covering of lags; -- called also deading and cleading. 2. Lags, collectively; narrow planks extending from one rib to another in the centering of arches.
laggingly |In a lagging manner; loiteringly.
lagly |Laggingly. [Prov. Eng.]
lagnappe |In Louisiana, a trifling present given to customers by tradesmen; a gratuity. Lagniappe . . .is something thrown in, gratis, for good measure. Mark Twain.
lagniappe |In Louisiana, a trifling present given to customers by tradesmen; a gratuity. Lagniappe . . .is something thrown in, gratis, for good measure. Mark Twain.
lagomorph |One of the Lagomorpha.
lagomorpha |A group of rodents, including the hares. They have four incisors in the upper jaw. Called also Duplicidentata.
lagoon |1. A shallow sound, channel, pond, or lake, especially one into which the sea flows; as, the lagoons of Venice. 2. A lake in a coral island, often occupying a large portion of its area, and usually communicating with the sea. See Atoll. Lagoon island, a coral island consisting of a narrow reef encircling a lagoon.
lagophthalmia |A morbid condition in which the eye stands wide open, giving a peculiar staring appearance.
lagophthalmos |A morbid condition in which the eye stands wide open, giving a peculiar staring appearance.
lagopous |Having a dense covering of long hair, like the foot of a hare.
lagthing |See Legislatature, below.
lagune |See Lagoon.
laic |Of or pertaining to a layman or the laity. \"Laical literature.\" Lowell. An unprincipled, unedified, and laic rabble. Milton.\n\nA layman. Bp. Morton.
laical |Of or pertaining to a layman or the laity. \"Laical literature.\" Lowell. An unprincipled, unedified, and laic rabble. Milton.
laicality |The state or quality of being laic; the state or condition of a layman.
laically |As a layman; after the manner of a layman; as, to treat a matter laically.
laid |of Lay. Laid paper, paper marked with parallel lines or water marks, as if ribbed, from parallel wires in the mold. It is called blue laid, cream laid, etc., according to its color.
laidly |Ugly; loathsome. [Prov. Eng. & Scot.] This laidly and loathsome worm. W. Howitt.
lain |of Lie, v. i.
lainere |See Lanier. [Obs.] Chaucer.
lair |1. A place in which to lie or rest; especially, the bed or couch of a wild beast. 2. A burying place. [Scot.] Jamieson. 3. A pasture; sometimes, food. [Obs.] Spenser.
laird |A lord; a landholder, esp. one who holds land directly of the crown. [Scot.]
lairdship |The state of being a laird; an estate; landed property. [Scot.] Ramsay.
laism |See Lamaism. [R.]
laissez faire |Noninterference; -- an axiom of some political economists, deprecating interference of government by attempts to foster or regulate commerce, manufactures, etc., by bounty or by restriction; as, the doctrine of laissez faire; the laissez faire system government.
laity |1. The people, as distinguished from the clergy; the body of the people not in orders. A rising up of the laity against the sacerdotal caste. Macaulay. 2. The state of a layman. [Obs.] Ayliffe. 3. Those who are not of a certain profession, as law or medicine, in distinction from those belonging to it.
lakao |Sap green. [China]
lake |A pigment formed by combining some coloring matter, usually by precipitation, with a metallic oxide or earth, esp. with aluminium hydrate; as, madder lake; Florentine lake; yellow lake, etc.\n\nA kind of fine white linen, formerly in use. [Obs.] Chaucer.\n\nTo play; to sport. [Prov. Eng.]\n\nA large body of water contained in a depression of the earth's surface, and supplied from the drainage of a more or less extended area. Note: Lakes are for the most part of fresh water; the salt lakes, like the Great Salt Lake of Utah, have usually no outlet to the ocean. Lake dwellers (Ethnol.), people of a prehistoric race, or races, which inhabited different parts of Europe. Their dwellings were built on piles in lakes, a short distance from the shore. Their relics are common in the lakes of Switzerland. -- Lake dwellings (Archæol.), dwellings built over a lake, sometimes on piles, and sometimes on rude foundations kept in place by piles; specifically, such dwellings of prehistoric times. Lake dwellings are still used by many savage tribes. Called also lacustrine dwellings. See Crannog. -- Lake fly (Zoöl.), any one of numerous species of dipterous flies of the genus Chironomus. In form they resemble mosquitoes, but they do not bite. The larvæ live in lakes. -- Lake herring (Zoöl.), the cisco (Coregonus Artedii). -- Lake poets, Lake school, a collective name originally applied in contempt, but now in honor, to Southey, Coleridge, and Wordsworth, who lived in the lake country of Cumberland, England, Lamb and a few others were classed with these by hostile critics. Called also lakers and lakists. -- Lake sturgeon (Zoöl.), a sturgeon (Acipenser rubicundus), of moderate size, found in the Great Lakes and the Mississippi River. It is used as food. -- Lake trout (Zoöl.), any one of several species of trout and salmon; in Europe, esp. Salmo fario; in the United States, esp. Salvelinus namaycush of the Great Lakes, and of various lakes in New York, Eastern Maine, and Canada. A large variety of brook trout (S. fontinalis), inhabiting many lakes in New England, is also called lake trout. See Namaycush. -- Lake whitefish. (Zoöl.) See Whitefish. -- Lake whiting (Zoöl.), an American whitefish (Coregonus Labradoricus), found in many lakes in the Northern United States and Canada. It is more slender than the common whitefish.
lake-dweller |See Lake dwellers, under Lake.
lakelet |A little lake. Southey.
laker |(a) One of the poets of the Lake school. See Lake poets, under Lake, n. (b) (Zoöl.) A fish living in, or taken from, a lake, esp. the namaycush. (c) A lake steamer or canal boat. The bridge tender . . . thought the Cowies \"a little mite\" longer than that laker. The Century.
lakeweed |The water pepper (Polygonum Hydropiper), an aquatic plant of Europe and North America.
lakh |One hundred thousand; also, a vaguely great number; as, a lac of rupees. [Written also lack.] [East Indies]\n\nSame as Lac, one hundred thousand.
lakin |See Ladykin.
lakke |See Lack. [Obs.] Chaucer.
laky |Pertaining to a lake. Sir W. Scott.\n\nTransparent; -- said of blood rendered transparent by the action of some solvent agent on the red blood corpuscles.
lallation |An imperfect enunciation of the letter r, in which it sounds like l.
lalo |The powdered leaves of the baobab tree, used by the Africans to mix in their soup, as the southern negroes use powdered sassafras. Cf. Couscous.
lam |To beat soundly; to thrash. [Obs. or Low] Beau. & Fl.
lama |See Llama.\n\nIn Thibet, Mongolia, etc., a priest or monk of the belief called Lamaism. The Grand Lama, or Dalai Lama Etym: [lit., Ocean Lama], the supreme pontiff in the lamaistic hierarchy. See Lamaism.
lamaic |Of or pertaining to Lamaism.
lamaism |A modified form of Buddhism which prevails in Thibet, Mongolia, and some adjacent parts of Asia; -- so called from the name of its priests. See 2d Lama.
lamaist |One who believes in Lamaism.
lamaistic |Of or pertaining to Lamaism.
lamaite |One who believes in Lamaism.
lamantin |The manatee. [Written also lamentin, and lamantine.]
lamarckian |Pertaining to, or involved in, the doctrines of Lamarckianism.
lamarckianism |Lamarckism.
lamarckism |The theory that structural variations, characteristic of species and genera, are produced in animals and plants by the direct influence of physical environments, and esp., in the case of animals, by effort, or by use or disuse of certain organs.
lamasery |A mo
lamb |1. (Zoöl.)  The young of the sheep. 2. Any person who is as innocent or gentle as a lamb. 3. A simple, unsophisticated person; in the cant of the Stock Exchange, one who ignorantly speculates and is victimized. Lamb of God, The Lamb (Script.), the Jesus Christ, in allusion to the paschal lamb. The twelve apostles of the Lamb. Rev. xxi. 14. Behold the Lamb of God, which taketh away the sin of the world. John i. 29. -- Lamb's lettuce (Bot.), an annual plant with small obovate leaves (Valerianella olitoria), often used as a salad; corn salad. [Written also lamb lettuce.] -- Lamb's tongue, a carpenter's plane with a deep narrow bit, for making curved grooves. Knight. -- Lamb's wool. (a) The wool of a lamb. (b) Ale mixed with the pulp of roasted apples; -- probably from the resemblance of the pulp of roasted apples to lamb's wool. [Obs.] Goldsmith.\n\nTo bring forth a lamb or lambs, as sheep.
lambale |A feast at the time of shearing lambs.
lambaste |To beat severely. [Low] Nares.
lambative |Taken by licking with the tongue. \"Sirups and lambative medicines.\" Sir T. Browne.\n\nA medicine taken by licking with the tongue; a lincture. Wiseman.
lambda |1. The name of the Greek letter 2. (Anat.)  The point of junction of the sagittal and lambdoid sutures of the skull. Lambda moth (Zoöl.), a moth so called from a mark on its wings, resembling the Greek letter lambda (
lambdacism |1. A fault in speaking or in composition, which consists in too frequent use of the letter l, or in doubling it erroneously. 2. A defect in pronunciation of the letter l when doubled, which consists in giving it a sound as if followed by y, similar to that of the letters lli in billion. 3. The use of the sound of l for that of r in pronunciation; lallation; as, Amelican for American.
lambdoid |Shaped like the Greek letter lambda (as, the lambdoid suture between the occipital and parietal bones of the skull.
lambdoidal |Same as Lambdoid.
lambent |1. Playing on the surface; touching lightly; gliding over. \"A lambent flame.\" Dryden. \"A lambent style.\" Beaconsfield. 2. Twinkling or gleaming; fickering. \"The lambent purity of the stars.\" W. Irving.
lambert pine |The gigantic sugar pine of California and Oregon (Pinus Lambertiana). It has the leaves in fives, and cones a foot long. The timber is soft, and like that of the white pine of the Eastern States.
lambkill |A small American ericaceous shrub (Kalmia angustifolia); -- called also calfkill, sheepkill, sheep laurel, etc. It is supposed to poison sheep and other animals that eat it at times when the snow is deep and they cannot find other food.
lambkin |A small lamb.
lamboys |Same as Base, n., 19.
lambrequin |1. A kind of pendent scarf or covering attached to the helmet, to protect it from wet or heat. 2. A leather flap hanging from a cuirass. Wilhelm. 3. A piece of ornament drapery or short decorative hanging, pendent from a shelf or from the casing above a window, hiding the curtain fixtures, or the like.
lambskin |1. The skin of a lamb; especially, a skin dressed with the wool on, and used as a mat. Also used adjectively. 2. A kind of woolen.
lambskinnet |See Lansquenet. LAMB'S-QUARTERS Lamb's-quar\"ters, n. (Bot.)  A name given to several plants of the Goosefoot family, sometimes used as pot herbs, as Chenopodium album and Atriplex patulsa.
lamdoidal |Lambdoid. [R.]
lame |1. (a) Moving with pain or difficulty on account of injury, defect, or temporary obstruction of a function; as, a lame leg, arm, or muscle. (b) To some degree disabled by reason of the imperfect action of a limb; crippled; as, a lame man. \"Lame of one leg.\" Arbuthnot. \"Lame in both his feet.\" 2 Sam. ix. 13. \"He fell, and became lame.\" 2 Sam. iv. 4. 2. Hence, hobbling; limping; inefficient; imperfect. \"A lame endeavor.\" Barrow. O, most lame and impotent conclusion! Shak. Lame duck (stock Exchange), a person who can not fulfill his contracts. [Cant]\n\nTo make lame. If you happen to let child fall and lame it. Swift.
lamel |See Lamella.
lamella |a thin plate or scale of anything, as a thin scale growing from the petals of certain flowers; or one of the thin plates or scales of which certain shells are composed.
lamellar |Flat and thin; lamelliform; composed of lamellæ. -- Lam\"el*lar*ly, adv.  In thin plates or scales.
lamellarly |Flat and thin; lamelliform; composed of lamellæ. -- Lam\"el*lar*ly, adv.  In thin plates or scales.
lamellary |Of or pertaining to lamella or to lamellæ; lamellar.
lamellate |Composed of, or furnished with, thin plates or scales. See Illust. of Antennæ.
lamellated |Composed of, or furnished with, thin plates or scales. See Illust. of Antennæ.
lamellibranch |One of the Lamellibranchia. Also used adjectively.
lamellibranchia |A class of Mollusca including all those that have bivalve shells, as the clams, oysters, mussels, etc. Note: They usually have two (rarely but one) flat, lamelliform gills on each side of the body. They have an imperfectly developed head, concealed within the shell, whence they are called Acephala. Called also Conchifera, and Pelecypoda. See Bivalve.
lamellibranchiata |A class of Mollusca including all those that have bivalve shells, as the clams, oysters, mussels, etc. Note: They usually have two (rarely but one) flat, lamelliform gills on each side of the body. They have an imperfectly developed head, concealed within the shell, whence they are called Acephala. Called also Conchifera, and Pelecypoda. See Bivalve.
lamellibranchiate |Having lamellar gills; belonging to the Lamellibranchia. -- n.  One of the Lamellibranchia.
lamellicorn |(a) Having antennæ terminating in a group of flat lamellæ; -- said of certain coleopterous insects. (b) Terminating in a group of flat lamellæ; -- said of antennæ. -- n.  A lamellicorn insect.
lamellicornia |A group of lamellicorn, plant-eating beetles; -- called also Lamellicornes.
lamelliferous |Bearing, or composed of, lamellæ, or thin layers, plates, or scales; foliated.
lamelliform |Thin and flat; scalelike; lamellar.
lamellirostral |Having a lamellate bill, as ducks and geese.
lamellirostres |A group of birds embracing the Anseres and flamingoes, in which the bill is lamellate.
lamellose |Composed of, or having, lamellæ; lamelliform.
lamely |An a lame, crippled, disabled, or imperfect manner; as, to walk lamely; a figure lamely drawn.
lameness |The condition or quality of being lame; as, the lameness of an excuse or an argument.
lament |To express or feel sorrow; to weep or wail; to mourn. Jeremiah lamented for Josiah. 2 Chron. xxxv. 25. Ye shall weep and lament, but the world shall rejoice. John xvi. 20.\n\nTo mourn for; to bemoan; to bewail. One laughed at follies, one lamented crimes. Dryden. Syn. -- To deplore; mourn; bewail. See Deplore.\n\n1. Grief or sorrow expressed in complaints or cries; lamentation; a wailing; a moaning; a weeping. Torment, and loud lament, and furious rage. Milton. 2. An elegy or mournful ballad, or the like.
lamentable |1. Mourning; sorrowful; expressing grief; as, a lamentable countenance. \"Lamentable eye.\" Spenser. 2. Fitted to awaken lament; to be lamented; sorrowful; pitiable; as, a lamentable misfortune, or error. \"Lamentable helplessness.\" Burke. 3. Miserable; pitiful; paltry; -- in a contemptuous or Bp. Stillingfleet. -- Lam\"en*ta*ble*ness, n. -- Lam\"en*ta*bly, adv.
lamentation |1. The act of bewailing; audible expression of sorrow; wailing; moaning. In Rama was there a voice heard, lamentation and weeping Matt. ii. 18. 2. pl. (Script.)  A book of the Old Testament attributed to the prophet Jeremiah, and taking its name from the nature of its contents.
lamented |Mourned for; bewailed. This humble praise,lamented shade ! receive. Pope.
lamenter |One who laments.
lamentin |See Lamantin.
lamenting |Lamentation. Lamentings heard i' the air. Shak.
lamentingly |In a lamenting manner.
lames |Small steel plates combined together so as to slide one upon the form a piece of armor.
lametta |Foil or wire made of gold, silver, or brass. De Colange.
lamia |A monster capable of assuming a woman's form, who was said to devour human beings or suck their blood; a vampire; a sorceress; a with.
lamina |1. A thin plate or scale; a laying over another; -- said of thin plates or platelike substances, as of bone or minerals. 2. (Bot.)  The blade of a leaf; the broad, expanded portion of a petal or sepal of a flower. Gray. 3. (Zoöl.)  A thin plate or scale; specif., one of the thin, flat processes composing the vane of a feather.
laminability |The quality or state of being laminable.
laminable |Capable of being split into laminæ or thin plates, as mica; capable of being extended under pressure into a thin plate or strip. When a body can be readily extended in all directions under the hammer, it is said to be malleable; and when into fillets under the rolling press, it is said to be laminable. Ure.
laminal |In, or consisting of, thin plates or layers; having the form of a thin plate or lamina.
laminar |In, or consisting of, thin plates or layers; having the form of a thin plate or lamina.
laminaria |A genus of great seaweeds with long and broad fronds; kelp, or devil's apron. The fronds commonly grow in clusters, and are sometimes from thirty to fifty feet in length. See Illust. of Kelp.
laminarian |Pertaining to seaweeds of the genus Laminaria, or to that zone of the sea (from two to ten fathoms in depth) where the seaweeds of this genus grow.
laminarite |A broad-leafed fossil alga.
laminary |Laminar.
laminate |Consisting of, or covered with, laminæ, or thin plates, scales, or layers, one over another; laminated.\n\n1. To cause to separate into thin plates or layers; to divide into thin plates. 2. To form, as metal, into a thin plate, as by rolling.\n\nTo separate into laminæ.
laminated |Laminate. Laminated arch (Arch.), a timber arch made of layers of bent planks secured by treenails.
laminating |Forming, or separating into, scales or thin layers.
lamination |The process of laminating, or the state of being laminated.
laminiferous |Having a structure consisting of laminæ, or thin layers.
laminiplantar |Having the tarsus covered behind with a horny sheath continuous on both sides, as in most singing birds, except the larks.
laminitis |Inflammation of the laminæ or fleshy plates along the coffin bone of a horse; founder. Youatt.
lamish |Somewhat lame. Wood.
lamm |See Lam.
lammas |The first day of August; -- called also Lammas day, and Lammastide.
lammergeier |A very large vulture (Gypaëtus barbatus), which inhabits the mountains of Southern Europe, Asia, and Northern Africa. When full- grown it is nine or ten feet in extent of wings. It is brownish black above, with the under parts and neck rusty yellow; the forehead and crown white; the sides of the head and beard black. It feeds partly on carrion and partly on small animals, which it kills. It has the habit of carrying tortoises and marrow bones to a great height, and dropping them on stones to obtain the contents, and is therefore called bonebreaker and ossifrage. It is supposed to be the ossifrage of the Bible. Called also bearded vulture and bearded eagle. [Written also lammergeyer.]
lammergeir |A very large vulture (Gypaëtus barbatus), which inhabits the mountains of Southern Europe, Asia, and Northern Africa. When full- grown it is nine or ten feet in extent of wings. It is brownish black above, with the under parts and neck rusty yellow; the forehead and crown white; the sides of the head and beard black. It feeds partly on carrion and partly on small animals, which it kills. It has the habit of carrying tortoises and marrow bones to a great height, and dropping them on stones to obtain the contents, and is therefore called bonebreaker and ossifrage. It is supposed to be the ossifrage of the Bible. Called also bearded vulture and bearded eagle. [Written also lammergeyer.]
lamnunguia |Same as Hyracoidea.
lamp |A thin plate or lamina. [Obs.] Chaucer.\n\n1. A light-producing vessel, instrument or apparatus; especially, a vessel with a wick used for the combustion of oil or other inflammable liquid, for the purpose of producing artificial light. 2. Figuratively, anything which enlightens intellectually or morally; anything regarded metaphorically a performing the uses of a lamp. Thy word is a lamp unto my feet, and a light unto my path. Ps. cxix. 105. Ages elapsed ere Homer's lamp appeared. Cowper. 3. (Elec.)  A device or mechanism for producing light by electricity. See Incandescent lamp, under Incandescent. Æolipile lamp, a hollow ball of copper containing alcohol which is converted into vapor by a lamp beneath, so as to make a powerful blowpipe flame when the vapor is ignited. Weale. -- Arc lamp (Elec.), a form of lamp in which the voltaic arc is used as the source of light. -- Dëbereiner's lamp, an apparatus for the instantaneous production of a flame by the spontaneous ignition of a jet of hydrogen on being led over platinum sponge; -- named after the German chemist Döbereiner, who invented it. Called also philosopher's lamp. -- Flameless lamp, an aphlogistic lamp. -- Lamp burner, the part of a lamp where the wick is exposed and ignited. Knight. -- Lamp fount, a reservoir for oil, in a lamp. -- Lamp jack. See 2d Jack, n., 4 (l) & (n). -- Lamp shade, a screen, as of paper, glass, or tin, for softening or obstructing the light of a lamp. -- Lamp shell (Zoöl.), any brachiopod shell of the genus Terebratula and allied genera. The name refers to the shape, which is like that of an antique lamp. See Terebratula. -- Safety lamp, a miner's lamp in which the flame is surrounded by fine wire gauze, preventing the kindling of dangerous explosive gases; -- called also, from Sir Humphry Davy the inventor, Davy lamp. -- To smell of the lamp, to bear marks of great study and labor, as a literary composition.
lamp-post |A post (generally a pillar of iron) supporting a lamp or lantern for lighting a street, park, etc.
lampad |A lamp or candlestick. [R.] By him who 'mid the golden lampads went. Trench.
lampadist |One who gained the prize in the lampadrome.
lampadrome |A race run by young men with lighted torches in their hands. He who reached the goal first, with his torch unextinguished, gained the prize.
lampas |An inflammation and swelling of the soft parts of the roof of the mouth immediately behind the fore teeth in the horse; -- called also lampers.
lampate |A supposed salt of lampic acid. [Obs.]
lampblack |The fine impalpable soot obtained from the smoke of carbonaceous substances which have been only partly burnt, as in the flame of a smoking lamp. It consists of finely divided carbon, with sometimes a very small proportion of various impurities. It is used as an ingredient of printers' ink, and various black pigments and cements.
lamper eel |See Lamprey.
lampern |The river lamprey (Ammocoetes, or Lampetra, fluviatilis). Note: The name is also applied to other river lampreys.
lampers |See Lampas.
lampic |Pertaining to, or produced by, a lamp; -- formerly said of a supposed acid.
lamping |Shining; brilliant. [Obs.] \"Lamping eyes.\" Spenser.
lampless |Being without a lamp, or without light; hence, being without appreciation; dull. Your ladies' eyes are lampless to that virtue. Beau. & Fl.
lamplight |Light from a lamp. This world's artificial lamplights. Owen Meredith.
lamplighter |1. One who, or that which, lights a lamp; esp., a person who lights street lamps. 2. (Zoöl.)  The calico bass.
lampoon |A personal satire in writing; usually, malicious and abusive censure written only to reproach and distress. Like her who missed her name in a lampoon, And grieved to find herself decayed so soon. Dryden.\n\nTo subject to abusive ridicule expressed in writing; to make the subject of a lampoon. Ribald poets had lampooned him. Macaulay. Syn. -- To libel; defame; satirize; lash.
lampooner |The writer of a lampoon. \"Libelers, lampooners, and pamphleteers.\" Tatler.
lampoonry |The act of lampooning; a lampoon, or lampoons.
lamprel |See Lamprey.
lamprey |An eel-like marsipobranch of the genus Petromyzon, and allied genera. The lampreys have a round, sucking mouth, without jaws, but set with numerous minute teeth, and one to three larger teeth on the palate (see Illust. of Cyclostomi). There are seven small branchial openings on each side. [Written also lamper eel, lamprel, and lampron.] Note: The common or sea lamprey of America and Europe (Petromyzon marinus), which in spring ascends rivers to spawn, is considered excellent food by many, and is sold as a market fish in some localities. The smaller river lampreys mostly belong to the genus Ammocoeles, or Lampetra, as A. fluviatilis, of Europe, and A. æpypterus of America. All lampreys attach themselves to other fishes, as parasites, by means of the suckerlike mouth.
lampron |See Lamprey.
lampyrine |An insect of the genus Lampyris, or family Lampyridæ. See Lampyris.
lampyris |A genus of coleopterous insects, including the glowworms.
lanarkite |A mineral consisting of sulphate of lead, occurring either massive or in long slender prisms, of a greenish white or gray color.
lanary |A place for storing wool.
lanate |Wooly; covered with fine long hair, or hairlike filaments.
lanated |Wooly; covered with fine long hair, or hairlike filaments.
lancashire boiler |. A steam boiler having two flues which contain the furnaces and extend through the boiler from end to end.
lancasterian |Of or pertaining to the monitorial system of instruction followed by Joseph Lancaster, of England, in which advanced pupils in a school teach pupils below them.
