prorectorate |The office of prorector.
prosecution |1. The act or process of prosecuting, or of endeavoring to gain or accomplish something; pursuit by efforts of body or mind; as, the prosecution of a scheme, plan, design, or undertaking; the prosecution of war. Keeping a sharp eye on her domestics . . . in prosecution of their various duties. Sir W. Scott. 2. (Law) (a) The institution and carrying on of a suit in a court of law or equity, to obtain some right, or to redress and punish some wrong; the carrying on of a judicial proceeding in behalf of a complaining party, as distinguished from defense. (b) The institution, or commencement, and continuance of a criminal suit; the process of exhibiting formal charges against an offender before a legal tribunal, and pursuing them to final judgment on behalf of the state or government, as by indictment or information. (c) The party by whom criminal proceedings are instituted. Blackstone. Burrill. Mozley & W.
prosecutor |1. One who prosecutes or carries on any purpose, plan, or business. 2. (Law)  The person who institutes and carries on a criminal suit against another in the name of the government. Blackstone.
prosecutrix |A female prosecutor.
proselyte |A new convert especially a convert to some religion or religious sect, or to some particular opinion, system, or party; thus, a Gentile converted to Judaism, or a pagan converted to Christianity, is a proselyte. Ye [Scribes and Pharisees] compass sea and land to make one proselyte. Matt. xxiii. 15. Fresh confidence the speculatist takes From every harebrained proselyte he makes. Cowper. Syn. -- See Convert.\n\nTo convert to some religion, opinion, or system; to bring over. Dr. H. More.
proselytism |1. The act or practice of proselyting; the making of converts to a religion or a religious sect, or to any opinion, system, or party. They were possessed of a spirit of proselytism in the most fanatical degree. Burke. 2. Conversion to a religion, system, or party.
proselytize |To convert to some religion, system, opinion, or the like; to bring, or cause to come, over; to proselyte. One of those whom they endeavor to proselytize. Burke.\n\nTo make converts or proselytes.
proselytizer |One who proselytes.
proseman |A writer of prose. [R.]
proseminary |A seminary which prepares pupils for a higher institution. T. Warton.
prosemination |Propagation by seed. [Obs.] Sir M. Hale.
prosencephalic |Of or pertaining to the prosencephalon.
prosencephalon |(a) The anterior segment of the brain, including the cerebrum and olfactory lobes; the forebrain. (b) The cerebrum. Huxley.
prosenchyma |A general term applied to the tissues formed of elongated cells, especially those with pointed or oblique extremities, as the principal cells of ordinary wood.
proser |1. A writer of prose. [Obs.] 2. One who talks or writes tediously. Sir W. Scott.
prosiliency |The act of leaping forth or forward; projection. \"Such prosiliency of relief.\" Coleridge.
prosily |In a prosy manner.
prosimetrical |Consisting both of prose and verse. Clarke.
prosimiae |Same as Lemuroidea.
prosiness |The quality or state of being prosy; tediousness; tiresomeness.
prosing |Writing prose; speaking or writing in a tedious or prosy manner. Sir W. Scott.
prosingly |Prosily.
prosiphon |A minute tube found in the protocon
prosit |Lit., may it do (you) good; -- a salutation used in well wishing, esp. among Germans, as in drinking healths.
proslavery |Favoring slavery. -- n.  Advocacy of slavery.
prosobranch |One of the Prosobranchiata.
prosobranchiata |The highest division, or subclass, of gastropod mollusks, including those that have the gills situated anteriorly, or forward of the heart, and the sexes separate.
prosocoele |The entire cavity of the prosencephalon. B. G. Wilder.
prosocoelia |Same as Prosocoele.
prosodiacal |Prosodical.
prosodiacally |Prosodically.
prosodial |Prosodical.
prosodian |A prosodist. Rush.
prosodical |Of or pertaining to prosody; according to the rules of prosody. -- Pro*sod\"ic*al*ly, adv.
prosodist |One skilled in prosody.
prosody |That part of grammar which treats of the quantity of syllables, of accent, and of the laws of versification or metrical composition.
prosoma |The anterior of the body of an animal, as of a cephalopod; the thorax of an arthropod.
prosopalgia |Facial neuralgia.
prosopocephala |Same as Scaphopoda.
prosopolepsy |Respect of persons; especially, a premature opinion or prejudice against a person, formed from his external appearance. [R.] Addison.
prosopopoeia |A figure by which things are represented as persons, or by which things inanimate are spoken of as animated beings; also, a figure by which an absent person is introduced as speaking, or a deceased person is represented as alive and present. It includes personification, but is more extensive in its signification.
prosopulmonata |A division of pulmonate mollusks having the breathing organ situated on the neck, as in the common snail.
prospect |1. That which is embraced by eye in vision; the region which the eye overlooks at one time; view; scene; outlook. His eye discovers unaware The goodly prospect of some foreign land. Milton. 2. Especially, a picturesque or widely extended view; a landscape; hence, a sketch of a landscape. I went to Putney . . . to take prospects in crayon. Evelyn. 3. A position affording a fine view; a lookout. [R.] Him God beholding from his prospect high. Milton. 4. Relative position of the front of a building or other structure; face; relative aspect. And their prospect was toward the south. Ezek. xl. 44. 5. The act of looking forward; foresight; anticipation; as, a prospect of the future state. Locke. Is he a prudent man as to his temporal estate, that lays designs only for a day, without any prospect to, or provision for, the remaining part of life Tillotson. 6. That which is hoped for; ground for hope or expectation; expectation; probable result; as, the prospect of success. \"To brighter prospects born.\" Cowper. These swell their prospectsd exalt their pride, When offers are disdain'd, and love deny'd. Pope.\n\nTo look over; to explore or examine for something; as, to prospect a district for gold.\n\nTo make a search; to seek; to explore, as for mines or the like; as, to prospect for gold.
prospection |The act of looking forward, or of providing for future wants; foresight.
prospective |1. Of or pertaining to a prospect; furnishing a prospect; perspective. [Obs.] Time's long and dark prospective glass. Milton. 2. Looking forward in time; acting with foresight; -- opposed to retrospective. The French king of Sweden are circumspect, industrious, and prospective, too, in this affair. Sir J. Child. 3. Being within view or consideration, as a future event or contingency; relating to the future: expected; as, a prospective benefit. Points on which the promises, at the time of ordination, had no prospective bearing. W. Jay.\n\n1. The scene before or around, in time or in space; view; prospect. Sir H. Wotton. 2. A perspective glass. [Obs.] Chaucer. Beau. & Fl.
prospectively |In a prospective manner.
prospectiveness |Quality of being prospective.
prospectless |Having no prospect.
prospector |One who prospects; especially, one who explores a region for minerals and precious metals.
prospectus |A summary, plan, or scheme of something proposed, affording a prospect of its nature; especially, an exposition of the scheme of an unpublished literary work.
prosper |To favor; to render successful. \"Prosper thou our handiwork.\" Bk. of Common Prayer. All things concur toprosper our design. Dryden.\n\n1. To be successful; to succeed; to be fortunate or prosperous; to thrive; to make gain. They, in their earthly Canaan placed, Long time shall dwell and prosper. Milton. 2. To grow; to increase. [Obs.] Black cherry trees prosper even to considerable timber. Evelyn.
prosperity |The state of being prosperous; advance or gain in anything good or desirable; successful progress in any business or enterprise; attainment of the object desired; good fortune; success; as, commercial prosperity; national prosperity. Now prosperity begins to mellow. Shak. Prosperities can only be enjoyed by them who fear not at all to lose the Jer. Taylor. Syn. -- Fortunate; successful; flourishing; thriving; favorable; auspicious; lucky. See Fortunate. -- Pros\"per*ous*ly, adv. -- Pros\"per*ous*ness, n.
prosperous |1. Tending to prosperity; favoring; favorable; helpful. A happy passage and a prosperous wind. Denham. 2. Being prospered; advancing in the pursuit of anything desirable; making gain, or increase; thriving; successful; as, a prosperous voyage; a prosperous undertaking; a prosperous man or nation. By moderation either state to bear Prosperous or adverse. Milton. Syn. -- Fortunate; successful; flourishing; thriving; favorable; auspicious; lucky. See Fortunate. -- Pros\"per*ous*ly, adv. --Pros\"per*ous*ness, n.
prosphysis |A growing together of parts; specifically, a morbid adhesion of the eyelids to each other or to the eyeball. Dunglison.
prospicience |The act of looking forward.
prostate |Standing before; -- applied to a gland which is found in the males of most mammals, and is situated at the neck of the bladder where this joins the urethra. -- n.  The prostate gland.
prostatic |Of or pertaining to the prostate gland. Prostatic catheter. (Med.) See under Catheter.
prostatitis |Inflammation of the prostate.
prosternation |Dejection; depression. [Obs.] Wiseman.
prosternum |The ventral plate of the prothorax of an insect.
prosthesis |1. (Surg.)  The addition to the human body of some artificial part, to replace one that is wanting, as a log or an eye; -- called also prothesis. 2. (Gram.)  The prefixing of one or more letters to the beginning of a word, as in beloved.
prosthetic |Of or pertaining to prosthesis; prefixed, as a letter or letters to a word.
prostibulous |Of or pertaining to prostitutes or prostitution; meretricious. [Obs.] Bale.
prostitute |1. To offer, as a woman, to a lewd use; to give up to lewdness for hire. \"Do not prostitute thy daughter.\" Lev. xix. 29. 2. To devote to base or unworthy purposes; to give up to low or indiscriminate use; as, to prostitute talents; to prostitute official powers. Milton.\n\nOpenly given up to lewdness; devoted to base or infamous purposes. Made bold by want, and prostitute for bread. Prior\n\n1. A woman giver to indiscriminate lewdness; a strumpet; a harlot. 2. A base hireling; a mercenary; one who offers himself to infamous employments for hire. No hireling she, no prostitute to praise. Pope.
prostitution |1. The act or practice of prostituting or offering the body to an indiscriminate intercourse with men; common lewdness of a woman. 2. The act of setting one's self to sale, or of devoting to infamous purposes what is in one's power; as, the prostitution of abilities; the prostitution of the press. \"Mental prostitution.\" Byron.
prostitutor |One who prostitutes; one who submits himself, of or offers another, to vile purposes. Bp. Hurd.
prostomium |That portion of the head of an annelid situated in front of the mouth. -- Pro*sto\"mi*al, a.
prostrate |1. Lying at length, or with the body extended on the ground or other surface; stretched out; as, to sleep prostrate Elyot. Groveling and prostrate on yon lake of fire. Milton. 2. Lying at mercy, as a supplicant. Dryden. 3. Lying in a humble, lowly, or suppliant posture. Prostrate fall Before him reverent, and there confess Humbly our faults. Milton. 4. (Bot.)  Trailing on the ground; procumbent.\n\n1. To lay fiat; to throw down; to level; to fell; as, to prostrate the body; to prostrate trees or plants. Evelyn. 2. to overthrow; to demolish; to destroy; to deprive of efficiency; to ruin; as, to prostrate a village; to prostrate a government; to prostrate law or justice. 3. To throw down, or cause to fall in humility or adoration; to cause to bow in humble reverence; used reflexively; as, he prostrated himself. Milman. 4. To cause to sink totally; to deprive of strength; to reduce; as, a person prostrated by fever.
prostration |1. The act of prostrating, throwing down, or laying fiat; as, the prostration of the body. 2. The act of falling down, or of bowing in humility or adoration; primarily, the act of falling on the face, but usually applied to kneeling or bowing in reverence and worship. A greater prostration of reason than of body. Shak. 3. The condition of being prostrate; great depression; lowness; dejection; as, a postration of spirits. \"A sudden prostration of strength.\" Arbuthnot. 4. (Med.)  A latent, not an exhausted, state of the vital energies; great oppression of natural strength and vigor. Note: Prostration, in its medical use, is analogous to the state of a spring lying under such a weight that it is incapable of action; while exhaustion is analogous to the state of a spring deprived of its elastic powers. The word, however, is often used to denote any great depression of the vital powers.
prostyle |Having columns in front. -- n.  A prostyle portico or building.
prosy |1. Of or pertaining to prose; like prose. 2. Dull and tedious in discourse or writing; prosaic.
prosylogism |A syllogism preliminary or logically essential to another syllogism; the conclusion of such a syllogism, which becomes a premise of the following syllogism.
protactic |Giving a previous narrative or explanation, as of the plot or personages of a play; introductory. = 32,500 yrs.) Also called brevium, Uranium X2 and UX2.
protagon |A nitrogenous phosphorized principle found in brain tissue. By decomposition it yields neurine, fatty acids, and other bodies.
protagonist |One who takes the leading part in a drama; hence, one who takes lead in some great scene, enterprise, conflict, or the like. Shakespeare, the protagonist on the great of modern poetry. De Quincey.
protamin |An amorphous nitrogenous substance found in the spermatic fluid of salmon. It is soluble in water, which an alkaline reaction, and unites with acids and metallic bases.
protandric |Having male sexual organs while young, and female organs later in life. -- Pro*tan\"trism, n.
protandrous |Proterandrous.
protasis |1. A proposition; a maxim. Johnson. 2. (Gram.)  The introductory or subordinate member of a sentence, generally of a conditional sentence; -- opposed to apodosis. See Apodosis. 3. The first part of a drama, of a poem, or the like; the introduction; opposed to epitasis. B. Jonson.
protatic |Of or pertaining to the protasis of an ancient play; introductory.
proteaceous |Of or pertaining to the Proteaceæ, an order of apetalous evergreen shrubs, mostly natives of the Cape of Good Hope or of Australia.
protean |1. Of or pertaining to Proteus; characteristic of Proteus. \" Protean transformations.\" Cudworth. 2. Exceedingly variable; readily assuming different shapes or forms; as, an amoeba is a protean animalcule.
proteanly |In a protean manner. Cudworth.
protect |To cover or shield from danger or injury; to defend; to guard; to preserve in safety; as, a father protects his children. The gods of Greece protect you! Shak. Syn. -- To guard; shield; preserve. See Defend.
protectingly |By way of protection; in a protective manner.
protection |1. The act of protecting, or the state of being protected; preservation from loss, injury, or annoyance; defense; shelter; as, the weak need protection. To your protection I commend me, gods. Shak. 2. That which protects or preserves from injury; a defense; a shield; a refuge. Let them rise up . . . and be your protection. Deut. xxxii. 38. 3. A writing that protects or secures from molestation or arrest; a pass; a safe-conduct; a passport. He . . . gave them protections under his hand. Macaulay. 4. (Polit. Econ.)  A theory, or a policy, of protecting the producers in a country from foreign competition in the home market by the imposition of such discriminating duties on goods of foreign production as will restrict or prevent their importation; -- opposed to free trade. Writ of protection. (Law) (a) A writ by which the king formerly exempted a person from arrest; -- now disused. [Eng.] Blackstone. (b) A judicial writ issued to a person required to attend court, as party, juror, etc., intended to secure him from arrest in coming, staying, and returning. Syn. -- Preservation; defense; guard; shelter; refuge; security; safety.
protectionism |The doctrine or policy of protectionists. See Protection, 4.
protectionist |One who favors protection. See Protection, 4.
protective |Affording protection; sheltering; defensive. \" The favor of a protective Providence.\" Feltham. Protective coloring (Zoöl.), coloring which serves for the concealment and preservation of a living organism. Cf. Mimicry. Wallace. -- Protective tariff (Polit. Econ.), a tariff designed to secure protection (see Protection, 4.), as distinguished from a tariff designed to raise revenue. See Tariff, and Protection, 4.
protectiveness |The quality or state of being protective. W. Pater.
protector |1. One who, or that which, defends or shields from injury, evil, oppression, etc.; a defender; a guardian; a patron. For the world's protector shall be known. Waller. 2. (Eng. Hist.)  One having the care of the kingdom during the king's minority; a regent. Is it concluded he shall be protector ! Shak. 3. (R. C. Ch.)  A cardinal, from one of the more considerable Roman Catholic nations, who looks after the interests of his people at Rome; also, a cardinal who has the same relation to a college, religious order, etc. Lord Protector (Eng. Hist.), the title of Oliver Cromwell as supreme governor of the British Commonwealth (1653-1658).
protectoral |Of or pertaining to a protector; protectorial; as, protectoral power.
protectorate |1. Government by a protector; -- applied especially to the government of England by Oliver Cromwell. 2. The authority assumed by a superior power over an inferior or a dependent one, whereby the former protects the latter from invasion and shares in the management of its affairs.
protectorial |Same as Protectoral.
protectorless |Having no protector; unprotected.
protectorship |, The office of a protector or regent; protectorate.
protectress |A woman who protects.
protectrix |A woman who protects.
protege |One under the care and protection of another.
protegee |One under the care and protection of another.
proteid |One of a class of amorphous nitrogenous principles, containing, as a rule, a small amount of sulphur; an albuminoid, as blood fibrin, casein of milk, etc. Proteids are present in nearly all animal fluids and make up the greater part of animal tissues and organs. They are also important constituents of vegetable tissues. See 2d Note under Food. -- Pro\"te*id, a.
proteidea |An order of aquatic amphibians having prominent external gills and four legs. It includes Proteus and Menobranchus (Necturus). Called also Proteoidea, and Proteida.
proteiform |Changeable in form; resembling a Proteus, or an amoeba.
protein |A body now known as alkali albumin, but originally considered to be the basis of all albuminous substances, whence its name. Protein crystal. (Bot.) See Crystalloid, n., 2.
proteinaceous |Of or related to protein; albuminous; proteid.
proteinous |Proteinaceuos.
proteles |A South Africa genus of Carnivora, allied to the hyenas, but smaller and having weaker jaws and teeth. It includes the aard-wolf.
protend |To hold out; to stretch forth. [Obs.] With his protended lance he makes defence. Dryden .
protense |Extension.[Obs.] \" By due degrees and long protense.\" Spenser.
protension |A drawing out; extension. [R.] Sir W. Hamilton.
protensive |Drawn out; extended. [R.] Time is a protensive quantity. Sir W. Hamilton.
proteolysis |The digestion or dissolving of proteid matter by proteolytic ferments.
proteolytic |Converting proteid or albuminous matter into soluble and diffusible products, as peptones. \" The proteolytic ferment of the pancreas.\" Foster.
proteose |One of a class of soluble products formed in the digestion of proteids with gastric and pancreatic juice, and also by the hydrolytic action of boiling dilute acids on proteids. Proteoses are divided into the two groups, the primary and secondary proteoses.
proterandrous |Having the stamens come to maturity before the pistil; -- opposed to proterogynous.
proterandry |The condition of being proterandrous.
proteranthous |Having flowers appearing before the leaves; -- said of certain plants. Gray.
proteroglypha |A suborder of serpents including those that have permanently erect grooved poison fangs, with ordinary teeth behind them in the jaws. It includes the cobras, the asps, and the sea snakes. Called also Proteroglyphia.
proterogynous |Having the pistil come to maturity before the stamens; protogynous; -- opposed to proterandrous.
proterosaurus |An extinct genus of reptiles of the Permian period. Called also Protosaurus.
protervity |Peevishness; petulance. [Obs.] Fuller.
protest |1. To affirm in a public or formal manner; to bear witness; to declare solemnly; to avow. He protest that his measures are pacific. Landor. The lady doth protest too much, methinks. Shak. 2. To make a solemn declaration (often a written one) expressive of opposition; -- with against; as, he protest against your votes. Denham. The conscience has power . . . to protest againts the exorbitancies of the passions. Shak. Syn. -- To affirm; asseverate; assert; aver; attest; testify; declare; profess. See Affirm.\n\n1. To make a solemn declaration or affirmation of; to proclaim; to display; as, to protest one's loyalty. I will protest your cowardice. Shak. 2. To call as a witness in affirming or denying, or to prove an affirmation; to appeal to. Fiercely [they] opposed My journey strange, with clamorous uproar Protesting fate supreme. Milton. To protest a bill or note (Law), to make a solemn written declaration, in due form, on behalf of the holder, against all parties liable for any loss or damage to be sustained by the nonacceptance or the nonpayment of the bill or note, as the case may be. This should be made by a notary public, whose seal it is the usual practice to affix. Kent. Story.\n\n1. A solemn declaration of opinion, commonly a formal objection against some act; especially, a formal and solemn declaration, in writing, of dissent from the proceedings of a legislative body; as, the protest of lords in Parliament. 2. (Law) (a) A solemn declaration in writing, in due form, made by a notary public, usually under his notarial seal, on behalf of the holder of a bill or note, protesting against all parties liable for any loss or damage by the nonacceptance or nonpayment of the bill, or by the nonpayment of the note, as the case may be. (b) A declaration made by the master of a vessel before a notary, consul, or other authorized officer, upon his arrival in port after a disaster, stating the particulars of it, and showing that any damage or loss sustained was not owing to the fault of the vessel, her officers or crew, but to the perils of the sea, etc., ads the case may be, and protesting against them. (c) A declaration made by a party, before or while paying a tax, duty, or the like, demanded of him, which he deems illegal, denying the justice of the demand, and asserting his rights and claims, in order to show that the payment was not voluntary. Story. Kent.
protestancy |Protestantism. [R.]
protestant |One who protests; -- originally applied to those who adhered to Luther, and protested against, or made a solemn declaration of dissent from, a decree of the Emperor Charles V. and the Diet of Spires, in 1529, against the Reformers, and appealed to a general council; -- now used in a popular sense to designate any Christian who does not belong to the Roman Catholic or the Greek Church.\n\n1. Making a protest; protesting. 2. Of or pertaining to the faith and practice of those Christians who reject the authority of the Roman Catholic Church; as, Protestant writers.
protestantical |Protestant. [Obs.]
protestantism |The quality or state of being protestant, especially against the Roman Catholic Church; the principles or religion of the Protestants.
protestantly |Like a Protestant; in conformity with Protestantism. [R.] Milton.
protestation |1. The act of making a protest; a public avowal; a solemn declaration, especially of dissent. \" The protestation of our faith.\" Latimer. 2. (Law)  Formerly, a declaration in common-law pleading, by which the party interposes an oblique allegation or denial of some fact, protesting that it does or does not exist, and at the same time avoiding a direct affirmation or denial.
protestator |One who makes protestation; a protester.
protester |1. One who protests; one who utters a solemn declaration. Shak. 2. (Law)  One who protests a bill of exchange, or note.
protestingly |By way of protesting.
proteus |1. (Class. Myth.)  A sea god in the service of Neptune who assumed different shapes at will. Hence, one who easily changes his appearance or principles. 2. (Zoöl.) (a) A genus of aquatic eel-shaped amphibians found in caves in Austria. They have permanent external gills as well as lungs. The eyes are small and the legs are weak. (b) A changeable protozoan; an amoeba.
prothalamion |A song in celebration of a marriage. Drayton.
prothalamium |A song in celebration of a marriage. Drayton.
prothallium |Same as Prothallus.
prothallus |The minute primary growth from the spore of ferns and other Pteridophyta, which bears the true sexual organs; the oöphoric generation of ferns, etc.
prothesis |1. (Eccl.)  A credence table; -- so called by the Eastern or Greek Church. 2. (Med.)  See Prosthesis. Dunglison.
prothetic |Of or pertaining to prothesis; as, a prothetic apparatus.
prothonotary |1. A chief notary or clerk. \" My private prothonotary.\" Herrick. 2. Formerly, a chief clerk in the Court of King's Bench and in the Court of Common Pleas, now superseded by the master. [Eng.] Wharton. Burrill. 3. A register or chief clerk of a court in certain States of the United States. 4. (R. C. Ch.)  Formerly, one who had the charge of writing the acts of the martyrs, and the circumstances of their death; now, one of twelve persons, constituting a college in the Roman Curia, whose office is to register pontifical acts and to make and preserve the official record of beatifications. 5. (Gr. Ch.)  The chief secretary of the patriarch of Constantinople. Prothonotary warbler (Zoöl.), a small American warbler (Protonotaria citrea). The general color is golden yellow, the back is olivaceous, the rump and tail are ash-color, several outer tail feathers are partly white.
prothonotaryship |Office of a prothonotary.
prothoracic |Of or pertaining to the prothorax.
prothorax |The first or anterior segment of the thorax in insects. See Illusts. of Butterfly and Coleoptera.
prothyalosome |Same as Prothyalosoma.
protist |One of the Protista.
protista |A provisional group in which are placed a number of low microscopic organisms of doubtful nature. Some are probably plants, others animals.
protiston |One of the Protista.
proto- |1. A combining form prefix signifying first, primary, primordial; as, protomartyr, the first martyr; protomorphic, primitive in form; protoplast, a primordial organism; prototype, protozoan. 2. (Chem.) (a) Denoting the first or lowest of a series, or the one having the smallest amount of the element to the name of which it is prefixed; as protoxide, protochloride, etc. (b) Sometimes used as equivalent to mono-, as indicating that the compound has but one atom of the element to the name of which it is prefixed. Also used adjectively.
proto-doric |Pertaining to, or designating, architecture, in which the beginnings of the Doric style are supposed to be found.
protocanonical |Of or pertaining to the first canon, or that which contains the authorized collection of the books of Scripture; -- opposed to deutero-canonical.
protocatechuic |Pertaining to, derived from, or designating, an organic acid which is obtained as a white crystalline substance from catechin, asafetida, oil of cloves, etc., and by distillation itself yields pyrocatechin.
protocercal |Having a caudal fin extending around the end of the vertebral column, like that which is first formed in the embryo of fishes; diphycercal.
protococcus |A genus of minute unicellular algæ including the red snow plant (Protococcus nivalis).
protocol |1. The original copy of any writing, as of a deed, treaty, dispatch, or other instrument. Burrill. 2. The minutes, or rough draught, of an instrument or transaction. 3. (Diplomacy) (a) A preliminary document upon the basis of which negotiations are carried on. (b) A convention not formally ratified. (c) An agreement of diplomatists indicating the results reached by them at a particular stage of a negotiation.\n\nTo make a protocol of.\n\nTo make or write protocols, or first draughts; to issue protocols. Carlyle.
protocolist |One who draughts protocols.
protoconch |The embryonic shell, or first chamber, of ammonites and other cephalopods.
protogine |A kind of granite or gneiss containing a silvery talcose mineral.
protogynous |Same as Proterogynous.
protohippus |A genus of fossil horses from the Lower Pliocene. They had three toes on each foot, the lateral ones being small.
protomartyr |The first martyr; the first who suffers, or is sacrificed, in any cause; -- applied esp. to Stephen, the first Christian martyr.
protomerite |The second segment of one of the Gregarinæ.
protometals |A finer form of metals, indicated by enhanced lines in their spark spectra (which are also observed in the spectra of some stars), obtained at the highest available laboratory temperatures (Lockyer); as protocalcium, protochromium, protocopper, protonickel, protosilicon, protostrontium, prototitanium, protovanadium. -- Pro`to*me*tal\"ic (#), a.
protomorphic |Having the most primitive character; in the earliest form; as, a protomorphic layer of tissue. H. Spencer.
protonema |The primary growth from the spore of a moss, usually consisting of branching confervoid filaments, on any part of which stem and leaf buds may be developed.
protonotary |1. A chief notary or clerk. \" My private prothonotary.\" Herrick. 2. Formerly, a chief clerk in the Court of King's Bench and in the Court of Common Pleas, now superseded by the master. [Eng.] Wharton. Burrill. 3. A register or chief clerk of a court in certain States of the United States. 4. (R. C. Ch.)  Formerly, one who had the charge of writing the acts of the martyrs, and the circumstances of their death; now, one of twelve persons, constituting a college in the Roman Curia, whose office is to register pontifical acts and to make and preserve the official record of beatifications. 5. (Gr. Ch.)  The chief secretary of the patriarch of Constantinople. Prothonotary warbler (Zoöl.), a small American warbler (Protonotaria citrea). The general color is golden yellow, the back is olivaceous, the rump and tail are ash-color, several outer tail feathers are partly white.\n\nSame as Prothonotary.
protooerganism |An organism whose nature is so difficult to determine that it might be referred to either the animal or the vegetable kingdom.
protoorganism |An organism whose nature is so difficult to determine that it might be referred to either the animal or the vegetable kingdom.
protopapas |A protopope.
protophyte |Any unicellular plant, or plant forming only a plasmodium, having reproduction only by fission, gemmation, or cell division. Note: The protophytes (Protophyta) are by some botanists considered an independent branch or class of the vegetable kingdom, and made to include the lowest forms of both fungi and algæ, as slime molds, Bacteria, the nostocs, etc. Cf. Carpophyte, and Oöphyte.
protophytology |Paleobotany.
protopine |An alkaloid found in opium in small quantities, and extracted as a white crystalline substance.
