southwestern |Of or pertaining to the southwest; southwesterly; as, to sail a southwestern course.
space |1. Extension, considered independently of anything which it may contain; that which makes extended objects conceivable and possible. Pure space is capable neither of resistance nor motion. Locke. 2. Place, having more or They gave him chase, and hunted him as hare; Long had he no space to dwell [in]. R. of Brunne. While I have time and space. Chaucer. 3. A quantity or portion of extension; distance from one thing to another; an interval between any two or more objects; as, the space between two stars or two hills; the sound was heard for the space of a mile. Put a space betwixt drove and drove. Gen. xxxii. 16. 4. Quantity of time; an interval between two points of time; duration; time. \"Grace God gave him here, this land to keep long space.\" R. of brunne. Nine times the space that measures day and night. Milton. God may defer his judgments for a time, and give a people a longer space of repentance. Tillotson. 5. A short time; a while. [R.] \"To stay your deadly strife a space.\" Spenser. 6. Walk; track; path; course. [Obs.] This ilke [same] monk let old things pace, And held after the new world the space. Chaucer. 7. (print.) (a) A small piece of metal cast lower than a face type, so as not to receive the ink in printing, -- used to separate words or letters. (b) The distance or interval between words or letters in the lines, or between lines, as in books. Note: Spaces are of different thicknesses to enable the compositor to arrange the words at equal distances from each other in the same line. 8. (Mus.)  One of the intervals, or open places, between the lines of the staff. Absolute space, Euclidian space, etc. See under Absolute, Euclidian, etc. -- Space line (Print.), a thin piece of metal used by printers to open the lines of type to a regular distance from each other, and for other purposes; a lead. Hansard. -- Space rule (Print.), a fine, thin, short metal rule of the same height as the type, used in printing short lines in tabular matter.\n\nTo walk; to rove; to roam. [Obs.] And loved in forests wild to space. Spenser.\n\nTo arrange or adjust the spaces in or between; as, to space words, lines, or letters.
space bar |A bar or key, in a typewriter or typesetting machine, used for spacing between letters.
space key |A bar or key, in a typewriter or typesetting machine, used for spacing between letters.
spaceful |Wide; extensive. Sandys.
spaceless |Without space. Coleridge.
spacial |See Spatial.
spacially |See Spatially. Sir W,Hamilton.
spacious |1. Extending far and wide; vast in extent. \"A spacious plain outstretched in circuit wide.\" Milton. 2. Inclosing an extended space; having large or ample room; not contracted or narrow; capacious; roomy; as, spacious bounds; a spacious church; a spacious hall. -- Spa\"cious*ly, adv. -- Spa\"cious*ness, n.
spad |A nail one or two inches long, of iron, brass, tin, or tinner iron, with a hole through the flattened head, used to mark stations in underground surveying.
spadassin |A bravo; a bully; a duelist. Ld. Lytton.
spaddle |A little spade. [Obs.]
spade |1. (Zoöl.)  A hart or stag three years old. [Written also spaid, spayade.] 2. Etym: [Cf. L. spado.]  A castrated man or beast.\n\n1. An implement for digging or cutting the ground, consisting usually of an oblong and nearly rectangular blade of iron, with a handle like that of a shovel. \"With spade and pickax armed.\" Milton. 2. Etym: [Sp. espada, literally, a sword; -- so caused because these cards among the Spanish bear the figure of a sword. Sp. espada is fr. L. spatha, Gr. spa`qh. See the Etymology above.]  One of that suit of cards each of which bears one or more figures resembling a spade. \"Let spades be trumps!\" she said. Pope. 3. A cutting instrument used in flensing a whale. Spade bayonet, a bayonet with a broad blade which may be used digging; -- called also trowel bayonet. -- Spade handle (Mach.), the forked end of a connecting rod in which a pin is held at both ends. See Illust. of Knuckle joint, under Knuckle.\n\nTo dig with a spade; to pare off the sward of, as land, with a spade.
spadebone |Shoulder blade. [Prov. Eng.]
spadefish |An American market fish (Chætodipterus faber) common on the southern coasts; -- called also angel fish, moonfish, and porgy.
spadefoot |Any species of burrowing toads of the genus Scaphiopus, esp. S. Holbrookii, of the Eastern United States; -- called also spade toad.
spadeful |As much as a spade will hold or lift.
spader |One who, or that which, spades; specifically, a digging machine.
spadiceous |1. Of a bright clear brown or chestnut color. Sir T. Browne. 2. (Bot.)  Bearing flowers on a spadix; of the nature of a spadix.
spadicose |Spadiceous.
spadille |The ace of spades in omber and quadrille.
spadix |1. (Bot.)  A fleshy spike of flowers, usually inclosed in a leaf called a spathe. 2. (Zoöl.)  A special organ of the nautilus, due to a modification of the posterior tentacles.
spado |1. Same as Spade, 2. 2. (Law)  An impotent person.
spadroon |A sword, especially a broadsword, formerly used both to cut and thrust.
spae |To foretell; to divine. [Scot.]
spaeman |A prophet; a diviner. [Scot.]
spaewife |A female fortune teller. [Scot.]
spaghetti |A variety or macaroni made in tubes of small diameter.
spagyric |Chemical; alchemical. [Obs.]\n\nA spagyrist. [Obs.] Bp. Hall.
spagyrical |Chemical; alchemical. [Obs.]
spagyrist |1. A chemist, esp. one devoted to alchemistic pursuits. [Obs.] 2. One of a sect which arose in the days of alchemy, who sought to discover remedies for disease by chemical means. The spagyrists historically preceded the iatrochemists. Encyc. Brit.
spahee |1. Formerly, one of the Turkish cavalry. 2. An Algerian cavalryman in the French army.
spahi |1. Formerly, one of the Turkish cavalry. 2. An Algerian cavalryman in the French army.
spaid |See 1st Spade.
spake |imp. of Speak.
spakenet |A net for catching crabs. Halliwell.
spaky |Specky. [Obs.] hapman.
spalding knife |A spalting knife.
spale |1. A lath; a shaving or chip, as of wood or stone. [Prov. Eng. & Scot.] 2. (Shipbuilding)  A strengthening cross timber.
spall |The shoulder. [Obs.] Spenser.\n\nA chip or fragment, especially a chip of stone as struck off the block by the hammer, having at least one feather-edge.\n\n1. (Mining)  To break into small pieces, as ore, for the purpose of separating from rock. Pryce. 2. (Masonry)  To reduce, as irregular blocks of stone, to an approximately level surface by hammering.\n\nTo give off spalls, or wedge-shaped chips; -- said of stone, as when badly set, with the weight thrown too much on the outer surface.
spalpeen |A scamp; an Irish term for a good-for-nothing fellow; -- often used in good-humored contempt or ridicule. [Colloq.]
spalt |Spelter. [Colloq.]\n\n1. Liable to break or split; brittle; as, spalt timber. [Prov. Eng.] Halliwell. 2. Heedless; clumsy; pert; saucy. [Prov. Eng.]\n\nTo split off; to cleave off, as chips from a piece of timber, with an ax. [Prov. Eng. & Local, U.S.]
spalting knife |A knife used in splitting codfish. [Written also spalding knife.]
span |imp. & p. p. of Spin.\n\n1. The space from the thumb to the end of the little finger when extended; nine inches; eighth of a fathom. 2. Hence, a small space or a brief portion of time. Yet not to earth's contracted span Thy goodness let me bound. Pope. Life's but a span; I'll every inch enjoy. Farquhar. 3. The spread or extent of an arch between its abutments, or of a beam, girder, truss, roof, bridge, or the like, between its supports. 4. (Naut.)  A rope having its ends made fast so that a purchase can be hooked to the bight; also, a rope made fast in the center so that both ends can be used. 5. Etym: [Cf. D. span, Sw. spann, Dan. spænd, G. gespann. See Span, v. t. ]  A pair of horses or other animals driven together; usually, such a pair of horses when similar in color, form, and action. Span blocks (Naut.), blocks at the topmast and topgallant-mast heads, for the studding-sail halyards. -- Span counter, an old English child's game, in which one throws a counter on the ground, and another tries to hit it with his counter, or to get his counter so near it that he can span the space between them, and touch both the counters. Halliwell. \"Henry V., in whose time boys went to span counter for French crowns.\" Shak. -- Span iron (Naut.), a special kind of harpoon, usually secured just below the gunwale of a whaleboat. -- Span roof, a common roof, having two slopes and one ridge, with eaves on both sides. Gwilt. -- Span shackle (Naut.), a large bolt driven through the forecastle deck, with a triangular shackle in the head to receive the heel of the old-fashioned fish davit. Ham. Nav. Encyc.\n\n1. To measure by the span of the hand with the fingers extended, or with the fingers encompassing the object; as, to span a space or distance; to span a cylinder. My right hand hath spanned the heavens. Isa. xiviii. 13. 2. To reach from one side of to the order; to stretch over as an arch. The rivers were spanned by arches of solid masonry. prescott. 3. To fetter, as a horse; to hobble.\n\nTo be matched, as horses. [U. S.]
span-new |Quite new; brand-new; fire-new. \"A span-new archbishop's chair.\" Fuller.
spanaemia |A condition of impoverishment of the blood; a morbid state in which the red corpuscles, or other important elements of the blood, are deficient.
spanaemic |Of or pertaining to spanæmia; having impoverished blood.
spancel |A rope used for tying or hobbling the legs of a horse or cow. [Prov. Eng. & Local, U.S.] Grose.\n\nTo tie or hobble with a spancel. [Prov. Eng. & Local, U.S.] Malone.
spandogs |A pair of grappling dogs for hoisting logs and timber.
spandrel |1. (Arch.)  The irregular triangular space between the curve of an arch and the inclosing right angle; or the space between the outer moldings of two contiguous arches and a horizontal line above them, or another arch above and inclosing them. 2. A narrow mat or passe partout for a picture. [Cant]
spane |To wean. [Obs. or Prov. Eng.]
spang |To spangle. [Obs.]\n\nTo spring; to bound; to leap. [Scot.] But when they spang o'er reason's fence, We smart for't at our own expense. Ramsay.\n\nA bound or spring. [Scot.] Sir W. Scott.\n\nA spangle or shining ornament. [Obs.] With glittering spangs that did like stars appear. Spenser.
spangle |1. A small plate or boss of shining metal; something brilliant used as an ornament, especially when stitched on the dress. 2. Figuratively, any little thing that sparkless. \"The rich spangles that adorn the sky.\" Waller. Oak spangle. See under Oak.\n\nTo set or sprinkle with, or as with, spangles; to adorn with small, distinct, brilliant bodies; as, a spangled breastplate. Donne. What stars do spangle heaven with such beauty Shak. Spangled coquette (Zoöl.), a tropical humming bird (Lophornis reginæ). See Coquette, 2.\n\nTo show brilliant spots or points; to glisten; to glitter. Some men by feigning words as dark as mine Make truth to spangle, and its rays to shine. Bunyan.
spangler |One who, or that which, spangles.
spangly |Resembling, or consisting of, spangles; glittering; as, spangly light.
spaniard |A native or inhabitant of Spain.
spaniel |1. (Zoöl.)  One of a breed of small dogs having long and thick hair and large drooping ears. The legs are usually strongly feathered, and the tail bushy. See Illust. under Clumber, and Cocker. Note: There are several varieties of spaniels, some of which, known as field spaniels, are used in hunting; others are used for toy or pet dogs, as the Blenheim spaniel, and the King Charles spaniel (see under Blenheim). Of the field spaniels, the larger kinds are called springers, and to these belong the Sussex, Norfolk, and Clumber spaniels (see Clumber). The smaller field spaniels, used in hunting woodcock, are called cocker spaniels (see Cocker). Field spaniels are remarkable for their activity and intelligence. As a spaniel she will on him leap. Chaucer. 2. A cringing, fawning person. Shak.\n\nCringing; fawning. Shak.\n\nTo fawn; to cringe; to be obsequious. [R.] Churchill.\n\nTo follow like a spaniel. [R.]
spanish |Of or pertaining to Spain or the Spaniards. Spanish bayonet (Bot.), a liliaceous plant (Yucca alorifolia) with rigid spine-tipped leaves. The name is also applied to other similar plants of the Southwestern United States and mexico. Called also Spanish daggers. -- Spanish bean (Bot.) See the Note under Bean. -- Spanish black, a black pigment obtained by charring cork. Ure. -- Spanish broom (Bot.), a leguminous shrub (Spartium junceum) having many green flexible rushlike twigs. -- Spanish brown, a species of earth used in painting, having a dark reddish brown color, due to the presence of sesquioxide of iron. -- Spanish buckeye (Bot.), a small tree (Ungnadia speciosa) of Texas, New Mexico, etc., related to the buckeye, but having pinnate leaves and a three-seeded fruit. -- Spanish burton (Naut.), a purchase composed of two single blocks. A double Spanish burton has one double and two single blocks. Luce (Textbook of Seamanship). -- Spanish chalk (Min.), a kind of steatite; -- so called because obtained from Aragon in Spain. -- Spanish cress (Bot.), a cruciferous plant (lepidium Cadamines), a species of peppergrass. -- Spanish curiew (Zoöl.), the long-billed curlew. [U.S.] -- Spanish daggers (Bot.) See Spanish bayonet. -- Spanish elm (Bot.), a large West Indian tree (Cordia Gerascanthus) furnishing hard and useful timber. -- Spanish feretto, a rich reddish brown pigment obtained by calcining copper and sulphur together in closed crucibles. -- Spanish flag (Zoöl.), the California rockfish (Sebastichthys rubrivinctus). It is conspicuously colored with bands of red and white. -- Spanish fly (Zoöl.), a brilliant green beetle, common in the south of Europe, used for raising blisters. See Blister beetle under Blister, and Cantharis. -- Spanish fox (Naut.), a yarn twisted against its lay. -- Spanish grass. (Bot.) See Esparto. -- Spanish juice (Bot.), licorice. -- Spanish leather. See Cordwain. -- Spanish mackerel. (Zoöl.) (a) A species of mackerel (Scomber colias) found both in Europe and America. In America called chub mackerel, big-eyed mackerel, and bull mackerel. (b) In the United States, a handsome mackerel having bright yellow round spots (Scomberomorus maculatus), highly esteemed as a food fish. The name is sometimes erroneously applied to other species. See Illust. under Mackerel. -- Spanish main, the name formerly given to the southern portion of the Caribbean Sea, together with the contiguous coast, embracing the route traversed by Spanish treasure ships from the New to the Old World. -- Spanish moss. (Bot.) See Tillandsia. -- Spanish needles (Bot.), a composite weed (Bidens bipinnata) having achenia armed with needlelike awns. -- Spanish nut (Bot.), a bulbous plant (Iris Sisyrinchium) of the south of Europe. -- Spanish potato (Bot.), the sweet potato. See under Potato. -- Spanish red, an ocherous red pigment resembling Venetian red, but slightly yellower and warmer. Fairholt. -- Spanish reef (Naut.), a knot tied in the head of a jib-headed sail. -- Spanish sheep (Zoöl.), a merino. -- Spanish white, an impalpable powder prepared from chalk by pulverizing and repeated washings, -- used as a white pigment. -- Spanish windlass (Naut.), a wooden roller, with a rope wound about it, into which a marline spike is thrust to serve as a lever.\n\nThe language of Spain.
spank |To strike, as the breech, with the open hand; to slap.\n\nA blow with the open hand; a slap.\n\nTo move with a quick, lively step between a trot and gallop; to move quickly. Thackeray.
spanker |1. One who spanks, or anything used as an instrument for spanking. 2. (Naut.)  The after sail of a ship or bark, being a fore-and-aft sail attached to a boom and gaff; -- sometimes called driver. See Illust. under Sail. Totten. 3. One who takes long, quick strides in walking; also, a fast horse. [Colloq.] 4. Something very large, or larger than common; a whopper, as a stout or tall person. [Colloq.] Spanker boom (Naut.), a boom to which a spanker sail is attached. See Illust. of Ship.\n\nA small coin. [Obs. or Prov. Eng.]
spanking |1. Moving with a quick, lively pace, or capable of so doing; dashing. Four spanking grays ready harnessed. G. Colman, the Younger. 2. Large; considerable. [Colloq.]
spanking breeze |a strong breeze.
spanless |Incapable of being spanned.
spanner |1. One who, or that which, spans. 2. The lock of a fusee or carbine; also, the fusee or carbine itself. [Obs.] 3. An iron instrument having a jaw to fit a nut or the head of a bolt, and used as a lever to turn it with; a wrench; specifically, a wrench for unscrewing or tightening the couplings of hose. 4. pl.  A contrivance in some of the ealier steam engines for moving the valves for the alternate admission and shutting off of the steam.
spannishing |The full blooming of a flower. [Obs.] Rom. of R.
spanpiece |The collar of a roof; sparpiece.
spanworm |The larva of any geometrid moth, as the cankeworm; a geometer; a measuring worm.
spar |An old name for a nonmetallic mineral, usually cleavable and somewhat lustrous; as, calc spar, or calcite, fluor spar, etc. It was especially used in the case of the gangue minerals of a metalliferous vein. Blue spar, Cube spar, etc. See under Blue, Cube, etc.\n\n1. (Naut.)  A general term any round piece of timber used as a mast, yard, boom, or gaff. 2. (Arch.)  Formerly, a piece of timber, in a general sense; -- still applied locally to rafters. 3. The bar of a gate or door. [Obs.] Chaucer. Spar buoy (Naut.), a buoy anchored by one end so that the other end rises above the surface of the water. -- Spar deck (Naut.), the upper deck of a vessel; especially, in a frigate, the deck which is continued in a straight line from the quarter-deck to the forecastle, and on which spare spars are usually placed. See under Deck. -- Spar torpedo (Naut.), a torpedo carried on the end of a spar usually projecting from the bow of a vessel, and intended to explode upon contact with an enemy's ships.\n\n1. To bolt; to bar. [Obs.] Chaucer. 2. To To supply or equip with spars, as a vessel. Note: A vessel equipped with spars that are too large or too small is said to be oversparred or undersparred.\n\n1. To strike with the feet or spurs, as cocks do. 2. To use the fists and arms scientifically in attack or defense; to contend or combat with the fists, as for exercise or amusement; to box. Made believe to spar at Paul with great science. Dickens. 3. To contest in words; to wrangle. [Colloq.]\n\n1. A contest at sparring or boxing. 2. A movement of offense or defense in boxing.
spar-hung |Hung with spar, as a cave.
sparable |A kind of small nail used by shoemakers.
sparada |A small California surf fish (Micrometrus aggregatus); -- called also shiner.
sparadrap |1. A cerecloth. [Obs.] 2. (Med.)  Any adhesive plaster.
sparage |Obs. or corrupt forms of Asparagus.
sparagrass |Obs. or corrupt forms of Asparagus.
sparagus |Obs. or corrupt forms of Asparagus.
sparble |To scatter; to disperse; to rout. [Obs.] The king's host was sparbled and chased. Fabyan.
spare |1. To use frugally or stintingly, as that which is scarce or valuable; to retain or keep unused; to save. \"No cost would he spare.\" Chaucer. [Thou] thy Father's dreadful thunder didst not spare. Milton. He that hath knowledge, spareth his words. Prov. xvii. 27. 2. To keep to one's self; to forbear to impart or give. Be pleased your plitics to spare. Dryden. Spare my sight the pain Of seeing what a world of tears it costs you. Dryden. 3. To preserve from danger or punishment; to forbear to punish, injure, or harm; to show mercy to. Spare us, good Lord. Book of Common Prayer. Dim sadness did not spare That time celestial visages. Milton. Man alone can whom he conquers spare. Waller. 4. To save or gain, as by frugality; to reserve, as from some occupation, use, or duty. All the time he could spare from the necessary cares of his weighty charge, he Knolles. 5. To deprive one's self of, as by being frugal; to do without; to dispense with; to give up; to part with. Where angry Jove did never spare One breath of kind and temperate air. Roscommon. I could have better spared a better man. Shak. To spare one's self. (a) To act with reserve. [Obs.] Her thought that a lady should her spare. Chaucer. (b) To save one's self labor, punishment, or blame.\n\n1. To be frugal; not to be profuse; to live frugally; to be parsimonious. I, who at some times spend, at others spare, Divided between carelessness and care. Pope. 2. To refrain from inflicting harm; to use mercy or forbearance. He will not spare in the day of vengeance. Prov. vi. 34. 3. To desist; to stop; to refrain. [Obs.] Chaucer.\n\n1. Scanty; not abundant or plentiful; as, a spare diet. 2. Sparing; frugal; parsimonious; chary. He was spare, but discreet of speech. Carew. 3. Being over and above what is necessary, or what must be used or reserved; not wanted, or not used; superfluous; as, I have no spare time. If that no spare clothes he had to give. Spenser. 4. Held in reserve, to be used in an emergency; as, a spare anchor; a spare bed or room. 5. Lean; wanting flesh; meager; thin; gaunt. O, give me the spare men, and spare me the great ones. Shak. 6. Slow. [Obs. or prov. Eng.] Grose.\n\n1. The act of sparing; moderation; restraint. [Obs.] Killing for sacrifice, without any spare. Holland. 2. Parsimony; frugal use. [Obs.] Bacon. Poured out their plenty without spite or spare. Spenser. 3. An opening in a petticoat or gown; a placket. [Obs.] 4. That which has not been used or expended. 5. (Tenpins)  The right of bowling again at a full set of pins, after having knocked all the pins down in less than three bowls. If all the pins are knocked down in one bowl it is a double spare; in two bowls, a single spare.
spareful |Sparing; chary. [Obs.] Fairfax. -- Spare\"ful*ness, n. [Obs.] Sir P. Sidney.
spareless |Unsparing. Sylvester.
sparely |In a spare manner; sparingly.
spareness |The quality or state of being lean or thin; leanness.
sparer |One who spares.
sparerib |A piece of pork, consisting or ribs with little flesh on them.
sparge |To sprinkle; to moisten by sprinkling; as, to sparge paper.
spargefaction |The act of sprinkling. [Obs.] Swift.
sparger |A vessel with a perforated cover, for sprinkling with a liquid; a sprinkler.
sparhawk |The sparrow hawk. [Prov. Eng.]
sparing |Spare; saving; frugal; merciful. Bacon. -- Spar\"ing*ly, adv. -- Spar\"ing*ness, n.
spark |1. A small particle of fire or ignited substance which is emitted by a body in combustion. Man is born unto trouble, as hte sparks fly upward. Job v. 7. 2. A small, shining body, or transient light; a sparkle. 3. That which, like a spark, may be kindled into a flame, or into action; a feeble germ; an elementary principle. \"If any spark of life be yet remaining.\" Shak. \"Small intellectual spark.\" Macaulay. \"Vital spark of heavenly flame.\" Pope. We have here and there a little clear light, some sparks of bright knowledge. Locke. Bright gem instinct with music, vocal spark. Wordsworth. Spark arrester, a contrivance to prevent the escape of sparks while it allows the passage of gas, -- chiefly used in the smokestack of a wood-burning locomotive. Called also spark consumer. [U.S.]\n\n1. A brisk, showy, gay man. The finest sparks and cleanest beaux. Prior. 2. A lover; a gallant; a beau.\n\nTo sparkle. [Obs.] Spenser.\n\nTo play the spark, beau, or lover. A sure sign that his master was courting, or, as it is termed, sparking, within. W. Irwing.
spark coil |(a) An induction coil, esp. of an internal-combustion engine, wireless telegraph apparatus, etc. (b) A self-induction coil used to increase the spark in an electric gas-lighting apparatus.
spark gap |The space filled with air or other dielectric between high potential terminals (as of an electrostatic machine, induction coil, or condenser), through which the discharge passes; the air gap of a jump spark.
spark plug |In internal-combustion engines with electric ignition, a plug, screwed into the cylinder head, having through it an insulated wire which is connected with the induction coil or magneto circuit on the outside, and forms, with another terminal on the base of the plug, a spark gap inside the cylinder.
sparker |A spark arrester.
sparkful |Lively; brisk; gay. [Obs.] \"Our sparkful youth.\" Camden.
sparkish |1. Like a spark; airy; gay. W. Walsh. 2. Showy; well-dresed; fine. L'Estrange.
sparkle |1. A little spark; a scintillation. As fire is wont to quicken and go From a sparkle sprungen amiss, Till a city brent up is. Chaucer. The shock was sufficiently strong to strike out some sparkles of his fiery temper. Prescott. 2. Brilliancy; luster; as, the sparkle of a diamond.\n\n1. To emit sparks; to throw off ignited or incandescent particles; to shine as if throwing off sparks; to emit flashes of light; to scintillate; to twinkle; as, the blazing wood sparkles; the stars sparkle. A mantelet upon his shoulder hanging Bretful of rubies red, as fire sparkling. Chaucer. 2. To manifest itself by, or as if by, emitting sparks; to glisten; to flash. I see bright honor sparkle through your eyes. Milton. 3. To emit little bubbles, as certain kinds of liquors; to effervesce; as, sparkling wine. Syn. -- To shine; glisten; scintillate; radiate; coruscate; glitter; twinkle.\n\nTo emit in the form or likeness of sparks. \"Did sparkle forth great light.\" Spenser.\n\n1. To disperse. [Obs.] The Landgrave hath sparkled his army without any further enterprise. State Papers. 2. To scatter on or over. [Obs.] Purchas.
sparkler |One who scatters; esp., one who scatters money; an improvident person. [Obs.]\n\nOne who, or that which, sparkles.\n\nA tiger beetle.
sparklet |A small spark. [Obs.]
sparkliness |Vivacity. [Obs.] Aubrey.
sparkling |Emitting sparks; glittering; flashing; brilliant; lively; as, sparkling wine; sparkling eyes. -- Spar\"kling*ly, adv. -- Spar\"kling*ness, n. Syn. -- Brilliant; shining. See Shining.
sparling |(a) The European smelt (Osmerus eperlanus). (b) A young salmon. (c) A tern. [Scot. & Prov. Eng.]
sparlyre |The calf of the leg. [Obs.] Wyclif (Deut. xxviii. 35).
sparoid |of or pertaining to the Sparidæ, a family of spinous-finned fishes which includes the scup, sheepshead, and sea bream. -- n.  One of the Sparidæ.
sparpiece |The collar beam of a roof; the spanpiece. Gwilt.
sparpoil |To scatter; to spread; to disperse. [Obs.]
sparrow |1. (Zoöl.)  One of many species of small singing birds of the family Fringilligæ, having conical bills, and feeding chiefly on seeds. Many sparrows are called also finches, and buntings. The common sparrow, or house sparrow, of Europe (Passer domesticus) is noted for its familiarity, its voracity, its attachment to its young, and its fecundity. See House sparrow, under House. Note: The following American species are well known; the chipping sparrow, or chippy, the sage sparrow, the savanna sparrow, the song sparrow, the tree sparrow, and the white-throated sparrow (see Peabody bird). See these terms under Sage, Savanna, etc. 2. (Zoöl.)  Any one of several small singing birds somewhat resembling the true sparrows in form or habits, as the European hedge sparrow. See under Hedge. He that doth the ravens feed, Yea, providently caters for the sparrow, Be comfort to my age! Shak. Field sparrow, Fox sparrow, etc. See under Field, Fox, etc. -- Sparrow bill, a small nail; a castiron shoe nail; a sparable. -- Sparrow hawk. (Zoöl.) (a) A small European hawk (Accipiter nisus) or any of the allied species. (b) A small American falcon (Falco sparverius). (c) The Australian collared sparrow hawk (Accipiter torquatus). Note: The name is applied to other small hawks, as the European kestrel and the New Zealand quail hawk. -- Sparrow owl (Zoöl.), a small owl (Glaucidium passerinum) found both in the Old World and the New. The name is also applied to other species of small owls. -- Sparrow spear (Zoöl.), the female of the reed bunting. [Prov. Eng.]
sparrowgrass |Asparagus. [Colloq.] See the Note under Asparagus.
sparrowwort |An evergreen shrub of the genus Erica (E. passerina).
