parallel standards |Two or more metals coined without any attempt by the government to regulate their values.
parament |Ornamental hangings, furniture, etc., as of a state apartment; rich and elegant robes worn by men of rank; -- chiefly in the plural. [Obs.] Lords in paraments on their coursers. Chaucer. Chamber of paraments, presence chamber of a monarch.
paramento |Ornament; decoration. Beau. & Fl.
paramere |One of the symmetrical halves of any one of the radii, or spheromeres, of a radiate animal, as a starfish.
parameter |1. (a) (Math.) A term applied to some characteristic magnitude whose value, invariable as long as one and the same function, curve, surface, etc., is considered, serves to distinguish that function, curve, surface, etc., from others of the same kind or family. Brande & C. (b) Specifically (Conic Sections), in the ellipse and hyperbola, a third proportional to any diameter and its conjugate, or in the parabola, to any abscissa and the corresponding ordinate. Note: The parameter of the principal axis of a conic section is called the latus rectum. 2. (Crystallog.)  The ratio of the three crystallographic axes which determines the position of any plane; also, the fundamental axial ratio for a given species.
parametritis |Inflammation of the cellular tissue in the vicinity of the uterus.
paramiographer |A collector or writer of proverbs. [R.]
paramitome |The fluid portion of the protoplasm of a cell.
paramo |A high, bleak plateau or district, with stunted trees, and cold, damp atmosphere, as in the Andes, in South America.
paramorph |A kind of pseudomorph, in which there has been a change of physical characters without alteration of chemical composition, as the change of aragonite to calcite.
paramorphism |The change of one mineral species to another, so as to involve a change in physical characters without alteration of chemical composition.
paramorphous |Relating to paramorphism; exhibiting paramorphism.
paramount |Having the highest rank or jurisdiction; superior to all others; chief; supreme; preëminent; as, a paramount duty. \"A traitor paramount.\" Bacon. Lady paramount (Archery), the lady making the best score. -- Lord paramount, the king. Syn. Superior; principal; preëminent; chief.\n\nThe highest or chief. Milton.
paramountly |In a paramount manner.
paramour |1. A lover, of either sex; a wooer or a mistress (formerly in a good sense, now only in a bad one); one who takes the place, without possessing the rights, of a husband or wife; -- used of a man or a woman. The seducer appeared with dauntless front, accompanied by his paramour Macaulay. 2. Love; gallantry. [Obs.] \"For paramour and jollity.\" Chaucer.\n\nBy or with love, esp. the love of the sexes; -- sometimes written as two words. [Obs.] For par amour, I loved her first ere thou. Chaucer.
paramours |By or with love, esp. the love of the sexes; -- sometimes written as two words. [Obs.] For par amour, I loved her first ere thou. Chaucer.
paramylum |A substance resembling starch, found in the green frothy scum formed on the surface of stagnant water.
paranaphthalene |Anthracene; -- called also paranaphthaline. [Obs.]
paranoia |Mental derangement; insanity.
paranoiac |Of or pertaining to paranoia; affected with, or characteristic of, paranoia.\n\nA person affected with paranoia.
paranthracene |An inert isomeric modification of anthracene.
paranucleus |Some as Nucleolus.
paranymph |1. (Gr. Antiq.) (a) A friend of the bridegroom who went with him in his chariot to fetch home the bride. Milton. (b) The bridesmaid who conducted the bride to the bridegroom. 2. Hence: An ally; a supporter or abettor. Jer. Taylor.
paranymphal |Bridal; nuptial. [R.] At some paranymphal feast. Ford.
parapectin |A gelatinous modification of pectin.
parapegm |An engraved tablet, usually of brass, set up in a public place. Note: Parapegms were used for the publication of laws, proclamations, etc., and the recording of astronomical phenomena or calendar events.
parapeptone |An albuminous body formed in small quantity by the peptic digestion of proteids. It can be converted into peptone by pancreatic juice, but not by gastric juice.
parapet |1. (Arch.)  A low wall, especially one serving to protect the edge of a platform, roof, bridge, or the like. 2. (Fort.)  A wall, rampart, or elevation of earth, for covering soldiers from an enemy's fire; a breastwork. See Illust. of Casemate.
parapetalous |Growing by the side of a petal, as a stamen.
parapeted |Having a parapet.
paraph |A flourish made with the pen at the end of a signature. In the Middle Ages, this formed a sort of rude safeguard against forgery. Brande & C.\n\nTo add a paraph to; to sign, esp. with the initials.
parapherna |The property of a woman which, on her marriage, was not made a part of her dower, but remained her own.
paraphernal |Of or pertaining to paraphernalia; as, paraphernal property. Kent.
paraphernalia |1. (Law)  Something reserved to a wife, over and above her dower, being chiefly apparel and ornaments suited to her degree. 2. Appendages; ornaments; finery; equipments.
paraphimosis |A condition in which the prepuce, after being retracted behind the glans penis, is constricted there, and can not be brought forward into place again.
paraphosphoric |Pyrophosphoric. [Obs.]
paraphragma |One of the outer divisions of an endosternite of Crustacea. -- Par`a*phrag\"mal, a.
paraphrase |A restatement of a text, passage, or work, expressing the meaning of the original in another form, generally for the sake of its clearer and fuller exposition; a setting forth the signification of a text in other and ampler terms; a free translation or rendering; -- opposed to metaphrase. In paraphrase, or translation with latitude, the author's words are not so strictly followed as his sense. Dryden. Excellent paraphrases of the Psalms of David. I. Disraeli. His sermons a living paraphrase upon his practice. Sowth. The Targums are also called the Chaldaic or Aramaic Paraphrases. Shipley.\n\nTo express, interpret, or translate with latitude; to give the meaning of a passage in other language. We are put to construe and paraphrase our own words. Bp. Stillingfleet.\n\nTo make a paraphrase.
paraphraser |One who paraphrases.
paraphrasian |A paraphraser. [R.]
paraphrast |A paraphraser. T. Warton.
paraphrastic |Paraphrasing; of the nature of paraphrase; explaining, or translating in words more clear and ample than those of the author; not literal; free. -- Par`a*phras\"tic*al*ly, adv.
paraphrastical |Paraphrasing; of the nature of paraphrase; explaining, or translating in words more clear and ample than those of the author; not literal; free. -- Par`a*phras\"tic*al*ly, adv.
paraphysis |A minute jointed filament growing among the archegonia and antheridia of mosses, or with the spore cases, etc., of other flowerless plants.
paraplegia |Palsy of the lower half of the body on both sides, caused usually by disease of the spinal cord. -- Par`a*pleg\"ic, a.
paraplegy |Palsy of the lower half of the body on both sides, caused usually by disease of the spinal cord. -- Par`a*pleg\"ic, a.
parapleura |A chitinous piece between the metasternum and the pleuron of certain insects.
parapodium |One of the lateral appendages of an annelid; -- called also foot tubercle. Note: They may serve for locomotion, respiration, and sensation, and often contain spines or setæ. When well developed, a dorsal part, or notopodium, and a ventral part, or neuropodium, are distinguished.
parapophysis |The ventral transverse, or capitular, process of a vertebra. See Vertebra. -- Par*ap`o*phys\"ic*al, a.
parapterum |A special plate situated on the sides of the mesothorax and metathorax of certain insects.
paraquet |See Parrakeet.
paraquito |See Parrakeet.
parasang |A Persian measure of length, which, according to Herodotus and Xenophon, was thirty stadia, or somewhat more than three and a half miles. The measure varied in different times and places, and, as now used, is estimated at from three and a half to four English miles.
parascenium |One of two apartments adjoining the stage, probably used as robing rooms.
parasceve |1. Among the Jews, the evening before the Sabbath. [Obs.] Mark xv. 42 (Douay ver.) 2. A preparation. [R.] Donne.
paraschematic |Of or pertaining to a change from the right form, as in the formation of a word from another by a change of termination, gender, etc. Max Müller.
paraselene |A mock moon; an image of the moon which sometimes appears at the point of intersection of two lunar halos. Cf. Parhelion.
parashah |A lesson from the Torah, or Law, from which at least one section is read in the Jewish synagogue on every Sabbath and festival.
parashoth |pl. of Parashah.
parasita |(a) An artificial group formerly made for parasitic insects, as lice, ticks, mites, etc. (b) A division of copepod Crustacea, having a sucking mouth, as the lerneans. They are mostly parasites on fishes. Called also Siphonostomata.
parasital |Of or pertaining to parasites; parasitic.
parasite |1. One who frequents the tables of the rich, or who lives at another's expense, and earns his welcome by flattery; a hanger-on; a toady; a sycophant. Thou, with trembling fear, Or like a fawning parasite, obey'st. Milton. Parasites were called such smell-feasts as would seek to be free guests at rich men's tables. Udall. 2. (Bot.) (a) A plant obtaining nourishment immediately from other plants to which it attaches itself, and whose juices it absorbs; -- sometimes, but erroneously, called epiphyte. (b) A plant living on or within an animal, and supported at its expense, as many species of fungi of the genus Torrubia. 3. (Zoöl.) (a) An animal which lives during the whole or part of its existence on or in the body of some other animal, feeding upon its food, blood, or tissues, as lice, tapeworms, etc. (b) An animal which steals the food of another, as the parasitic jager. (c) An animal which habitually uses the nest of another, as the cowbird and the European cuckoo.
parasitic |1. Of the nature of a parasite; fawning for food or favors; sycophantic. \"Parasitic preachers.\" Milton. 2. (Bot. & Zoöl.)  Of or pertaining to parasites; living on, or deriving nourishment from, some other living animal or plant. See Parasite, 2 & 3. Parasitic gull, Parasitic jager. (Zoöl.) See Jager. -- Par`a*sit\"ic*al*ly, adv. -- Par`a*sit\"ic*al*ness, n.
parasitical |1. Of the nature of a parasite; fawning for food or favors; sycophantic. \"Parasitic preachers.\" Milton. 2. (Bot. & Zoöl.)  Of or pertaining to parasites; living on, or deriving nourishment from, some other living animal or plant. See Parasite, 2 & 3. Parasitic gull, Parasitic jager. (Zoöl.) See Jager. -- Par`a*sit\"ic*al*ly, adv. -- Par`a*sit\"ic*al*ness, n.
parasiticide |Anything used to destroy parasites. Quain.
parasitism |1. The state or behavior of a parasite; the act of a parasite. \"Court parasitism.\" Milton. 2. (Bot. & Zoöl.)  The state of being parasitic.
parasol |A kind of small umbrella used by women as a protection from the sun.\n\nTo shade as with a parasol. [R.]
parasolette |A small parasol.
parasphenoid |Near the sphenoid bone; -- applied especially to a bone situated immediately beneath the sphenoid in the base of the skull in many animals. -- n.  The parasphenoid bone.
parastichy |A secondary spiral in phyllotaxy, as one of the evident spirals in a pine cone.
parasynaxis |An unlawful meeting.
parasynthetic |Formed from a compound word. \"Parasynthetic derivatives.\" Dr. Murray.
paratactic |Of pertaining to, or characterized by, parataxis.
parataxis |The mere ranging of propositions one after another, without indicating their connection or interdependence; -- opposed to syntax. Brande & C.
parathesis |1. (Gram.)  The placing of two or more nouns in the same case; apposition. 2. (Rhet.)  A parenthetical notice, usually of matter to be afterward expanded. Smart. 3. (Print.)  The matter contained within brackets. 4. (Eccl.)  A commendatory prayer. Shipley.
parathetic |Of or pertaining to parathesis.
paratonnerre |A conductor of lightning; a lightning rod.
paraunter |Peradventure. See Paraventure. [Obs.] Chaucer.
parauque |A bird (Nyctidromus albicollis) ranging from Texas to South America. It is allied to the night hawk and goatsucker.
paravail |At the bottom; lowest. Cowell. Note: In feudal law, the tenant paravail is the lowest tenant of the fee, or he who is immediate tenant to one who holds over of another. Wharton.
paravant |1. In front; publicly. [Obs.] Spenser. 2. Beforehand; first. [Obs.] Spenser.\n\n1. In front; publicly. [Obs.] Spenser. 2. Beforehand; first. [Obs.] Spenser.
paraventure |Peradventure; perchance. [Obs.] Chaucer.
paraxanthin |A crystalline substance closely related to xanthin, present in small quantity in urine.
paraxial |On either side of the axis of the skeleton.
paraxylene |A hydrocarbon of the aromatic series obtained as a colorless liquid by the distillation of camphor with zinc chloride. It is one of the three metamers of xylene. Cf. Metamer, and Xylene.
parboil |1. To boil or cook thoroughly. [Obs.] B. Jonson. 2. To boil in part; to cook partially by boiling.
parbreak |To throw out; to vomit. [Obs.] Skelton.\n\nVomit. [Obs.] Spenser.
parbuckle |(a) A kind of purchase for hoisting or lowering a cylindrical burden, as a cask. The middle of a long rope is made fast aloft, and both parts are looped around the object, which rests in the loops, and rolls in them as the ends are hauled up or payed out. (b) A double sling made of a single rope, for slinging a cask, gun, etc.\n\nTo hoist or lower by means of a parbuckle. Totten.
parcae |The Fates. See Fate, 4.
parcase |Perchance; by chance. [Obs.] Chaucer.
parcel |1. A portion of anything taken separately; a fragment of a whole; a part. [Archaic] \"A parcel of her woe.\" Chaucer. Two parcels of the white of an egg. Arbuthnot. The parcels of the nation adopted different forms of self-government. J. A. Symonds. 2. (Law)  A part; a portion; a piece; as, a certain piece of land is part and parcel of another piece. 3. An indiscriminate or indefinite number, measure, or quantity; a collection; a group. This youthful parcel Of noble bachelors stand at my disposing. Shak. 4. A number or quantity of things put up together; a bundle; a package; a packet. 'Tis like a parcel sent you by the stage. Cowper. Bill of parcels. See under 6th Bill. -- Parcel office, an office where parcels are received for keeping or forwarding and delivery. -- Parcel post, that department of the post office concerned with the collection and transmission of parcels. -- Part and parcel. See under Part.\n\n1. To divide and distribute by parts or portions; -- often with out or into. \"Their woes are parceled, mine are general.\" Shak. These ghostly kings would parcel out my power. Dryden. The broad woodland parceled into farms. Tennyson. 2. To add a parcel or item to; to itemize. [R.] That mine own servant should Parcel the sum of my disgraces by Addition of his envy. Shak. 3. To make up into a parcel; as, to parcel a customer's purchases; the machine parcels yarn, wool, etc. To parcel a rope (Naut.), to wind strips of tarred canvas tightly arround it. Totten. -- To parcel a seam (Naut.), to cover it with a strip of tarred canvas.\n\nPart or half; in part; partially. Shak. [Sometimes hyphened with the word following.] The worthy dame was parcel-blind. Sir W. Scott. One that . . . was parcel-bearded [partially bearded]. Tennyson. Parcel poet, a half poet; a poor poet. [Obs.] B. Jonson.
parcel post |That branch of the post office having to do with the collection, transmission, and delivery of parcels. The British Inland Parcel Post was established in 1883. The present rates, dating from 1897, are 3d. for parcels not exceeding one pound and 1d. for each additional pound up to the limit of 10 pounds. A general parcel post was established in the United States by Act of August 24, 1912, which took effect Jan. 1, 1913. Parcels must not exceed 11 pounds in weight nor 72 inches in length and girth combined. Provision is made from insuring parcels up to $50.00, and also for sending parcels C.O.D. The rates of postage vary with the distance. See Zone, below.
parcel-mele |By parcels or parts. [Obs.] Chaucer.
parceling |1. The act of dividing and distributing in portions or parts. 2. (Naut.)  Long, narrow slips of canvas daubed with tar and wound about a rope like a bandage, before it is served; used, also, in mousing on the stayes, etc.
parcenary |The holding or occupation of an inheritable estate which descends from the ancestor to two or more persons; coheirship. Note: It differs in many respects from joint tenancy, which is created by deed or devise. In the United States there is no essential distinction between parcenary and tenancy in common. Wharton. Kent.
parcener |A coheir, or one of two or more persons to whom an estate of inheritance descends jointly, and by whom it is held as one estate.
parch |1. To burn the surface of; to scorch; to roast over the fire, as dry grain; as, to parch the skin; to parch corn. Ye shall eat neither bread, nor parched corn. Lev. xxiii. 14. 2. To dry to extremity; to shrivel with heat; as, the mouth is parched from fever. The ground below is parched. Dryden.\n\nTo become scorched or superficially burnt; to be very dry. \"Parch in Afric sun.\" Shak.
parchedness |The state of being parched.
parcheesi |A game adopted from the Indian game, using disks, as of pasteboard, and dice. [U. S. & Eng.]\n\nSee Pachisi.
parchesi |A game adopted from the Indian game, using disks, as of pasteboard, and dice. [U. S. & Eng.]\n\nA game, somewhat resembling backgammon, originating in India.\n\nSee Pachisi.
parching |Scorching; burning; drying. \"Summer's parching heat.\" Shak. -- Parch\"ing*ly, adv.
parchisi |A game adopted from the Indian game, using disks, as of pasteboard, and dice. [U. S. & Eng.]
parchment |1. The skin of a lamb, sheep, goat, young calf, or other animal, prepared for writing on. See Vellum. But here's a parchment with the seal of Cæsar. Shak. 2. The envelope of the coffee grains, inside the pulp. Parchment paper. See Papyrine.
parchmentize |To convert to a parchmentlike substance, esp. by sulphuric acid.
parcity |Sparingless. [Obs.]
parclose |A screen separating a chapel from the body of the church. [Written also paraclose and perclose.] Hook.
pard |A leopard; a panther. And more pinch-spotted make them Than pard or cat o'mountain. Shak.
pardale |A leopard. [Obs.] Spenser.
parde |Certainly; surely; truly; verily; -- originally an oath. [Written also pardee, pardieux, perdie, etc.] [Obs.] He was, parde, an old fellow of yours. Chaucer.
pardie |Certainly; surely; truly; verily; -- originally an oath. [Written also pardee, pardieux, perdie, etc.] [Obs.] He was, parde, an old fellow of yours. Chaucer.
pardine |Spotted like a pard. Pardine lynx (Zoöl.), a species of lynx (Felis pardina) inhabiting Southern Europe. Its color is rufous, spotted with black.
pardo |A money of account in Goa, India, equivalent to about 2s. 6d. sterling. or 60 cts.
pardon |1. The act of pardoning; forgiveness, as of an offender, or of an offense; release from penalty; remission of punishment; absolution. Pardon, my lord, for me and for my tidings. Shak. But infinite in pardon was my judge. Milton. Used in expressing courteous denial or contradiction; as, I crave your pardon; or in indicating that one has not understood another; as, I beg pardon. 2. An official warrant of remission of penalty. Sign me a present pardon for my brother. Shak. 3. The state of being forgiven. South. 4. (Law)  A release, by a sovereign, or officer having jurisdiction, from the penalties of an offense, being distinguished from amenesty, which is a general obliteration and canceling of a particular line of past offenses. Syn. -- Forgiveness; remission. See Forgiveness.\n\n1. To absolve from the consequences of a fault or the punishment of crime; to free from penalty; -- applied to the offender. In this thing the Lord pardon thy servant. 2 Kings v. 18. I pray you, pardon me; pray heartily, pardom me. Shak. 2. To remit the penalty of; to suffer to pass without punishment; to forgive; -- applied to offenses. I pray thee, pardon my sin. 1 S Apollo, pardon My great profaneness 'gainst thine oracle Shak. 3. To refrain from exacting as a penalty. I pardon thee thy life before thou ask it. Shak. 4. To give leave (of departure) to. [Obs.] Even now about it! I will pardon you. Shak. Pardon me, forgive me; excuse me; -- a phrase used also to express courteous denial or contradiction. Syn. -- To forgive; absolve; excuse; overlook; remit; asquit. See Excuse.\n\n-- Forgiveness, Pardon. Forgiveness is Anglo-Saxon, and pardon Norman French, both implying a giving back. The word pardon, being early used in our Bible, has, in religious matters, the same sense as forgiveness; but in the language of common life there is a difference between them, such as we often find between corresponding Anglo-Saxon and Norman words. Forgive points to inward feeling, and suppose alienated affection; when we ask forgiveness, we primarily seek the removal of anger. Pardon looks more to outward things or consequences, and is often applied to trifling matters, as when we beg pardon for interrupting a man, or for jostling him in a crowd. The civil magistrate also grants a pardon, and not forgiveness. The two words are, therefore, very clearly distinguished from each other in most cases which relate to the common concerns of life.
pardonable |Admitting of pardon; not requiring the excution of penalty; venial; excusable; -- applied to the offense or to the offender; as, a pardonable fault, or culprit.
pardonableness |The quality or state of being pardonable; as, the pardonableness of sin. Bp. Hall.
pardonably |In a manner admitting of pardon; excusably. Dryden.
pardoner |1. One who pardons. Shak. 2. A seller of indulgences. [Obs.] Chaucer.
pardoning |Relating to pardon; having or exercising the right to pardon; willing to pardon; merciful; as, the pardoning power; a pardoning God.
pare |1. To cut off, or shave off, the superficial substance or extremities of; as, to pare an apple; to pare a horse's hoof. 2. To remove; to separate; to cut or shave, as the skin, ring, or outside part, from anything; -- followed by off or away; as; to pare off the ring of fruit; to pare away redundancies. 3. Fig.: To diminish the bulk of; to reduce; to lessen. The king began to pare a little the privilege of clergy. Bacon.
paregoric |Mitigating; assuaging or soothing pain; as, paregoric elixir.\n\nA medicine that mitigates pain; an anodyne; specifically, camphorated tincture of opium; -- called also paregoric elexir.
parelcon |The addition of a syllable or particle to the end of a pronoun, verb, or adverb.
parelectronomic |Of or relating to parelectronomy; as, the parelectronomic part of a muscle.
parelectronomy |A condition of the muscles induced by exposure to severe cold, in which the electrical action of the muscle is reversed.
parella |(a) A name for two kinds of dock (Rumex Patientia and R. Hydrolapathum). (b) A kind of lichen (Lecanora parella) once used in dyeing and in the preparation of litmus.
parelle |(a) A name for two kinds of dock (Rumex Patientia and R. Hydrolapathum). (b) A kind of lichen (Lecanora parella) once used in dyeing and in the preparation of litmus.
parembole |A kind of parenthesis.
parement |See Parament. [Obs.]
paremptosis |Same as Parembole.
parenchyma |The soft celluar substance of the tissues of plants and animals, like the pulp of leaves, to soft tissue of glands, and the like.
parenchymal |Of, pertaining to, or consisting of, parenchyma.
parenchymatous |Of, pertaining to, or connected with, the parenchyma of a tissue or an organ; as, parenchymatous degeneration.
parenchymous |Of, pertaining to, or connected with, the parenchyma of a tissue or an organ; as, parenchymatous degeneration.
parenesis |Exhortation. [R.]
parenetic |Hortatory; encouraging; persuasive. [R.] F. Potter.
parenetioal |Hortatory; encouraging; persuasive. [R.] F. Potter.
parent |1. One who begets, or brings forth, offspring; a father or a mother. Children, obey your parents in the Lord. Eph. vi. 1. 2. That which produces; cause; source; author; begetter; as, idleness is the parent of vice. Regular industry is the parent of sobriety. Channing. Parent cell. (Biol.) See Mother cell, under Mother, also Cytula. -- Parent nucleus (Biol.), a nucleus which, in cell division, divides, and gives rise to two or more daughter nuclei. See Karyokinesis, and Cell division, under Division.
parentage |Descent from parents or ancestors; parents or ancestors considered with respect to their rank or character; extraction; birth; as, a man of noble parentage. \"Wilt thou deny thy parentage\" Shak. Though men esteem thee low of parentage. Milton.
parental |1. Of or pertaining to a parent or to parents; as, parental authority; parental obligations. 2. Becoming to, or characteristic of, parents; tender; affectionate; devoted; as, parental care. The careful course and parental provision of nature. Sir T. Browne.
parentally |In a parental manner.
parentation |Something done or said in honor of the dead; obsequies. [Obs.] Abp. Potter.
parentele |Kinship; parentage. [Obs.] Chaucer.
parenthesis |1. A word, phrase, or sentence, by way of comment or explanation, inserted in, or attached to, a sentence which would be grammatically complete without it. It is usually inclosed within curved lines (see def. 2 below), or dashes. \"Seldom mentioned without a derogatory parenthesis.\" Sir T. Browne. Don't suffer every occasional thought to carry you away into a long parenthesis. Watts. 2. (Print.)  One of the curved lines () which inclose a parenthetic word or phrase. Note: Parenthesis, in technical grammar, is that part of a sentence which is inclosed within the recognized sign; but many phrases and sentences which are punctuated by commas are logically parenthetical. In def. 1, the phrase \"by way of comment or explanation\" is inserted for explanation, and the sentence would be grammatically complete without it. The present tendency is to avoid using the distinctive marks, except when confusion would arise from a less conspicuous separation.
parenthesize |To make a parenthesis of; to include within parenthetical marks. Lowell.
parenthetic |1. Of the nature of a parenthesis; pertaining to, or expressed in, or as in, a parenthesis; as, a parenthetical clause; a parenthetic remark. A parenthetical observation of Moses himself. Hales. 2. Using or containing parentheses.
parenthetical |1. Of the nature of a parenthesis; pertaining to, or expressed in, or as in, a parenthesis; as, a parenthetical clause; a parenthetic remark. A parenthetical observation of Moses himself. Hales. 2. Using or containing parentheses.
parenthetically |In a parenthetical manner; by way of parenthesis; by parentheses.
parenthood |The state of a parent; the office or character of a parent.
parenticide |1. The act of one who kills one's own parent. [R.] 2. One who kills one's own parent; a parricide. [R.]
parentless |Deprived of parents.
parepididymis |A small body containing convoluted tubules, situated near the epididymis in man and some other animals, and supposed to be a remnant of the anterior part of the Wolffian body.
parer |One who, or that which, pares; an instrument for paring.
parergon |See Parergy.
parergy |Something unimportant, incidental, or superfluous. [Obs.] Sir T. Browne.
paresis |Incomplete paralysis, affecting motion but not sensation.
parethmoid |Near or beside the ethmoid bone or cartilage; -- applied especially to a pair of bones in the nasal region of some fishes, and to the ethmoturbinals in some higher animals. -- n.  A parethmoid bone.
paretic |Of or pertaining to paresis; affected with paresis.
parfay |By my faith; verily. [Obs.] Chaucer.
parfit |Perfect. [Obs.] Chaucer.
parfitly |Perfectly. [Obs.] Chaucer.
parfleche |A kind of rawhide consisting of hide, esp. of the buffalo, which has been soaked in crude wood-ash lye to remove the hairs, and then dried.
parfocal |With the lower focal points all in the same plane; -- said of sets of eyepieces so mounted that they may be interchanged without varying the focus of the instrument (as a microscope or telescope) with which they are used.
parforn |To perform. [Obs.] Chaucer. Piers Plowman.
parfourn |To perform. [Obs.] Chaucer. Piers Plowman.
pargasite |A dark green aluminous variety of amphibole, or hornblende.
pargeboard |See Bargeboard.
parget |1. To coat with parget; to plaster, as walls, or the interior of flues; as, to parget the outside of their houses. Sir T. Herbert. The pargeted ceiling with pendants. R. L. Stevenson. 2. To paint; to cover over. [Obs.]\n\n1. To lay on plaster. 2. To paint, as the face. [Obs.] B. Jonson.\n\n1. Gypsum or plaster stone. 2. Plaster, as for lining the interior of flues, or for stuccowork. Knight. 3. Paint, especially for the face. [Obs.] Drayton.
pargeter |A plasterer. Johnson.
pargeting |Plasterwork; esp.: (a) A kind of decorative plasterwork in raised ornamental figures, formerly used for the internal and external decoration of houses. (b) In modern architecture, the plastering of the inside of flues, intended to give a smooth surface and help the draught.
pargetory |Something made of, or covered with, parget, or plaster. [Obs.] Milton.
parhelic |Of or pertaining to parhelia.
parhelion |A mock sun appearing in the form of a bright light, sometimes near the sun, and tinged with colors like the rainbow, and sometimes opposite to the sun. The latter is usually called an anthelion. Often several mock suns appear at the same time. Cf. Paraselene.
parhelium |See Parhelion.
pari- |A combining form signifying equal; as, paridigitate, paripinnate.
pariah |1. One of an aboriginal people of Southern India, regarded by the four castes of the Hindoos as of very low grade. They are usually the serfs of the Sudra agriculturalists. See Caste. Balfour (Cyc. of India). 2. An outcast; one despised by society. Pariah dog (Zoöl.), a mongrel race of half-wild dogs which act as scavengers in Oriental cities. -- Pariah kite (Zoöl.), a species of kite (Milvus govinda) which acts as a scavenger in India.
parial |See Pair royal, under Pair, n.
parian |Of or pertaining to Paros, an island in the Ægean Sea noted for its excellent statuary marble; as, Parian marble. Parian chronicle, a most ancient chronicle of the city of Athens, engraved on marble in the Isle of Paros, now among the Arundelian marbles.\n\n1. A native or inhabitant of Paros. 2. A ceramic ware, resembling unglazed porcelain biscuit, of which are made statuettes, ornaments, etc.
paridigitata |Same as Artiodactyla.
paridigitate |Having an evennumber of digits on the hands or the feet. Qwen.
paries |The triangular middle part of each segment of the shell of a barnacle.
