corrivalship |Corivalry. [R.] By the corrivalship of Shager his false friend. Sir T. Herbert.
corruptible |1. Capable of being made corrupt; subject to decay. \"Our corruptible bodies.\" Hooker. Ye were not redeemed with corruptible things, as silver and gold. 1 Pet. i. 18. 2. Capable of being corrupted, or morally vitiated; susceptible of depravation. They systematically corrupt very corruptible race. Burke. -- Cor*rupt\"i*ble*ness, n. -- Cor*rupt\"i*bly, adv.\n\nThat which may decay and perish; the human body. [Archaic] 1 Cor. xv. 53.
corruptingly |In a manner that corrupts.
corruption |1. The act of corrupting or making putrid, or state of being corrupt or putrid; decomposition or disorganization, in the process of putrefaction; putrefaction; deterioration. The inducing and accelerating of putrefaction is a subject of very universal inquiry; for corruption is a reciprocal to \"generation\". Bacon. 2. The product of corruption; putrid matter. 3. The act of corrupting or of impairing integrity, virtue, or moral principle; the state of being corrupted or debased; loss of purity or integrity; depravity; wickedness; impurity; bribery. It was necessary, by exposing the gross corruptions of monasteries, . . . to exite popular indignation against them. Hallam. They abstained from some of the worst methods of corruption usual to their party in its earlier days. Bancroft. Note: Corruption, when applied to officers, trustees, etc., signifies the inducing a violation of duty by means of pecuniary considerations. Abbott. 4. The act of changing, or of being changed, for the worse; departure from what is pure, simple, or correct; as, a corruption of style; corruption in language. Corruption of blood (Law), taint or impurity of blood, in consequence of an act of attainder of treason or felony, by which a person is disabled from inheriting any estate or from transmitting it to others. Corruption of blood can be removed only by act of Parliament. Blackstone. Syn. -- Putrescence; putrefaction; defilement; contamination; deprivation; debasement; adulteration; depravity; taint. See Depravity.
corruptionist |One who corrupts, or who upholds corruption. Sydney Smith.
corruptive |Having the quality of taining or vitiating; tending to produce corruption. It should be endued with some corruptive quality for so speedy a dissolution of the meat. Ray.
corruptless |Not susceptible of corruption or decay; incorruptible. Dryden.
corruptly |In a corrupt manner; by means of corruption or corrupting influences; wronfully.
corruptness |The quality of being corrupt.
corruptress |A woman who corrupts. Thou studied old corruptress. Beau & Fl.
corsac |The corsak.
corsage |The waist or bodice of a lady's dress; as. a low corsage.
corsair |1. A pirate; one who cruises about without authorization from any government, to seize booty on sea or land. 2. A piratical vessel. Barbary corsairs . . . infested the coast of the Mediterranean. Prescott.
corsak |A small foxlike mammal (Cynalopex corsac), found in Central Asia. [Written also corsac.]
corse |1. A living body or its bulk. [Obs.] For he was strong, and of so mighty corse As ever wielded spear in warlike hand. Spenser. 2. A corpse; the dead body of a human being. [Archaic or Poetic] Set down the corse; or, by Saint Paul, I'll make a corse of him that disobeys. Shak.
corselet |1. Armor for the body, as, the body breastplate and backpiece taken together; -- also, used for the entire suit of the day, including breastplate and backpiece, tasset and headpiece. 2. (Zoöl.)  The thorax of an insect.
corsepresent |An offering made to the church at the interment of a dead body. Blackstone.
corset |1. In the Middle Ages, a gown or basque of which the body was close fitting, worn by both men and women. 2. An article of dress inclosing the chest and waist worn (chiefly by women) to support the body or to modify its shape; stays.\n\nTo inclose in corsets.
corslet |A corselet. [Obs.] Hakluyt.
corsned |The morsel of execration; a species of ordeal consisting in the eating of a piece of bread consecrated by imprecation. If the suspected person ate it freely, he was pronounced innocent; but if it stuck in his throat, it was considered as a proof of his guilt. Burril.
cortege |A train of attendants; a procession.
cortes |The legislative assembly, composed of nobility, clergy, and representatives of cities, which in Spain and in Portugal answers, in some measure, to the Parliament of Great Britain.
cortes geraes |See Legislature, Portugal.
cortex |1. Bark, as of a tree; hence, an outer covering. 2. (Med.)  Bark; rind; specifically, cinchona bark. 3. (Anat.)  The outer or superficial part of an organ; as, the cortex or gray exterior substance of the brain.
cortical |Belonging to, or consisting of, bark or rind; resembling bark or rind; external; outer; superficial; as, the cortical substance of the kidney.
corticate |Having a special outer covering of a nature unlike the interior part.
corticated |Having a special outer covering of a nature unlike the interior part.
corticifer |One of the Gorgoniacea; -- so called because the fleshy part surrounds a solid axis, like a bark.
corticiferous |1. Producing bark or something that resembling that resembles bark. 2. (Zoöl.)  Having a barklike c
corticiform |Resembling, or having the form of, bark or rind.
corticine |A material for carpeting or floor covering, made of ground cork and caoutchouc or India rubber.
corticose |Abounding in bark; resembling bark; barky.
corticous |Relating to, or resembling, bark; corticose.
cortile |An open internal courtyard inclosed by the walls of a large dwelling house or other large and stately building.
corundum |The earth alumina, as found native in a crystalline state, including sapphire, which is the fine blue variety; the oriental ruby, or red sapphire; the oriental amethyst, or purple sapphire; and adamantine spar, the hair-brown variety. It is the hardest substance found native, next to the diamond. Note: The name corundum is sometimes restricted to the non- transparent or coarser kinds. Emery is a dark-colored granular variety, usually admixed with magnetic iron ore.
coruscant |Glittering in flashes; flashing. Howell.
coruscate |To glitter in flashes; to flash. Syn. -- To glisten; gleam; sparkle; radiate.
coruscation |1. A sudden flash or play of light. A very vivid but exceeding short-lived splender, not to call coruscation. Boyle. 2. A flash of intellectual brilliancy. He might have illuminated his times with the incessant cor of his genius. I. Taylor. Syn. -- Flash; glitter; blaze; gleam; sparkle.
corve |See Corf.
corvee |An obligation to perform certain services, as the repair of roads, for the lord or sovereign.
corven |p. p. of Carve. Chaucer.
corvet |A war vessel, ranking next below a frigate, and having usually only one tier of guns; -- called in the United States navy a sloop of war.
corvette |A war vessel, ranking next below a frigate, and having usually only one tier of guns; -- called in the United States navy a sloop of war.
corvetto |A curvet. Peacham.
corvine |Of or pertaining to the crow; crowlike.
corvorant |See Cormorant.
corybant |One of the priests of Cybele in Phrygia. The rites of the Corybants were accompanied by wild music, dancing, etc.
corybantiasm |A kind of frenzy in which the patient is tormented by fantastic visions and want of sleep. Dunglison.
corybantic |Of, pertaining to, or resembling, the Corybantes or their rites; frantic; frenzied; as, a corybantic dance.
corymb |(a) A flat-topped or convex cluster of flowers, each on its own footstalk, and arising from different points of a common axis, the outermost blossoms expanding first, as in the hawthorn. (b) Any flattish flower cluster, whatever be the order of blooming, or a similar shaped cluster of fruit.
corymbed |Corymbose.
corymbiferous |Bearing corymbs of flowers or fruit.
corymbose |Consisting of corymbs, or resembling them in form. [Written also corymbous.]
corymbosely |In corymbs.
coryphaenoid |Belonging to, or like, the genus Coryphæna. See Dolphin.
coryphee |A ballet dancer.
coryphene |A fish of the genus Coryphæna. See Dolphin. (2)
corypheus |The conductor, chief, or leader of the dramatic chorus; hence, the chief or leader of a party or interest. That noted corypheus [Dr. John Owen] of the Independent faction. South.
coryphodon |A genus of extinct mammals from the eocene tertiary of Europe and America. Its species varied in size between the tapir and rhinoceros, and were allied to those animals, but had short, plantigrade, five-toed feet, like the elephant.
coryphodont |Pertaining to, or resembling, the genus Coryphodon.
coryza |Nasal catarrh.
coscinomancy |Divination by means of a suspended sieve.
coscoroba |A large, white, South American duck, of the genus Cascoroba, resembling a swan.
cosecant |The secant of the complement of an arc or angle. See Illust. of Functions.
cosen |See Cozen.
cosenage |See Cozenage.
cosening |Anything done deceitfully, and which could not be properly designated by any special name, whether belonging to contracts or not. Burrill.
cosentient |Perceiving together.
cosey |See Cozy. Dickens.
cosher |1. (Old Law)  To levy certain exactions or tribute upon; to lodge and eat at the expense of. See Coshering. 2. To treat with hospitality; to pet. [Ireland]
cosherer |One who coshers.
coshering |A feudal prerogative of the lord of the soil entitling him to lodging and food at his tenant's house. Burrill. Sometimes he contrived, in deflance of the law, to live by coshering, that is to say, by quartering himself on the old tentants of his family, who, wretched as was their own condition, could not refuse a portion of their pittance to one whom they still regarded as their rightful lord. Macaulay.
cosier |A tailor who botches his work. [Obs.] Shak.
cosignificative |Having the same signification. Cockerham.
cosignitary |Signing some important public document with another or with others; as, a treaty violated by one of the cosignitary powers.\n\nOne who signs a treaty or public document along with others or another; as, the cosignitaries of the treaty of Berlin.
cosily |See Cozily.
cosinage |(a) Collateral relationship or kindred by blood; consanguinity. Burrill. (b) A writ to recover possession of an estate in lands, when a stranger has entered, after the death of the grandfather's grandfather, or other distant collateral relation. Blackstone.
cosine |The sine of the complement of an arc or angle. See Illust. of Functions.
cosmetic |Imparting or improving beauty, particularly the beauty of the complexion; as, a cosmetical preparation. First, robed in white, the nymph intent adores, With head uncovered, the cosmetic powers. Pope.\n\nAny external application intended to beautify and improve the complexion.
cosmetical |Imparting or improving beauty, particularly the beauty of the complexion; as, a cosmetical preparation. First, robed in white, the nymph intent adores, With head uncovered, the cosmetic powers. Pope.
cosmic |1. Pertaining to the universe, and having special reference to universal law or order, or to the one grand harmonious system of things; hence; harmonious; orderly. 2. Pertaining to the solar system as a whole, and not to the earth alone. 3. Characteristic of the cosmos or universe; inconceivably great; vast; as, cosmic speed. \"Cosmic ranges of time.\" Tyndall. 4. (Astron.)  Rising or setting with the sun; -- the opposite of acronycal.
cosmical |1. Pertaining to the universe, and having special reference to universal law or order, or to the one grand harmonious system of things; hence; harmonious; orderly. 2. Pertaining to the solar system as a whole, and not to the earth alone. 3. Characteristic of the cosmos or universe; inconceivably great; vast; as, cosmic speed. \"Cosmic ranges of time.\" Tyndall. 4. (Astron.)  Rising or setting with the sun; -- the opposite of acronycal.
cosmically |1. With the sun at rising or setting; as, a star is said to rise or set cosmically when it rises or sets with the sun. 2. Universally. [R.] Emerson.
cosmogonal |Belonging to cosmogony. B. Powell. Gladstone.
cosmogonic |Belonging to cosmogony. B. Powell. Gladstone.
cosmogonical |Belonging to cosmogony. B. Powell. Gladstone.
cosmogonist |One who treats of the origin of the universe; one versed in cosmogony.
cosmogony |The creation of the world or universe; a theory or account of such creation; as, the poetical cosmogony of Hesoid; the cosmogonies of Thales, Anaxagoras, and Plato. The cosmogony or creation of the world has puzzled philosophers of all ages. Goldsmith.
cosmographer |One who describes the world or universe, including the heavens and the earth. The name of this island is nowhere found among the old and ancient cosmographers. Robynson (More's Utopia).
cosmographic |Of or pertaining to cosmography.
cosmographical |Of or pertaining to cosmography.
cosmographically |In a cosmographic manner; in accordance with cosmography.
cosmography |A description of the world or of the universe; or the science which teaches the constitution of the whole system of worlds, or the figure, disposition, and relation of all its parts.
cosmolabe |An instrument resembling the astrolabe, formerly used for measuring the angles between heavenly bodies; -- called also pantacosm.
cosmolatry |Worship paid to the world. Cudworth.
cosmoline |A substance obtained from the residues of the distillation of petroleum, essentially the same as vaseline, but of somewhat stiffer consistency, and consisting of a mixture of the higher paraffines; a kind of petroleum jelly.
cosmological |Of or pertaining to cosmology.
cosmologist |One who describes the universe; one skilled in cosmology.
cosmology |The science of the world or universe; or a treatise relating to the structure and parts of the system of creation, the elements of bodies, the modifications of material things, the laws of motion, and the order and course of nature.
cosmometry |The art of measuring the world or the universe. Blount.
cosmoplastic |Pertaining to a plastic force as operative in the formation of the world independently of God; world-forming. \"Cosmoplastic and hylozoic atheisms.\" Gudworth.
cosmopolitan |One who has no fixed residence, or who is at home in every place; a citizen of the world.\n\n1. Having no fixed residence; at home in any place; free from local attachments or prejudices; not provincial; liberal. In other countries taste is perphaps too exclusively national, in Germany it is certainly too cosmopolite. Sir W. Hamilton. 2. Common everywhere; widely spread; found in all parts of the world. The Cheiroptera are cosmopolitan. R. Owen.
cosmopolitanism |The quality of being cosmopolitan; cosmopolitism.
cosmopolite |One who has no fixed residence, or who is at home in every place; a citizen of the world.\n\n1. Having no fixed residence; at home in any place; free from local attachments or prejudices; not provincial; liberal. In other countries taste is perphaps too exclusively national, in Germany it is certainly too cosmopolite. Sir W. Hamilton. 2. Common everywhere; widely spread; found in all parts of the world. The Cheiroptera are cosmopolitan. R. Owen.\n\nSee Cosmopolitan.
cosmopolitical |Having the character of a cosmopolite. [R.] Hackluyt.
cosmopolitism |The condition or character of a cosmopolite; disregard of national or local peculiarities and prejudices.
cosmorama |An exhibition in which a series of views in various parts of the world is seen reflected by mirrors through a series of lenses, with such illumination, etc., as will make the views most closely represent reality.
cosmoramic |Of or pertaining to a cosmorama.
cosmos |1. The universe or universality of created things; -- so called from the order and harmony displayed in it. 2. The theory or description of the universe, as a system displaying order and harmony. Humboldt.
cosmosphere |An apparattus for showing the position of the earth, at any given time, with respect to the fixed stars. It consist of a hollow glass globe, on which are depicted the stars and constellations, and within which is a terrestrial globe.
cosmotheism |Same as Pantheism. [R.]
cosmothetic |Assuming or positing the actual existence or reality of the physical or external world. Cosmothetic idealists (Metaph.), those who assume, without attempting to prove, the reality of external objects as corresponding to, and being the ground of, the ideas of which only the mind has direct cognizance. The cosmothetic idealists . . . deny that mind is immediately conscious of matter. Sir W. Hamilton.
cosovereign |A joint sovereign.
coss |A Hindoo measure of distance, varying from one and a half to two English miles. Whitworth.\n\nA thing (only in phrase below). Rule of Coss, an old name for Algebra. Etym: [It. regola di cosa rule of thing, the unknown quantity being called the cosa, or the thing.]
cossack |One of a warlike, pastoral people, skillful as horsemen, inhabiting different parts of the Russian empire and furnishing valuable contingents of irregular cavalry to its armies, those of Little Russia and those of the Don forming the principal divisions.
cossack post |An outpost consisting of four men, forming one of a single line of posts substituted for the more formal line of sentinels and line of pickets.
cossas |Plain India muslin, of various qualities and widths.
cosset |A lamb reared without the aid of the dam. Hence: A pet, in general.\n\nTo treat as a pet; to fondle. She was cosseted and posseted and prayed over and made much of. O. W. Holmes.
cossette |One of the small chips or slices into which beets are cut in sugar making.
cossic |Of or relating to algebra; as, cossic numbers, or the cossic art. [Obs.] \"Art of numbers cossical.\" Digges (1579).
cossical |Of or relating to algebra; as, cossic numbers, or the cossic art. [Obs.] \"Art of numbers cossical.\" Digges (1579).
cost |1. A rib; a side; a region or coast. [Obs.] Piers Plowman. Betwixt the costs of a ship. B. Jonson. 2. (Her.)  See Cottise.\n\n1. To require to be given, expended, or laid out therefor, as in barter, purchase, acquisition, etc.; to cause the cost, expenditure, relinquishment, or loss of; as, the ticket cost a dollar; the effort cost his life. A d'amond gone, cost me two thousand ducats. Shak. Though it cost me ten nights' watchings. Shak. 2. To require to be borne or suffered; to cause. To do him wanton rites, whichcost them woe. Milton. To cost dear, to require or occasion a large outlay of money, or much labor, self-denial, suffering, etc.\n\n1. The amount paid, charged, or engaged to be paid, for anything bought or taken in barter; charge; expense; hence, whatever, as labor, self-denial, suffering, etc., is requisite to secure benefitt. One day shall crown the alliance on 't so please you, Here at my house, and at my proper cost. Shak. At less cost of life than is often expended in a skirmish, [Charles V.] saved Europe from invasion. Prescott. 2. Loss of any kind; detriment; pain; suffering. I know thy trains, Though dearly to my cost, thy gins and toils. Milton. 3. pl. (Law)  Expenses incurred in litigation. Note: Costs in actions or suits are either between attorney and client, being what are payable in every case to the attorney or counsel by his client whether he ultimately succeed or not, or between party and party, being those which the law gives, or the court in its discretion decrees, to the prevailing, against the losing, party. Bill of costs. See under Bill. -- Cost free, without outlay or expense. \"Her duties being to talk French, and her privileges to live cost free and to gather scraps of knowledge.\" Thackeray.
costa |1. (Anat.)  A rib of an animal or a human being. 2. (Bot.)  A rib or vein of a leaf, especially the midrib. 3. (Zoöl.) (a) The anterior rib in the wing of an insect. (b) One of the riblike longitudinal ridges on the exterior of many corals.
costage |Expense; cost. [Obs.] Chaucer.
costal |1. (Anat.)  Pertaining to the ribs or the sides of the body; as, costal nerves. 2. (Bot. & Zoöl.)  Relating to a costa, or rib. Costal cartilage. See Cartilage, and Illust. of Thorax.
costal-nerved |Having the nerves spring from the midrib.
costard |1. An apple, large and round like the head. Some [apples] consist more of air than water . . . ; others more of water than wind, as your costards and pomewaters. Muffett. 2. The head; -- used contemptuously. Try whether your costard or my bat be the harder. Shak.
costardmonger |A costermonger.
costate |Having ribs, or the appearance of ribs; (Bot.) having one or more longitudinal ribs.
costated |Having ribs, or the appearance of ribs; (Bot.) having one or more longitudinal ribs.
costean |To search after lodes. See Costeaning.
costeaning |The process by which miners seek to discover metallic lodes. It consist in sinking small pits through the superficial deposits to the solid rock, and then driving from one pit to another across the direction of the vein, in such manner as to cross all the veins between the two pits.
costellate |Finely ribbed or costated.
coster |One who hawks about fruit, green vegetables, fish, etc.
costermonger |An apple seller; a hawker of, or dealer in, any kind of fruit or vegetables; a fruiterer. [Written also costardmonger.]
costiferous |Rib-bearing, as the dorsal vertebræ.
costive |1. Retaining fecal matter in the bowels; having too slow a motion of the bowels; constipated. 2. Reserved; formal; close; cold. [Obs.] \"A costive brain.\" Prior. \"Costive of laughter.\" B. Jonson. You must be frank, but without indiscretion; and close, but without being costive. Lord Chesterfield. 3. Dry and hard; impermeable; unyielding. [Obs.] Clay in dry seasons is costive, hardening with the sun and wind. Mortimer.
costively |In a costive manner.
costiveness |1. An unnatural retention of the fecal matter of the bowels; constipation. 2. Inability to express one's self; stiffness. [Obs.] A reverend disputant of the same costiveness in public elocution with myself. Wakefield.
costless |Costing nothing.
costlewe |Costly. [Obs.] Chaucer.
costliness |The quality of being costy; expensiveness; sumptuousness.
costly |1. Of great cost; expensive; dear. He had fitted up his palace in the most costly and sumptuous style, for the accomodation of the princess. Prescott. 2. Gorgeous; sumptuous. [Poetic.] To show how costly summer was at hand. Shak.
costmary |A garden plant (Chrysanthemum Balsamita) having a strong balsamic smell, and nearly allied to tansy. It is used as a pot herb and salad plant and in flavoring ale and beer. Called also alecost.
coston lights |Signals made by burning lights of different colors and used by vessels at sea, and in the life-saving service; -- named after their inventor.
costotome |An instrument (chisel or shears) to cut the ribs and open the thoracic cavity, in post-mortem examinations and dissections. Knight.
costrel |A bottle of leather, earthenware, or wood, having ears by which it was suspended at the side. [Archaic] A youth, that, following with a costrel, bore The means of goodly welcome, flesh and wine. Tennyson.
costume |1. Dress in general; esp., the distinctive style of dress of a people, class, or period. 2. Such an arrangement of accessories, as in a picture, statue, poem, or play, as is appropriate to the time, place, or other circumstances represented or described. I began last night to read Walter Scott's Lay of the Last Minstrel . . . .I was extremely delighted with the poetical beauty of some parts . . . .The costume, too, is admirable. Sir J. Mackintosh. 3. A character dress, used at fancy balls or for dramatic purposes.
costumer |One who makes or deals in costumes, as for theaters, fancy balls, etc.
cosupreme |A partaker of supremacy; one jointly supreme. Shak.
cosurety |One who is surety with another.
cosy |See Cozy.
cot |1. A small house; a cottage or hut. The sheltered cot, the cultivated farm. Goldsmith. 2. A pen, coop, or like shelter for small domestic animals, as for sheep or pigeons; a cote. 3. A cover or sheath; as, a roller cot (the clothing of a drawing roller in a spinning frame); a cot for a sore finger. 4. Etym: [Cf. Ir. cot.]  A small, rudely-formed boat. Bell cot. (Arch.) See under Bell.\n\nA sleeping place of limited size; a little bed; a cradle; a piece of canvas extended by a frame, used as a bed. [Written also cott.]
cotangent |The tangent of the complement of an arc or angle. See Illust. of Functions.
cotarnine |A white, crystalline substance, C12H13NO3, obtained as a product of the decomposition of narcotine. It has weak basic properties, and is usually regarded as an alkaloid.
cote |1. A cottage or hut. [Obs.] 2. A shed, shelter, or inclosure for small domestic animals, as for sheep or doves. Watching where shepherds pen their flocks, at eve, In hurdled cotes. Milton.\n\nTo go side by side with; hence, to pass by; to outrun and get before; as, a dog cotes a hare. [Obs.] Drayton. We coted them on the way, and hither are they coming. Shak.\n\nTo quote. [Obs.] Udall.
coteau |1. A hilly upland including the divide between two valleys; a divide. 2.  The side of a valley.
cotemporaneous |Living or being at the same time; contemporaneous. -- Co*tem`po*ra\"ne*ous*ly, adv. -- Co*tem`po*ra\"ne*ous*ness, n.
cotemporary |Living or being at the same time; contemporary.\n\nOne who lives at the same time with another; a contemporary.
cotenant |A tenant in common, or a joint tenant.
coterie |A set or circle of persons who meet familiarly, as for social, literary, or other purposes; a clique. \"The queen of your coterie.\" Thackeray.
coterminous |Bordering; conterminous; -- followed by with.
cotgare |Refuse wool. [Obs. or Prov.]
cothurn |A buskin anciently used by tragic actors on the stage; hence, tragedy in general. The moment had arrived when it was thought that the mask and the cothurn might be assumed with effect. Motley.
cothurnate |1. Wearing a cothurn. 2. Relating to tragedy; solemn; grave.
cothurnated |1. Wearing a cothurn. 2. Relating to tragedy; solemn; grave.
cothurnus |Same as Cothurn.
coticular |Pertaining to whetstones; like or suitable for whetstones.
cotidal |Marking an equality in the tides; having high tide at the same time. Cotidal lines (Phys. Geog.), lines on a map passing through places that have high tide at the same time.
cotillion |1. A brisk dance, performed by eight persons; a quadrille. 2. A tune which regulates the dance. 3. A kind of woolen material for women's skrits.
cotillon |1. A brisk dance, performed by eight persons; a quadrille. 2. A tune which regulates the dance. 3. A kind of woolen material for women's skrits.
cotinga |A bird of the family Cotingidæ, including numerous bright- colored South American species; -- called also chatterers.
cotise |See Cottise.
cotised |See Cottised.
cotland |Land appendant to a cot or cottage, or held by a cottager or cotter.
cotquean |1. A man who busies himself with affairs which properly belong to women. Addison. 2. A she-cuckold; a cucquean; a henhussy. [Obs.] What, shall a husband be afraid of his wife's face We are a king, cotquean, and we will reign in our pleasures. B. Jonson.
cotqueanity |The condition, character, or conduct of a cotquean. [Obs.] B. Jonson.
cotrustee |A joint trustee.
cotswold |An open country abounding in sheepcotes, as in the Cotswold hills, in Gloucestershire, England. Cotswold sheep, a long-wooled breed of sheep, formerly common in the counties of Gloucester, Hereford, and Worcester, Eng.; -- so called from the Cotswold Hills. The breed is now chiefly amalgamated with others.
cotta |1.  (Eccl.)  A surplice, in England and America usually one shorter and less full than the ordinary surplice and with short sleeves, or sometimes none. 2.  A kind of very coarse woolen blanket.
cottage |A small house; a cot; a hut. Note: The term was formerly limited to a habitation for the poor, but is now applied to any small tasteful dwelling; and at places of summer resort, to any residence or lodging house of rustic architecture, irrespective of size. Cottage allotment. See under Alloment. [Eng.] -- Cottage cheese, the thick part of clabbered milk strained, salted, and pressed into a ball.
cottaged |Set or covered with cottages. Even humble Harting's cottaged vale. Collins.
cottagely |Cottagelike; suitable for a cottage; rustic. [Obs.] Jer. Taylor.
cottager |1. One who lives in a cottage. 2. (Law)  One who lives on the common, without paying any rent, or having land of his own.
cottar |A cottager; a cottier. Burns. Through Sandwich Notch the West Wind sang Good morrow to the cotter. Whittier.
cotter |A cottager; a cottier. Burns. Through Sandwich Notch the West Wind sang Good morrow to the cotter. Whittier.\n\n1. A piece of wood or metal, commonly wedge-shaped, used for fastening together parts of a machine or structure. It is driven into an opening through one or all of the parts. Note: [See Illust.] In the United States a cotter is commonly called a key. 2. A toggle.\n\nTo fasten with a cotter.
cottier |In Great Britain and Ireland, a person who hires a small cottage, with or without a plot of land. Cottiers commonly aid in the work of the landlord's farm. [Written also cottar and cotter.]
cottise |A diminutive of the bendlet, containing one half its area or one quarter the area of the bend. When a single cottise is used alone it is often called a cost. See also Couple-close.
cottised |Set between two cottises, -- said of a bend; or between two barrulets, -- said of a bar or fess.
