tailage |See Tallage.
tailpiece |1. A piece at the end; an appendage. 2. (Arch.)  One of the timbers which tail into a header, in floor framing. See Illust. of Header. 3. (Print.)  An ornament placed at the bottom of a short page to fill up the space, or at the end of a book. Savage. 4. A piece of ebony or other material attached to the lower end of a violin or similar instrument, to which the strings are fastened.
tailpin |The center in the spindle of a turning lathe.
tailrace |1. See Race, n., 6. 2. (Mining)  The channel in which tailings, suspended in water, are conducted away.
tailstock |The sliding block or support, in a lathe, which carries the dead spindle, or adjustable center. The headstock supports the live spindle.
tailzie |An entailment or deed whereby the legal course of succession is cut off, and an arbitrary one substituted. [Written also tailzee.]
tain |Thin tin plate; also, tin foil for mirrors. Knight.
taint |1. A thrust with a lance, which fails of its intended effect. [Obs.] This taint he followed with his sword drawn from a silver sheath. Chapman. 2. An injury done to a lance in an encounter, without its being broken; also, a breaking of a lance in an encounter in a dishonorable or unscientific manner. [Obs.]\n\nTo thrust ineffectually with a lance. [Obs.]\n\n1. To injure, as a lance, without breaking it; also, to break, as a lance, but usually in an unknightly or unscientific manner. [Obs.] Do not fear; I have A staff to taint, and bravely. Massinger. 2. To hit or touch lightly, in tilting. [Obs.] They tainted each other on the helms and passed by. Ld. Berners.\n\n1. To imbue or impregnate with something extraneous, especially with something odious, noxious, or poisonous; hence, to corrupt; to infect; to poison; as, putrid substance taint the air. 2. Fig.: To stain; to sully; to tarnish. His unkindness may defeat my life, But never taint my love. Shak. Syn. -- To contaminate; defile; pollute; corrupt; infect; disease; vitiate; poison.\n\n1. To be infected or corrupted; to be touched with something corrupting. I can not taint with fear. Shak. 2. To be affected with incipient putrefaction; as, meat soon taints in warm weather.\n\n1. Tincture; hue; color; tinge. [Obs.] 2. Infection; corruption; deprivation. He had inherited from his parents a scrofulous taint, which it was beyond the power of medicine to remove. Macaulay. 3. A blemish on reputation; stain; spot; disgrace.
taintless |Free from taint or infection; pure.
taintlessly |In a taintless manner.
tainture |Taint; tinge; difilement; stain; spot. [R.] Shak.
taintworm |A destructive parasitic worm or insect larva.
taiping |Pertaining to or designating a dynasty with which one Hung-Siu- Chuen, a half-religious, half-political enthusiast, attempted to supplant the Manchu dynasty by the Taiping rebellion, incited by him in 1850 and suppressed by General Gordon about 1864.
taira |Same as Tayra.
tairn |See Tarn. Coleridge.
tait |A small nocturnal and arboreal Australian marsupial (Tarsipes rostratus) about the size of a mouse. It has a long muzzle, a long tongue, and very few teeth, and feeds upon honey and insects. Called also noolbenger.
taj mahal |A marble mausoleum built at Agra, India, by the Mogul Emperor Shah Jahan, in memory of his favorite wife. In beauty of design and rich decorative detail it is one of the best examples of Saracenic architecture.
tajacu |The common, or collared, peccary.
tajassu |The common, or collared, peccary.
take |Taken. Chaucer.\n\n1. In an active sense; To lay hold of; to seize with the hands, or otherwise; to grasp; to get into one's hold or possession; to procure; to seize and carry away; to convey. Hence, specifically: -- (a) To obtain possession of by force or artifice; to get the custody or control of; to reduce into subjection to one's power or will; to capture; to seize; to make prisoner; as, to take am army, a city, or a ship; also, to come upon or befall; to fasten on; to attack; to seize; -- said of a disease, misfortune, or the like. This man was taken of the Jews. Acts xxiii. 27. Men in their loose, unguarded hours they take; Not that themselves are wise, but others weak. Pope. They that come abroad after these showers are commonly taken with sickness. Bacon. There he blasts the tree and takes the cattle And makes milch kine yield blood. Shak. (b) To gain or secure the interest or affection of; to captivate; to engage; to interest; to charm. Neither let her take thee with her eyelids. Prov. vi. 25. Cleombroutus was so taken with this prospect, that he had no patience. Wake. I know not why, but there was a something in those half-seen features, -- a charm in the very shadow that hung over their imagined beauty, -- which took me more than all the outshining loveliness of her companions. Moore. (c) To make selection of; to choose; also, to turn to; to have recourse to; as, to take the road to the right. Saul said, Cast lots between me and Jonathan my son. And Jonathan was taken. 1 Sam. xiv. 42. The violence of storming is the course which God is forced to take for the destroying . . . of sinners. Hammond. (d) To employ; to use; to occupy; hence, to demand; to require; as, it takes so much cloth to make a coat. This man always takes time . . . before he passes his judgments. I. Watts. (e) To form a likeness of; to copy; to delineate; to picture; as, to take picture of a person. Beauty alone could beauty take so right. Dryden. (f) To draw; to deduce; to derive. [R.] The firm belief of a future judgment is the most forcible motive to a good life, because taken from this consideration of the most lasting happiness and misery. Tillotson. (g) To assume; to adopt; to acquire, as shape; to permit to one's self; to indulge or engage in; to yield to; to have or feel; to enjoy or experience, as rest, revenge, delight, shame; to form and adopt, as a resolution; -- used in general senses, limited by a following complement, in many idiomatic phrases; as, to take a resolution; I take the liberty to say. (h) To lead; to conduct; as, to take a child to church. (i) To carry; to convey; to deliver to another; to hand over; as, he took the book to the bindery. He took me certain gold, I wot it well. Chaucer. (k) To remove; to withdraw; to deduct; -- with from; as, to take the breath from one; to take two from four. 2. In a somewhat passive sense, to receive; to bear; to endure; to acknowledge; to accept. Specifically: -- (a) To accept, as something offered; to receive; not to refuse or reject; to admit. Ye shall take no satisfaction for the life of a murderer. Num. xxxv. 31. Let not a widow be taken into the number under threescore. 1 Tim. v. 10. (b) To receive as something to be eaten or dronk; to partake of; to swallow; as, to take food or wine. (c) Not to refuse or balk at; to undertake readily; to clear; as, to take a hedge or fence. (d) To bear without ill humor or resentment; to submit to; to tolerate; to endure; as, to take a joke; he will take an affront from no man. (e) To admit, as, something presented to the mind; not to dispute; to allow; to accept; to receive in thought; to entertain in opinion; to understand; to interpret; to regard or look upon; to consider; to suppose; as, to take a thing for granted; this I take to be man's motive; to take men for spies. You take me right. Bacon. Charity, taken in its largest extent, is nothing else but the science love of God and our neighbor. Wake. [He] took that for virtue and affection which was nothing but vice in a disguise. South. You'd doubt his sex, and take him for a girl. Tate. (f) To accept the word or offer of; to receive and accept; to bear; to submit to; to enter into agreement with; -- used in general senses; as, to take a form or shape. I take thee at thy word. Rowe. Yet thy moist clay is pliant to command; . . . Not take the mold. Dryden. To be taken aback, To take advantage of, To take air, etc. See under Aback, Advantage, etc. -- To take aim, to direct the eye or weapon; to aim. -- To take along, to carry, lead, or convey. -- To take arms, to commence war or hostilities. -- To take away, to carry off; to remove; to cause deprivation of; to do away with; as, a bill for taking away the votes of bishops. \"By your own law, I take your life away.\" Dryden. -- To take breath, to stop, as from labor, in order to breathe or rest; to recruit or refresh one's self. -- To take care, to exercise care or vigilance; to be solicitous. \"Doth God take care for oxen\" 1 Cor. ix. 9. -- To take care of, to have the charge or care of; to care for; to superintend or oversee. -- To take down. (a) To reduce; to bring down, as from a high, or higher, place; as, to take down a book; hence, to bring lower; to depress; to abase or humble; as, to take down pride, or the proud. \"I never attempted to be impudent yet, that I was not taken down.\" Goldsmith. (b) To swallow; as, to take down a potion. (c) To pull down; to pull to pieces; as, to take down a house or a scaffold. (d) To record; to write down; as, to take down a man's words at the time he utters them. -- To take effect, To take fire. See under Effect, and Fire. -- To take ground to the right or to the left (Mil.), to extend the line to the right or left; to move, as troops, to the right or left. -- To take heart, to gain confidence or courage; to be encouraged. -- To take heed, to be careful or cautious. \"Take heed what doom against yourself you give.\" Dryden. -- To take heed to, to attend with care, as, take heed to thy ways. -- To take hold of, to seize; to fix on. -- To take horse, to mount and ride a horse. -- To take in. (a) To inclose; to fence. (b) To encompass or embrace; to comprise; to comprehend. (c) To draw into a smaller compass; to contract; to brail or furl; as, to take in sail. (d) To cheat; to circumvent; to gull; to deceive. [Colloq.] (e) To admit; to receive; as, a leaky vessel will take in water. (f) To win by conquest. [Obs.] For now Troy's broad-wayed town He shall take in. Chapman. (g) To receive into the mind or understanding. \"Some bright genius can take in a long train of propositions.\" I. Watts. (h) To receive regularly, as a periodical work or newspaper; to take. [Eng.] -- To take in hand. See under Hand. -- To take in vain, to employ or utter as in an oath. \"Thou shalt not take the name of the Lord thy God in vain.\" Ex. xx. 7. -- To take issue. See under Issue. -- To take leave. See Leave, n., 2. -- To take a newspaper, magazine, or the like, to receive it regularly, as on paying the price of subscription. -- To take notice, to observe, or to observe with particular attention. -- To take notice of. See under Notice. -- To take oath, to swear with solemnity, or in a judicial manner. -- To take off. (a) To remove, as from the surface or outside; to remove from the top of anything; as, to take off a load; to take off one's hat. (b) To cut off; as, to take off the head, or a limb. (c) To destroy; as, to take off life. (d) To remove; to invalidate; as, to take off the force of an argument. (e) To withdraw; to call or draw away. Locke. (f) To swallow; as, to take off a glass of wine. (g) To purchase; to take in trade. \"The Spaniards having no commodities that we will take off.\" Locke. (h) To copy; to reproduce. \"Take off all their models in wood.\" Addison. (i) To imitate; to mimic; to personate. (k) To find place for; to dispose of; as, more scholars than preferments can take off. [R.] Bacon. -- To take on, to assume; to take upon one's self; as, to take on a character or responsibility. -- To take one's own course, to act one's pleasure; to pursue the measures of one's own choice. -- To take order for. See under Order. -- To take order with, to check; to hinder; to repress. [Obs.] Bacon. -- To take orders. (a) To receive directions or commands. (b) (Eccl.) To enter some grade of the ministry. See Order, n., 10. -- To take out. (a) To remove from within a place; to separate; to deduct. (b) To draw out; to remove; to clear or cleanse from; as, to take out a stain or spot from cloth. (c) To produce for one's self; as, to take out a patent. (d) To put an end to; as, to take the conceit out of a man. (e) To escort; as, to take out to dinner. -- To take over, to undertake; to take the management of. [Eng.] Cross (Life of G. Eliot). -- To take part, to share; as, they take part in our rejoicing. -- To take part with, to unite with; to join with. -- To take place, root, sides, stock, etc. See under Place, Root, Side, etc. -- To take the air. (a) (Falconry) To seek to escape by trying to rise higher than the falcon; -- said of a bird. (b) See under Air. -- To take the field. (Mil.) See under Field. -- To take thought, to be concerned or anxious; to be solicitous. Matt. vi. 25, 27. -- To take to heart. See under Heart. -- To take to task, to reprove; to censure. -- to take to the air, to take off. To take up. (a) To lift; to raise. Hood. (b) To buy or borrow; as, to take up goods to a large amount; to take up money at the bank. (c) To begin; as, to take up a lamentation. Ezek. xix. 1. (d) To gather together; to bind up; to fasten or to replace; as, to take up raveled stitches; specifically (Surg.), to fasten with a ligature. (e) To engross; to employ; to occupy or fill; as, to take up the time; to take up a great deal of room. (f) To take permanently. \"Arnobius asserts that men of the finest parts . . . took up their rest in the Christian religion.\" Addison. (g) To seize; to catch; to arrest; as, to take up a thief; to take up vagabonds. (h) To admit; to believe; to receive. [Obs.] The ancients took up experiments upon credit. Bacon. (i) To answer by reproof; to reprimand; to berate. One of his relations took him up roundly. L'Estrange. (k) To begin where another left off; to keep up in continuous succession. Soon as the evening shades prevail, The moon takes up the wondrous tale. Addison. (l) To assume; to adopt as one's own; to carry on or manage; as, to take up the quarrels of our neighbors; to take up current opinions. \"They take up our old trade of conquering.\" Dryden. (m) To comprise; to include. \"The noble poem of Palemon and Arcite . . . takes up seven years.\" Dryden. (n) To receive, accept, or adopt for the purpose of assisting; to espouse the cause of; to favor. Ps. xxvii. 10. (o) To collect; to exact, as a tax; to levy; as, to take up a contribution. \"Take up commodities upon our bills.\" Shak. (p) To pay and receive; as, to take up a note at the bank. (q) (Mach.) To remove, as by an adjustment of parts; as, to take up lost motion, as in a bearing; also, to make tight, as by winding, or drawing; as, to take up slack thread in sewing. (r) To make up; to compose; to settle; as, to take up a quarrel. [Obs.] Shak. -- To take up arms. Same as To take arms, above. -- To take upon one's self. (a) To assume; to undertake; as, he takes upon himself to assert that the fact is capable of proof. (b) To appropriate to one's self; to allow to be imputed to, or inflicted upon, one's self; as, to take upon one's self a punishment. -- To take up the gauntlet. See under Gauntlet.\n\n1. To take hold; to fix upon anything; to have the natural or intended effect; to accomplish a purpose; as, he was inoculated, but the virus did not take. Shak. When flame taketh and openeth, it giveth a noise. Bacon. In impressions from mind to mind, the impression taketh, but is overcome . . . before it work any manifest effect. Bacon. 2. To please; to gain reception; to succeed. Each wit may praise it for his own dear sake, And hint he writ it, if the thing should take. Addison. 3. To move or direct the course; to resort; to betake one's self; to proceed; to go; -- usually with to; as, the fox, being hard pressed, took to the hedge. 4. To admit of being pictured, as in a photograph; as, his face does not take well. To take after. (a) To learn to follow; to copy; to imitate; as, he takes after a good pattern. (b) To resemble; as, the son takes after his father. -- To take in with, to resort to. [Obs.] Bacon. -- To take on, to be violently affected; to express grief or pain in a violent manner. -- To take to. (a) To apply one's self to; to be fond of; to become attached to; as, to take to evil practices. \"If he does but take to you, . . . you will contract a great friendship with him.\" Walpole. (b) To resort to; to betake one's self to. \"Men of learning, who take to business, discharge it generally with greater honesty than men of the world.\" Addison. -- To take up. (a) To stop. [Obs.] \"Sinners at last take up and settle in a contempt of religion.\" Tillotson. (b) To reform. [Obs.] Locke. -- To take up with. (a) To be contended to receive; to receive without opposition; to put up with; as, to take up with plain fare. \"In affairs which may have an extensive influence on our future happiness, we should not take up with probabilities.\" I. Watts. (b) To lodge with; to dwell with. [Obs.] L'Estrange. -- To take with, to please. Bacon.\n\n1. That which is taken; especially, the quantity of fish captured at one haul or catch. 2. (Print.)  The quantity or copy given to a compositor at one time.
take-in |Imposition; fraud. [Colloq.]
take-off |An imitation, especially in the way of caricature.
take-up |That which takes up or tightens; specifically, a device in a sewing machine for drawing up the slack thread as the needle rises, in completing a stitch.
taken |p. p. of Take.
taker |One who takes or receives; one who catches or apprehended.
taking |1. Apt to take; alluring; attracting. Subtile in making his temptations most taking. Fuller. 2. Infectious; contageous. [Obs.] Beau. & Fl. -- Tak\"ing*ly, adv. -- Tak\"ing*ness, n.\n\n1. The act of gaining possession; a seizing; seizure; apprehension. 2. Agitation; excitement; distress of mind. [Colloq.] What a taking was he in, when your husband asked who was in the basket! Shak. 3. Malign influence; infection. [Obs.] Shak.
taking-off |Removal; murder. See To take off (c), under Take, v. t. The deep damnation of his taking-off. Shak.
talapoin |A small African monkey (Cercopithecus, or Miopithecus, talapoin) -- called also melarhine.
talaria |Small wings or winged shoes represented as fastened to the ankles, -- chiefly used as an attribute of Mercury.
talbot |A sort of dog, noted for quick scent and eager pursuit of game. [Obs.] Wase (1654). Note: The figure of a dog is borne in the arms of the Talbot family, whence, perhaps, the name.
talbotype |Same as Calotype.
talc |A soft mineral of a soapy feel and a greenish, whitish, or grayish color, usually occurring in foliated masses. It is hydrous silicate of magnesia. Steatite, or soapstone, is a compact granular variety. Indurated talc, an impure, slaty talc, with a nearly compact texture, and greater hardness than common talc; -- called also talc slate.
talcose |Of or pertaining to talc; composed of, or resembling, talc.
talcous |Of or pertaining to talc; composed of, or resembling, talc.
talcum |Same as Talc.
tale |See Tael.\n\n1. That which is told; an oral relation or recital; any rehearsal of what has occured; narrative; discourse; statement; history; story. \"The tale of Troy divine.\" Milton. \"In such manner rime is Dante's tale.\" Chaucer. We spend our years as a tale that is told. Ps. xc. 9. 2. A number told or counted off; a reckoning by count; an enumeration; a count, in distinction from measure or weight; a number reckoned or stated. The ignorant, . . . who measure by tale, and not by weight. Hooker. And every shepherd tells his tale, Under the hawthornn in the dale. Milton. In packing, they keep a just tale of the number. Carew. 3. (Law)  A count or declaration. [Obs.] To tell tale of, to make account of. [Obs.] Therefore little tale hath he told Of any dream, so holy was his heart. Chaucer. Syn. -- Anecdote; story; fable; incident; memoir; relation; account; legend; narrative.\n\nTo tell stories. [Obs.] Chaucer. Gower.
talebearer |One who officiously tells tales; one who impertinently or maliciously communicates intelligence, scandal, etc., and makes mischief. Spies and talebearers, encouraged by her father, did their best to inflame her resentment. Macaulay.
talebearing |Telling tales officiously.\n\nThe act of informing officiously; communication of sectrts, scandal, etc., maliciously.
taled |A kind of quadrangular piece of cloth put on by the Jews when repeating prayers in the synagogues. Crabb.
taleful |Full of stories. [R.] Thomson.
talegalla |A genus of Australian birds which includes the brush turkey. See Brush turkey.
talent |1. Among the ancient Greeks, a weight and a denomination of money equal to 60 minæ or 6,000 drachmæ. The Attic talent, as a weight, was about 57 lbs. avoirdupois; as a denomination of silver money, its value was £243 15s. sterling, or about $1,180. Rowing vessel whose burden does not exceed five hundred talents. Jowett (Thucid.). 2. Among the Hebrews, a weight and denomination of money. For silver it was equivalent to 3,000 shekels, and in weight was equal to about 93 3. Inclination; will; disposition; desire. [Obs.] They rather counseled you to your talent than to your profit. Chaucer. 4. Intellectual ability, natural or acquired; mental endowment or capacity; skill in accomplishing; a special gift, particularly in business, art, or the like; faculty; a use of the word probably originating in the Scripture parable of the talents (Matt. xxv. 14- 30). He is chiefly to be considered in his three different talents, as a critic, a satirist, and a writer of odes. Dryden. His talents, his accomplishments, his graceful manners, made him generally popular. Macaulay. Syn. -- Ability; faculty; gift; endowment. See Genius.
talented |Furnished with talents; possessing skill or talent; mentally gifted. Abp. Abbot (1663). Note: This word has been strongly objected to by Coleridge and some other critics, but, as it would seem, upon not very good grounds, as the use of talent or talents to signify mental ability, although at first merely metaphorical, is now fully established, and talented, as a formative, is just as analogical and legitimate as gifted, bigoted, moneyed, landed, lilied, honeyed, and numerous other adjectives having a participal form, but derived directly from nouns and not from verbs.
tales |Persons added to a jury, commonly from those in or about the courthouse, to make up any deficiency in the number of jurors regularly summoned, being like, or such as, the latter. Blount. Blackstone. (b) syntactically sing.  The writ by which such persons are summoned. Tales book, a book containing the names of such as are admitted of the tales. Blount. Craig. -- Tales de circumstantibus Etym: [L.], such, or the like, from those standing about.
talesman |A person called to make up a deficiency in the number of jurors when a tales is awarded. Wharton.
taleteller |One who tells tales or stories, especially in a mischievous or officious manner; a talebearer; a telltale; a tattler.
talewise |In a way of a tale or story.
taliacotian |See Tagliacotian.
taliation |Retaliation. [Obs.] Just heav'n this taliation did decree. Beaumont.
talion |Retaliation. [R.] Holinshed.
talipes |The deformity called clubfoot. See Clubfoot. Note: Several varieties are distinguished; as, Talipes varus, in which the foot is drawn up and bent inward; T. valgus, in which the foot is bent outward; T. equinus, in which the sole faces backward and the patient walks upon the balls of the toes; and T. calcaneus (called also talus), in which the sole faces forward and the patient walks upon the heel.
talipot |A beautiful tropical palm tree (Corypha umbraculifera), a native of Ceylon and the Malabar coast. It has a trunk sixty or seventy feet high, bearing a crown of gigantic fan-shaped leaves which are used as umbrellas and as fans in ceremonial processions, and, when cut into strips, as a substitute for writing paper.
talisman |1. A magical figure cut or engraved under certain superstitious observances of the configuration of the heavens, to which wonderful effects are ascribed; the seal, figure, character, or image, of a heavenly sign, constellation, or planet, engraved on a sympathetic stone, or on a metal corresponding to the star, in order to receive its influence. 2. Hence, something that produces extraordinary effects, esp. in averting or repelling evil; an amulet; a charm; as, a talisman to avert diseases. Swift.
talismanic |Of or pertaining to a talisman; having the properties of a talisman, or preservative against evils by occult influence; magical.
talismanical |Of or pertaining to a talisman; having the properties of a talisman, or preservative against evils by occult influence; magical.
talk |1. To utter words; esp., to converse familiarly; to speak, as in familiar discourse, when two or more persons interchange thoughts. I will buy with you, sell with you, talk with you, walk with you, and so following, but I will not eat with you. Shak. 2. To confer; to reason; to consult. Let me talk with thee of thy judgments. Jer. xii. 1. 3. To prate; to speak impertinently. [Colloq.] To talk of, to relate; to tell; to give an account of; as, authors talk of the wonderful remains of Palmyra. \"The natural histories of Switzerland talk much of the fall of these rocks, and the great damage done.\" Addison. -- To talk to, to advise or exhort, or to reprove gently; as, I will talk to my son respecting his conduct. [Colloq.]\n\n1. To speak freely; to use for conversing or communicating; as, to talk French. 2. To deliver in talking; to speak; to utter; to make a subject of conversation; as, to talk nonsense; to talk politics. 3. To consume or spend in talking; -- often followed by away; as, to talk away an evening. 4. To cause to be or become by talking. \"They would talk themselves mad.\" Shak. To talk over. (a) To talk about; to have conference respecting; to deliberate upon; to discuss; as, to talk over a matter or plan. (b) To change the mind or opinion of by talking; to convince; as, to talk over an opponent.\n\n1. The act of talking; especially, familiar converse; mutual discourse; that which is uttered, especially in familiar conversation, or the mutual converse of two or more. In various talk the instructive hours they passed. Pope. Their talk, when it was not made up of nautical phrases, was too commonly made up of oaths and curses. Macaulay. 2. Report; rumor; as, to hear talk of war. I hear a talk up and down of raising our money. Locke. 3. Subject of discourse; as, his achievment is the talk of the town. Syn. -- Conversation; colloquy; discourse; chat; dialogue; conference; communication. See Conversation.
talkative |Given to much talking. Syn. -- Garrulous; loquacious. See Garrulous. -- Talk\"a*tive*ly, adv. -- Talk\"a*tive*ness, n.
talker |1. One who talks; especially, one who is noted for his power of conversing readily or agreeably; a conversationist. There probably were never four talkers more admirable in four different ways than Johnson, Burke, Beauclerk, and Garrick. Macaulay. 2. A loquacious person, male or female; a prattler; a babbler; also, a boaster; a braggart; -- used in contempt or reproach. Jer. Taylor.
talking |1. That talks; able to utter words; as, a talking parrot. 2. Given to talk; loquacious. The hawthorn bush, with seats beneath the shade, For talking age and whispering lovers made. Goldsmith.
tall |1. High in stature; having a considerable, or an unusual, extension upward; long and comparatively slender; having the diameter or lateral extent small in proportion to the height; as, a tall person, tree, or mast. Two of far nobler shape, erect and tall. Milton. 2. Brave; bold; courageous. [Obs.] As tall a trencherman As e'er demolished a pye fortification. Massinger. His companions, being almost in despair of victory, were suddenly recomforted by Sir William Stanley, which came to succors with three thousand tall men. Grafton. 3. Fine; splendid; excellent; also, extravagant; excessive. [Obs. or Slang] B. Jonson. Syn. -- High; lofty. -- Tall, High, Lofty. High is the generic term, and is applied to anything which is elevated or raised above another thing. Tall specifically describes that which has a small diameter in proportion to its height; hence, we speak of a tall man, a tall steeple, a tall mast, etc., but not of a tall hill. Lofty has a special reference to the expanse above us, and denotes an imposing height; as, a lofty mountain; a lofty room. Tall is now properly applied only to physical objects; high and lofty have a moral acceptation; as, high thought, purpose, etc.; lofty aspirations; a lofty genius. Lofty is the stronger word, and is usually coupled with the grand or admirable.
tallage |A certain rate or tax paid by barons, knights, and inferior tenants, toward the public expenses. [Written also tailage, taillage.] Note: When paid out of knight's fees, it was called scutage; when by cities and burghs, tallage; when upon lands not held by military tenure, hidage. Blackstone.\n\nTo lay an impost upon; to cause to pay tallage.
tallboy |1. A kind of long-stemmed wineglass or cup. 2.  A piece of household furniture common in the eighteenth century, usually in two separate parts, with larger drawers above and smaller ones below and raised on legs fifteen inches or more in height; -- called also highboy. 3.  A long sheet-metal pipe for a chimney top.
talliage |A certain rate or tax paid by barons, knights, and inferior tenants, toward the public expenses. [Written also tailage, taillage.] Note: When paid out of knight's fees, it was called scutage; when by cities and burghs, tallage; when upon lands not held by military tenure, hidage. Blackstone.
tallier |One who keeps tally.
tallis |Same as Tallith.
tallith |(a) An undergarment worn by orthodox Jews, covering the chest and the upper part of the back. It has an opening for the head, and has tassels, called zizith, on its four corners. (b) A tasseled shawl or scarf worn over the head or thrown round the shoulders while at prayer.
tallness |The quality or state of being tall; height of stature.
tallow |1. The suet or fat of animals of the sheep and ox kinds, separated from membranous and fibrous matter by melting. Note: The solid consistency of tallow is due to the large amount of stearin it contains. See Fat. 2. The fat of some other animals, or the fat obtained from certain plants, or from other sources, resembling the fat of animals of the sheep and ox kinds. Tallow candle, a candle made of tallow. -- Tallow catch, a keech. See Keech. [Obs.] -- Tallow chandler, one whose occupation is to make, or to sell, tallow candles. -- Tallow chandlery, the trade of a tallow chandler; also, the place where his business is carried on. -- Tallow tree (Bot.), a tree (Stillingia sebifera) growing in China, the seeds of which are covered with a substance which resembles tallow and is applied to the same purposes.\n\n1. To grease or smear with tallow. 2. To cause to have a large quantity of tallow; to fatten; as, tallow sheep.
tallow-face |One who has a sickly, pale complexion. Shak.
tallow-faced |Having a sickly complexion; pale. Burton.
tallower |An animal which produces tallow.
tallowing |The act, or art, of causing animals to produce tallow; also, the property in animals of producing tallow.
tallowish |Having the qualities of tallow.
tallowy |Of the nature of tallow; resembling tallow; greasy.
tallwood |Firewood cut into billets of a certain length. [Obs.] [Eng.]
tally |1. Originally, a piece of wood on which notches or scores were cut, as the marks of number; later, one of two books, sheets of paper, etc., on which corresponding accounts were kept. Note: In purshasing and selling, it was once customary for traders to have two sticks, or one stick cleft into two parts, and to mark with a score or notch, on each, the number or quantity of goods delivered, -- the seller keeping one stick, and the purchaser the other. Before the use of writing, this, or something like it, was the only method of keeping accounts; and tallies were received as evidence in courts of justice. In the English exchequer were tallies of loans, one part being kept in the exchequer, the other being given to the creditor in lieu of an obligation for money lent to government. 2. Hence, any account or score kept by notches or marks, whether on wood or paper, or in a book; especially, one kept in duplicate. 3. One thing made to suit another; a match; a mate. They were framed the tallies for each other. Dryden. 4. A notch, mark, or score made on or in a tally; as, to make or earn a tally in a game. 5. A tally shop. See Tally shop, below. Tally shop, a shop at which goods or articles are sold to customers on account, the account being kept in corresponding books, one called the tally, kept by the buyer, the other the counter tally, kept by the seller, and the payments being made weekly or otherwise by agreement. The trade thus regulated is called tally trade. Eng. Encyc. -- To strike tallies, to act in correspondence, or alike. [Obs.] Fuller.\n\n1. To score with correspondent notches; hence, to make to correspond; to cause to fit or suit. They are not so well tallied to the present juncture. Pope. 2. (Naut.)  To check off, as parcels of freight going inboard or outboard. W. C. Russell. Tally on (Naut.), to dovetail together.\n\n1. To be fitted; to suit; to correspond; to match. I found pieces of tiles that exactly tallied with the channel. Addison. Your idea . . . tallies exactly with mine. Walpole. 2. To make a tally; to score; as, to tally in a game. Tally on (Naut.), to man a rope for hauling, the men standing in a line or tail.\n\nStoutly; with spirit. [Obs.] Beau. & Fl.
tallyho |1. The huntsman's cry to incite or urge on his hounds. 2. A tallyho coach. Tallyho coach, a pleasure coach. See under Coach.
tallyman |1. One who keeps the tally, or marks the sticks. 2. One who keeps a tally shop, or conducts his business as tally trade.
talma |(a) A kind of large cape, or short, full cloak, forming part of the dress of ladies. (b) A similar garment worn formerly by gentlemen.
