likehood |Likelihood. [Obs.] South.
lilac |1. (Bot.)  A shrub of the genus Syringa. There are six species, natives of Europe and Asia. Syringa vulgaris, the common lilac, and S. Persica, the Persian lilac, are frequently cultivated for the fragrance and beauty of their purplish or white flowers. In the British colonies various other shrubs have this name. 2. A light purplish color like that of the flower of the purplish lilac. California lilac (Bot.), a low shrub with dense clusters of purplish flowers (Ceanothus thyrsiflorus).
lilacin |See Syringin.
liliaceous |(a) Of or pertaining to a natural order of which the lily, tulip, and hyacinth are well-known examples. (b) Like the blossom of a lily in general form.
lilial |Having a general resemblance to lilies or to liliaceous plants.
lilied |Covered with, or having many, lilies. By sandy Ladon's lilied banks. Milton.
lill |To loll. [Obs. or Prov.] Spenser.
lilliputian |1. One belonging to a very diminutive race described in Swift's \"Voyage to Lilliput.\" 2. Hence:  A person or thing of very small size.\n\n1. Of or having to the imaginary island of Lilliput described by Swift, or to its inhabitants. 2. Hence:  Of very small size; diminutive; dwarfed.
lilly-pilly |An Australian myrtaceous tree (Eugenia Smithii), having smooth ovate leaves, and panicles of small white flowers. The wood is hard and fine-grained.
lilt |1. To do anything with animation and quickness, as to skip, fly, or hop. [Prov. Eng.] Wordsworth. 2. To sing cheerfully. [Scot.]\n\nTo utter with spirit, animation, or gayety; to sing with spirit and liveliness. A classic lecture, rich in sentiment, With scraps of thundrous epic lilted out By violet-hooded doctors. Tennyson.\n\n1. Animated, brisk motion; spirited rhythm; sprightliness. The movement, the lilt, and the subtle charm of the verse. F. Harrison. 2. A lively song or dance; a cheerful tune. The housewife went about her work, or spun at her wheel, with a lilt upon her lips. J. C. Shairp.
lily |1. (Bot.)  A plant and flower of the genus Lilium, endogenous bulbous plants, having a regular perianth of six colored pieces, six stamens, and a superior three-celled ovary. Note: There are nearly fifty species, all found in the North Temperate zone. Lilium candidum and L. longiflorum are the common white lilies of gardens; L. Philadelphicum is the wild red lily of the Atlantic States. L. Chalcedonicum is supposed to be the \"lily of the field\" in our Lord's parable; L. auratum is the great gold-banded lily of Japan. 2. (Bot.)  A name given to handsome flowering plants of several genera, having some resemblance in color or form to a true lily, as Pancratium, Crinum, Amaryllis, Nerine, etc. 3. That end of a compass needle which should point to the north; -- so called as often ornamented with the figure of a lily or fleur-de- lis. But sailing further, it veers its lily to the west. Sir T. Browne. African lily (Bot.), the blue-flowered Agapanthus umbellatus. -- Atamasco lily (Bot.), a plant of the genus Zephyranthes (Z. Atamasco), having a white and pink funnelform perianth, with six petal-like divisions resembling those of a lily. Gray. -- Blackberry lily (Bot.), the Pardanthus Chinensis, the black seeds of which form a dense like a blackberry. -- Bourbon lily (Bot.), Lilium candidum. See Illust. -- Butterfly lily. (Bot.) Same as Mariposa lily, in the Vocabulary. -- Lily daffodil (Bot.), a plant of the genus Narcissus, and its flower. -- Lily encrinite (Paleon.), a fossil encrinite, esp. Encrinus liliiformis. See Encrinite. -- Lily hyacinth (Bot.), a plant of the genus Hyacinthus. -- Lily iron, a kind of harpoon with a detachable head of peculiar shape, used in capturing swordfish. -- Lily of the valley (Bot.), a low perennial herb (Convallaria majalis), having a raceme of nodding, fragrant, white flowers. -- Lily pad, the large floating leaf of the water lily. [U. S.] Lowell. -- Tiger lily (Bot.), Lilium tigrinum, the sepals of which are blotched with black. -- Turk's-cap lily (Bot.) Lilium Martagon, a red lily with recurved sepals; also, the similar American lily, L. superbum. -- Water lily (Bot.), the Nymphæa, a plant with floating roundish leaves, and large flowers having many petals, usually white, but sometimes pink, red, blue, or yellow. [See Illust. of Nymphæa.]
lily-handed |Having white, delicate hands.
lily-livered |White-livered; cowardly.
lilywort |Any plant of the Lily family or order. Lindley.
lim |A limb. [Obs.] Chaucer.
lim naea |A genus of fresh-water air-breathing mollusks, abundant in ponds and streams; -- called also pond snail. [Written also Lymnæa.]
lima |The capital city of Peru, in South America. Lima bean. (Bot.) (a) A variety of climbing or pole bean (Phaseolus lunatus), which has very large flattish seeds. (b) The seed of this plant, much used for food. -- Lima wood (Bot.), the beautiful dark wood of the South American tree Cæsalpinia echinata.
limaceous |Pertaining to, or like, Limax, or the slugs.
limacina |A genus of small spiral pteropods, common in the Arctic and Antarctic seas. It contributes to the food of the right whales.
limacon |A curve of the fourth degree, invented by Pascal. Its polar equation is r = a cos + b.
limaille |Filings of metal. [Obs.] \"An ounce . . . of silver lymaille.\" Chaucer.
liman |The deposit of slime at the mouth of a river; slime.
limation |The act of filing or polishing.
limature |1. The act of filing. 2. That which is filed off; filings. Johnson.
limax |A genus of airbreathing mollusks, including the common garden slugs. They have a small rudimentary shell. The breathing pore is on the right side of the neck. Several species are troublesome in gardens. See Slug.
limb |1. A part of a tree which extends from the trunk and separates into branches and twigs; a large branch. 2. An arm or a leg of a human being; a leg, arm, or wing of an animal. A second Hector for his grim aspect, And large proportion of his strong-knit limbs. Shak. 3. A thing or person regarded as a part or member of, or attachment to, something else. Shak. That little limb of the devil has cheated the gallows. Sir W. Scott. 4. An elementary piece of the mechanism of a lock. Limb of the law, a lawyer or an officer of the law. [Colloq.] Landor.\n\n1. To supply with limbs. [R.] Milton. 2. To dismember; to tear off the limbs of.\n\nA border or edge, in certain special uses. (a) (Bot.) The border or upper spreading part of a monopetalous corolla, or of a petal, or sepal; blade. (b) (Astron.) The border or edge of the disk of a heavenly body, especially of the sun and moon. (c) The graduated margin of an arc or circle, in an instrument for measuring angles.
limbat |A cooling periodical wind in the Isle of Cyprus, blowing from the northwest from eight o'clock, A. M., to the middle of the day or later.
limbate |Bordered, as when one color is surrounded by an edging of another.
limbec |An alembic; a still. [Obs.] Spenser. Shak.\n\nTo distill. [Obs.] Dryden.
limbed |Having limbs; -- much used in composition; as, large-limbed; short-limbed. Innumerous living creatures, perfect forms, Limbed and full grown. Milton.
limber |1. pl.  The shafts or thills of a wagon or carriage. [Prov. Eng.] 2. (Mil.)  The detachable fore part of a gun carriage, consisting of two wheels, an axle, and a shaft to which the horses are attached. On top is an ammunition box upon which the cannoneers sit. 3. pl. (Naut.)  Gutters or conduits on each side of the keelson to afford a passage for water to the pump well. Limber boards (Naut.), short pieces of plank forming part of the lining of a ship's floor immediately above the timbers, so as to prevent the limbers from becoming clogged. -- Limber box or chest (Mil.), a box on the limber for carrying ammunition. -- Limber rope, Limber chain or Limber clearer (Naut.), a rope or chain passing through the limbers of a ship, by which they may be cleared of dirt that chokes them. Totten. -- Limber strake (Shipbuilding), the first course of inside planking next the keelson.\n\nTo attach to the limber; as, to limber a gun. To limber up, to change a gun carriage into a four-wheeled vehicle by attaching the limber.\n\nEasily bent; flexible; pliant; yielding. Milton. The bargeman that doth row with long and limber oar. Turbervile.\n\nTo cause to become limber; to make flexible or pliant. Richardson.
limberness |The quality or state of being limber; flexibleness. Boyle.
limbless |Destitute of limbs.
limbmeal |Piecemeal. [Obs.] \"To tear her limbmeal.\" Shak.
limbo |1. (Scholastic Theol.)  An extramundane region where certain classes of souls were supposed to await the judgment. As far from help as Limbo is from bliss. Shak. A Limbo large and broad, since called The Paradise of fools. Milton. Note: The limbus patrum was considered as a place for the souls of good men who lived before the coming of our Savior. The limbus infantium was said to be a similar place for the souls of unbaptized infants. To these was added, in the popular belief, the limbus fatuorum, or fool's paradise, regarded as a receptacle of all vanity and nonsense. 2. Hence: Any real or imaginary place of restraint or confinement; a prison; as, to put a man in limbo. 3. (Anat.)  A border or margin; as, the limbus of the cornea. Etym: Jamaican E limba to bend, fr. E. limber (1950)]. Often performed at celebrations, such as weddings. (1950-1996)
limbous |With slightly overlapping borders; -- said of a suture.
limburg cheese |A soft cheese made in the Belgian province of Limburg (Limbourg), and usually not eaten until the curing has developed a peculiar and, to most people, unpleasant odor.
limburger |A soft cheese made in the Belgian province of Limburg (Limbourg), and usually not eaten until the curing has developed a peculiar and, to most people, unpleasant odor.
limburger cheese |A soft cheese made in the Belgian province of Limburg (Limbourg), and usually not eaten until the curing has developed a peculiar and, to most people, unpleasant odor.
limbus |1. (Scholastic Theol.)  An extramundane region where certain classes of souls were supposed to await the judgment. As far from help as Limbo is from bliss. Shak. A Limbo large and broad, since called The Paradise of fools. Milton. Note: The limbus patrum was considered as a place for the souls of good men who lived before the coming of our Savior. The limbus infantium was said to be a similar place for the souls of unbaptized infants. To these was added, in the popular belief, the limbus fatuorum, or fool's paradise, regarded as a receptacle of all vanity and nonsense. 2. Hence: Any real or imaginary place of restraint or confinement; a prison; as, to put a man in limbo. 3. (Anat.)  A border or margin; as, the limbus of the cornea. Etym: Jamaican E limba to bend, fr. E. limber (1950)]. Often performed at celebrations, such as weddings. (1950-1996)
lime |A thong by which a dog is led; a leash. Halliwell.\n\nThe linden tree. See Linden.\n\nA fruit allied to the lemon, but much smaller; also, the tree which bears it. There are two kinds; Citrus Medica, var. acida which is intensely sour, and the sweet lime (C. Medica, var. Limetta) which is only slightly sour.\n\n1. Birdlime. Like the lime That foolish birds are caught with. Wordsworth. 2. (Chem.)  Oxide of calcium; the white or gray, caustic substance, usually called quicklime, obtained by calcining limestone or shells, the heat driving off carbon dioxide and leaving lime. It develops great heat when treated with water, forming slacked lime, and is an essential ingredient of cement, plastering, mortar, etc.CaO Note: Lime is the principal constituent of limestone, marble, chalk, bones, shells, etc. Caustic lime, calcium hydrate or slacked lime; also, in a less technical sense, calcium oxide or quicklime. -- Lime burner, one who burns limestone, shells, etc., to make lime. -- Lime light. See Calcium light under Calcium. -- Lime pit, a limestone quarry. -- Lime rod, Lime twig, a twig smeared with birdlime; hence, that which catches; a snare. Chaucer.\n\n1. To smear with a viscous substance, as birdlime. These twigs, in time, will come to be limed. L'Estrange. 2. To entangle; to insnare. We had limed ourselves With open eyes, and we must take the chance. Tennyson. 3. To treat with lime, or oxide or hydrate of calcium; to manure with lime; as, to lime hides for removing the hair; to lime sails in order to whiten them. Land may be improved by draining, marling, and liming. Sir J. Child. 4. To cement. \"Who gave his blood to lime the stones together.\" Shak.
lime twig |. See under 4th Lime.
lime-twigged |Beset with snares; insnared, as with birdlime. L. Addison.
limehound |A dog used in hunting the wild boar; a leamer. Spenser.
limekiln |A kiln or furnace in which limestone or shells are burned and reduced to lime.
limelight |That part of the stage upon which the limelight as cast, usually where the most important action is progressing or where the leading player or players are placed and upon which the attention of the spectators is therefore concentrated. Hence, consspicuous position before the public; as, politicians who are never happy except in the limelight.
limenean |Of or pertaining to Lima, or to the inhabitants of Lima, in Peru. -- n.  A native or inhabitant of Lima.
limer |A limehound; a limmer. Chaucer.
limerick |A nonsense poem of five anapestic lines, of which  lines 1, 2, and 5 are of there feet, and rime, and lines 3 and 4 are of two feet, and rime; as -- There was a young lady, Amanda, Whose Ballades Lyriques were quite fin de Siècle, I deem But her Journal Intime Was what sent her papa to Uganda.
limestone |A rock consisting chiefly of calcium carbonate or carbonate of lime. It sometimes contains also magnesium carbonate, and is then called magnesian or dolomitic limestone. Crystalline limestone is called marble.
limewater |Water impregnated with lime; esp., an artificial solution of lime for medicinal purposes.
limicolae |A group of shore birds, embracing the plovers, sandpipers, snipe, curlew, etc. ; the Grallæ.
limicoline |Shore-inhabiting; of or pertaining to the Limicolæ.
liminess |The state or quality of being limy.
limit |1. That which terminates, circumscribes, restrains, or confines; the bound, border, or edge; the utmost extent; as, the limit of a walk, of a town, of a country; the limits of human knowledge or endeavor. As eager of the chase, the maid Beyond the forest's verdant limits strayed. Pope. 2. The space or thing defined by limits. The archdeacon hath divided it Into three limits very equally. Shak. 3. That which terminates a period of time; hence, the period itself; the full time or extent. The dateless limit of thy dear exile. Shak. The limit of your lives is out. Shak. 4. A restriction; a check; a curb; a hindrance. I prithee, give no limits to my tongue. Shak. 5. (Logic & Metaph.)  A determining feature; a distinguishing characteristic a differentia. 6. (Math.)  A determinate quantity, to which a variable one continually approaches, and may differ from it by less than any given difference, but to which, under the law of variation, the variable can never become exactly equivalent. Elastic limit. See under Elastic. -- Prison limits, a definite, extent of space in or around a prison, within which a prisoner has liberty to go and come. Syn. -- Boundary; border; edge; termination; restriction; bound; confine.\n\nTo apply a limit to, or set a limit for; to terminate, circumscribe, or restrict, by a limit or limits; as, to limit the acreage of a crop; to limit the issue of paper money; to limit one's ambitions or aspirations; to limit the meaning of a word. Limiting parallels (Astron.), those parallels of latitude between which only an occultation of a star or planet by the moon, in a given case, can occur.\n\nTo beg, or to exercise functions, within a certain limited region; as, a limiting friar. [Obs.]
limitable |Capable of being limited.
limitaneous |Of or pertaining to a limit. [Obs.]
limitarian |Tending to limit.
limitary |1. Placed at the limit, as a guard. \"Proud limitary cherub.\" Milton. 2. Confined within limits; limited in extent, authority, power, etc. \"The limitary ocean.\" Trench. The poor, limitary creature calling himself a man of the world. De Quincey. 3. Limiting, or tending to limit; restrictive. Doctrines limitary, if not subversive of the papal power. Milman.\n\n1. That which serves to limit; a boundary; border land. [Obs.] Fuller. 2. A limiter. See Limiter, 2.
limitate |Bounded by a distinct line.
limitation |1. The act of limiting; the state or condition of being limited; as, the limitation of his authority was approved by the council. They had no right to mistake the limitation . . . of their own faculties, for an inherent limitation of the possible modes of existence in the universe. J. S. Mill. 2. That which limits; a restriction; a qualification; a restraining condition, defining circumstance, or qualifying conception; as, limitations of thought. The cause of error is ignorance what restraints and limitations all principles have in regard of the matter whereunto they are applicable. Hooker. 3. A certain precinct within which friars were allowed to beg, or exercise their functions; also, the time during which they were permitted to exercise their functions in such a district. Chaucer. Latimer. 4. A limited time within or during which something is to be done. You have stood your limitation, and the tribunes Endue you with the people's voice. Shak. 5. (Law) (a) A certain period limited by statute after which the claimant shall not enforce his claims by suit. (b) A settling of an estate or property by specific rules. (c) A restriction of power; as, a constitutional limitation. Wharton. Bouvier. To know one's own limitations, to know the reach and limits of one's abilities. A. R. Wallace.
limited |Confined within limits; narrow; circumscribed; restricted; as, our views of nature are very limited. Limited company, a company in which the liability of each shareholder is limited by the number of shares he has taken, so that he can not be called on to contribute beyond the amount of his shares. [Eng.] Mozley & W.
limitedly |With limitation.
limitedness |The quality of being limited.
limiter |1. One who, or that which, limits. 2. A friar licensed to beg within certain bounds, or whose duty was limited to a certain district. [Formerly written also limitour.] Chaucer. A limitour of the Gray Friars, in the time of his limitation, preached many times, and had one sermon at all times. Latimer.
limitive |Involving a limit; as, a limitive law, one designed to limit existing powers. [R.]
limitless |Having no limits; unbounded; boundless. Davies (Wit's Pilgr.).
limitour |See Limiter, 2.
limmer |Limber. [Obs.] Holland.\n\n1. A limehound; a leamer. 2. (Zoöl.)  A mongrel, as a cross between the mastiff and hound. 3. A low, base fellow; also, a prostitute. [Scot.] Thieves, limmers, and broken men of the Highlands. Sir W. Scott. 4. (Naut.)  A man rope at the side of a ladder.
limn |1. To draw or paint; especially, to represent in an artistic way with pencil or brush. Let a painter carelessly limn out a million of faces, and you shall find them all different. Sir T. Browne. 2. To illumine, as books or parchments, with ornamental figures, letters, or borders.
limner |A painter; an artist; esp.: (a) One who paints portraits. (b) One who illuminates books. [Archaic]
limniad |See Limoniad.
limning |The act, process, or art of one who limns; the picture or decoration so produced. Adorned with illumination which we now call limning. Wood.
limoges |A city of Southern France. Limoges enamel, a kind of enamel ware in which the enamel is applied to the whole surface of a metal plaque, vase, or the like, and painted in enamel colors. The art was brought to a high degree of perfection in Limoges in the 16th century. -- Limoges ware. (a) Articles decorated with Limoges enamel. (b) Articles of porcelain, etc., manufactured at Limoges.
limoniad |A nymph of the meadows; -- called also Limniad.
limonin |A bitter, white, crystalline substance found in orange and lemon seeds.
limonite |Hydrous sesquixoide of iron, an important ore of iron, occurring in stalactitic, mammillary, or earthy forms, of a dark brown color, yellowish brown powder. It includes bog iron. Also called brown hematite.
limosis |A ravenous appetite caused by disease; excessive and morbid hunger.
limous |Muddy; slimy; thick. Sir T. Browne.
limousine |An automobile body with seats and permanent top like a coupé, and with the top projecting over the driver and a projecting front; also, an automobile with such a body.
limp |To halt; to walk lamely. Also used figuratively. Shak.\n\nA halt; the act of limping.\n\nA scraper for removing poor ore or refuse from the sieve.\n\n1. Flaccid; flabby, as flesh. Walton. 2. Lacking stiffness; flimsy; as, a limp cravat.
limper |One who limps.
limpet |1. In a general sense, any hatshaped, or conical, gastropod shell. 2. Any one of many species of marine shellfish of the order Docoglossa, mostly found adhering to rocks, between tides. Note: The common European limpets of the genus Patella (esp. P. vulgata) are extensively used as food. The common New England species is Acmæa testudinalis. Numerous species of limpets occur on the Pacific coast of America, some of them of large size. 3. Any species of Siphonaria, a genus of limpet-shaped Pulmonifera, living between tides, on rocks. 4. A keyhole limpet. See Fissurella.
limpid |Characterized by clearness or transparency; clear; as, a limpid stream. Springs which were clear, fresh, and limpid. Woodward. Syn. -- Clear; transparent; pellucid; lucid; pure; crystal; translucent; bright.
limpidity |The quality or state of being limpid.
limpidness |Quality of being limpid; limpidity.
limpin |A limpet. [Obs.] Holland.
limpingly |In a limping manner.
limpitude |Limpidity. [Obs.]
limpkin |Either one of two species of wading birds of the genus Aramus, intermediate between the cranes and rails. The limpkins are remarkable for the great length of the toes. One species (A. giganteus) inhabits Florida and the West Indies; the other (A. scolopaceus) is found in South America. Called also courlan, and crying bird.
limpness |The quality or state of being limp.
limpsy |Limp; flexible; flimsy. [Local, U. S.]
limsy |Limp; flexible; flimsy. [Local, U. S.]
limu |The Hawaiian name for seaweeds. Over sixty kinds are used as food, and have species names, as Limu Lipoa, Limu palawai, etc.
limule |A limulus.
limuloidea |An order of Merostomata, including among living animals the genus Limulus, with various allied fossil genera, mostly of the Carboniferous period. Called also Xiphosura. Note: There are six pairs of leglike organs, surrounding the mouth, most of which terminate in claws; those of the first pair (probably mandibles) are the smallest; the others have the basal joints thickened and spinose, to serve as jaws, while the terminal joints serve as legs. This group is intermediate, in some characteristics, between crustaceans and certain arachnids (scorpions), but the respiration is by means of lamellate gills borne upon the five posterior abdominal appendages, which are flat and united in pairs by their inner edges, and are protected by the lidlike anterior pair, which also bear the genital orifices.
limulus |The only existing genus of Merostomata. It includes only a few species from the East Indies, and one (Limulus polyphemus) from the Atlantic coast of North America. Called also Molucca crab, king crab, horseshoe crab, and horsefoot.
limy |1. Smeared with, or consisting of, lime; viscous. \"Limy snares.' Spenser. 2. Containing lime; as, a limy soil. 3. Resembling lime; having the qualities of lime.
lin |To yield; to stop; to cease. [Obs. or Scot.] Marsion.\n\n1. A pool or collection of water, particularly one above or below a fall of water. 2. A waterfall, or cataract; as, a roaring lin. 3. A steep ravine. Note: Written also linn and lyn.
linage |See Lineage. [Obs.] Holland.
linament |Lint; esp., lint made into a tent for insertion into wounds or ulcers.
linarite |A hydrous sulphate of lead and copper occurring in bright blue monoclinic crystals.
linch |A ledge; a right-angled projection.
linchi |An esculent swallow.
linchpin |A pin used to prevent the wheel of a vehicle from sliding off the axletree.
lincoln green |. A color of cloth formerly made in Lincoln, England; the cloth itself.
lincture |Medicine taken by licking with the tongue.
linctus |Medicine taken by licking with the tongue.
lind |The linden. See Linden. Chaucer.
linden |(a) A handsome tree (Tilia Europæa), having cymes of light yellow flowers, and large cordate leaves. The tree is common in Europe. (b) In America, the basswood, or Tilia Americana.
lindia |A peculiar genus of rotifers, remarkable for the absence of ciliated disks. By some zoölogists it is thought to be like the ancestral form of the Arthropoda.
lindiform |Resembling the genus Lindia; -- said of certain apodous insect larvæ. [See Illust. under Larva.]
