quartzoid |A form of crystal common with quartz, consisting of two six- sided pyramids, base to base.
queint |See Quaint. [Obs.]\n\nimp. & p. p. of Quench. Chaucer.
queintise |See Quaintise. [Obs.] Chaucer.
quell |1. To die. [Obs.] Yet he did quake and quaver, like to quell. Spenser. 2. To be subdued or abated; to yield; to abate. [R.] Winter's wrath begins to quell. Spenser.\n\n1. To take the life of; to kill. [Obs.] Spenser. The ducks cried as [if] men would them quelle. Chaucer. 2. To overpower; to subdue; to put down. The nation obeyed the call, rallied round the sovereign, and enabled him to quell the disaffected minority. Macaulay. Northward marching to quell the sudden revolt. Longfellow. 3. To quiet; to allay; to pacify; to cause to yield or cease; as, to quell grief; to quell the tumult of the soul. Much did his words the gentle lady quell. Spenser. Syn. -- to subdue; crush; overpower; reduce; put down; repress; suppress; quiet; allay; calm; pacify.\n\nMurder. [Obs.] Shak.
queller |1. A killer; as, Jack the Giant Queller. [Obs.] Wyclif (Mark vi. 27). 2. One who quells; one who overpowers or subdues.
quellio |A ruff for the neck. [Obs.] B. Jonson.
quelquechose |A trifle; a kickshaw. Donne.
queme |To please. [Obs.] Chaucer.
quemeful |Kindly; merciful. [Obs.] Wyclif.
quench |1. To extinguish; to overwhelm; to make an end of; -- said of flame and fire, of things burning, and figuratively of sensations and emotions; as, to quench flame; to quench a candle; to quench thirst, love, hate, etc. Ere our blood shall quench that fire. Shak. The supposition of the lady's death Will quench the wonder of her infamy. Shak. 2. To cool suddenly, as heated steel, in tempering. Syn. -- To extinguish; still; stifle; allay; cool; check.\n\nTo become extinguished; to go out; to become calm or cool. [R.] Dost thou think in time She will not quench! Shak.
quenchable |Capable of being quenched.
quencher |One who, or that which, quenches. Hammond.
quenchless |Incapable of being quenched; inextinguishable; as, quenchless fire or fury. \"Once kindled, quenchless evermore.\" Byron. Syn. -- Inextinguishable; unquenchable. -- Quench\"less*ly, adv. -- Quench\"less*ness, n.
quenelle |A kind of delicate forcemeat, commonly poached and used as a dish by itself or for garnishing.
quenouille training |A method of training trees or shrubs in the shape of a cone or distaff by tying down the branches and pruning.
quercitannic |Pertaining to, or designating, a tannic acid found in oak bark and extracted as a yellowish brown amorphous substance.
quercite |A white crystalline substance, C6H7(OH)5, found in acorns, the fruit of the oak (Quercus). It has a sweet taste, and is regarded as a pentacid alcohol.
quercitin |A yellow crystalline substance, occurring quite widely distributed in the vegetable kingdom, as is apple-tree bark, horse- chestnut leaves, etc., but originally obtained by the decomposition of quercitrin. Called also meletin.
quercitrin |A glucoside extracted from the bark of the oak (Quercus) as a bitter citron-yellow crystalline substance, used as a pigment and called quercitron.
quercitron |1. The yellow inner bark of the Quercus tinctoria, the American black oak, yellow oak, dyer's oak, or quercitron oak, a large forest tree growing from Maine to eastern Texas. 2. Quercitrin, used as a pigment. See Quercitrin.
quercus |A genus of trees constituted by the oak. See Oak.
querele |A complaint to a court. See Audita Querela. [Obs.] Ayliffe.
querent |A complainant; a plaintiff.\n\nAn inquirer. [Obs.] Aubrey.
querimonious |Complaining; querulous; apt to complain. -- Quer`i*mo\"ni*ous*ly, adv. -- Quer`i*mo\"ni*ous*ness, n.
querimony |A complaint or complaining. [Obs.] E. Hall.
querist |One who inquires, or asks questions. Swift.
querken |To stifle or choke. [Prov. Eng.] Halliwell.
querl |To twirl; to turn or wind round; to coil; as, to querl a cord, thread, or rope. [Local, U.S.]\n\nA coil; a twirl; as, the qwerl of hair on the fore leg of a blooded horse. [Local, U. S.]
quern |A mill for grinding grain, the upper stone of which was turned by hand; -- used before the invention of windmills and watermills. Shak. They made him at the querne grind. Chaucer.
querpo |The inner or body garments taken together. See Cuerpo. Dryden.
querquedule |(a) A teal. (b) The pintail duck.
querry |A groom; an equerry. [Obs.]
querulential |Querulous. [R.]
querulous |1. Given to quarreling; quarrelsome. [Obs.] land. 2. Apt to find fault; habitually complaining; disposed to murmur; as, a querulous man or people. Enmity can hardly be more annoying that querulous, jealous, exacting fondness. Macaulay. 3. Expressing complaint; fretful; whining; as, a querulous tone of voice. Syn. -- Complaining; bewailing; lamenting; whining; mourning; murmuring; discontented; dissatisfied. -- Quer\"u*lous*ly, adv. -- Quer\"u*lous*ness, n.
query |1. A question; an inquiry to be answered or solved. I shall conclude with proposing only some queries, in order to a . . . search to be made by others. Sir I. Newton. 2. A question in the mind; a doubt; as, I have a query about his sincerity. 3. An interrogation point [] as the sign of a question or a doubt.\n\n1. To ask questions; to make inquiry. Each prompt to query, answer, and debate. Pope. 2. To have a doubt; as, I query if he is right.\n\n1. To put questions about; to elicit by questioning; to inquire into; as, to query the items or the amount; to query the motive or the fact. 2. To address questions to; to examine by questions. 3. To doubt of; to regard with incredulity. 4. To write \" query\" (qu., qy., or ) against, as a doubtful spelling, or sense, in a proof. See Quære.
quesal |The long-tailed, or resplendent, trogon (Pharomachus mocinno, formerly Trogon resplendens), native of Southern Mexico and Central America. Called alsoquetzal, and golden trogon. Note: The male is remarkable for the brilliant metallic green and gold colors of his plumage, and for his extremely long plumes, which often exceed three feet in length.
quest |1. The act of seeking, or looking after anything; attempt to find or obtain; search; pursuit; as, to rove in quest of game, of a lost child, of property, etc. Upon an hard adventure yet in quest. Spenser. Cease your quest of love. Shak. There ended was his quest, there ceased his care. Milton. 2. Request; desire; solicitation. Gad not abroad at every quest and call Of an untrained hope or passion. Herbert. 3. Those who make search or inquiry, taken collectively. The senate hath sent about three several quests to search you out. Shak. 4. Inquest; jury of inquest. What lawful quest have given their verdict Shak.\n\nTo search for; to examine. [R.] Sir T. Herbert.\n\nTo go on a quest; to make a search; to go in pursuit; to beg. [R.] If his questing had been unsuccessful, he appeased the rage of hunger with some scraps of broken meat. Macaulay.
questant |One who undertakes a quest; a seeker. [Obs.] Shak.
quester |One who seeks; a seeker. [Obs.]
question |1. The act of asking; interrogation; inquiry; as, to examine by question and answer. 2. Discussion; debate; hence, objection; dispute; doubt; as, the story is true beyond question; he obeyed without question. There arose a question between some of John's disciples and the Jews about purifying. John iii. 25. It is to be to question, whether it be lawful for Christian princes to make an invasive war simply for the propagation of the faith. Bacon. 3. Examination with reference to a decisive result; investigation; specifically, a judicial or official investigation; also, examination under torture. Blackstone. He that was in question for the robbery. Shak. The Scottish privy council had power to put state prisoners to the question. Macaulay. 4. That which is asked; inquiry; interrogatory; query. But this question asked Puts me in doubt. Lives there who loves his pain Milton. 5. Hence, a subject of investigation, examination, or debate; theme of inquiry; matter to be inquired into; as, a delicate or doubtful question. 6. Talk; conversation; speech; speech.[Obs.] Shak. In question, in debate; in the course of examination or discussion; as, the matter or point in question. -- Leading question. See under Leading. -- Out of question, unquestionably. \"Out of question, 't is Maria's hand.\" Shak. -- Out of the question. See under Out. -- Past question, beyond question; certainly; undoubtedly; unquestionably. -- Previous question, a question put to a parliamentary assembly upon the motion of a member, in order to ascertain whether it is the will of the body to vote at once, without further debate, on the subject under consideration. Note: The form of the question is: \"Shall the main question be now put\" If the vote is in the affirmative, the matter before the body must be voted upon as it then stands, without further general debate or the submission of new amendments. In the House of Representatives of the United States, and generally in America, a negative decision operates to keep the business before the body as if the motion had not been made; but in the English Parliament, it operates to postpone consideration for the day, and until the subject may be again introduced. In American practice, the object of the motion is to hasten action, and it is made by a friend of the measure. In English practice, the object is to get rid of the subject for the time being, and the motion is made with a purpose of voting against it. Cushing. -- To beg the question. See under Beg. -- To the question, to the point in dispute; to the real matter under debate. Syn. -- Point; topic; subject.\n\n1. To ask questions; to inquire. He that questioneth much shall lean much. Bacon. 2. To argue; to converse; to dispute. [Obs.] I pray you, think you question with the Jew. Shak.\n\n1. To inquire of by asking questions; to examine by interrogatories; as, to question a witness. 2. To doubt of; to be uncertain of; to query. And most we question what we most desire. Prior. 3. To raise a question about; to call in question; to make objection to. \"But have power and right to question thy bold entrance on this place.\" Milton. 4. To talk to; to converse with. With many holiday and lady terms he questioned me. Shak. Syn. -- To ask; interrogate; catechise; doubt; controvert; dispute. -- Question, Inquire, Interrogate. To inquire is merely to ask for information, and implies no authority in the one who asks. To interrogate is to put repeated questions in a formal or systematic fashion to elicit some particular fact or facts. To question has a wider sense than to interrogate, and often implies an attitude of distrust or opposition on the part of the questioner.
questionability |The state or condition of being questionable. Stallo.
questionable |1. Admitting of being questioned; inviting, or seeming to invite, inquiry. [R.] Thou com'st in such a questionable shape That I will speak to thee. Shak. 2. Liable to question; subject to be doubted or called in question; problematical; doubtful; suspicious. It is questionable whether Galen ever saw the dissection of a human body.T. Baker. Syn. -- Disputable; debatable; uncertain; doubtful; problematical; suspicious.
questionableness |The quality or state of being questionable, doubtful, or suspicious.
questionably |In a questionable manner.
questionary |Inquiring; asking questions; testing. \"Questionary epistles.\" Pope.\n\nOne who makes it his business to seek after relics and carry them about for sale.
questioner |One who asks questions; an inquirer. \"Little time for idle questioners.\" Tennyson.
questionist |1. A questioner; an inquirer. [Obs.] 2. (Eng. Univ.)  A candidate for honors or degrees who is near the time of his examination.
questionless |Unquestioning; incurious. [R.]\n\nBeyond a question or doubt; doubtless; certainly.[R.] South. What it was in the apostles' time, that, questionless, it must be still. Milton.
questionnaire |= Questionary, above.
questman |One legally empowered to make quest of certain matters, esp. of abuses of weights and measures. Specifically: (a) A churchwarden's assistant; a sidesman. Blount. [Obs.] (b) A collector of parish rents. Blount. [Obs.]
questmonger |One who lays informations, and encourages petty lawsuits. [Obs.] Bacon.
questor |An officer who had the management of the public treasure; a receiver of taxes, tribute, etc.; treasurer of state. [Written also quæstor.] Note: At an early period there were also public accusers styled questors, but the office was soon abolished.
questorship |The office, or the term of office, of a questor.
questrist |A seeker; a pursuer. [Obs.] \"Hot questrists after him.\" Shak.
questuary |Studious of profit. [Obs.] Sir T. Browne.\n\nOne employed to collect profits. [R.] \"The pope's questuaries.\" Jer. Taylor.
quet |The common guillemot. [Prov. Eng.]
queue |(a) A tail-like appendage of hair; a pigtail. (b) A line of persons waiting anywhere.\n\nTo fasten, as hair, in a queue.
quey |A heifer. [Scot.]
qui vive |The challenge of a French sentinel, or patrol; -- used like the English challenge: \"Who comes there\" To be on the qui vive, to be on guard; to be watchful and alert, like a sentinel.
quib |A quip; a gibe.
quibble |1. A shift or turn from the point in question; a trifling or evasive distinction; an evasion; a cavil. Quibbles have no place in the search after truth. I. Watts. 2. A pun; a low conceit.\n\n1. To evade the point in question by artifice, play upon words, caviling, or by raising any insignificant or impertinent question or point; to trifle in argument or discourse; to equivocate. 2. To pun; to practice punning. Cudworth. Syn. -- To cavil; shuffle; equivocate; trifle.
quibbler |One who quibbles; a caviler; also, a punster.
quibblingly |Triflingly; evasively.
quica |A small South American opossum (Didelphys quica), native of Guiana and Brazil. It feeds upon insects, small birds, and fruit.
quice |See Queest.
quich |To stir. [Obs.] He could not move nor quich at all. Spenser.
quichuan |Designating, or pertaining to, a linguistic stock of South American Indians, including the majority of the civilized tribes of the ancient Peruvian Empire with some wild tribes never subjugated by the Incas. Most of these Indians are short, but heavy and strong. They are brachycephalic and of remarkably low cranial capacity. Nevertheless, they represent one of the highest of native American civilizations, characterized by agricultural, military, and administrative skill rather than by science or literature, although they were adept potters, weavers, and goldsmiths, and preserved by the aid of the mnemonic quipu a body of legendary lore in part written down since the introduction of writing.
quick |1. Alive; living; animate; -- opposed to dead or inanimate. Not fully quyke, ne fully dead they were. Chaucer. The Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom. 2 Tim. iv. 1. Man is no star, but a quick coal Of mortal fire. Herbert. Note: In this sense the word is nearly obsolete, except in some compounds, or in particular phrases. 2. Characterized by life or liveliness; animated; sprightly; agile; brisk; ready. \" A quick wit.\" Shak. 3. Speedy; hasty; swift; not slow; as, be quick Oft he her his charge of quick return Repeated. Milton. 4. Impatient; passionate; hasty; eager; eager; sharp; unceremonious; as, a quick temper. The bishop was somewhat quick with them, and signified that he was much offended. Latimer. 5. Fresh; bracing; sharp; keen. The air is quick there, And it pierces and sharpens the stomach. Shak. 6. Sensitive; perceptive in a high degree; ready; as, a quick ear. \"To have an open ear, a quick eye.\" Shak. They say that women are so quick. Tennyson. 7. Pregnant; with child. Shak. Quick grass. (Bot.) See Quitch grass. -- Quick match. See under Match. -- Quick vein (Mining), a vein of ore which is productive, not barren. -- Quick vinegar, vinegar made by allowing a weak solution of alcohol to trickle slowly over shavings or other porous material. -- Quick water, quicksilver water. -- Quick with child, pregnant with a living child. Syn. -- Speedy; expeditious; swift; rapid; hasty; prompt; ready; active; brisk; nimble; fleet; alert; agile; lively; sprightly.\n\nIn a quick manner; quickly; promptly; rapidly; with haste; speedily; without delay; as, run quick; get back quick. If we consider how very quick the actions of the mind are performed. Locke.\n\n1. That which is quick, or alive; a living animal or plant; especially, the hawthorn, or other plants used in making a living hedge. The works . . . are curiously hedged with quick. Evelyn. 2. The life; the mortal point; a vital part; a part susceptible of serious injury or keen feeling; the sensitive living flesh; the part of a finger or toe to which the nail is attached; the tender emotions; as, to cut a finger nail to the quick; to thrust a sword to the quick, to taunt one to the quick; -- used figuratively. This test nippeth, . . . this toucheth the quick. Latimer. How feebly and unlike themselves they reason when they come to the quick of the difference ! Fuller. 3. (Bot.)  Quitch grass. Tennyson.\n\nTo revive; to quicken; to be or become alive. [Obs.] Chaucer.
quick-scented |Acute of smell.
quick-sighted |Having quick sight or acute discernment; quick to see or to discern. Locke. --Quick\"-sight`ed*ness, n.
quick-witted |Having ready wit Shak.
quick-wittedness |Readiness of wit. \"Celtic quick-wittedness.\" M. Arnold.
quickbeam |See Quicken tree.
quicken |1. To make alive; to vivify; to revive or resuscitate, as from death or an inanimate state; hence, to excite; to, stimulate; to incite. The mistress which I serve quickens what's dead. Shak. Like a fruitful garden without an hedge, that quickens the appetite to enjoy so tempting a prize. South. 2. To make lively, active, or sprightly; to impart additional energy to; to stimulate; to make quick or rapid; to hasten; to accelerate; as, to quicken one's steps or thoughts; to quicken one's departure or speed. 3. (Shipbuilding)  To shorten the radius of (a curve); to make (a curve) sharper; as, to quicken the sheer, that is, to make its curve more pronounced. Syn. -- To revive; resuscitate; animate; reinvigorate; vivify; refresh; stimulate; sharpen; incite; hasten; accelerate; expedite; dispatch; speed.\n\n1. To come to life; to become alive; to become vivified or enlivened; hence, to exhibit signs of life; to move, as the fetus in the womb. The heart is the first part that quickens, and the last that dies. Ray. And keener lightnings quicken in her eye. Pope. When the pale and bloodless east began To quicken to the sun. Tennyson. 2. To move with rapidity or activity; to become accelerated; as, his pulse quickened.
quicken tree |The European rowan tree; -- called also quickbeam, and quickenbeam. See Rowan tree.
quickener |One who, or that which, quickens.
quickening |1. The act or process of making or of becoming quick. 2. (Physiol.)  The first motion of the fetus in the womb felt by the mother, occurring usually about the middle of the term of pregnancy. It has been popularly supposed to be due to the fetus becoming possessed of independent life.
quickens |Quitch grass.
quickhatch |The wolverine.
quicklime |Calcium oxide; unslacked lime; -- so called because when wet it develops great heat. See 4th Lime, 2.
quickly |Speedily; with haste or celerity; soon; without delay; quick.
quickness |1. The condition or quality of being quick or living; life. [Obs.] Touch it with thy celestial quickness. Herbert. 2. Activity; briskness; especially, rapidity of motion; speed; celerity; as, quickness of wit. This deed . . . must send thee hence With fiery quickness. Shak. His mind had, indeed, great quickness and vigor. Macaulay. 3. Acuteness of perception; keen sensibility. Would not quickness of sensation be an inconvenience to an animal that must lie still Locke 4. Sharpness; pungency of taste. Mortimer. Syn. -- Velocity; celerity; rapidity; speed; haste; expedition; promptness; dispatch; swiftness; nimbleness; fleetness; agility; briskness; liveliness; readiness; sagacity; shrewdness; shrewdness; sharpness; keenness.
quicksand |Sand easily moved or readily yielding to pressure; especially, a deep mass of loose or moving sand mixed with water, sometimes found at the mouth of a river or along some coasts, and very dangerous, from the difficulty of extricating a person who begins sinking into it. Life hath quicksands, -- Life hath snares! Longfellow.
quickset |A living plant set to grow, esp. when set for a hedge; specifically, the hawthorn.\n\nMade of quickset. Dates and pomegranates on the quickset hedges. Walpole.\n\nTo plant with living shrubs or trees for a hedge; as, to quickset a ditch. Mortimer.
quicksilver |The metal mercury; -- so called from its resemblance to liquid silver. Quicksilver horizon, a mercurial artificial horizon. See under Horizon. -- Quicksilver water, a solution of mercury nitrate used in artificial silvering; quick water.
quicksilvered |Overlaid with quicksilver, or with an amalgam of quicksilver and tinfoil.
quicksilvering |The mercury and foil on the back of a looking-glass.
quickstep |A lively, spirited march; also, a lively style of dancing.
quickwork |(a) All the submerged section of a vessel's planking. (b) The planking between the spirketing and the clamps. (c) The short planks between the portholes.
quid |A portion suitable to be chewed; a cud; as, a quid of tobacco.\n\nTo drop from the mouth, as food when partially chewed; -- said of horses. Youatt.
quidam |Somebody; one unknown. Spenser.
quiddany |A confection of quinces, in consistency between a sirup and marmalade.
quiddative |Constituting, or containing, the essence of a thing; quidditative.
quiddit |A subtilty; an equivocation. [Obs.] Shak. By some strange quiddit or some wrested clause. Drayton.
quidditative |Quiddative.
quiddity |1. The essence, nature, or distinctive peculiarity, of a thing; that which answers the question, Quid est or, What is it \" The degree of nullity and quiddity.\" Bacon. The quiddity or characteristic difference of poetry as distinguished from prose. De Quincey. 2. A trifling nicety; a cavil; a quibble. We laugh at the quiddities of those writers now. Coleridge.
quiddle |To spend time in trifling employments, or to attend to useful subjects in an indifferent or superficial manner; to dawdle.\n\nOne who wastes his energy about trifles. Emerson.
quiddler |One who wastes his energy about trifles. Emerson.
quidnunc |One who is curious to know everything that passes; one who knows, or pretends to know, all that is going on. \"The idle stories of quidnuncs.\" Motley.
quiesce |To be silent, as a letter; to have no sound. M. Stuart.
quiescence |The state or quality of being quiescent. \"Quiescence, bodily and mental.\" H. Spencer. Deeds will be done; -- while be boasts his quiescence. R. Browning.
quiescency |The state or quality of being quiescent. \"Quiescence, bodily and mental.\" H. Spencer. Deeds will be done; -- while be boasts his quiescence. R. Browning.
