maculature |, Blotting paper. [Obs.]
magi |A caste of priests, philosophers, and magicians, among the ancient Persians; hence, any holy men or sages of the East. The inspired Magi from the Orient came. Sandys.
magian |Of or pertaining to the Magi.\n\nOne of the Magi, or priests of the Zoroastrian religion in Persia; an adherent of the Zoroastrian religion. -- Ma\"gi*an*ism, n.
magic |A comprehensive name for all of the pretended arts which claim to produce effects by the assistance of supernatural beings, or departed spirits, or by a mastery of secret forces in nature attained by a study of occult science, including enchantment, conjuration, witchcraft, sorcery, necromancy, incantation, etc. An appearance made by some magic. Chaucer. Celestial magic, a supposed supernatural power which gave to spirits a kind of dominion over the planets, and to the planets an influence over men. -- Natural magic, the art of employing the powers of nature to produce effects apparently supernatural. -- Superstitious, or Geotic, magic, the invocation of devils or demons, involving the supposition of some tacit or express agreement between them and human beings. Syn. -- Sorcery; witchcraft; necromancy; conjuration; enchantment.\n\n1. Pertaining to the hidden wisdom supposed to be possessed by the Magi; relating to the occult powers of nature, and the producing of effects by their agency. 2. Performed by, or proceeding from, occult and superhuman agencies; done by, or seemingly done by, enchantment or sorcery. Hence: Seemingly requiring more than human power; imposing or startling in performance; producing effects which seem supernatural or very extraordinary; having extraordinary properties; as, a magic lantern; a magic square or circle. The painter's magic skill. Cowper. Note: Although with certain words magic is used more than magical, -- as, magic circle, magic square, magic wand, -- we may in general say magic or magical; as, a magic or magical effect; a magic or magical influence, etc. But when the adjective is predicative, magical, and not magic, is used; as, the effect was magical. Magic circle, a series of concentric circles containing the numbers 12 to 75 in eight radii, and having somewhat similar properties to the magic square. -- Magic humming bird (Zoöl.), a Mexican humming bird (Iache magica) , having white downy thing tufts. -- Magic lantern. See Lantern. -- Magic square, numbers so disposed in parallel and equal rows in the form of a square, that each row, taken vertically, horizontally, or diagonally, shall give the same sum, the same product, or an harmonical series, according as the numbers taken are in arithmetical, geometrical, or harmonical progression. -- Magic wand, a wand used by a magician in performing feats of magic.
magical |1. Pertaining to the hidden wisdom supposed to be possessed by the Magi; relating to the occult powers of nature, and the producing of effects by their agency. 2. Performed by, or proceeding from, occult and superhuman agencies; done by, or seemingly done by, enchantment or sorcery. Hence: Seemingly requiring more than human power; imposing or startling in performance; producing effects which seem supernatural or very extraordinary; having extraordinary properties; as, a magic lantern; a magic square or circle. The painter's magic skill. Cowper. Note: Although with certain words magic is used more than magical, -- as, magic circle, magic square, magic wand, -- we may in general say magic or magical; as, a magic or magical effect; a magic or magical influence, etc. But when the adjective is predicative, magical, and not magic, is used; as, the effect was magical. Magic circle, a series of concentric circles containing the numbers 12 to 75 in eight radii, and having somewhat similar properties to the magic square. -- Magic humming bird (Zoöl.), a Mexican humming bird (Iache magica) , having white downy thing tufts. -- Magic lantern. See Lantern. -- Magic square, numbers so disposed in parallel and equal rows in the form of a square, that each row, taken vertically, horizontally, or diagonally, shall give the same sum, the same product, or an harmonical series, according as the numbers taken are in arithmetical, geometrical, or harmonical progression. -- Magic wand, a wand used by a magician in performing feats of magic.
magically |In a magical manner; by magic, or as if by magic.
magician |One skilled in magic; one who practices the black art; an enchanter; a necromancer; a sorcerer or sorceress; a conjurer.
magilp |See Megilp.
magilph |See Megilp.
magister |Master; sir; -- a title of the Middle Ages, given to a person in authority, or to one having a license from a university to teach philosophy and the liberal arts.
magisterial |1. Of or pertaining to a master or magistrate, or one in authority; having the manner of a magister; official; commanding; authoritative. Hence: Overbearing; dictatorial; dogmatic. When magisterial duties from his home Her father called. Glover. We are not magisterial in opinions, nor, dictator-like, obtrude our notions on any man. Sir T. Browne. Pretenses go a great way with men that take fair words and magisterial looks for current payment. L'Estrange. 2. (Alchem. & Old Chem.)  Pertaining to, produced by, or of the nature of, magistery. See Magistery, 2. Syn. -- Authoritative; stately; august; pompous; dignified; lofty; commanding; imperious; lordly; proud; haughty; domineering; despotic; dogmatical; arrogant. -- Magisterial, Dogmatical, Arrogant. One who is magisterial assumes the air of a master toward his pupils; one who is dogmatical lays down his positions in a tone of authority or dictation; one who is arrogant in sults others by an undue assumption of superiority. Those who have long been teachers sometimes acquire, unconsciously, a manner which borders too much on the magisterial, and may be unjustly construed as dogmatical, or even arrogant.
magisteriality |Magisterialness; authoritativeness. [R.] Fuller.
magisterially |In a magisterial manner.
magisterialness |The quality or state of being magisterial.
magistery |1. Mastery; powerful medical influence; renowned efficacy; a sovereign remedy. [Obs.] Holland. 2. A magisterial injunction. [R.] Brougham. 3. (Chem.)  A precipitate; a fine substance deposited by precipitation; -- applied in old chemistry to certain white precipitates from metallic solutions; as, magistery of bismuth. Ure.
magistracy |1. The office or dignity of a magistrate. Blackstone. 2. The collective body of magistrates.
magistral |1. Pertaining to a master; magisterial; authoritative; dogmatic. 2. Commanded or prescribed by a magister, esp. by a doctor; hence, effectual; sovereign; as, a magistral sirup. \"Some magistral opiate.\" Bacon. 3. (Pharmacy)  Formulated extemporaneously, or for a special case; -- opposed to officinal, and said of prescriptions and medicines. Dunglison. Magistral line (Fort.), the guiding line, or outline, or outline, by which the form of the work is determined. It is usually the crest line of the parapet in fieldworks, or the top line of the escarp in permanent fortifications.\n\n1. (Med.)  A sovereign medicine or remedy. [Obs.] Burton. 2. (Fort.)  A magistral line. 3. (Metal.)  Powdered copper pyrites used in the amalgamation of ores of silver, as at the Spanish mines of Mexico and South America.
magistrality |Magisterialness; arbitrary dogmatism. Bacon.
magistrally |In a magistral manner. Abp. Bramhall.
magistrate |A person clothed with power as a public civil officer; a public civil officer invested with the executive government, or some branch of it. \"All Christian rulers and magistrates.\" Book of Com. Prayer. Of magistrates some also are supreme, in whom the sovereign power of the state resides; others are subordinate. Blackstone.
magistratic |Of, pertaining to, or proceeding from, a magistrate; having the authority of a magistrate. Jer. Taylor.
magistratical |Of, pertaining to, or proceeding from, a magistrate; having the authority of a magistrate. Jer. Taylor.
magistrature |Magistracy. [Obs.]
magma |1. Any crude mixture of mineral or organic matters in the state of a thin paste. Ure. 2. (Med.) (a) A thick residuum obtained from certain substances after the fluid parts are expressed from them; the grounds which remain after treating a substance with any menstruum, as water or alcohol. (b) A salve or confection of thick consistency. Dunglison. 3. (Geol.) (a) The molten matter within the earth, the source of the material of lava flows, dikes of eruptive rocks, etc. (b) The glassy base of an eruptive rock. 4. (Chem.)  The amorphous or homogenous matrix or ground mass, as distinguished from well-defined crystals; as, the magma of porphyry.
magna charta |1. The great Charter, so called, obtained by the English barons from King John, A. D. 1215. This name is also given to the charter granted to the people of England in the ninth year of Henry III., and confirmed by Edward I. 2. Hence, a fundamental constitution which guaranties rights and privileges.
magnality |A great act or event; a great attainment. [Obs.] Sir T. Browne.
magnanimity |The quality of being magnanimous; greatness of mind; elevation or dignity of soul; that quality or combination of qualities, in character, which enables one to encounter danger and trouble with tranquility and firmness, to disdain injustice, meanness and revenge, and to act and sacrifice for noble objects.
magnanimous |1. Great of mind; elevated in soul or in sentiment; raised above what is low, mean, or ungenerous; of lofty and courageous spirit; as, a magnanimous character; a magnanimous conqueror. Be magnanimous in the enterprise. Shak. To give a kingdom hath been thought Greater and nobler done, and to law down Far more magnanimousan to assume. Milton. 2. Dictated by or exhibiting nobleness of soul; honorable; noble; not selfish. Both strived for death; magnanimous debate. Stirling. There is an indissoluble union between a magnanimous policy and the solid rewards of public prosperity and felicity. Washington.
magnanimously |In a magnanimous manner; with greatness of mind.
magnase black |A black pigment which dries rapidly when mixed with oil, and is of intense body. Fairholt.
magnate |1. A person of rank; a noble or grandee; a person of influence or distinction in any sphere. Macaulay. 2. One of the nobility, or certain high officers of state belonging to the noble estate in the national representation of Hungary, and formerly of Poland.
magnes |Magnet. [Obs.] Spenser.
magnesia |A light earthy white substance, consisting of magnesium oxide, and obtained by heating magnesium hydrate or carbonate, or by burning magnesium. It has a slightly alkaline reaction, and is used in medicine as a mild antacid laxative. See Magnesium. Magnesia alba Etym: [L.] (Med. Chem.), a bulky white amorphous substance, consisting of a hydrous basic carbonate of magnesium, and used as a mild cathartic.
magnesian |Pertaining to, characterized by, or containing, magnesia or magnesium. Magnesian limestone. (Min.) See Dolomite.
magnesic |Pertaining to, or containing, magnesium; as, magnesic oxide.
magnesite |Native magnesium carbonate occurring in white compact or granular masses, and also in rhombohedral crystals.
magnesium |A light silver-white metallic element, malleable and ductile, quite permanent in dry air but tarnishing in moist air. It burns, forming (the oxide) magnesia, with the production of a blinding light (the so-called magnesium light) which is used in signaling, in pyrotechny, or in photography where a strong actinic illuminant is required. Its compounds occur abundantly, as in dolomite, talc, meerschaum, etc. Symbol Mg. Atomic weight, 24.4. Specific gravity, 1.75. Magnesium sulphate. (Chem.) Same as Epsom salts.
magnet |1. The loadstone; a species of iron ore (the ferrosoferric or magnetic ore, Fe3O4) which has the property of attracting iron and some of its ores, and, when freely suspended, of pointing to the poles; -- called also natural magnet. Dinocrates began to make the arched roof of the temple of Arsinoë all of magnet, or this loadstone. Holland. Two magnets, heaven and earth, allure to bliss, The larger loadstone that, the nearer this. Dryden. 2. (Physics)  A bar or mass of steel or iron to which the peculiar properties of the loadstone have been imparted; -- called, in distinction from the loadstone, an artificial magnet. Note: An artificial magnet, produced by the action of a voltaic or electrical battery, is called an electro-magnet. Field magnet (Physics & Elec.), a magnet used for producing and maintaining a magnetic field; -- used especially of the stationary or exciting magnet of a dynamo or electromotor in distinction from that of the moving portion or armature.
magnetic |1. Pertaining to the magnet; possessing the properties of the magnet, or corresponding properties; as, a magnetic bar of iron; a magnetic needle. 2. Of or pertaining to, or characterized by,, the earth's magnetism; as, the magnetic north; the magnetic meridian. 3. Capable of becoming a magnet; susceptible to magnetism; as, the magnetic metals. 4. Endowed with extraordinary personal power to excite the feelings and to win the affections; attractive; inducing attachment. She that had all magnetic force alone. Donne. 5. Having, susceptible to, or induced by, animal magnetism, so called; as, a magnetic sleep. See Magnetism. Magnetic amplitude, attraction, dip, induction, etc. See under Amplitude, Attraction, etc. -- Magnetic battery, a combination of bar or horseshoe magnets with the like poles adjacent, so as to act together with great power. -- Magnetic compensator, a contrivance connected with a ship's compass for compensating or neutralizing the effect of the iron of the ship upon the needle. -- Magnetic curves, curves indicating lines of magnetic force, as in the arrangement of iron filings between the poles of a powerful magnet. -- Magnetic elements. (a) (Chem. Physics) Those elements, as iron, nickel, cobalt, chromium, manganese, etc., which are capable or becoming magnetic. (b) (Physics) In respect to terrestrial magnetism, the declination, inclination, and intensity. (c) See under Element. -- Magnetic equator, the line around the equatorial parts of the earth at which there is no dip, the dipping needle being horizontal. -- Magnetic field, or Field of magnetic force, any space through which magnet exerts its influence. -- Magnetic fluid, the hypothetical fluid whose existence was formerly assumed in the explanations of the phenomena of magnetism. -- Magnetic iron, or Magnetic iron ore. (Min.) Same as Magnetite. -- Magnetic needle, a slender bar of steel, magnetized and suspended at its center on a sharp-pointed pivot, or by a delicate fiber, so that it may take freely the direction of the magnetic meridian. It constitutes the essential part of a compass, such as the mariner's and the surveyor's. -- Magnetic poles, the two points in the opposite polar regions of the earth at which the direction of the dipping needle is vertical. -- Magnetic pyrites. See Pyrrhotite. -- Magnetic storm (Terrestrial Physics), a disturbance of the earth's magnetic force characterized by great and sudden changes. -- Magnetic telegraph, a telegraph acting by means of a magnet. See Telegraph.\n\n1. A magnet. [Obs.] As the magnetic hardest iron draws. Milton. 2. Any metal, as iron, nickel, cobalt, etc., which may receive, by any means, the properties of the loadstone, and which then, when suspended, fixes itself in the direction of a magnetic meridian.
magnetical |1. Pertaining to the magnet; possessing the properties of the magnet, or corresponding properties; as, a magnetic bar of iron; a magnetic needle. 2. Of or pertaining to, or characterized by,, the earth's magnetism; as, the magnetic north; the magnetic meridian. 3. Capable of becoming a magnet; susceptible to magnetism; as, the magnetic metals. 4. Endowed with extraordinary personal power to excite the feelings and to win the affections; attractive; inducing attachment. She that had all magnetic force alone. Donne. 5. Having, susceptible to, or induced by, animal magnetism, so called; as, a magnetic sleep. See Magnetism. Magnetic amplitude, attraction, dip, induction, etc. See under Amplitude, Attraction, etc. -- Magnetic battery, a combination of bar or horseshoe magnets with the like poles adjacent, so as to act together with great power. -- Magnetic compensator, a contrivance connected with a ship's compass for compensating or neutralizing the effect of the iron of the ship upon the needle. -- Magnetic curves, curves indicating lines of magnetic force, as in the arrangement of iron filings between the poles of a powerful magnet. -- Magnetic elements. (a) (Chem. Physics) Those elements, as iron, nickel, cobalt, chromium, manganese, etc., which are capable or becoming magnetic. (b) (Physics) In respect to terrestrial magnetism, the declination, inclination, and intensity. (c) See under Element. -- Magnetic equator, the line around the equatorial parts of the earth at which there is no dip, the dipping needle being horizontal. -- Magnetic field, or Field of magnetic force, any space through which magnet exerts its influence. -- Magnetic fluid, the hypothetical fluid whose existence was formerly assumed in the explanations of the phenomena of magnetism. -- Magnetic iron, or Magnetic iron ore. (Min.) Same as Magnetite. -- Magnetic needle, a slender bar of steel, magnetized and suspended at its center on a sharp-pointed pivot, or by a delicate fiber, so that it may take freely the direction of the magnetic meridian. It constitutes the essential part of a compass, such as the mariner's and the surveyor's. -- Magnetic poles, the two points in the opposite polar regions of the earth at which the direction of the dipping needle is vertical. -- Magnetic pyrites. See Pyrrhotite. -- Magnetic storm (Terrestrial Physics), a disturbance of the earth's magnetic force characterized by great and sudden changes. -- Magnetic telegraph, a telegraph acting by means of a magnet. See Telegraph.
magnetically |By or as by, magnetism.
magneticalness |Quality of being magnetic.
magnetician |One versed in the science of magnetism; a magnetist.
magneticness |Magneticalness. [Obs.]
magnetics |The science of magnetism.
magnetiferous |Producing or conducting magnetism.
magnetism |The property, quality, or state, of being magnetic; the manifestation of the force in nature which is seen in a magnet. 2. The science which treats of magnetic phenomena. 3. Power of attraction; power to excite the feelings and to gain the affections. \"By the magnetism of interest our affections are irresistibly attracted.\" Glanvill. Animal magnetism, a force, more or less analogous to magnetism, which, it has been alleged, is produced in animal tissues, and passes from one body to another with or without actual contact. The existence of such a force, and its potentiality for the cure of disease, were asserted by Mesmer in 1775. His theories and methods were afterwards called mesmerism, a name which has been popularly applied to theories and claims not put forward by Mesmer himself. See Mesmerism, Biology, Od, Hypnotism. -- Terrestrial magnetism, the magnetic force exerted by the earth, and recognized by its effect upon magnetized needles and bars.
magnetist |One versed in magnetism.
magnetite |An oxide of iron (Fe3O4) occurring in isometric crystals, also massive, of a black color and metallic luster. It is readily attracted by a magnet and sometimes possesses polarity, being then called loadstone. It is an important iron ore. Called also magnetic iron.
magnetizable |Capable of magnetized.
magnetization |The act of magnetizing, or the state of being magnetized.
magnetize |1. To communicate magnetic properties to; as, to magnetize a needle. 2. To attract as a magnet attracts, or like a magnet; to move; to influence. Fascinated, magnetized, as it were, by his character. Motley. 3. To bring under the influence of animal magnetism.
magnetizee |A person subjected to the influence of animal magnetism. [R.]
magnetizer |One who, or that which, imparts magnetism.
magneto- |A prefix meaning pertaining to, produced by, or in some way connected with, magnetism.
magneto-electric |Pertaining to, or characterized by, electricity by the action of magnets; as, magneto-electric induction. Magneto-electric machine, a form of dynamo-electric machine in which the field is maintained by permanent steel magnets instead of electro-magnets.
magneto-electrical |Pertaining to, or characterized by, electricity by the action of magnets; as, magneto-electric induction. Magneto-electric machine, a form of dynamo-electric machine in which the field is maintained by permanent steel magnets instead of electro-magnets.
magneto-electricity |1. Electricity evolved by the action of magnets. 2. (Physics)  That branch of science which treats of the development of electricity by the action of magnets; -- the counterpart of electro- magnetism.
magnetograph |An automatic instrument for registering, by photography or otherwise, the states and variations of any of the terrestrial magnetic elements.
magnetometer |An instrument for measuring the intensity of magnetic forces; also, less frequently, an instrument for determining any of the terrestrial magnetic elements, as the dip and declination.
magnetometric |Pertaining to, or employed in, the measurement of magnetic forces; obtained by means of a magnetometer; as, magnetometric instruments; magnetometric measurements.
magnetomotive |Pertaining to, or designating, a force producing magnetic flux, analogous to electromotive force, and equal to the magnetic flux multiplied by the magnetic reluctance.
magnetomotor |A voltaic series of two or more large plates, producing a great quantity of electricity of low tension, and hence adapted to the exhibition of electro-magnetic phenomena. [R.]
magnetotherapy |The treatment of disease by the application of magnets to the surface of the body.
magnifiable |Such as can be magnified, or extolled.
magnific |Grand; splendid; illustrious; magnificent. [Obs.] 1 Chron. xxii. 5. \"Thy magnific deeds.\" Milton. -- Mag*nif\"ic*al*ly, adv. [Obs.]
magnifical |Grand; splendid; illustrious; magnificent. [Obs.] 1 Chron. xxii. 5. \"Thy magnific deeds.\" Milton. -- Mag*nif\"ic*al*ly, adv. [Obs.]
magnificat |The song of the Virgin Mary, Luke i. 46; -- so called because it commences with this word in the Vulgate.
magnificate |To magnify or extol. [Obs.] Marston.
magnification |The act of magnifying; enlargement; exaggeration. [R.]
