essonite |Cinnamon stone, a variety of garnet. See Garnet.
esthetics |The theory or philosophy of taste; the science of the beautiful in nature and art; esp. that which treats of the expression and embodiment of beauty by art.\n\nSame as Æsthete, Æsthetic, Æsthetical, Æsthetics, etc.
estiferous |Producing heat. [R.] Smart.
estimable |1. Capable of being estimated or valued; as, estimable damage. Paley. . 2. Valuable; worth a great price. [R.] A pound of man's flesh, taken from a man, Is not so estimable, profitable neither, As flesh of muttons, beefs, or goats. Shak. 3. Worth of esteem or respect; deserving our good opinion or regard. A lady said of her two companions, that one was more amiable, the other more estimable. Sir W. Temple.\n\nA thing worthy of regard. [R.] One of the peculiar estimables of her country. Sir T. Browne.
estimableness |The quality of deserving esteem or regard.
estimably |In an estimable manner.
estimate |1. To judge and form an opinion of the value of, from imperfect data, -- either the extrinsic (money), or intrinsic (moral), value; to fix the worth of roughly or in a general way; as, to estimate the value of goods or land; to estimate the worth or talents of a person. It is by the weight of silver, and not the name of the piece, that men estimate commodities and exchange them. Locke. It is always very difficult to estimate the age in which you are living. J. C. Shairp. 2. To from an opinion of, as to amount,, number, etc., from imperfect data, comparison, or experience; to make an estimate of; to calculate roughly; to rate; as, to estimate the cost of a trip, the number of feet in a piece of land. Syn. -- To appreciate; value; appraise; prize; rate; esteem; count; calculate; number. -- To Estimate, Esteem. Both these words imply an exercise of the judgment. Estimate has reference especially to the external relations of things, such as amount, magnitude, importance, etc. It usually involves computation or calculation; as, to estimate the loss or gain of an enterprise. Esteem has reference to the intrinsic or moral worth of a person or thing. Thus, we esteem a man for his kindness, or his uniform integrity. In this sense it implies a mingled sentiment of respect and attachment. We esteem it an honor to live in a free country. See Appreciate.\n\nA valuing or rating by the mind, without actually measuring, weighing, or the like; rough or approximate calculation; as, an estimate of the cost of a building, or of the quantity of water in a pond. Weigh success in a moral balance, and our whole estimate is changed. J. C. Shairp. Syn. -- Estimate, Estimation, Esteem. The noun estimate, like its verb, supposes chiefly an exercise of judgment in determining the amount, importance, or magnitude of things, with their other exterior relations; as, an estimate of expenses incurred; a true estimate of life, etc. Esteem is a moral sentiment made up of respect and attachment, -- the valuation of a person as possessing useful qualities or real worth. Thus we speak of the esteem of the wise and good as a thing greatly to be desired. Estimation seems to waver between the two. In our version of the Scriptures it is used simply for estimate; as, \"If he be poorer than thy estimation.\" Lev. xxvii. 8. In other cases, it verges toward esteem; as, \"I know him to be of worth and worthy estimation.\" Shak. It will probably settle down at last on this latter sense. \"Esteem is the value we place upon some degree of worth. It is higher than simple approbation, which is a decision of judgment. It is the commencement of affection.\" Gogan. No; dear as freedom is, and in my heart's Just estimation prized above all price. Cowper.
estimation |1. The act of estimating. Shak. 2. An opinion or judgment of the worth, extent, or quantity of anything, formed without using precise data; valuation; as, estimations of distance, magnitude, amount, or moral qualities. If he be poorer that thy estimation, then he shall present himself before the priest, and the priest, and the priest shall value him. Lev. xxvii. 8. 3. Favorable opinion; esteem; regard; honor. I shall have estimation among multitude, and honor with the elders. Wisdom viii. 10. 4. Supposition; conjecture. I speak not this in estimation, As what I think might be, but what I know. Shak. Syn. -- Estimate; calculation; computation; appraisement; esteem; honor; regard. See Estimate, n.
estimative |1. Inclined, or able, to estimate; serving for, or capable of being used in, estimating. We find in animals an estimative or judicial faculty. Sir M. Hale. 2. Pertaining to an estimate. [R.]
estimator |One who estimates or values; a valuer. Jer. Taylor.
estival |Same as Æstival, Æstivate, etc.
estivate |Same as Æstival, Æstivate, etc.
estivation |Same as Æstival, Æstivate, etc.
estoile |A six-pointed star whose rays are wavy, instead of straight like those of a mullet. [Written also étoile.] Estoile of eight points, a star which has four straight and four wavy rays. -- Estoile of four points. Same as Cross estoilé, under Cross.
estop |To impede or bar by estoppel. A party will be estopped by his admissions, where his intent is to influence another, or derive an advantage to himself. Abbott.
estoppel |(a) A stop; an obstruction or bar to one's alleging or denying a fact contrary to his own previous action, allegation, or denial; an admission, by words or conduct, which induces another to purchase rights, against which the party making such admission can not take a position inconsistent with the admission. (b) The agency by which the law excludes evidence to dispute certain admissions, which the policy of the law treats as indisputable. Wharton. Stephen. Burrill.
estovers |Necessaries or supples; an allowance to a person out of an estate or other thing for support; as of wood to a tenant for life, etc., of sustenance to a man confined for felony of his estate, or alimony to a woman divorced out of her husband's estate. Blackstone. Common of estovers. See under Common, n.
estrade |A portion of the floor of a room raised above the general level, as a place for a bed or a throne; a platform; a dais. He [the teacher] himself should have his desk on a mounted estrade or platform. J. G. Fitch.
estramacon |1. A straight, heavy sword with two edges, used in the 16th and 17th centuries. 2. A blow with edge of a sword. Farrow.
estrange |1. To withdraw; to withhold; hence, reflexively, to keep at a distance; to cease to be familiar and friendly with. We must estrange our belief from everything which is not clearly and distinctly evidenced. Glanvill. Had we . . . estranged ourselves from them in things indifferent. Hooker. 2. To divert from its original use or purpose, or from its former possessor; to alienate. They . . . have estranged this place, and have burned incense in it unto other gods. Jer. xix. 4. 3. To alienate the affections or confidence of; to turn from attachment to enmity or indifference. I do not know, to this hour, what it is that has estranged him from me. Pope. He . . . had pretended to be estranged from the Whigs, and had promised to act as a spy upon them. Macaulay.
estrangedness |State of being estranged; estrangement. Prynne.
estrangement |The act of estranging, or the state of being estranged; alienation. An estrangement from God. J. C. Shairp. A long estrangement from better things. South.
estranger |One who estranges.
estrangle |To strangle. [Obs.]
estrapade |The action of a horse, when, to get rid of his rider, he rears, plunges, and kicks furiously.
estray |To stray. [Obs.] Daniel.\n\nAny valuable animal, not wild, found wandering from its owner; a stray. Burrill.
estre |The inward part of a building; the interior. [Obs.] Chaucer.
estreat |A true copy, duplicate, or extract of an original writing or record, esp. of amercements or penalties set down in the rolls of court to be levied by the bailiff, or other officer. Cowell. Estreat of a recognizance, the extracting or taking out a forfeited recognizance from among the other records of the court, for the purpose of a prosecution in another court, or it may be in the same court. Burrill.\n\n(a) To extract or take out from the records of a court, and send up to the court of exchequer to be enforced; -- said of a forfeited recognizance. (b) To bring in to the exchequer, as a fine.
estrepe |To strip or lay bare, as land of wood, houses, etc.; to commit waste.
estrepement |A destructive kind of waste, committed by a tenant for life, in lands, woods, or houses. Cowell.
estrich |1. Ostrich. [Obs.] Massinger. 2. (Com.)  The down of the ostrich. Brande & C.
estuance |Heat. [Obs.]
estuarine |Pertaining to an estuary; estuary.
estuary |1. A place where water boils up; a spring that wells forth. [Obs.] Boyle. 2. A passage, as the mouth of a river or lake, where the tide meets the current; an arm of the sea; a frith. it to the sea was often by long and wide estuaries. Dana.\n\nBelonging to, or formed in, an estuary; as, estuary strata. Lyell.
estuate |To boil up; to swell and rage; to be agitated. Bacon.
estuation |The act of estuating; commotion, as of a fluid; agitation. The estuations of joys and fears. W. Montagu.
estufa |An assembly room in dwelling of the Pueblo Indians. L. H. Morgan.
esture |Commotion. [Obs.] Chapman.
esurient |Inclined to eat; hungry; voracious. [R.] Bailey. \"Poor, but esurient.\" Carlyle.\n\nOne who is hungry or greedy. [R.] An insatiable esurient after riches. Wood.
esurine |Causing hunger; eating; corroding. [Obs.] Wiseman.\n\nA medicine which provokes appetites, or causes hunger. [Obs.]
et caetera |Others of the like kind; and the rest; and so on; -- used to point out that other things which could be mentioned are to be understood. Usually abbreviated into etc. or &c. (&c). Shak.
et cetera |Others of the like kind; and the rest; and so on; -- used to point out that other things which could be mentioned are to be understood. Usually abbreviated into etc. or &c. (&c). Shak.
etaac |The blue buck.
etacism |The pronunciation of the Greek ê (eta) like the Italian e long, that is like a in the English word ate. See Itacism.
etacist |One who favors etacism.
etagere |A piece of furniture having a number of uninclosed shelves or stages, one above another, for receiving articles of elegance or use. Fairholt.
etamine |A light textile fabric, like a fine bunting.
etape |1.  A public storehouse. 2.  Supplies issued to troops on the march; hence (Mil.),  the place where troops on the march halt over night; also, by extension, the distance marched during a day. 3.  In Russia, a prison or stockade for the confinement of prisoners in transit.
etat major |The staff of an army, including all officers above the rank of colonel, also, all adjutants, inspectors, quartermasters, commissaries, engineers, ordnance officers, paymasters, physicians, signal officers, judge advocates; also, the noncommissioned assistants of the above officers.
etch |A variant of Eddish. [Obs.] Mortimer.\n\n1. To produce, as figures or designs, on mental, glass, or the like, by means of lines or strokes eaten in or corroded by means of some strong acid. Note: The plate is first covered with varnish, or some other ground capable of resisting the acid, and this is then scored or scratched with a needle, or similar instrument, so as to form the drawing; the plate is then covered with acid, which corrodes the metal in the lines thus laid bare. 2. To subject to etching; to draw upon and bite with acid, as a plate of metal. I was etching a plate at the beginning of 1875. Hamerton. 3. To sketch; to delineate. [R.] There are many empty terms to be found in some learned writes, to which they had recourse to etch out their system. Locke.\n\nTo practice etching; to make etchings.
etcher |One who etches.
etching |1. The act, art, or practice of engraving by means of acid which eats away lines or surfaces left unprotected in metal, glass, or the like. See Etch, v. t. 2. A design carried out by means of the above process; a pattern on metal, glass, etc., produced by etching. 3. An impression on paper, parchment, or other material, taken in ink from an etched plate. Etching figures (Min.), markings produced on the face of a crystal by the action of an appropriate solvent. They have usually a definite form, and are important as revealing the molecular structure. -- Etching needle, a sharp-pointed steel instrument with which lines are drawn in the ground or varnish in etching. -- Etching stitch (Needlework), a stitch used outline embroidery.
eteostic |A kind of chronogram. [R.] B. Jonson.
eterminable |Interminable. [Obs.] Skelton.
etern |Eternal. [Poetic] Shak. Built up to eterne significance. Mrs. Browning.
eternal |1. Without beginning or end of existence; always existing. The eternal God is thy refuge. Deut. xxxiii. 27. To know wether there were any real being, whose duration has been eternal. Locke. 2. Without end of existence or duration; everlasting; endless; immortal. That they may also obtain the salvation which is in Christ Jesus, with eternal glory. 2 Tim. ii. 10. 3. Continued without intermission; perpetual; ceaseless; constant. And fires eternal in thy temple shine. Dryden. 4. Existing at all times without change; immutable. Hobbes believed the eternal truths which he opposed. Dryden. What are the eternal objects of poetry among all nations, and at all times M. Arnold. 5. Exceedingly great or bad; -- used as a strong intensive. \"Some eternal villain.\" The Eternal City, an appellation of Rome. Syn. -- Everlasting; endless; infinite; ceaseless; perpetual; interminable. See Everlasting.\n\n1. One of the appellations of God. Law whereby the Eternal himself doth work. Hooker. 2. That which is endless and immortal. Young.
eternalist |One who holds the existence of matter to be from eternity. T. Burnet.
eternalize |To make eternal. Shelton.
eternally |In an eternal manner. That which is morally good or evil at any time or in any case, must be also eternally and unchangeably so. South. Where western gales eternally reside. Addison.
eterne |Eternal. [Poetic] Shak. Built up to eterne significance. Mrs. Browning.\n\nSee Etern.
eternify |To make eternal. [Obs.] Fame . . . eternifies the name. Mir. for Mag.
eternity |1. Infinite duration, without beginning in the past or end in the future; also, duration without end in the future; endless time. The high and lofty One, that inhabiteth eternity. Is. lvii. 15. 2. Condition which begins at death; immortality. Thou know'st 't is common; all that lives must die, Passing through nature to eternity. Shak.
eternization |The act of eternizing; the act of rendering immortal or famous.
eternize |1. To make eternal or endless. This other [gift] served but to eternize woe. Milton. 2. To make forever famous; to immortalize; as, to eternize one's self, a name, exploits. St. Alban's battle won by famous York, Shall be eternized in all age to come. Shak.
etesian |Periodical; annual; -- applied to winds which annually blow from the north over the Mediterranean, esp. the eastern part, for an irregular period during July and August.
ethal |A white waxy solid, C16H33.OH; -- called also cetylic alcohol. See Cetylic alcohol, under Cetylic.
ethane |A gaseous hydrocarbon, C2H6, forming a constituent of ordinary illuminating gas. It is the second member of the paraffin series, and its most important derivatives are common alcohol, aldehyde, ether, and acetic acid. Called also dimethyl.
ethe |Easy. [Obs.] Spenser.
ethel |Noble. [Obs.]
ethene |Ethylene; olefiant gas.
ethenic |Pertaining to, derived from. or resembling, ethene or ethylene; as, ethenic ether.
ethenyl |(a) A trivalent hydrocarbon radical, CH3.C. (b) A univalent hydrocarbon radical of the ethylene series, CH2:CH; - - called also vinyl. See Vinyl.
etheostomoid |Pertaining to, or like, the genus Etheostoma. -- n.  Any fish of the genus Etheostoma and related genera, allied to the perches; -- also called darter. The etheostomoids are small and often bright-colored fishes inhabiting the fresh waters of North America. About seventy species are known. See Darter.
ether |1. (Physics)  A medium of great elasticity and extreme tenuity, supposed to pervade all space, the interior of solid bodies not excepted, and to be the medium of transmission of light and heat; hence often called luminiferous ether. 2. Supposed matter above the air; the air itself. 3. (Chem.) (a) A light, volatile, mobile, inflammable liquid, (C2H5)2O, of a characteristic aromatic odor, obtained by the distillation of alcohol with sulphuric acid, and hence called also sulphuric ether. It is powerful solvent of fats, resins, and pyroxylin, but finds its chief use as an anæsthetic. Called also ethyl oxide.ethyl ether. (b) Any similar oxide of hydrocarbon radicals; as, amyl ether; valeric ether. Complex ether, Mixed ether (Chem.), an oxide of two different radicals in the same molecule; as, ethyl methyl ether, C2H5.O.CH3. -- Compound ether (Chem.), an ethereal salt or a salt of some hydrocarbon as the base; an ester. -- Ether engine (Mach.), a condensing engine like a steam engine, but operated by the vapor of ether instead of by steam.
ethereal |1. Pertaining to the hypothetical upper, purer air, or to the higher regions beyond the earth or beyond the atmosphere; celestial; as, ethereal space; ethereal regions. Go, heavenly guest, ethereal messenger. Milton. 2. Consisting of ether; hence, exceedingly light or airy; tenuous; spiritlike; characterized by extreme delicacy, as form, manner, thought, etc. Vast chain of being, which from God began, Natures ethereal, human, angel, man. Pope. 3. (Chem.)  Pertaining to, derived from, or resembling, ether; as, ethereal salts. Ethereal oil. (Chem.) See Essential oil, under Essential. -- Ethereal oil of wine (Chem.), a heavy, yellow, oily liquid consisting essentially of etherin, etherol, and ethyl sulphate. It is the oily residuum left after etherification. Called also heavy oil of wine (distinguished from oil of wine, or oenanthic ether). -- Ethereal salt (Chem.), a salt of some organic radical as a base; an ester.
etherealism |Ethereality.
ethereality |The state of being ethereal; etherealness. Something of that ethereality of thought and manner which belonged to Wordsworth's earlier lyrics. J. C. Shairp.
etherealization |An ethereal or spiritlike state. J. H. Stirling.
etherealize |1. To convert into ether, or into subtile fluid; to saturate with ether. 2. To render ethereal or spiritlike. Etherealized, moreover, by spiritual communications with the other world. Hawthorne.
ethereally |In an ethereal manner.
etherealness |Ethereality.
ethereous |1. Formed of ether; ethereal. [Obs.] This ethereous mold whereon we stand. Milton. 2. (Chem.)  Pertaining to, or resembling, either. Ethereous oil. See Ethereal oil, under Ethereal.
etherification |The act or process of making ether; specifically, the process by which a large quantity of alcohol is transformed into ether by the agency of a small amount of sulphuric, or ethyl sulphuric, acid.
etheriform |Having the form of ether.
etherin |A white, crystalline hydrocarbon, regarded as a polymeric variety of ethylene, obtained in heavy oil of wine, the residue left after making ether; -- formerly called also concrete oil of wine.
etherization |(a) The administration of ether to produce insensibility. (b) The state of the system under the influence of ether.
etherize |1. To convert into ether. 2. To render insensible by means of ether, as by inhalation; as, to etherize a patient.
etherol |An oily hydrocarbon regarded as a polymeric variety of ethylene, produced with etherin.
ethic |Of, or belonging to, morals; treating of the moral feelings or duties; containing percepts of morality; moral; as, ethic discourses or epistles; an ethical system; ethical philosophy. The ethical meaning of the miracles. Trench. Ethical dative (Gram.), a use of the dative of a pronoun to signify that the person or thing spoken of is regarded with interest by some one; as, Quid mihi Celsus agit How does my friend Celsus do
ethical |Of, or belonging to, morals; treating of the moral feelings or duties; containing percepts of morality; moral; as, ethic discourses or epistles; an ethical system; ethical philosophy. The ethical meaning of the miracles. Trench. Ethical dative (Gram.), a use of the dative of a pronoun to signify that the person or thing spoken of is regarded with interest by some one; as, Quid mihi Celsus agit How does my friend Celsus do
ethically |According to, in harmony with, moral principles or character.
ethicist |One who is versed in ethics, or has written on ethics.
ethics |The science of human duty; the body of rules of duty drawn from this science; a particular system of principles and rules concerting duty, whether true or false; rules of practice in respect to a single class of human actions; as, political or social ethics; medical ethics. The completeness and consistency of its morality is the peculiar praise of the ethics which the Bible has taught. I. Taylor.
ethide |Any compound of ethyl of a binary type; as, potassium ethide.
ethidene |Ethylidene. [Obs.]
ethine |Acetylene.
ethionic |Pertaining to, derived from, or designating, an acid so called. Ethionic acid (Chem.), a liquid derivative of ethylsulphuric and sulphuric (thionic) acids, obtained by the action of sulphur trioxide on absolute alcohol.
ethiop |A native or inhabitant of Ethiopia; also, in a general sense, a negro or black man.
ethiopian |A native or inhabitant of Ethiopia; also, in a general sense, a negro or black man.\n\nOf or relating to Ethiopia or the Ethiopians.
ethiopic |Of or relating to Ethiopia or the Ethiopians.\n\nThe language of ancient Ethiopia; the language of the ancient Abyssinian empire (in Ethiopia), now used only in the Abyssinian church. It is of Semitic origin, and is also called Geez.
ethiops |A black substance; -- formerly applied to various preparations of a black or very dark color. [Written also Æthiops.] [Obs.] Ethiops martial (Old Chem.), black oxide of iron. -- Ethiops mineral (Old Chem.), black sulphide of mercury, obtained by triturating mercury with sulphur. -- Ethiops per se (Old Chem.), mercury in finely divided state, having the appearance of a dark powder, obtained by shaking it up or by exposure to the air.
ethmoid |(a) Like a sieve; cribriform. (b) Pertaining to, or in the region of, the ethmoid bone. Ethmoid bone (Anat.), a bone of complicated structure through which the olfactory nerves pass out of the cranium and over which they are largely distributed.\n\nThe ethmoid bone.
ethmoidal |(a) Like a sieve; cribriform. (b) Pertaining to, or in the region of, the ethmoid bone. Ethmoid bone (Anat.), a bone of complicated structure through which the olfactory nerves pass out of the cranium and over which they are largely distributed.
ethmotrubinal |See Turbinal. -- n.  An ethmoturbinal bone.
ethmovomerine |Pertaining to the region of the vomer and the base of the ethmoid in the skull. Ethmovomerine plate (Anat.), a cartilaginous plate beneath the front of the fetal brain which the ethmoid region of the skull is developed.
ethnarch |The governor of a province or people. Lew Wallace.
ethnarchy |The dominion of an ethnarch; principality and rule. Wright.
ethnic |1. Belonging to races or nations; based on distinctions of race; ethnological. 2. Pertaining to the gentiles, or nations not converted to Christianity; heathen; pagan; -- opposed to Jewish and Christian.\n\nA heathen; a pagan. [Obs.] No better reported than impure ethnic and lay dogs. Milton.
ethnical |1. Belonging to races or nations; based on distinctions of race; ethnological. 2. Pertaining to the gentiles, or nations not converted to Christianity; heathen; pagan; -- opposed to Jewish and Christian.
ethnically |In an ethnical manner.
ethnicism |Heathenism; paganism; idolatry. [Obs.] \"Taint of ethnicism.\" B. Jonson.
ethnographer |One who investigates ethnography.
ethnographic |pertaining to ethnography.
ethnographical |pertaining to ethnography.
ethnographically |In an ethnographical manner.
ethnography |That branch of knowledge which has for its subject the characteristics of the human family, developing the details with which ethnology as a comparative science deals; descriptive ethnology. See Ethnology.
ethnologic |Of or pertaining to ethnology.
ethnological |Of or pertaining to ethnology.
ethnologically |In an ethnological manner; by ethnological classification; as, one belonging ethnologically to an African race.
ethnologist |One versed in ethnology; a student of ethnology.
ethnology |The science which treats of the division of mankind into races, their origin, distribution, and relations, and the peculiarities which characterize them.
ethologic |treating of, or pertaining to, ethnic or morality, or the science of character. J. S. Mill.
ethological |treating of, or pertaining to, ethnic or morality, or the science of character. J. S. Mill.
ethologist |One who studies or writes upon ethology.
ethology |1. A treatise on morality; ethics. 2. The science of the formation of character, national and collective as well as individual. J. S. Mill.
ethopoetic |Expressing character. [Obs.] Urquhart.
ethos |1.  The character, sentiment, or disposition of a community or people, considered as a natural endowment; the spirit which actuates manners and customs; also, the characteristic tone or genius of an institution or social organization. 2.  (Æsthetics) The traits in a work of art which express the ideal or typic character -- character as influenced by the ethos (sense 1) of a people -- rather than realistic or emotional situations or individual character in a narrow sense; -- opposed to pathos.
ethule |Ethyl. [Obs.]
ethyl |A monatomic, hydrocarbon radical, C2H5 of the paraffin series, forming the essential radical of ethane, and of common alcohol and ether. Ethyl aldehyde. (Chem.) See Aldehyde.
ethylamine |A colorless, mobile, inflammable liquid, C2H5.NH2, very volatile and with an ammoniacal odor. It is a strong base, and is a derivative of ammonia. Called also ethyl carbamine, and amido ethane.
ethylate |A compound derived from ethyl alcohol by the replacement of the hydroxyl hydrogen, after the manner of a hydrate; an ethyl alcoholate; as, potassium ethylate, C2H5.O.K.
ethylene |A colorless, gaseous hydrocarbon, C2H4, forming an important ingredient of illuminating gas, and also obtained by the action of concentrated sulphuric acid in alcohol. It is an unsaturated compound and combines directly with chlorine and bromine to form oily liquids (Dutch liquid), -- hence called olefiant gas. Called also ethene, elayl, and formerly, bicarbureted hydrogen. Ethylene series (Chem.), the series if unsaturated hydrocarbons of which ethylene is the type, and represented by the general formula CnH2n.
ethylic |Pertaining to, derived from, or containing, ethyl; as, ethylic alcohol.
ethylidene |An unsymmetrical, divalent, hydrocarbon radical, C2H4 metameric with ethylene but written thus, CH3.CH to distinguish it from the symmetrical ethylene, CH2.CH2. Its compounds are derived from aldehyde. Formerly called also ethidene.
ethylin |Any one of the several complex ethers of ethyl and glycerin.
ethylsulphuric |Pertaining to, or containing, ethyl and sulphuric acid. Ethylsulphuric acid (Chem.), an acid sulphate of ethyl, H.C2H5.SO4, produced as a thick liquid by the action of sulphiric acid on alcohol. It appears to be the active catalytic agent in the process of etherification.
etiolate |1. To become white or whiter; to be whitened or blanched by excluding the light of the sun, as, plants. 2. (Med.)  To become pale through disease or absence of light.\n\n1. To blanch; to bleach; to whiten by depriving of the sun's rays. 2. (Med.)  To cause to grow pale by disease or absence of light.\n\nHaving a blanched or faded appearance, as birds inhabiting desert regions.
etiolated |Having a blanched or faded appearance, as birds inhabiting desert regions.
etiolation |1. The operation of blanching plants, by excluding the light of the sun; the condition of a blanched plant. 2. (Med.)  Paleness produced by absence of light, or by disease. Dunglison.
etiolin |A yellowish coloring matter found in plants grown in darkness, which is supposed to be an antecedent condition of chlorophyll. Encyc. Brit.
etiological |Pertaining to, or inquiring into, causes; ætiological.
etiology |The science of causes. Same as tiology.
etiquette |The forms required by good breeding, or prescribed by authority, to be observed in social or official life; observance of the proprieties of rank and occasion; conventional decorum; ceremonial code of polite society. The pompous etiquette to the court of Louis the Fourteenth. Prescott.
etna |A kind of small, portable, cooking apparatus for which heat is furnished by a spirit lamp. There should certainly be an etna for getting a hot cup of coffee in a hurry. V. Baker.
etnean |Pertaining to Etna, a volcanic mountain in Sicily.
etoile |See Estoile.
etrurian |Of or relating to ancient Etruria, in Italy. \"Etrurian Shades.\" Milton, -- n.  A native or inhabitant of ancient Etruria.
etruscan |Of or relating to Etruria. -- n.  A native or inhabitant of Etruria.
etter pike |The stingfish, or lesser weever (Tranchinus vipera).
ettin |A giant. [Obs.] Beau & Fl.
ettle |To earn. [Obs.] See Addle, to earn. Boucher.
etude |1. A composition in the fine arts which is intended, or may serve, for a study. 2. (Mus.)  A study; an exercise; a piece for practice of some special point of technical execution.
etui |A case for one several small articles; esp., a box in which scissors, tweezers, and other articles of toilet or of daily use are carried.
