sesamoidal |Sesamoid.
set |1. To cause to sit; to make to assume a specified position or attitude; to give site or place to; to place; to put; to fix; as, to set a house on a stone foundation; to set a book on a shelf; to set a dish on a table; to set a chest or trunk on its bottom or on end. I do set my bow in the cloud. Gen. ix. 13. 2. Hence, to attach or affix (something) to something else, or in or upon a certain place. Set your affection on things above. Col. iii. 2. The Lord set a mark upon Cain. Gen. iv. 15. 3. To make to assume specified place, condition, or occupation; to put in a certain condition or state (described by the accompanying words); to cause to be. The Lord thy God will set thee on hihg. Deut. xxviii. 1. I am come to set a man at variance against his father, and the daughter against her mother. Matt. x. 35. Every incident sets him thinking. Coleridge. 4. To fix firmly; to make fast, permanent, or stable; to render motionless; to give an unchanging place, form, or condition to. Specifically: -- (a) To cause to stop or stick; to obstruct; to fsten to a spot; hence, to occasion difficulty to; to embarrass; as, to set a coach in the mud. They show how hard they are set in this particular. Addison. (b) To fix beforehand; to determine; hence, to make unyielding or obstinate; to render stiff, unpliant, or rigid; as, to set one's countenance. His eyes were set by reason of his age. 1 Kings xiv. 4. On these three objects his heart was set. Macaulay. Make my heart as a millstone, set my face as a flint. Tennyson. (c) To fix in the ground, as a post or a tree; to plant; as, to set pear trees in an orchard. (d) To fix, as a precious stone, in a border of metal; to place in a setting; hence, to place in or amid something which serves as a setting; as, to set glass in a sash. And him too rich a jewel to be set In vulgar metal for a vulgar use. Dryden. (e) To render stiff or solid; especially, to convert into curd; to curdle; as, to set milk for cheese. 5. To put into a desired position or condition; to adjust; to regulate; to adapt. Specifically: -- (a) To put in order in a particular manner; to prepare; as, to set (that is, to hone) a razor; to set a saw. Tables for to sette, and beddes make. Chaucer. (b) To extend and bring into position; to spread; as, to set the sails of a ship. (c) To give a pitch to, as a tune; to start by fixing the keynote; as, to set a psalm. Fielding. (d) To reduce from a dislocated or fractured state; to replace; as, to set a broken bone. (e) To make to agree with some standard; as, to set a watch or a clock. (f) (Masonry) To lower into place and fix silidly, as the blocks of cut stone in a structure. 6. To stake at play; to wager; to risk. I have set my life upon a cast, And I will stand the hazard of the die. Shak. 7. To fit with music; to adapt, as words to notes; to prepare for singing. Set thy own songs, and sing them to thy lute. Dryden. 8. To determine; to appoint; to assign; to fix; as, to set a time for a meeting; to set a price on a horse. 9. To adorn with something infixed or affixed; to stud; to variegate with objects placed here and there. High on their heads, with jewels richly set, Each lady wore a radiant coronet. Dryden. Pastoral dales thin set with modern farms. Wordsworth. 10. To value; to rate; -- with at. Be you contented, wearing now the garland, To have a son set your decrees at naught. Shak. I do not set my life at a pin's fee. Shak. 11. To point out the seat or position of, as birds, or other game; -- said of hunting dogs. 12. To establish as a rule; to furnish; to prescribe; to assign; as, to set an example; to set lessons to be learned. 13. To suit; to become; as, it sets him ill. [Scot.] 14. (Print.)  To compose; to arrange in words, lines, etc.; as, to set type; to set a page. To set abroach. See Abroach. [Obs.] Shak. -- To set against, to oppose; to set in comparison with, or to oppose to, as an equivalent in exchange; as, to set one thing against another. -- To set agoing, to cause to move. -- To set apart, to separate to a particular use; to separate from the rest; to reserve. -- To set a saw, to bend each tooth a little, every alternate one being bent to one side, and the intermediate ones to the other side, so that the opening made by the saw may be a little wider than the thickness of the back, to prevent the saw from sticking. -- To set aside. (a) To leave out of account; to pass by; to omit; to neglect; to reject; to annul. Setting aside all other considerations, I will endeavor to know the truth, and yield to that. Tillotson. (b) To set apart; to reserve; as, to set aside part of one's income. (c) (Law) See under Aside. -- To set at defiance, to defy. -- To set at ease, to quiet; to tranquilize; as, to set the heart at ease. -- To set at naught, to undervalue; to contemn; to despise. \"Ye have set at naught all my counsel.\" Prov. i. 25. -- To set a trap, snare, or gin, to put it in a proper condition or position to catch prey; hence, to lay a plan to deceive and draw another into one's power. -- To set at work, or To set to work. (a) To cause to enter on work or action, or to direct how tu enter on work. (b) To apply one's self; -- used reflexively. -- To set before. (a) To bring out to view before; to exhibit. (b) To propose for choice to; to offer to. -- To set by. (a) To set apart or on one side; to reject. (b) To attach the value of (anything) to. \"I set not a straw by thy dreamings.\" Chaucer. -- To set by the compass, to observe and note the bearing or situation of by the compass. -- To set case, to suppose; to assume. Cf. Put case, under Put, v. t. [Obs.] Chaucer. -- To set down. (a) To enter in writing; to register. Some rules were to be set down for the government of the army. Clarendon. (b) To fix; to establish; to ordain. This law we may name eternal, being that order which God . . . hath set down with himself, for himself to do all things by. Hooker. (c) To humiliate. -- To set eyes on, to see; to behold; to fasten the eyes on. -- To set fire to, or To set on fire, to communicate fire to; fig., to inflame; to enkindle the passions of; to irritate. -- To set flying (Naut.), to hook to halyards, sheets, etc., instead of extending with rings or the like on a stay; -- said of a sail. -- To set forth. (a) To manifest; to offer or present to view; to exhibt; to display. (b) To publish; to promulgate; to make appear. Waller. (c) To send out; to prepare and send. [Obs.] The Venetian admiral had a fleet of sixty galleys, set forth by the Venetians. Knolles. -- To set forward. (a) To cause to advance. (b) To promote. -- To set free, to release from confinement, imprisonment, or bondage; to liberate; to emancipate. -- To set in, to put in the way; to begin; to give a start to. [Obs.] If you please to assist and set me in, I will recollect myself. Collier. -- To set in order, to adjust or arrange; to reduce to method. \"The rest will I set in order when I come.\" 1 Cor. xi. 34. -- To set milk. (a) To expose it in open dishes in order that the cream may rise to the surface. (b) To cause it to become curdled as by the action of rennet. See 4 (e). -- To set much, or little, by, to care much, or little, for. -- To set of, to value; to set by. [Obs.] \"I set not an haw of his proverbs.\" Chaucer. -- To set off. (a) To separate from a whole; to assign to a particular purpose; to portion off; as, to set off a portion of an estate. (b) To adorn; to decorate; to embellish. They . . . set off the worst faces with the best airs. Addison. (c) To give a flattering description of. -- To set off against, to place against as an equivalent; as, to set off one man's services against another's. -- To set on or upon. (a) To incite; to instigate. \"Thou, traitor, hast set on thy wife to this.\" Shak. (b) To employ, as in a task. \" Set on thy wife to observe.\" Shak. (c) To fix upon; to attach strongly to; as, to set one's heart or affections on some object. See definition 2, above. -- To set one's cap for. See under Cap, n. -- To set one's self against, to place one's self in a state of enmity or opposition to. -- To set one's teeth, to press them together tightly. -- To set on foot, to set going; to put in motion; to start. -- To set out. (a) To assign; to allot; to mark off; to limit; as, to set out the share of each proprietor or heir of an estate; to set out the widow's thirds. (b) To publish, as a proclamation. [Obs.] (c) To adorn; to embellish. An ugly woman, in rich habit set out with jewels, nothing can become. Dryden. (d) To raise, equip, and send forth; to furnish. [R.] The Venetians pretend they could set out, in case of great necessity, thirty men-of-war. Addison. (e) To show; to display; to recommend; to set off. I could set out that best side of Luther. Atterbury. (f) To show; to prove. [R.] \"Those very reasons set out how heinous his sin was.\" Atterbury. (g) (Law) To recite; to state at large. -- To set over. (a) To appoint or constitute as supervisor, inspector, ruler, or commander. (b) To assign; to transfer; to convey. -- To set right, to correct; to put in order. -- To set sail. (Naut.) See under Sail, n. -- To set store by, to consider valuable. -- To set the fashion, to determine what shall be the fashion; to establish the mode. -- To set the teeth on edge, to affect the teeth with a disagreeable sensation, as when acids are brought in contact with them. -- To set the watch (Naut.), to place the starboard or port watch on duty. -- To set to, to attach to; to affix to. \"He . . . hath set to his seal that God is true.\" John iii. 33. -- To set up. (a) To erect; to raise; to elevate; as, to set up a building, or a machine; to set up a post, a wall, a pillar. (b) Hence, to exalt; to put in power. \"I will . . . set up the throne of David over Israel.\" 2 Sam. iii. 10. (c) To begin, as a new institution; to institute; to establish; to found; as, to set up a manufactory; to set up a school. (d) To enable to commence a new business; as, to set up a son in trade. (e) To place in view; as, to set up a mark. (f) To raise; to utter loudly; as, to set up the voice. I'll set up such a note as she shall hear. Dryden. (g) To advance; to propose as truth or for reception; as, to set up a new opinion or doctrine. T. Burnet. (h) To raise from depression, or to a sufficient fortune; as, this good fortune quite set him up. (i) To intoxicate. [Slang] (j) (Print.) To put in type; as, to set up copy; to arrange in words, lines, etc., ready for printing; as, to set up type. -- To set up the rigging (Naut.), to make it taut by means of tackles. R. H. Dana, Jr. Syn. -- See Put.\n\n1. To pass below the horizon; to go down; to decline; to sink out of sight; to come to an end. Ere the weary sun set in the west. Shak. Thus this century sets with little mirth, and the next is likely to arise with more mourning. Fuller. 2. To fit music to words. [Obs.] Shak. 3. To place plants or shoots in the ground; to plant. \"To sow dry, and set wet.\" Old Proverb. 4. To be fixed for growth; to strike root; to begin to germinate or form; as, cuttings set well; the fruit has set well (i. e., not blasted in the blossom). 5. To become fixed or rigid; to be fastened. A gathering and serring of the spirits together to resist, maketh the teeth to set hard one against another. Bacon. 6. To congeal; to concrete; to solidify. That fluid substance in a few minutes begins to set. Boyle. 7. To have a certain direction in motion; to flow; to move on; to tend; as, the current sets to the north; the tide sets to the windward. 8. To begin to move; to go out or forth; to start; -- now followed by out. The king is set from London. Shak. 9. To indicate the position of game; -- said of a dog; as, the dog sets well; also, to hunt game by the aid of a setter. 10. To apply one's self; to undertake earnestly; -- now followed by out. If he sets industriously and sincerely to perform the commands of Christ, he can have no ground of doubting but it shall prove successful to him. Hammond. 11. To fit or suit one; to sit; as, the coat sets well. Note: [Colloquially used, but improperly, for sit.] Note: The use of the verb set for sit in such expressions as, the hen is setting on thirteen eggs; a setting hen, etc., although colloquially common, and sometimes tolerated in serious writing, is not to be approved. To set about, to commence; to begin. -- To set forward, to move or march; to begin to march; to advance. -- To set forth, to begin a journey. -- To set in. (a) To begin; to enter upon a particular state; as, winter set in early. (b) To settle one's self; to become established. \"When the weather was set in to be very bad.\" Addyson. (c) To flow toward the shore; -- said of the tide. -- To set off. (a) To enter upon a journey; to start. (b) (Typog.) To deface or soil the next sheet; -- said of the ink on a freshly printed sheet, when another sheet comes in contract with it before it has had time to dry. -- To set on or upon. (a) To begin, as a journey or enterprise; to set about. He that would seriously set upon the search of truth. Locke. (b) To assault; to make an attack. Bacon. Cassio hath here been set on in the dark. Shak. -- To set out, to begin a journey or course; as, to set out for London, or from London; to set out in business;to set out in life or the world. -- To set to, to apply one's self to. -- To set up. (a) To begin business or a scheme of life; as, to set up in trade; to set up for one's self. (b) To profess openly; to make pretensions. Those men who set up for mortality without regard to religion, are generally but virtuous in part. Swift.\n\n1. Fixed in position; immovable; rigid; as, a set line; a set countenance. 2. Firm; unchanging; obstinate; as, set opinions or prejudices. 3. Regular; uniform; formal; as, a set discourse; a set battle. \"The set phrase of peace.\" Shak. 4. Established; prescribed; as, set forms of prayer. 5. Adjusted; arranged; formed; adapted. Set hammer. (a) A hammer the head of which is not tightly fastened upon the handle, but may be reversed. Knight. (b) A hammer with a concave face which forms a die for shaping anything, as the end of a bolt, rivet, etc. -- Set line, a line to which a number of baited hooks are attached, and which, supported by floats and properly secured, may be left unguarded during the absence of the fisherman. -- Set nut, a jam nut or lock nut. See under Nut. -- Set screw (Mach.), a screw, sometimes cupped or printed at one end, and screwed through one part, as of a machine, tightly upon another part, to prevent the one from slipping upon the other. -- Set speech, a speech carefully prepared before it is delivered in public; a formal or methodical speech.\n\n1. The act of setting, as of the sun or other heavenly body; descent; hence, the close; termination. \"Locking at the set of day.\" Tennyson. The weary sun hath made a golden set. Shak. 2. That which is set, placed, or fixed. Specifically: -- (a) A young plant for growth; as, a set of white thorn. (b) That which is staked; a wager; a venture; a stake; hence, a game at venture. [Obs. or R.] We will in France, by God's grace, play a set Shall strike his father's crown into the hazard. Shak. That was but civil war, an equal set. Dryden. (c) (Mech.)  Permanent change of figure in consequence of excessive strain, as from compression, tension, bending, twisting, etc.; as, the set of a spring. (d) A kind of punch used for bending, indenting, or giving shape to, metal; as, a saw set. (e) (Pile Driving)  A piece placed temporarily upon the head of a pile when the latter cannot be reached by the weight, or hammer, except by means of such an intervening piece. [Often incorrectly written sett.] (f) (Carp.)  A short steel spike used for driving the head of a nail below the surface. 3. Etym: [Perhaps due to confusion with sect, sept.]  A number of things of the same kind, ordinarily used or classed together; a collection of articles which naturally complement each other, and usually go together; an assortment; a suit; as, a set of chairs, of china, of surgical or mathematical instruments, of books, etc. [In this sense, sometimes incorrectly written sett.] 4. A number of persons associated by custom, office, common opinion, quality, or the like; a division; a group; a clique. \"Others of our set.\" Tennyson. This falls into different divisions, or sets, of nations connected under particular religions. R. P. Ward. 5. Direction or course; as, the set of the wind, or of a current. 6. In dancing, the number of persons necessary to execute a quadrille; also, the series of figures or movements executed. 7. The deflection of a tooth, or of the teeth, of a saw, which causes the the saw to cut a kerf, or make an opening, wider than the blade. 8. (a) A young oyster when first attached. (b) Collectively, the crop of young oysters in any locality. 9. (Tennis)  A series of as many games as may be necessary to enable one side to win six. If at the end of the tenth game the score is a tie, the set is usually called a deuce set, and decided by an application of the rules for playing off deuce in a game. See Deuce. 10. (Type Founding)  That dimension of the body of a type called by printers the width. Dead set. (a) The act of a setter dog when it discovers the game, and remains intently fixed in pointing it out. (b) A fixed or stationary condition arising from obstacle or hindrance; a deadlock; as, to be at a dead set. (c) A concerted scheme to defraud by gaming; a determined onset. -- To make a dead set, to make a determined onset, literally or figuratively. Syn. -- Collection; series; group. See Pair.
set chisel |A kind of chisel or punch, variously shaped, with a broad flat end, used for stripping off rivet heads, etc.
set-fair |In plastering, a particularly good troweled surface. Knight.
set-off |1. That which is set off against another thing; an offset. I do not contemplate such a heroine as a set-off to the many sins imputed to me as committed against woman. D. Jerrold. 2. That which is used to improve the appearance of anything; a decoration; an ornament. 3. (Law)  A counterclaim; a cross debt or demand; a distinct claim filed or set up by the defendant against the plaintiff's demand. Note: Set-off differs from recoupment, as the latter generally grows out of the same matter or contract with the plaintiff's claim, while the former grows out of distinct matter, and does not of itself deny the justice of the plaintiff's demand. Offset is sometimes improperly used for the legal term set-off. See Recoupment. 4. (Arch.)  Same as Offset, n., 4. 5. (Print.)  See Offset, 7. Syn. -- Set-off, Offset. -- Offset originally denoted that which branches off or projects, as a shoot from a tree, but the term has long been used in America in the sense of set-off. This use is beginning to obtain in England; though Macaulay uses set-off, and so, perhaps, do a majority of English writers.
set-stitched |Stitched according to a formal pattern. \"An old set-stiched chair, valanced, and fringed with party-colored worsted bobs.\" Sterne.
set-to |A contest in boxing, in an argument, or the like. [Colloq.] Halliwell.
seta |1. (Biol.)  Any slender, more or less rigid, bristlelike organ or part; as the hairs of a caterpillar, the slender spines of a crustacean, the hairlike processes of a protozoan, the bristles or stiff hairs on the leaves of some plants, or the pedicel of the capsule of a moss. 2. (Zoöl.) (a) One of the movable chitinous spines or hooks of an annelid. They usually arise in clusters from muscular capsules, and are used in locomotion and for defense. They are very diverse in form. (b) One of the spinelike feathers at the base of the bill of certain birds.
setaceous |1. Set with, or consisting of, bristles; bristly; as, a stiff, setaceous tail. 2. Bristelike in form or texture; as, a setaceous feather; a setaceous leaf.
setback |1. (Arch.)  Offset, n., 4. 2. A backset; a countercurrent; an eddy. [U. S.] 3. A backset; a check; a repulse; a reverse; a relapse. [Colloq. U.S.]
setbolt |1. An iron pin, or bolt, for fitting planks closely together. Craig. 2. A bolt used for forcing another bolt out of its hole.
setdown |The humbling of a person by act or words, especially by a retort or a reproof; the retort or the reproof which has such effect.
setee |See 2d Settee.
seten |obs. imp. pl. of Sit. Sat. Chaucer.
setewale |See Cetewale. [Obs.]
setfoil |See Septfoil.
sethen |See Since. [Obs.]
sethic |See Sothic.
setiferous |Producing, or having one or more, bristles.
setiform |Having the form or structure of setæ.
setiger |An annelid having setæ; a chætopod.
setigerous |Covered with bristles; having or bearing a seta or setæ; setiferous; as, setigerous glands; a setigerous segment of an annelid; specifically (Bot.), tipped with a bristle.
setim |See Shittim.
setiparous |Producing setæ; -- said of the organs from which the setæ of annelids arise.
setireme |A swimming leg (of an insect) having a fringe of hairs on the margin.
setness |The quality or state of being set; formality; obstinacy. \"The starched setness of a sententious writer.\" R. Masters.
seton |A few silk threads or horsehairs, or a strip of linen or the like, introduced beneath the skin by a knife or needle, so as to form an issue; also, the issue so formed.
setose |Thickly set with bristles or bristly hairs.
setous |Thickly set with bristles or bristly hairs.
setout |A display, as of plate, equipage, etc.; that which is displayed. [Coloq.] Dickens.
sett |See Set, n., 2 (e) and 3.
settee |A long seat with a back, -- made to accommodate several persons at once.\n\nA vessel with a very long, sharp prow, carrying two or three masts with lateen sails, -- used in the Mediterranean. [Written also setee.]
setter |1. One who, or that which, sets; -- used mostly in composition with a noun, as typesetter; or in combination with an adverb, as a setter on (or inciter), a setter up, a setter forth. 2. (Zoöl.)  A hunting dog of a special breed originally derived from a cross between the spaniel and the pointer. Modern setters are usually trained to indicate the position of game birds by standing in a fixed position, but originally they indicated it by sitting or crouching. Note: There are several distinct varieties of setters; as, the Irish, or red, setter; the Gordon setter, which is usually red or tan varied with black; and the English setter, which is variously colored, but usually white and tawny red, with or without black. 3. One who hunts victims for sharpers. Shak. 4. One who adapts words to music in composition. 5. An adornment; a decoration; -- with off. [Obs.] They come as . . . setters off of thy graces. Whitlock. 6. (Pottery)  A shallow seggar for porcelain. Ure.\n\nTo cut the dewlap (of a cow or an ox), and to insert a seton, so as to cause an issue. [Prov. Eng.]
setterwort |The bear's-foot (Helleborus foetidus); -- so called because the root was used in settering, or inserting setons into the dewlaps of cattle. Called also pegroots. Dr. Prior.
setting |1. The act of one who, or that which, sets; as, the setting of type, or of gems; the setting of the sun; the setting (hardening) of moist plaster of Paris; the setting (set) of a current. 2. The act of marking the position of game, as a setter does; also, hunting with a setter. Boyle. 3. Something set in, or inserted. Thou shalt set in it settings of stones. Ex. xxviii. 17. 4. That in which something, as a gem, is set; as, the gold setting of a jeweled pin. Setting coat (Arch.), the finishing or last coat of plastering on walls or ceilings. -- Setting dog, a setter. See Setter, n., 2. -- Setting pole, a pole, often iron-pointed, used for pushing boats along in shallow water. -- Setting rule. (Print.) A composing rule.
setting-up exercise |Any one of a series of gymnastic exercises used, as in drilling recruits, for the purpose of giving an erect carriage, supple muscles, and an easy control of the limbs.
settle |1. A seat of any kind. [Obs.] \"Upon the settle of his majesty\" Hampole. 2. A bench; especially, a bench with a high back. 3. A place made lower than the rest; a wide step or platform lower than some other part. And from the bottom upon the ground, even to the lower settle, shall be two cubits, and the breadth one cubit. Ezek. xliii. 14. Settle bed, a bed convertible into a seat. [Eng.]\n\n1. To place in a fixed or permanent condition; to make firm, steady, or stable; to establish; to fix; esp., to establish in life; to fix in business, in a home, or the like. And he settled his countenance steadfastly upon him, until he was ashamed. 2 Kings viii. 11. (Rev. Ver.) The father thought the time drew on Of setting in the world his only son. Dryden. 2. To establish in the pastoral office; to ordain or install as pastor or rector of a church, society, or parish; as, to settle a minister. [U. S.] 3. To cause to be no longer in a disturbed condition; to render quiet; to still; to calm; to compose. God settled then the huge whale-bearing lake. Chapman. Hoping that sleep might settle his brains. Bunyan. 4. To clear of dregs and impurities by causing them to sink; to render pure or clear; -- said of a liquid; as, to settle coffee, or the grounds of coffee. 5. To restore or bring to a smooth, dry, or passable condition; -- said of the ground, of roads, and the like; as, clear weather settles the roads. 6. To cause to sink; to lower; to depress; hence, also, to render close or compact; as, to settle the contents of a barrel or bag by shaking it. 7. To determine, as something which is exposed to doubt or question; to free from unscertainty or wavering; to make sure, firm, or constant; to establish; to compose; to quiet; as, to settle the mind when agitated; to settle questions of law; to settle the succession to a throne; to settle an allowance. It will settle the wavering, and confirm the doubtful. Swift. 8. To adjust, as something in discussion; to make up; to compose; to pacify; as, to settle a quarrel. 9. To adjust, as accounts; to liquidate; to balance; as, to settle an account. 10. Hence, to pay; as, to settle a bill. [Colloq.] Abbott. 11. To plant with inhabitants; to colonize; to people; as, the French first settled Canada; the Puritans settled New England; Plymouth was settled in 1620. To settle on or upon, to confer upon by permanent grant; to assure to. \"I . . . have settled upon him a good annuity.\" Addison. -- To settle the land (Naut.), to cause it to sink, or appear lower, by receding from it. Syn. -- To fix; establish; regulate; arrange; compose; adjust; determine; decide.\n\n1. To become fixed or permanent; to become stationary; to establish one's self or itself; to assume a lasting form, condition, direction, or the like, in place of a temporary or changing state. The wind came about and settled in the west. Bacon. Chyle . . . runs through all the intermediate colors until it settles in an intense red. Arbuthnot. 2. To fix one's residence; to establish a dwelling place or home; as, the Saxons who settled in Britain. 3. To enter into the married state, or the state of a householder. As people marry now and settle. Prior. 4. To be established in an employment or profession; as, to settle in the practice of law. 5. To become firm, dry, and hard, as the ground after the effects of rain or frost have disappeared; as, the roads settled late in the spring. 6. To become clear after being turbid or obscure; to clarify by depositing matter held in suspension; as, the weather settled; wine settles by standing. A government, on such occasions, is always thick before it settles. Addison. 7. To sink to the bottom; to fall to the bottom, as dregs of a liquid, or the sediment of a reserveir. 8. To sink gradually to a lower level; to subside, as the foundation of a house, etc. 9. To become calm; to cease from agitation. Till the fury of his highness settle, Come not before him. Shak. 10. To adjust differences or accounts; to come to an agreement; as, he has settled with his creditors. 11. To make a jointure for a wife. He sighs with most success that settles well. Garth.
settledness |The quality or state of being settled; confirmed state. [R.] Bp. Hall.
settlement |1. The act of setting, or the state of being settled. Specifically: -
settler |1. One who settles, becomes fixed, established, etc. 2. Especially, one who establishes himself in a new region or a colony; a colonist; a planter; as, the first settlers of New England. 3. That which settles or finishes; hence, a blow, etc., which settles or decides a contest. [Colloq.] 4. A vessel, as a tub, in which something, as pulverized ore suspended in a liquid, is allowed to settle.
settling |1. The act of one who, or that which, settles; the act of establishing one's self, of colonizing, subsiding, adjusting, etc. 2. pl.  That which settles at the bottom of a liquid; lees; dregs; sediment. Milton. Settling day, a day for settling accounts, as in the stock market.
setula |A small, short hair or bristle; a small seta.
setule |A setula.
setulose |Having small bristles or setæ.
setwall |A plant formerly valued for its restorative qualities (Valeriana officinalis, or V. Pyrenaica). [Obs.] [Written also setwal.] Chaucer.
seven |One more than six; six and one added; as, seven days make one week. Seven sciences. See the Note under Science, n., 4. -- Seven stars (Astron.), the Pleiades. -- Seven wonders of the world. See under Wonders. -- Seven-year apple (Bot.), a rubiaceous shrub (Genipa clusiifolia) growing in the West Indies; also, its edible fruit. -- Seven-year vine (Bot.), a tropical climbing plant (Ipomoea tuberosa) related to the morning-glory.\n\n1. The number greater by one than six; seven units or objects. Of every beast, and bird, and insect small, Game sevens and pairs. Milton. 2. A symbol representing seven units, as 7, or vii.
seven-shooter |A firearm, esp. a pistol, with seven barrels or chambers for cartridges, or one capable of firing seven shots without reloading. [Colloq.]
seven-thirties |A name given to three several issues of United States Treasury notes, made during the Civil War, in denominations of $50 and over, bearing interest at the rate of seven and three tenths (thirty hundredths) per cent annually. Within a few years they were all redeemed or funded.
seven-up |The game of cards called also all fours, and old sledge. [U. S.]
sevenfold |Repeated seven times; having seven thicknesses; increased to seven times the size or amount. \"Sevenfold rage.\" Milton.\n\nSeven times as much or as often. Whosoever slayeth Cain, vengeance shall be taken on him sevenfold. Gen. iv. 15.
sevennight |A week; any period of seven consecutive days and nights. See Sennight.
sevenscore |Seven times twenty, that is, a hundred and forty. The old Countess of Desmond . . . lived sevenscore years. Bacon.
seventeen |One more than sixteen; ten and seven added; as, seventeen years.\n\n1. The number greater by one than sixteen; the sum of ten and seven; seventeen units or objects. 2. A symbol denoting seventeen units, as 17, or xvii.
