wastorel |See Wastrel. [Obs.]
watchman |1. One set to watch; a person who keeps guard; a guard; a sentinel. 2. Specifically, one who guards a building, or the streets of a city, by night. Watchman beetle (Zoöl.), the European dor. -- Watchman's clock, a watchman's detector in which the apparatus for recording the times of visiting several stations is contained within a single clock. -- Watchman's detector, or Watchman's time detector, an apparatus for recording the time when a watchman visits a station on his rounds. -- Watchman's rattle, an instrument having at the end of a handle a revolving arm, which, by the action of a strong spring upon cogs, produces, when in motion, a loud, harsh, rattling sound.
watchtower |A tower in which a sentinel is placed to watch for enemies, the approach of danger, or the like.
watchword |1. A word given to sentinels, and to such as have occasion to visit the guards, used as a signal by which a friend is known from an enemy, or a person who has a right to pass the watch from one who has not; a countersign; a password. 2. A sentiment or motto; esp., one used as a rallying cry or a signal for action. Nor deal in watchwords overmuch. Tennyson.
water |1. The fluid which descends from the clouds in rain, and which forms rivers, lakes, seas, etc. \"We will drink water.\" Shak.\"Powers of fire, air, water, and earth.\" Milton. Note: Pure water consists of hydrogen and oxygen, H2O, and is a colorless, odorless, tasteless, transparent liquid, which is very slightly compressible. At its maximum density, 39º Fahr. or 4º C., it is the standard for specific gravities, one cubic centimeter weighing one gram. It freezes at 32º Fahr. or 0º C. and boils at 212º Fahr. or 100º C. (see Ice, Steam). It is the most important natural solvent, and is frequently impregnated with foreign matter which is mostly removed by distillation; hence, rain water is nearly pure. It is an important ingredient in the tissue of animals and plants, the human body containing about two thirds its weight of water. 2. A body of water, standing or flowing; a lake, river, or other collection of water. Remembering he had passed over a small water a poor scholar when first coming to the university, he kneeled. Fuller. 3. Any liquid secretion, humor, or the like, resembling water; esp., the urine. 4. (Pharm.)  A solution in water of a gaseous or readily volatile substance; as, ammonia water. U. S. Pharm. 5. The limpidity and luster of a precious stone, especially a diamond; as, a diamond of the first water, that is, perfectly pure and transparent. Hence, of the first water, that is, of the first excellence. 6. A wavy, lustrous pattern or decoration such as is imparted to linen, silk, metals, etc. See Water, v. t., 3, Damask, v. t., and Damaskeen. 7. An addition to the shares representing the capital of a stock company so that the aggregate par value of the shares is increased while their value for investment is diminished, or \"diluted.\" [Brokers' Cant] Note: Water is often used adjectively and in the formation of many self-explaining compounds; as, water drainage; water gauge, or water- gauge; waterfowl, water-fowl, or water fowl; water-beaten; water- borne, water-circled, water-girdled, water-rocked, etc. Hard water. See under Hard. -- Inch of water, a unit of measure of quantity of water, being the quantity which will flow through an orifice one inch square, or a circular orifice one inch in diameter, in a vertical surface, under a stated constant head; also called miner's inch, and water inch. The shape of the orifice and the head vary in different localities. In the Western United States, for hydraulic mining, the standard aperture is square and the head from 4 to 9 inches above its center. In Europe, for experimental hydraulics, the orifice is usually round and the head from -- Mineral water, waters which are so impregnated with foreign ingredients, such as gaseous, sulphureous, and saline substances, as to give them medicinal properties, or a particular flavor or temperature. -- Soft water, water not impregnated with lime or mineral salts. -- To hold water. See under Hold, v. t. -- To keep one's head above water, to keep afloat; fig., to avoid failure or sinking in the struggles of life. [Colloq.] -- To make water. (a) To pass urine. Swift. (b) (Naut.) To admit water; to leak. -- Water of crystallization (Chem.), the water combined with many salts in their crystalline form. This water is loosely, but, nevertheless, chemically, combined, for it is held in fixed and definite amount for each substance containing it. Thus, while pure copper sulphate, CuSO4, is a white amorphous substance, blue vitriol, the crystallized form, CuSO4.5H2O, contains five molecules of water of crystallization. -- Water on the brain (Med.), hydrocephalus. -- Water on the chest (Med.), hydrothorax. Note: Other phrases, in which water occurs as the first element, will be found in alphabetical order in the Vocabulary.\n\n1. To wet or supply with water; to moisten; to overflow with water; to irrigate; as, to water land; to water flowers. With tears watering the ground. Milton. Men whose lives gilded on like rivers that water the woodlands. Longfellow. 2. To supply with water for drink; to cause or allow to drink; as, to water cattle and horses. 3. To wet and calender, as cloth, so as to impart to it a lustrous appearance in wavy lines; to diversify with wavelike lines; as, to water silk. Cf. Water, n., 6. 4. To add water to (anything), thereby extending the quantity or bulk while reducing the strength or quality; to extend; to dilute; to weaken. To water stock, to increase the capital stock of a company by issuing new stock, thus diminishing the value of the individual shares. Cf. Water, n., 7. [Brokers' Cant]\n\n1. To shed, secrete, or fill with, water or liquid matter; as, his eyes began to water. If thine eyes can water for his death. Shak. 2. To get or take in water; as, the ship put into port to water. The mouth waters, a phrase denoting that a person or animal has a longing desire for something, since the sight of food often causes one who is hungry to have an increased flow of saliva.
water adder |(a) The water moccasin. (b) The common, harmless American water snake (Tropidonotus sipedon). See Illust. under Water Snake.
water agrimony |A kind of bur marigold (Bidens tripartita) found in wet places in Europe.
water aloe |See Water soldier.
water antelope |See Water buck.
water arum |An aroid herb (Calla palustris) having a white spathe. It is an inhabitant of the north temperate zone.
water back |See under 1st Back.
water bailiff |An officer of the customs, whose duty it is to search vessels. [Eng.]
water ballast |Water confined in specially constructed compartments in a vessel's hold, to serve as ballast.
water barometer |A barometer in which the changes of atmospheric pressure are indicated by the motion of a column of water instead of mercury. It requires a column of water about thirty-three feet in height.
water bath |A device for regulating the temperature of anything subjected to heat, by surrounding the vessel containing it with another vessel containing water which can be kept at a desired temperature; also, a vessel designed for this purpose.
water battery |1. (Elec.)  A voltaic battery in which the exciting fluid is water. 2. (Mil.)  A battery nearly on a level with the water.
water bear |Any species of Tardigrada, 2. See Illust. of Tardigrada.
water bed |A kind of mattress made of, or covered with, waterproof fabric and filled with water. It is used in hospitals for bedridden patients.
water beech |The American hornbeam. See Hornbeam.
water beetle |Any one of numerous species of aquatic beetles belonging to Dytiscus and allied genera of the family Dytiscidæ, and to various genera of the family Hydrophilidæ. These beetles swim with great agility, the fringed hind legs acting together like oars.
water bellows |Same as Tromp.
water bird |Any aquatic bird; a water fowl.
water blackbird |The European water ousel, or dipper.
water boatman |A boat bug.
water brain |A disease of sheep; gid.
water brash |See under Brash.
water breather |Any arthropod that breathes by means of gills.
water bridge |See Water table.
water buck |A large, heavy antelope (Kobus ellipsiprymnus) native of Central Africa. It frequents the banks of rivers and is a good swimmer. It has a white ring around the rump. Called also photomok, water antelope, and waterbok. Note: The name is also applied to other related species, as the leche (Kobus leche), which has similar habits.
water buffalo |The European buffalo.
water bug |(a) The Croton bug. (b) Any one of numerous species of large, rapacious, aquatic, hemipterous insects belonging to Belostoma, Benacus, Zaitha, and other genera of the family Belostomatidæ. Their hind legs are long and fringed, and act like oars. Some of these insects are of great size, being among the largest existing Hemiptera. Many of them come out of the water and fly about at night.
water butt |A large, open-headed cask, set up on end, to contain water. Dickens.
water caltrop |The water chestnut.
water can |Any one of several species of Nuphar; the yellow frog lily; -- so called from the shape of the seed vessel. See Nuphar, and cf. Candock. Dr. Prior.
water canker |See Canker, n., 1.
water carriage |1. Transportation or conveyance by water; means of transporting by water. 2. A vessel or boat. [Obs.] Arbuthnot.
water cart |A cart carrying water; esp., one carrying water for sale, or for sprinkling streets, gardens, etc.
water cavy |The capybara.
water celery |A very acrid herb (Ranunculus sceleratus) growing in ditches and wet places; -- called also cursed crowfoot.
water cell |A cell containing water; specifically (Zoöl.), one of the cells or chambers in which water is stored up in the stomach of a camel.
water cement |Hydraulic cement.
water chestnut |The fruit of Trapa natans and Trapa bicornis, Old World water plants bearing edible nutlike fruits armed with several hard and sharp points; also, the plant itself; -- called also water caltrop.
water chevrotain |A large West African chevrotain (Hyæmoschus aquaticus). It has a larger body and shorter legs than the other allied species. Called also water deerlet.
water chicken |The common American gallinule.
water chickweed |A small annual plant (Montia fontana) growing in wet places in southern regions.
water chinquapin |The American lotus, and its edible seeds, which somewhat resemble chinquapins. Cf. Yoncopin.
water clock |An instrument or machine serving to measure time by the fall, or flow, of a certain quantity of water; a clepsydra.
water cock |A large gallinule (Gallicrex cristatus) native of Australia, India, and the East Indies. In the breeding season the male is black and has a fleshy red caruncle, or horn, on the top of its head. Called also kora.
water color |1. A color ground with water and gum or other glutinous medium; a color the vehicle of which is water; -- so called in distinction from oil color. Note: It preserves its consistency when dried in a solid cake, which is used by rubbing off a portion on a moistened palette. Moist water colors are water colors kept in a semifluid or pasty state in little metal tubes or pans. 2. A picture painted with such colors.
water course |1. A stream of water; a river or brook. Isa. xliv. 4. 2. A natural channel for water; also, a canal for the conveyance of water, especially in draining lands. 3. (Law)  A running stream of water having a bed and banks; the easement one may have in the flowing of such a stream in its accustomed course. A water course may be sometimes dry. Angell. Burrill.
water craft |Any vessel or boat plying on water; vessels and boats, collectively.
water crake |(a) The dipper. (b) The spotted crake (Porzana maruetta). See Illust. of Crake. (c) The swamp hen, or crake, of Australia.
water crane |A goose-neck apparatus for supplying water from an elevated tank, as to the tender of a locomotive.
water cress |A perennial cruciferous herb (Nasturtium officinale) growing usually in clear running or spring water. The leaves are pungent, and used for salad and as an antiscorbutic.
water crow |(a) The dipper. (b) The European coot.
water crowfoot |An aquatic kind of buttercup (Ranunculus aquatilis), used as food for cattle in parts of England. Great water crowfoot, an American water plant (Ranunculus multifidus), having deep yellow flowers.
water cure |1. (Med.)  Hydropathy. 2. A hydropathic institution.
water deck |A covering of painting canvas for the equipments of a dragoon's horse. Wilhelm.
water deer |(a) A small Chinese deer (Hydropotes inermis). Both sexes are destitute of antlers, but the male has large, descending canine tusks. (b) The water chevrotain.
water deerlet |See Water chevrotain.
water devil |The rapacious larva of a large water beetle (Hydrophilus piceus), and of other similar species. See Illust. of Water beetle.
water dock |A tall, coarse dock growing in wet places. The American water dock is Rumex orbiculatus, the European is R. Hydrolapathum.
water doctor |(a) One who professes to be able to divine diseases by inspection of the urine. (b) A physician who treats diseases with water; an hydropathist.
water dog |1. (Zoöl.)  A dog accustomed to the water, or trained to retrieve waterfowl. Retrievers, waters spaniels, and Newfoundland dogs are so trained. 2. (Zoöl.)  The menobranchus. 3. A small floating cloud, supposed to indicate rain. 4. A sailor, esp. an old sailor; an old salt. [Colloq.]
water drain |A drain or channel for draining off water.
water drainage |The draining off of water.
water dressing |The treatment of wounds or ulcers by the application of water; also, a dressing saturated with water only, for application to a wound or an ulcer.
water dropwort |A European poisonous umbelliferous plant (Enanthe fistulosa) with large hollow stems and finely divided leaves.
water eagle |The osprey.
water elder |The guelder-rose.
water elephant |The hippopotamus. [R.]
water engine |An engine to raise water; or an engine moved by water; also, an engine or machine for extinguishing fires; a fire engine.
water feather |The water violet (Hottonia palustris); also, the less showy American plant H. inflata.
water feather-foil |The water violet (Hottonia palustris); also, the less showy American plant H. inflata.
water flag |A European species of Iris (Iris Pseudacorus) having bright yellow flowers.
water flannel |A floating mass formed in pools by the entangled filaments of a European fresh-water alga (Cladophora crispata).
water flea |Any one of numerous species of small aquatic Entomostraca belonging to the genera Cyclops, Daphnia, etc; -- so called because they swim with sudden leaps, or starts.
water flounder |The windowpane (Pleuronectes maculatus). [Local, U. S.]
water fox |The carp; -- so called on account of its cunning. Walton.
water frame |A name given to the first power spinning machine, because driven by water power.
water furrow |A deep furrow for conducting water from the ground, and keeping the surface soil dry.
water gage |See Water gauge.
water gall |1. A cavity made in the earth by a torrent of water; a washout. 2. A watery appearance in the sky, accompanying the rainbow; a secondary or broken rainbow. These water galls, in her dim element, Foretell new storms to those already spent. Shak. False good news are [is] always produced by true good, like the water gall by the rainbow. Walpole.
water gang |A passage for water, such as was usually made in a sea wall, to drain water out of marshes. Burrill.
water gas |See under Gas.
water gate |A gate, or valve, by which a flow of water is permitted, prevented, or regulated.
water gauge |1. A wall or bank to hold water back. Craig. 2. An instrument for measuring or ascertaining the depth or quantity of water, or for indicating the height of its surface, as in the boiler of a steam engine. See Gauge.
water gavel |A gavel or rent paid for a privilege, as of fishing, in some river or water.
water germander |A labiate plant (Teucrium Scordium) found in marshy places in Europe.
water gilding |The act, or the process, of gilding metallic surfaces by covering them with a thin coating of amalgam of gold, and then volatilizing the mercury by heat; -- called also wash gilding.
water glass |See Soluble glass, under Glass.
water god |A fabulous deity supposed to dwell in, and preside over, some body of water.
water grass |(a) A tall march perennial grass (Paspalum dilatatum) of the southern United States and the American tropics. (b) Manna grass. (c) The grass Chloris elegans. (d) [Dial. Eng.] (1) Velvet grass. (2)  The water cress. (3)  One of various horsetails.
water gruel |A liquid food composed of water and a small portion of meal, or other farinaceous substance, boiled and seasoned.
water hammer |1. A vessel partly filled with water, exhausted of air, and hermetically sealed. When reversed or shaken, the water being unimpeded by air, strikes the sides in solid mass with a sound like that of a hammer. 2. A concussion, or blow, made by water in striking, as against the sides of a pipe or vessel containing it.
water hare |A small American hare or rabbit (Lepus aquaticus) found on or near the southern coasts of the United States; -- called also water rabbit, and swamp hare.
water hemlock |(a) A poisonous umbelliferous plant (Cicuta virosa) of Europe; also, any one of several plants of that genus. (b) A poisonous plant () resembling the above.
water hemp |See under Hemp.
water hen |1. (Zoöl.)  Any gallinule. 2. (Zoöl.)  The common American coot.
water hog |The capybara.
water horehound |Bugleweed.
water hyacinth |Either of several tropical aquatic plants of the genus Eichhornia, related to the pickerel weed.
water ice |Water flavored, sweetened, and frozen, to be eaten as a confection.
water inch |Same as Inch of water, under Water.
water jacket |A chamber surrounding a vessel or tube in which water may be circulated, thereby regulating the temperature or supply of heat to the vessel. Used in laboratory and manufacturing equipment. water- jacketed. Having a water jacket; -- as, a water-jacketed condenser.
water joint |A joint in a stone pavement where the stones are left slightly higher than elsewhere, the rest of the surface being sunken or dished. The raised surface is intended to prevent the settling of water in the joints.
water junket |The common sandpiper.
water laverock |The common sandpiper.
water leg |See Leg, 7.
water lemon |The edible fruit of two species of passion flower (Passiflora laurifolia, and P. maliformis); -- so called in the West Indies.
water lettuce |A plant (Pistia stratiotes) which floats on tropical waters, and forms a rosette of spongy, wedge-shaped leaves. J. Smith (Dict. Econ. Plants).
water level |1. The level formed by the surface of still water. 2. A kind of leveling instrument. See under Level, n.
water lily |A blossom or plant of any species of the genus Nymphæa, distinguished for its large floating leaves and beautiful flowers. See Nymphæa. Note: The name is extended to various plants of other related genera, as Nuphar, Euryale, Nelumbo, and Victoria. See Euryale, Lotus, and Victoria, 1.
water lime |Hydraulic lime.
water line |1. (Shipbuilding)  Any one of certain lines of a vessel, model, or plan, parallel with the surface of the water at various heights from the keel. Note: In a half-breadth plan, the water lines are outward curves showing the horizontal form of the ship at their several heights; in a sheer plan, they are projected as straight horizontal lines. 2. (Naut.)  Any one of several lines marked upon the outside of a vessel, corresponding with the surface of the water when she is afloat on an even keel. The lowest line indicates the vessel's proper submergence when not loaded, and is called the light water line; the highest, called the load water line, indicates her proper submergence when loaded. Water-line model (Shipbuilding), a model of a vessel formed of boards which are shaped according to the water lines as shown in the plans and laid upon each other to form a solid model.
water lizard |Any aquatic lizard of the genus Varanus, as the monitor of the Nile. See Monitor, n., 3.
water locust |A thorny leguminous tree (Gleditschia monosperma) which grows in the swamps of the Mississippi valley.
water meadow |A meadow, or piece of low, flat land, capable of being kept in a state of fertility by being overflowed with water from some adjoining river or stream.
water measure |A measure formerly used for articles brought by water, as coals, oysters, etc. The water-measure bushel was three gallons larger than the Winchester bushel. Cowell.
water measurer |Any one of numerous species of water; the skater. See Skater, n., 2.
water meter |A contrivance for measuring a supply of water delivered or received for any purpose, as from a street main.
water milfoil |Any plant of the genus Myriophyllum, aquatic herbs with whorled leaves, the submersed ones pinnately parted into capillary divisions.
water mill |A mill whose machinery is moved by water; -- distinguished from a windmill, and a steam mill.
water mint |A kind of mint (Mentha aquatica) growing in wet places, and sometimes having a perfume resembling bergamot.
water mite |Any of numerous species of aquatic mites belonging to Hydrachna and allied genera of the family Hydrachnidæ, usually having the legs fringed and adapted for swimming. They are often red or red and black in color, and while young are parasites of fresh-water insects and mussels. Called also water tick, and water spider.
water moccasin |A venomous North American snake (Ancistrodon piscivorus) allied to the rattlesnake but destitute of a rattle. It lives in or about pools and ponds, and feeds largely of fishes. Called also water snake, water adder, water viper.
water mole |(a) The shrew mole. See under Shrew. (b) The duck mole. See under Duck.
water monitor |A very large lizard (Varanaus salvator) native of India. It frequents the borders of streams and swims actively. It becomes five or six feet long. Called also two-banded monitor, and kabaragoya. The name is also applied to other aquatic monitors.
water monkey |A jar or bottle, as of porous earthenware, in which water is cooled by evaporation.
water motor |1. A water engine. 2. A water wheel; especially, a small water wheel driven by water from a street main.
water mouse |Any one of several species of mice belonging to the genus Hydromys, native of Australia and Tasmania. Their hind legs are strong and their toes partially webbed. They live on the borders of streams, and swim well. They are remarkable as being the only rodents found in Australia.
water murrain |A kind of murrain affecting cattle. Crabb.
water newt |Any one of numerous species of aquatic salamanders; a triton.
water nymph |1. (Myth.)  A goddess of any stream or other body of water, whether one of the Naiads, Nereids, or Oceanides. 2. (Bot.)  A water lily (Nymphæa).
water oat |Indian rice. See under Rice.
water opossum |See Yapock, and the Note under Opossum.
water ordeal |Same as Ordeal by water. See the Note under Ordeal, n., 1.
water ousel |Any one of several species of small insessorial birds of the genus Cinclus (or Hydrobates), especially the European water ousel (C. aquaticus), and the American water ousel (C. Mexicanus). These birds live about the water, and are in the habit of walking on the bottom of streams beneath the water in search of food.
water ouzel |Any one of several species of small insessorial birds of the genus Cinclus (or Hydrobates), especially the European water ousel (C. aquaticus), and the American water ousel (C. Mexicanus). These birds live about the water, and are in the habit of walking on the bottom of streams beneath the water in search of food.
water parsnip |Any plant of the aquatic umbelliferous genus Sium, poisonous herbs with pinnate or dissected leaves and small white flowers.
water parting |A summit from the opposite sides of which rain waters flow to different streams; a line separating the drainage districts of two streams or coasts; a divide.
water partridge |The ruddy duck. [Local, U. S.]
water pennywort |Marsh pennywort. See under Marsh.
water pepper |(a) Smartweed. (b) Waterwort.
water pheasant |(a) The pintail. See Pintail, n., 1. (b) The goosander. (c) The hooded merganser.
water piet |The water ousel.
water pig |1. (Zoöl.)  The capybara. 2. (Zoöl.)  The gourami.
water pillar |A waterspout. [Obs.]
water pimpernel |A small white-flowered shrub; brookweed.
water pipe |A pipe for conveying water.
water pitcher |1. A pitcher for water. 2. (Bot.)  One of a family of plants having pitcher-shaped leaves. The sidesaddle flower (Sarracenia purpurea) is the type.
water plant |A plant that grows in water; an aquatic plant.
water plantain |A kind of plant with acrid leaves. See under 2d Plantain.
water plate |A plate heated by hot water contained in a double bottom or jacket. Knight.
water poa |Meadow reed grass. See under Reed.
water pocket |A water hole in the bed of an intermittent stream, esp. the bowl at the foot of a cliff over which the stream leaps when in the flood stage. [Western U. S.]
water poise |A hydrometer.
water pore |1. (Zoöl.)  A pore by which the water tubes of various invertebrates open externally. 2. (Bot.)  One of certain minute pores in the leaves of some plants. They are without true guardian cells, but in other respects closely resemble ordinary stomata. Goodale.
water power |1. The power of water employed to move machinery, etc. 2. A fall of water which may be used to drive machinery; a site for a water mill; a water privilege.
water pox |A variety of chicken pox, or varicella. Dunglison.
water privilege |The advantage of using water as a mechanical power; also, the place where water is, or may be, so used. See under Privilege.
water purslane |See under Purslane.
water qualm |See Water brash, under Brash.
water rabbit |See Water hare.
water radish |A coarse yellow-flowered plant (Nasturtium amphibium) related to the water cress and to the horse-radish.
water rail |Any one of numerous species of rails of the genus Rallus, as the common European species (Rallus aquaticus). See Illust. of Rail.
water ram |An hydraulic ram.
water rat |1. (Zoöl.) (a) The water vole. See under Vole. (b) The muskrat. (c) The beaver rat. See under Beaver. 2. A thief on the water; a pirate.
water rate |A rate or tax for a supply of water.
water rattle |The diamond rattlesnake (Crotalus adamanteus); -- so called from its preference for damp places near water.
water rattler |The diamond rattlesnake (Crotalus adamanteus); -- so called from its preference for damp places near water.
water rice |Indian rice. See under Rice.
water rocket |1. (Bot.)  A cruciferous plant (Nasturtium sylvestre) with small yellow flowers. 2. A kind of firework to be discharged in the water.
water sail |A small sail sometimes set under a studding sail or under a driver boom, and reaching nearly to the water.
water sapphire |A deep blue variety of iolite, sometimes used as a gem; -- called also saphir d'eau.
water scorpion |See Nepa.
water screw |A screw propeller.
water shield |An aquatic American plant (Brasenia peltata) having floating oval leaves, and the covered with a clear jelly.
water shrew |Any one of several species of shrews having fringed feet and capable of swimming actively. The two common European species (Crossopus fodiens, and C. ciliatus) are the best known. The most common American water shrew, or marsh shrew (Neosorex palustris), is rarely seen, owing to its nocturnal habits.
water snail |1. (Zoöl.)  Any aquatic pulmonate gastropod belonging to Planorbis, Limnæa, and allied genera; a pond snail. 2. (Mech.)  The Archimedean screw. [R.]
water snake |(a) A common North American colubrine snake (Tropidonotus sipedon) which lives chiefly in the water. (b) Any species of snakes of the family Homalopsidæ, all of which are aquatic in their habits.
water soldier |An aquatic European plant (Stratiotes aloides) with bayonet- shaped leaves.
water souchy |A dish consisting of small fish stewed and served in a little water. [Written also water souchet.] See Zoutch.
water spaniel |A curly-haired breed of spaniels, naturally very fond of the water.
water sparrow |(a) The reed warbler. [Prov. Eng.] (b) The reed bunting. [Prov. Eng.]
water speedwell |A kind of speedwell (Veronica Anagallis) found in wet places in Europe and America.
water spider |(a) An aquatic European spider (Argyoneta aquatica) which constructs its web beneath the surface of the water on water plants. It lives in a bell-shaped structure of silk, open beneath like a diving bell, and filled with air which the spider carries down in the form of small bubbles attached one at a time to the spinnerets and hind feet. Called also diving spider. (b) A water mite. (c) Any spider that habitually lives on or about the water, especially the large American species (Dolomedes lanceolatus) which runs rapidly on the surface of water; -- called also raft spider.
water spinner |The water spider.
water sprite |A sprite, or spirit, imagined as inhabiting the water. J. R. Drake.
water star grass |An aquatic plant (Schollera graminea) with grassy leaves, and yellow star-shaped blossoms.
water starwort |See under Starwort.
water supply |A supply of water; specifically, water collected, as in reservoirs, and conveyed, as by pipes, for use in a city, mill, or the like.
water tabby |A kind of waved or watered tabby. See Tabby, n., 1.
water table |A molding, or other projection, in the wall of a building, to throw off the water, -- generally used in the United States for the first table above the surface of the ground (see Table, n., 9), that is, for the table at the top of the foundation and the beginning of the upper wall.
water telescope |1. (Optics) A telescope in which the medium between the objective and the eye piece is water instead of air, used in some experiments in aberration. 2.  A telescope devised for looking into a body of water.
water tender |In the United States navy, a first-class petty officer in charge in a fireroom. He \"tends\" water to the boilers, sees that fires are properly cleaned and stoked, etc. There is also a rating of chief water tender, who is a chief petty officer.
