supremely |In a supreme manner.
surplus |1. That which remains when use or need is satisfied, or when a limit is reached; excess; overplus. 2. Specifically, an amount in the public treasury at any time greater than is required for the ordinary purposes of the government.\n\nBeing or constituting a surplus; more than sufficient; as, surplus revenues; surplus population; surplus words. When the price of corn falleth, men give over surplus tillage, and break no more ground. Carew.
surplusage |1. Surplus; excess; overplus; as, surplusage of grain or goods beyond what is wanted. Take what thou please of all this surplusage. Spenser. A surplusage given to one part is paid out of a reduction from another part of the same creature. Emerson. 2. (Law)  Matter in pleading which is not necessary or relevant to the case, and which may be rejected. 3. (Accounts)  A greater disbursement than the charge of the accountant amounts to. [Obs.] Rees.
surprisal |The act of surprising, or state of being surprised; surprise. How to secure the lady from surprisal. Milton. Because death is uncertain, let us prevent its surprisal. Barrow.
surprise |1. The act of coming upon, or taking, unawares; the act of seizing unexpectedly; surprisal; as, the fort was taken by surprise. 2. The state of being surprised, or taken unawares, by some act or event which could not reasonably be foreseen; emotion excited by what is sudden and strange; a suddenly excited feeling of wonder or astonishment. Pure surprise and fear Made me to quit the house. Shak. 3. Anything that causes such a state or emotion. 4. A dish covered with a crust of raised paste, but with no other contents. [Obs.] King. Surprise party, a party of persons who assemble by mutual agreement, and without invitation, at the house of a common friend. [U.S.] Bartlett. Syn. -- Wonder; astonishment; amazement.\n\n1. To come or fall suddenly and unexpectedly; to take unawares; to seize or capture by unexpected attack. Fearfulness hath surprised the hypocrites. Isa. xxxiii. 14. The castle of Macduff I will surprise. Shak. Who can speak The mingled passions that surprised his heart Thomson. 2. To strike with wonder, astonishment, or confusion, by something sudden, unexpected, or remarkable; to confound; as, his conduct surprised me. I am surprised with an uncouth fear. Shak. Up he starts, Discovered and surprised. Milton. 3. To lead (one) to do suddenly and without forethought; to bring (one) into some unexpected state; -- with into; as, to be surprised into an indiscretion; to be surprised into generosity. 4. To hold possession of; to hold. [Obs.] Not with me, That in my hands surprise the sovereignity. J. Webster. Syn. -- See Astonish.
surprisement |Surprisal. [Obs.] Daniel.
surpriser |One who surprises.
surprising |Exciting surprise; extraordinary; of a nature to excite wonder and astonishment; as, surprising bravery; a surprising escape from danger. -- Sur*pris\"ing*ly, adv. -- Sur*pris\"ing*ness, n. Syn. -- Wonderful; extraordinary; unexpected; astonishing; striking.
surquedous |Having or exhibiting surquedry; arrogant; insolent. [Obs.] Gower. James II. of Scot.
surquedrous |Having or exhibiting surquedry; arrogant; insolent. [Obs.] Gower. James II. of Scot.
surquedry |Overweening pride; arrogance; presumption; insolence. [Obs.] Chaucer. Then pay you the price of your surquedry. Spenser.
surquidry |Overweening pride; arrogance; presumption; insolence. [Obs.] Chaucer. Then pay you the price of your surquedry. Spenser.
surrebound |To give back echoes; to reëcho. [Obs.] Chapman.
surrebut |To reply, as a plaintiff to a defendant's rebutter.
surrebuter |The reply of a plaintiff to a defendant's rebutter.
surrein |To override; to exhaust by riding. [Obs.] Shak.
surrejoin |To reply, as a plaintiff to a defendant's rejoinder.
surrejoinder |The answer of a plaintiff to a defendant's rejoinder.
surrender |1. To yield to the power of another; to give or deliver up possession of (anything) upon compulsion or demand; as, to surrender one's person to an enemy or to an officer; to surrender a fort or a ship. 2. To give up possession of; to yield; to resign; as, to surrender a right, privilege, or advantage. To surrender up that right which otherwise their founders might have in them. Hooker. 3. To yield to any influence, emotion, passion, or power; -- used reflexively; as, to surrender one's self to grief, to despair, to indolence, or to sleep. 4. (Law)  To yield; to render or deliver up; to give up; as, a principal surrendered by his bail, a fugitive from justice by a foreign state, or a particular estate by the tenant thereof to him in remainder or reversion.\n\nTo give up one's self into the power of another; to yield; as, the enemy, seeing no way of escape, surrendered at the first summons.\n\n1. The act of surrendering; the act of yielding, or resigning one's person, or the possession of something, into the power of another; as, the surrender of a castle to an enemy; the surrender of a right. That he may secure some liberty he makes a surrender in trust of the whole of it. Burke. 2. (Law)  The yielding of a particular estate to him who has an immediate estate in remainder or reversion. (b) The giving up of a principal into lawful custody by his bail. (c) The delivry up oh fugitives from justice by one government to another, as by a foreign state. See Extradition. Wharton.
surrenderee |The person to whom a surrender is made. Mozley & W.
surrenderer |One who surrenders.
surrenderor |One who makes a surrender, as of an estate. Bouvier.
surrendry |Surrender. [Obs.]
surreption |1. The act or process of getting in a surreptitious manner, or by craft or stealth. Fame by surreption got May stead us for the time, but lasteth not. B. Jonson. 2. A coming unperceived or suddenly.
surreptitious |Done or made by stealth, or without proper authority; made or introduced fraudulently; clandestine; stealthy; as, a surreptitious passage in an old manuscript; a surreptitious removal of goods. -- Sur`rep*ti\"tious*ly, adv.
surrey |A four-wheeled pleasure carriage, (commonly two-seated) somewhat like a phaeton, but having a straight bottom.
surrogate |1. A deputy; a delegate; a substitute. 2. The deputy of an ecclesiastical judge, most commonly of a bishop or his chancellor, especially a deputy who grants marriage licenses. [Eng.] 3. In some States of the United States, an officer who presides over the probate of wills and testaments and yield the settlement of estates.\n\nTo put in the place of another; to substitute. [R.] Dr. H. More.
surrogateship |The office of a surrogate.
surrogation |The act of substituting one person in the place of another. [R.] Killingbeck.
surround |1. To inclose on all sides; to encompass; to environ. 2. To lie or be on all sides of; to encircle; as, a wall surrounds the city. But could instead, and ever-during dark Surrounds me. Milton. 3. To pass around; to travel about; to circumnavigate; as, to surround the world. [Obs.] Fuller. 4. (Mil.)  To inclose, as a body of troops, between hostile forces, so as to cut off means of communication or retreat; to invest, as a city. Syn. -- To encompass; encircle; environ; invest; hem in; fence about.\n\nA method of hunting some animals, as the buffalo, by surrounding a herd, and driving them over a precipice, into a ravine, etc. [U.S.] Baird.
surrounding |Inclosing; encircling.\n\n1. An encompassing. 2. pl.  The things which surround or environ; external or attending circumstances or conditions.
surrow |The thar.
surroyal |One of the terminal branches or divisions of the beam of the antler of the stag or other large deer.
sursanure |A wound healed or healing outwardly only. [Obs.] Of a sursanure In surgery is perilous the cure. Chaucer.
surseance |Peace; quiet. [Obs.] Bacon.
sursolid |The fifth power of a number; as, a is the sursolid of a, or 32 that of 2. [R.] Hutton.
surstyle |To surname. [R.]
sursum corda |In the Eucharist, the versicles immediately before the preface, inviting the people to join in the service by \"lifting up the heart\" to God.
surtax |An additional or extra tax.\n\nTo impose an additional tax on.
surtout |A man's coat to be worn over his other garments; an overcoat, especially when long, and fitting closely like a body coat. Gay.
surturbrand |A fibrous brown coal or bituminous wood.
surucucu |See Bush master, under Bush.
surveillance |Oversight; watch; inspection; supervision. That sort of surveillance of which . . . the young have accused the old. Sir W. Scott.
surveillant |One who watches over another; an overseer; a spy; a supervisor.\n\nOverseeing; watchful.
survene |To supervene upon; to come as an addition to. [Obs.] A suppuration that survenes lethargies. Harvey.
survenue |A sudden or unexpected coming or stepping on. [Obs.]
survey |1. To inspect, or take a view of; to view with attention, as from a high place; to overlook; as, to stand on a hill, and survey the surrounding country. Round he surveys and well might, where he stood, So high above. Milton. 2. To view with a scrutinizing eye; to examine. With such altered looks, . . . All pale and speechless, he surveyed me round. Dryden. 3. To examine with reference to condition, situation, value, etc.; to examine and ascertain the state of; as, to survey a building in order to determine its value and exposure to loss by fire. 4. To determine the form, extent, position, etc., of, as a tract of land, a coast, harbor, or the like, by means of linear and angular measurments, and the application of the principles of geometry and trigonometry; as, to survey land or a coast. 5. To examine and ascertain, as the boundaries and royalties of a manor, the tenure of the tenants, and the rent and value of the same. [Eng.] Jacob (Law Dict.).\n\n1. The act of surveying; a general view, as from above. Under his proud survey the city lies. Sir J. Denham. 2. A particular view; an examination, especially an official examination, of all the parts or particulars of a thing, with a design to ascertain the condition, quantity, or quality; as, a survey of the stores of a ship; a survey of roads and bridges; a survey of buildings. 3. The operation of finding the contour, dimensions, position, or other particulars of, as any part of the earth's surface, whether land or water; also, a measured plan and description of any portion of country, or of a road or line through it. Survey of dogs. See Court of regard, under Regard. -- Trigonometrical survey, a survey of a portion of country by measuring a single base, and connecting it with various points in the tract surveyed by a series of triangles, the angles of which are carefully measured, the relative positions and distances of all parts being computed from these data. Syn. -- Review; retrospect; examination; prospect.
surveyal |Survey. [R.] Barrow.
surveyance |Survey; inspection. [R.]
surveying |That branch of applied mathematics which teaches the art of determining the area of any portion of the earth's surface, the length and directions of the bounding lines, the contour of the surface, etc., with an accurate delineation of the whole on paper; the act or occupation of making surveys. Geodetic surveying, geodesy. -- Maritime, or Nautical, surveying, that branch of surveying which determines the forms of coasts and harbors, the entrances of rivers, with the position of islands, rocks, and shoals, the depth of water, etc. -- Plane surveying. See under Plane, a. -- Topographical surveying, that branch of surveying which involves the process of ascertaining and representing upon a plane surface the contour, physical features, etc., of any portion of the surface of the earth.
surveyor |1. One placed to superintend others; an overseer; an inspector. Were 't not madness then, To make the fox surveyor of the fold Shak. 2. One who views and examines for the purpose of ascertaining the condition, quantity, or quality of anything; as, a surveyor of highways, ordnance, etc. 3. One who surveys or measures land; one who practices the art of surveying. 4. (Customs) (a) An officer who ascertains the contents of casks, and the quantity of liquors subject to duty; a gauger. (b) In the United States, an officer whose duties include the various measures to be taken for ascertaining the quantity, condition, and value of merchandise brought into a port. Abbot. Surveyor general. (a) A principal surveyor; as, the surveyor general of the king's manors, or of woods and parks. [Eng.] (b) An officer having charge of the survey of the public lands of a land district. [U.S.] Davies & Peck (Math. Dict.). -- Surveyor's compass. See Circumferentor. -- Surveyor's level. See under Level.
surveyorship |The office of a surveyor.
surview |To survey; to make a survey of. [Obs.] \"To surview his ground.\" Spenser.\n\nA survey. [Obs.] Bp. Sanderson.
survise |To look over; to supervise. [Obs.] B. Jonson.
survival |1. A living or continuing longer than, or beyond the existence of, another person, thing, or event; an outliving. 2. (Arhæol. & Ethnol.)  Any habit, usage, or belief, remaining from ancient times, the origin of which is often unknown, or imperfectly known. The close bearing of the doctrine of survival on the study of manners and customs. Tylor. Survival of the fittest. (Biol.) See Natural selection, under Natural.
survivance |Survivorship. [R.] His son had the survivance of the stadtholdership. Bp. Burnet.
survivancy |Survivorship. [R.] His son had the survivance of the stadtholdership. Bp. Burnet.
survive |To live beyond the life or existence of; to live longer than; to outlive; to outlast; as, to survive a person or an event. Cowper. I'll assure her of Her widowhood, be it that she survive me, In all my lands and leases whatsoever. Shak.\n\nTo remain alive; to continue to live. Thy pleasure, Which, when no other enemy survives, Still conquers all the conquerors. Sir J. Denham. Alike are life and death, When life in death survives. Longfellow.
survivency |Survivorship. [R.]
surviver |One who survives; a survivor.
surviving |Remaining alive; yet living or existing; as, surviving friends; surviving customs.
survivor |1. One who survives or outlives another person, or any time, event, or thing. The survivor bound In filial obligation for some term To do obsequious sorrow. Shak. 2. (Law)  The longer liver of two joint tenants, or two persons having a joint interest in anything. Blackstone.
survivorship |1. The state of being a survivor. 1. (Law)  The right of a joint tenant, or other person who has a joint interest in an estate, to take the whole estate upon the death of other. Blackstone. Chance of survivorship, the chance that a person of a given age has of surviving another of a giving age; thus, by the Carlisle tables of mortality the chances of survivorship for two persons, aged 25 and 65, are 89 and 11 respectively, or about 8 to 1 that the elder die first.
