isagoge |An introduction. [Obs.] Harris.
isometric |1. Pertaining to, or characterized by, equality of measure. 2. (Crystallog.)  Noting, or conforming to, that system of crystallization in which the three axes are of equal length and at right angles to each other; monometric; regular; cubic. Cf. Crystallization. Isometric lines (Thermodynamics), lines representing in a diagram the relations of pressure and temperature in a gas, when the volume remains constant. -- Isometrical perspective. See under Perspective. -- Isometrical projection, a species of orthographic projection, in which but a single plane of projection is used. It is so named from the fact that the projections of three equal lines, parallel respectively to three rectangular axes, are equal to one another. This kind of projection is principally used in delineating buildings or machinery, in which the principal lines are parallel to three rectangular axes, and the principal planes are parallel to three rectangular planes passing through the three axes.
isometrical |1. Pertaining to, or characterized by, equality of measure. 2. (Crystallog.)  Noting, or conforming to, that system of crystallization in which the three axes are of equal length and at right angles to each other; monometric; regular; cubic. Cf. Crystallization. Isometric lines (Thermodynamics), lines representing in a diagram the relations of pressure and temperature in a gas, when the volume remains constant. -- Isometrical perspective. See under Perspective. -- Isometrical projection, a species of orthographic projection, in which but a single plane of projection is used. It is so named from the fact that the projections of three equal lines, parallel respectively to three rectangular axes, are equal to one another. This kind of projection is principally used in delineating buildings or machinery, in which the principal lines are parallel to three rectangular axes, and the principal planes are parallel to three rectangular planes passing through the three axes.
isomorph |A substance which is similar to another in crystalline form and composition.
isomorphic |Isomorphous.
isomorphism |A similarity of crystalline form between substances of similar composition, as between the sulphates of barium (BaSO4) and strontium (SrSO4). It is sometimes extended to include similarity of form between substances of unlike composition, which is more properly called homoeomorphism.
isomorphous |Having the quality of isomorphism.
isonandra |A genus of sapotaceous trees of India. Isonandra Gutta is the principal source of gutta-percha.
isonephelic |Having, or indicating, an equal amount of cloudiness for a given period; as, isonephelic regions; an isonephelic line.
isonicotine |A crystalline, nitrogenous base, C10H14N2, isomeric with nicotine.
isonicotinic |(a) Pertaining to, or derived from, isonicotine. (b) Pertaining to, or designating, an acid isomeric with nicotinic acid.
isonitroso- |A combining from (also used adjectively), signifying: Pertaining to, or designating, the characteristic, nitrogenous radical, NOH, called the isonitroso group.
isonomic |The same, or equal, in law or right; one in kind or origin; analogous; similar. Dana.
isonomy |Equal law or right; equal distribution of rights and privileges; similarity.
isopathy |(a) The system which undertakes to cure a disease by means of the virus of the same disease. (b) The theory of curing a diseased organ by eating the analogous organ of a healthy animal. Mayne. (c) The doctrine that the power of therapeutics is equal to that of the causes of disease.
isopepsin |Pepsin modified by exposure to a temperature of from 40º to 60º C.
isoperimetrical |Having equal perimeters of circumferences; as, isoperimetrical figures or bodies.
isoperimetry |The science of figures having equal perimeters or boundaries.
isopiestic |Having equal pressure. Isopiestic lines, lines showing, in a diagram, the relations of temperature and volume, when the elastic force is constant; -- called also isobars.
isopleura |A subclass of Gastropoda, in which the body is symmetrical, the right and left sides being equal. Note: The intestine terminates at the posterior end of the body, and the gills and circulatory and reproductive organs are paired. It includes the chitons (Polyplacophora), together with Neomenia and Chætoderma, which are wormlike forms without a shell.
isopod |Having the legs similar in structure; belonging to the Isopoda. -- n.  One of the Isopoda.
isopoda |An order of sessile-eyed Crustacea, usually having seven pairs of legs, which are all similar in structure. Note: The body is usually depressed, with the abdominal segments short, and often consolidated in part. The branchiæ are on the abdominal appendages. The group includes the terrestrial pill bugs and sow bugs, with numerous marine forms. See Arthrostrata, Gribble.
isopodiform |Having the shape of an isopod; -- said of the larvæ of certain insects.
isopodous |Same as Isopod.
isopogonous |Having the two webs equal in breath; -- said of feathers.
isoprene |An oily, volatile hydrocarbon, obtained by the distillation of caoutchouc or guttaipercha.C5H8 -- unsaturated, and used to make synthetic rubber by polymerization. In organic chemistry, viewed conceptually as the building block of the terpene series of hydrocarbons
isopycnic |Having equal density, as different regions of a medium; passing through points at which the density is equal; as, an isopycnic line or surface.\n\nA line or surface passing through those points in a medium, at which the density is the same.
isorcin |A crystalline hydrocarbon derivative, metameric with orcin, but produced artificially; -- called also cresorcin.
isorropic |Of equal value. Isorropic line (in a diagram) (Geom.), the locus of all the points for which a specified function has a constant value. Newcomb.
isosceles |Having two legs or sides that are equal; -- said of a triangle.
isospondyli |An extensive order of fishes, including the salmons, herrings, and many allied forms.
isospondylous |Of or pertaining to the Isospondyli; having the anterior vertebræ separate and normal.
isospore |(a) One of the spores produced by an isosporous organism. (b) A zygospore.
isosporic |Producing but one kind of spore, as the ferns and Equiseta. Cf. Heterosporic.
isosporous |Producing but one kind of spore, as the ferns.
isostasy |The state or quality of being isostatic. Specif. (Geol.),  general equilibrium in the earth's crust, supposed to be maintained by the yielding or flow of rock material beneath the surface under gravitative stress. By the theory of isostasy each unit column of the earth, from surface to center, has approximately the same weight, and the continents stand higher than the ocean beds chiefly because the material of the crust has there less density.
isostatic |Subjected to equal pressure from every side; being in hydrostatic equilibrium, as a body submerged in a liquid at rest; pertaining to, or characterized by, isostasy.
isostemonous |Having exactly as many stamens as petals.
isostemony |The quality or state of being isostemonous.
isosulphocyanate |A salt of isosulphocyanic acid.
isosulphocyanic |Pertaining to, or designating, an acid, HNCS, isomeric with sulphocyanic acid.
isotheral |Having the nature of an isothere; indicating the distribution of temperature by means of an isothere; as, an isotheral chart or line.
isothere |A line connecting points on the earth's surface having the same mean summer temperature.
isotherm |A line connecting or marking points on the earth's surface having the same temperature. This may be the temperature for a given time of observation, or the mean temperature for a year or other period. Also, a similar line based on the distribution of temperature in the ocean.
isothermal |(a) Relating to equality of temperature. (b) (Phys. Geog.) Having reference to the geographical distribution of temperature, as exhibited by means of isotherms; as, an isothermal line; an isothermal chart. Isothermal line. (a) An isotherm. (b) A line drawn on a diagram of energy such that its ordinates represent the pressures of a substance corresponding to various volumes, while the absolute temperature is maintained at a constant value. -- Isothermal zones, spaces on opposite sides of the equator having the same mean temperature, and bounded by corresponding isothermal lines.
isothermobath |A line drawn through points of equal temperature in a vertical section of the ocean.
isothermobathic |Of or pertaining to an isothermobath; possessing or indicating equal temperatures in a vertical section, as of the ocean.
isotherombrose |A line connecting or marking points on the earth's surface, which have the same mean summer rainfall.
isotonic |Having or indicating, equal tones, or tension. Isotonic system (Mus.), a system consisting of intervals, in which each concord is alike tempered, and in which there are twelve equal semitones.
isotrimorphic |Isotrimorphous.
isotrimorphism |Isomorphism between the three forms, severally, of two trimorphous substances.
isotrimorphous |Having the quality of isotrimorphism; isotrimorphic.
isotropic |Having the same properties in all directions; specifically, equally elastic in all directions.
isotropism |Isotropy.
isotropous |Isotropic.
isotropy |Uniformity of physical properties in all directions in a body; absence of all kinds of polarity; specifically, equal elasticity in all directions.
isouric |Pertaining to, or designating, a complex nitrogenous acid, isomeric with uric acid.
israelite |A descendant of Israel, or Jacob; a Hebrew; a Jew.
israelitic |Of or pertaining to Israel, or to the Israelites; Jewish; Hebrew.
israelitish |Of or pertaining to Israel, or to the Israelites; Jewish; Hebrew.
issuable |1. Leading to, producing, or relating to, an issue; capable of being made an issue at law. Burrill. 2. Lawful or suitable to be issued; as, a writ issuable on these grounds. Issuable plea (Law), a plea to the merits, on which the adverse party may take issue and proceed to trial.
issuably |In an issuable manner; by way of issue; as, to plead issuably.
issuance |The act of issuing, or giving out; as, the issuance of an order; the issuance of rations, and the like.
issuant |Issuing or coming up; -- a term used to express a charge or bearing rising or coming out of another.
issue |1. The act of passing or flowing out; a moving out from any inclosed place; egress; as, the issue of water from a pipe, of blood from a wound, of air from a bellows, of people from a house. 2. The act of sending out, or causing to go forth; delivery; issuance; as, the issue of an order from a commanding officer; the issue of money from a treasury. 3. That which passes, flows, or is sent out; the whole quantity sent forth or emitted at one time; as, an issue of bank notes; the daily issue of a newspaper. 4. Progeny; a child or children; offspring. In law, sometimes, in a general sense, all persons descended from a common ancestor; all lineal descendants. If the king Should without issue die. Shak. 5. Produce of the earth, or profits of land, tenements, or other property; as, A conveyed to B all his right for a term of years, with all the issues, rents, and profits. 6. A discharge of flux, as of blood. Matt. ix. 20. 7. (Med.)  An artificial ulcer, usually made in the fleshy part of the arm or leg, to produce the secretion and discharge of pus for the relief of some affected part. 8. The final outcome or result; upshot; conclusion; event; hence, contest; test; trial. Come forth to view The issue of the exploit. Shak. While it is hot, I 'll put it to the issue. Shak. 9. A point in debate or controversy on which the parties take affirmative and negative positions; a presentation of alternatives between which to choose or decide. 10. (Law)  In pleading, a single material point of law or fact depending in the suit, which, being affirmed on the one side and denied on the other, is presented for determination. See General issue, under General, and Feigned issue, under Feigned. Blount. Cowell. At issue, in controversy; disputed; opposing or contesting; hence, at variance; disagreeing; inconsistent. As much at issue with the summer day As if you brought a candle out of doors. Mrs. Browning. -- Bank of issue, Collateral issue, etc. See under Bank, Collateral, etc. -- Issue pea, a pea, or a similar round body, used to maintain irritation in a wound, and promote the secretion and discharge of pus. -- To join, or take, issue, to take opposing sides in a matter in controversy.\n\n1. To pass or flow out; to run out, as from any inclosed place. From it issued forced drops of blood. Shak. 2. To go out; to rush out; to sally forth; as, troops issued from the town, and attacked the besiegers. 3. To proceed, as from a source; as, water issues from springs; light issues from the sun. 4. To proceed, as progeny; to be derived; to be descended; to spring. Of thy sons that shall issue from thee. 2 Kings xx. 18. 5. To extend; to pass or open; as, the path issues into the highway. 6. To be produced as an effect or result; to grow or accrue; to arise; to proceed; as, rents and profits issuing from land, tenements, or a capital stock. 7. To close; to end; to terminate; to turn out; as, we know not how the cause will issue. 8. (Law)  In pleading, to come to a point in fact or law, on which the parties join issue.\n\n1. To send out; to put into circulation; as, to issue notes from a bank. 2. To deliver for use; as, to issue provisions. 3. To send out officially; to deliver by authority; as, to issue an order; to issue a writ.
issueless |Having no issue or progeny; childless. \"The heavens . . . have left me issueless.\" Shak.
issuer |One who issues, emits, or publishes.
isthmian |Of or pertaining to an isthmus, especially to the Isthmus of Corinth, in Greece. Isthmian games (Gr. Antiq.), one of the four great national festivals of Greece, celebrated on the Isthmus of Corinth in the spring of every alternate year. They consisted of all kinds of athletic sports, wrestling, boxing, racing on foot and in chariots, and also contests in music and poetry. The prize was a garland of pine leaves.
isthmus |A neck or narrow slip of land by which two continents are connected, or by which a peninsula is united to the mainland; as, the Isthmus of Panama; the Isthmus of Suez, etc. Isthmus of the fauces. (Anat.) See Fauces.
istle |Same as Ixtle.
isuret |An artificial nitrogenous base, isomeric with urea, and forming a white crystalline substance; -- called also isuretine.
it |The neuter pronoun of the third person, corresponding to the masculine pronoun he and the feminine she, and having the same plural (they, their of theirs, them). Note: The possessive form its is modern, being rarely found in the writings of Shakespeare and Milton, and not at all in the original King James's version of the Bible. During the transition from the regular his to the anomalous its, it was to some extent employed in the possessive without the case ending. See His, and He. In Dryden's time its had become quite established as the regular form. The day present hath ever inough to do with it owne grief. Genevan Test. Do, child, go to it grandam, child. Shak. It knighthood shall do worse. It shall fright all it friends with borrowing letters. B. Jonson. Note: In the course of time, the nature of the neuter sign i in it, the form being found in but a few words, became misunderstood. Instead of being looked upon as an affix, it passed for part of the original word. Hence was formed from it the anomalous genitive it, superseding the Saxon his. Latham. The fruit tree yielding fruit after his (its) kind. Gen. i. 11. It is used, -- 1. As a substance for any noun of the neuter gender; as, here is the book, take it home. 2. As a demonstrative, especially at the beginning of a sentence, pointing to that which is about to be stated, named, or mentioned, or referring to that which apparent or well known; as, I saw it was John. It is I; be not afraid. Matt. xiv. 27. Peter heard that it was the Lord. John xxi. 7. Often, in such cases, as a substitute for a sentence or clause; as, it is thought he will come; it is wrong to do this. 3. As an indefinite nominative for a impersonal verb; as, it snows; it rains. 4. As a substitute for such general terms as, the state of affairs, the condition of things, and the like; as, how is it with the sick man Think on me when it shall be well with thee. Gen. xl. 14. 5. As an indefinite object after some intransitive verbs, or after a substantive used humorously as a verb; as, to foot it (i. e., to walk). The Lacedemonians, at the Straits of Thermopylæ, when their arms failed them, fought it out with nails and teeth. Dryden. Whether the charmer sinner it, or saint it, If folly grows romantic, I must paint it. Pope. Its self. See Itself.
ita palm |A magnificent species of palm (Mauritia flexuosa), growing near the Orinoco. The natives eat its fruit and buds, drink its sap, and make thread and cord from its fiber.
itacism |Pronunciation of e in the English word be. This was the pronunciation advocated by ReuEtacism. In all such questions between a the confusing element of itacism comes in. Alford.
itacist |One who is in favor of itacism.
itacolumite |A laminated, granular, siliceous rocks, often occurring in regions where the diamond is found.
itaconic |Pertaining to, or designating, an acid, C5H6O4, which is obtained as a white crystalline substance by decomposing aconitic and other organic acids.
itala |An early Latin version of the Scriptures (the Old Testament was translated from the Septuagint, and was also called the Italic version).
italian |Of or pertaining to Italy, or to its people or language. Italian cloth a light material of cotton and worsted; -- called also farmer's satin. -- Italian iron, a heater for fluting frills. -- Italian juice, Calabrian liquorice.\n\n1. A native or inhabitant of Italy. 2. The language used in Italy, or by the Italians.
italianate |To render Italian, or conformable to Italian customs; to Italianize. [R.] Ascham.\n\nItalianized; Italianated. \"Apish, childish, and Italianate.\" Marlowe.
italianism |1. A word, phrase, or idiom, peculiar to the Italians; an Italicism. 2. Attachment to, or sympathy for, Italy.
italianize |1. To play the Italian; to speak Italian. Cotgrave. 2. To render Italian in any respect; to Italianate. \"An Englishman Italianized.\" Lowell.
italic |1. Relating to Italy or to its people. 2. Applied especially to a kind of type in which the letters do not stand upright, but slope toward the right; -- so called because dedicated to the States of Italy by the inventor, Aldus Manutius, about the year 1500. Italic languages, the group or family of languages of ancient Italy. -- Italic order (Arch.), the composite order. See Composite. -- Italic school, a term given to the Pythagorean and Eleatic philosophers, from the country where their doctrines were first promulgated. -- Italic version. See Itala.\n\nAn Italic letter, character, or type (see Italic, a., 2.); -- often in the plural; as, the Italics are the author's. Italic letters are used to distinguish words for emphasis, importance, antithesis, etc. Also, collectively, Italic letters.
italicism |1. A phrase or idiom peculiar to the Italian language; to Italianism. 2. The use of Italics.
italicize |To print in Italic characters; to underline written letters or words with a single line; as, to Italicize a word; Italicizes too much.
itch |1. To have an uneasy sensation in the skin, which inclines the person to scratch the part affected. My mouth hath itched all this long day. Chaucer. 2. To have a constant desire or teasing uneasiness; to long for; as, itching ears. \"An itching palm.\" Shak.\n\n1. (Med.)  An eruption of small, isolated, acuminated vesicles, produced by the entrance of a parasitic mite (the Sarcoptes scabei), and attended with itching. It is transmissible by contact. 2. Any itching eruption. 3. A sensation in the skin occasioned (or resembling that occasioned) by the itch eruption; -- called also scabies, psora, etc. 4. A constant irritating desire. An itch of being thought a divine king. Dryden. Baker's itch. See under Baker. -- Barber's itch, sycosis. -- Bricklayer's itch, an eczema of the hands attended with much itching, occurring among bricklayers. -- Grocer's itch, an itching eruption, being a variety of eczema, produced by the sugar mite (Tyrogluphus sacchari). -- Itch insect (Zoöl.), a small parasitic mite (Sarcoptes scabei) which burrows and breeds beneath the human skin, thus causing the disease known as the itch. See Illust. in Append. -- Itch mite. (Zoöl.) Same as Itch insect, above. Also, other similar mites affecting the lower animals, as the horse and ox. -- Sugar baker's itch, a variety of eczema, due to the action of sugar upon the skin. -- Washerwoman's itch, eczema of the hands and arms, occurring among washerwomen.
itchiness |The state of being itchy.
itchless |Free from itching.
itchy |Infected with the itch, or with an itching sensation. Cowper.
item |Also; as an additional article.\n\n1. An article; a separate particular in an account; as, the items in a bill. 2. A hint; an innuendo. [Obs.] A secret item was given to some of the bishops . . . to absent themselves. Fuller. 3. A short article in a newspaper; a paragraph; as, an item concerning the weather.\n\nTo make a note or memorandum of. I have itemed it in my memory. Addison.
itemize |To state in items, or by particulars; as, to itemize the cost of a railroad. [Local, U. S.]
iter |A passage; esp., the passage between the third and fourth ventricles in the brain; the aqueduct of Sylvius.
iterable |Capable of being iterated or repeated. [Obs.]
iterance |Iteration. [Obs.]
iterant |Repeating; iterating; as, an iterant echo. Bacon.
